Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
FINNIFTY,28-Jun-2024,30-Jul-2024,23714.05,23730.85,23502.10,23541.40,23530.00,23541.40,4819.00,28431.20,120000.00,10925.00,-
FINNIFTY,28-Jun-2024,27-Aug-2024,23769.95,23823.00,23634.55,23655.40,23666.80,23655.40,250.00,1479.23,5575.00,3150.00,-
FINNIFTY,28-Jun-2024,24-Sep-2024,-,-,-,23800.00,23800.00,23836.75,-,-,25.00,-,-
FINNIFTY,27-Jun-2024,30-Jul-2024,23720.05,23823.60,23567.00,23682.30,23685.45,23682.30,2633.00,15597.35,109075.00,1375.00,-
FINNIFTY,27-Jun-2024,27-Aug-2024,23680.00,23928.05,23680.00,23765.90,23765.90,23765.90,128.00,761.94,2425.00,25.00,-
FINNIFTY,27-Jun-2024,24-Sep-2024,-,-,-,23800.00,23800.00,24049.75,-,-,25.00,-,-
FINNIFTY,26-Jun-2024,30-Jul-2024,23558.70,23749.95,23481.50,23650.85,23599.00,23650.85,3467.00,20447.94,107700.00,-2850.00,-
FINNIFTY,26-Jun-2024,24-Sep-2024,23800.00,23800.00,23800.00,23800.00,23800.00,24022.40,1.00,5.95,25.00,25.00,-
FINNIFTY,26-Jun-2024,27-Aug-2024,23648.65,23781.95,23601.50,23734.60,23693.05,23734.60,96.00,568.80,2400.00,250.00,-
FINNIFTY,25-Jun-2024,30-Jul-2024,23214.95,23600.00,23071.00,23564.55,23541.00,23564.55,8072.00,47337.16,110550.00,83075.00,-
FINNIFTY,25-Jun-2024,25-Jun-2024,23109.95,23534.00,23107.70,23504.35,23513.85,23510.65,10141.00,94832.26,156440.00,93160.00,-
FINNIFTY,25-Jun-2024,27-Aug-2024,23284.90,23670.00,23284.90,23648.60,23620.20,23648.60,164.00,964.49,2150.00,1250.00,-
FINNIFTY,24-Jun-2024,25-Jun-2024,22936.05,23110.85,22811.05,23091.20,23109.30,23091.20,2921.00,26872.31,63280.00,-3320.00,-
FINNIFTY,24-Jun-2024,30-Jul-2024,22990.20,23190.00,22750.10,23176.90,23187.95,23176.90,1110.00,6402.16,27475.00,12025.00,-
FINNIFTY,24-Jun-2024,27-Aug-2024,23500.00,23500.00,23010.00,23284.90,23284.90,23284.90,21.00,121.97,900.00,225.00,-
FINNIFTY,21-Jun-2024,25-Jun-2024,23018.90,23045.95,22840.00,22980.50,22956.00,22980.50,2015.00,18494.36,66600.00,-8280.00,-
FINNIFTY,21-Jun-2024,27-Aug-2024,23231.85,23252.95,23082.30,23189.90,23189.90,23189.90,9.00,52.16,675.00,-25.00,-
FINNIFTY,21-Jun-2024,30-Jul-2024,23126.40,23140.00,22940.05,23060.10,23049.95,23060.10,412.00,2372.86,15450.00,1450.00,-
FINNIFTY,20-Jun-2024,25-Jun-2024,22974.00,23061.80,22802.90,23024.80,23032.00,23024.80,1815.00,16647.85,74880.00,-5440.00,-
FINNIFTY,20-Jun-2024,27-Aug-2024,23120.30,23275.00,23005.55,23254.80,23254.80,23254.80,11.00,63.81,700.00,25.00,-
FINNIFTY,20-Jun-2024,30-Jul-2024,23079.95,23189.85,22920.00,23121.75,23136.85,23121.75,480.00,2765.99,14000.00,2750.00,-
FINNIFTY,19-Jun-2024,25-Jun-2024,22558.95,23140.50,22558.95,22944.15,22961.50,22944.15,4064.00,37159.21,80320.00,9560.00,-
FINNIFTY,19-Jun-2024,27-Aug-2024,22929.00,23239.40,22900.00,23120.20,23120.20,23120.20,19.00,109.60,675.00,275.00,-
FINNIFTY,19-Jun-2024,30-Jul-2024,22695.65,23200.00,22596.15,23042.40,23021.75,23042.40,741.00,4250.54,11250.00,3900.00,-
FINNIFTY,18-Jun-2024,25-Jun-2024,22493.95,22598.20,22391.95,22580.40,22591.00,22580.40,4311.00,38840.06,70760.00,19720.00,-
FINNIFTY,18-Jun-2024,27-Aug-2024,23005.00,23005.00,22760.00,22798.55,22760.00,22798.55,9.00,51.48,400.00,25.00,-
FINNIFTY,18-Jun-2024,30-Jul-2024,22536.00,22810.00,22302.00,22695.65,22697.95,22695.65,365.00,2066.43,7350.00,2275.00,-
FINNIFTY,14-Jun-2024,25-Jun-2024,22353.65,22466.00,22285.10,22431.95,22401.00,22431.95,1411.00,12643.18,51040.00,-1120.00,-
FINNIFTY,14-Jun-2024,30-Jul-2024,22447.10,22560.00,22401.00,22536.00,22550.80,22536.00,153.00,861.30,5075.00,625.00,-
FINNIFTY,14-Jun-2024,27-Aug-2024,-,-,-,22600.00,22600.00,22746.15,-,-,375.00,-,-
FINNIFTY,13-Jun-2024,25-Jun-2024,22347.10,22409.20,22311.00,22337.70,22350.00,22337.70,903.00,8074.60,52160.00,-240.00,-
FINNIFTY,13-Jun-2024,27-Aug-2024,22518.45,22600.00,22518.45,22600.00,22600.00,22600.00,2.00,11.28,375.00,25.00,-
FINNIFTY,13-Jun-2024,30-Jul-2024,22469.95,22504.85,22390.05,22430.45,22492.80,22430.45,71.00,398.68,4450.00,300.00,-
FINNIFTY,12-Jun-2024,25-Jun-2024,22170.00,22408.00,22170.00,22268.60,22266.80,22268.60,1433.00,12792.59,52400.00,-5080.00,-
FINNIFTY,12-Jun-2024,27-Aug-2024,22500.00,22580.40,22500.00,22546.60,22546.60,22572.95,5.00,28.18,350.00,-,-
FINNIFTY,12-Jun-2024,30-Jul-2024,22282.60,22499.95,22204.85,22383.70,22370.00,22383.70,168.00,940.63,4150.00,-75.00,-
FINNIFTY,11-Jun-2024,25-Jun-2024,22150.00,22268.00,22076.05,22181.30,22178.00,22181.30,5274.00,46825.60,57480.00,-4000.00,-
FINNIFTY,11-Jun-2024,30-Jul-2024,22399.95,22399.95,22220.00,22286.65,22290.00,22286.65,255.00,1421.39,4225.00,1300.00,-
FINNIFTY,11-Jun-2024,27-Aug-2024,22410.85,22549.90,22325.05,22434.65,22544.20,22434.65,10.00,56.10,350.00,-,-
FINNIFTY,10-Jun-2024,25-Jun-2024,22241.00,22360.00,22100.35,22132.35,22112.25,22132.35,2433.00,21638.14,61480.00,720.00,-
FINNIFTY,10-Jun-2024,27-Aug-2024,22489.95,22771.00,22300.00,22410.85,22521.65,22410.85,8.00,45.03,350.00,50.00,-
FINNIFTY,10-Jun-2024,30-Jul-2024,22327.05,22549.95,22049.85,22234.20,22270.00,22234.20,302.00,1688.79,2925.00,275.00,-
FINNIFTY,07-Jun-2024,27-Aug-2024,22489.95,22489.95,22489.95,22489.95,22489.95,22527.35,1.00,5.62,300.00,25.00,-
FINNIFTY,07-Jun-2024,25-Jun-2024,21952.70,22258.25,21873.60,22221.35,22225.00,22221.35,1996.00,17669.30,60760.00,-8960.00,-
FINNIFTY,07-Jun-2024,30-Jul-2024,22100.35,22370.35,22000.35,22327.05,22348.00,22327.05,203.00,1128.92,2650.00,125.00,-
FINNIFTY,06-Jun-2024,30-Jul-2024,21998.50,22208.75,21926.50,22103.00,22120.30,22103.00,172.00,949.71,2525.00,-175.00,-
FINNIFTY,06-Jun-2024,25-Jun-2024,21749.95,22090.00,21749.95,21953.70,21960.00,21953.70,2349.00,20603.13,69720.00,-13200.00,-
FINNIFTY,06-Jun-2024,27-Aug-2024,21980.00,21980.00,21980.00,21980.00,21980.00,22256.45,1.00,5.50,275.00,-25.00,-
FINNIFTY,05-Jun-2024,27-Aug-2024,20890.00,21500.00,20890.00,21500.00,21500.00,22045.05,5.00,26.72,300.00,100.00,-
FINNIFTY,05-Jun-2024,30-Jul-2024,21149.95,21770.75,20800.00,21700.00,21700.00,21700.00,80.00,425.56,2700.00,-50.00,-
FINNIFTY,05-Jun-2024,25-Jun-2024,21090.80,21845.90,20766.00,21713.30,21651.90,21713.30,6811.00,57798.60,82920.00,-41800.00,-
FINNIFTY,04-Jun-2024,30-Jul-2024,22452.65,22700.00,20619.50,21117.30,21127.00,21117.30,896.00,4828.07,2750.00,500.00,-
FINNIFTY,04-Jun-2024,25-Jun-2024,22600.25,22600.25,20502.80,20946.80,21000.00,20946.80,31352.00,267602.64,124720.00,47680.00,-
FINNIFTY,04-Jun-2024,27-Aug-2024,21999.00,21999.00,20890.00,20890.00,20890.00,21171.75,10.00,52.75,200.00,200.00,-
FINNIFTY,03-Jun-2024,27-Aug-2024,-,-,-,22385.35,-,22982.75,-,-,-,-,-
FINNIFTY,03-Jun-2024,25-Jun-2024,22462.75,22863.85,22221.15,22780.85,22862.10,22780.85,4625.00,41873.11,77040.00,21920.00,-
FINNIFTY,03-Jun-2024,30-Jul-2024,22413.85,23035.00,22344.10,22904.55,22950.00,22904.55,350.00,1983.95,2250.00,600.00,-
FINNIFTY,31-May-2024,27-Aug-2024,-,-,-,22385.35,-,22103.40,-,-,-,-,-
FINNIFTY,31-May-2024,25-Jun-2024,21825.15,21939.75,21689.40,21896.85,21920.70,21896.85,1884.00,16450.00,55120.00,-6800.00,-
FINNIFTY,31-May-2024,30-Jul-2024,21979.90,22089.95,21800.05,22055.60,22089.95,22055.60,54.00,296.74,1650.00,100.00,-
FINNIFTY,30-May-2024,27-Aug-2024,-,-,-,22385.35,-,21984.65,-,-,-,-,-
FINNIFTY,30-May-2024,25-Jun-2024,21800.00,21923.00,21692.40,21762.50,21790.55,21762.50,2109.00,18396.85,61920.00,14520.00,-
FINNIFTY,30-May-2024,30-Jul-2024,21999.30,22089.95,21821.10,21916.55,21925.55,21916.55,96.00,526.51,1550.00,475.00,-
FINNIFTY,29-May-2024,25-Jun-2024,22118.05,22131.40,21809.65,21838.65,21854.50,21838.65,1802.00,15796.11,47400.00,11560.00,-
FINNIFTY,29-May-2024,27-Aug-2024,-,-,-,22385.35,-,22012.60,-,-,-,-,-
FINNIFTY,29-May-2024,30-Jul-2024,22100.10,22314.40,21966.00,21999.60,21966.00,21999.60,98.00,541.18,1075.00,350.00,-
FINNIFTY,28-May-2024,30-Jul-2024,22297.30,22301.50,22238.75,22299.55,22300.05,22299.55,78.00,434.18,725.00,475.00,-
FINNIFTY,28-May-2024,28-May-2024,21982.55,22068.05,21930.55,21988.85,21982.00,21982.15,5943.00,52282.08,109480.00,52560.00,-
FINNIFTY,28-May-2024,25-Jun-2024,22041.95,22222.15,22041.95,22188.25,22175.00,22188.25,1733.00,15358.37,35840.00,18480.00,-
FINNIFTY,27-May-2024,28-May-2024,21859.95,22184.35,21859.95,21981.10,21982.55,21981.10,1923.00,16954.17,56920.00,-9480.00,-
FINNIFTY,27-May-2024,30-Jul-2024,22310.95,22633.00,22190.00,22190.05,22190.00,22190.05,11.00,61.38,250.00,50.00,-
FINNIFTY,27-May-2024,25-Jun-2024,22047.95,22310.00,22027.50,22118.75,22110.00,22118.75,683.00,6061.21,17360.00,4240.00,-
