Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
FINNIFTY,28-Mar-2024,25-Jun-2024,21300.00,21900.00,21300.00,21898.80,21898.80,21337.40,6.00,52.08,80.00,80.00,-
FINNIFTY,28-Mar-2024,28-May-2024,20820.75,21484.75,20820.75,21290.85,21229.35,21290.85,36.00,306.94,2000.00,360.00,-
FINNIFTY,28-Mar-2024,30-Apr-2024,21000.00,21285.00,21000.00,21154.05,21151.70,21154.05,1098.00,9299.25,46720.00,-2920.00,-
FINNIFTY,27-Mar-2024,30-Apr-2024,20930.00,21028.25,20906.05,20978.25,21006.40,20978.25,1097.00,9196.48,49640.00,11720.00,-
FINNIFTY,27-Mar-2024,28-May-2024,21131.25,21141.10,21131.25,21141.10,21141.10,21141.10,2.00,16.91,1640.00,40.00,-
FINNIFTY,27-Mar-2024,25-Jun-2024,-,-,-,21093.65,-,21141.35,-,-,-,-,-
FINNIFTY,26-Mar-2024,26-Mar-2024,20748.95,20780.50,20686.45,20707.50,20704.65,20705.95,5597.00,46396.10,167560.00,107840.00,-
FINNIFTY,26-Mar-2024,28-May-2024,21000.00,21091.00,21000.00,21069.15,21078.25,21069.15,19.00,160.03,1600.00,520.00,-
FINNIFTY,26-Mar-2024,25-Jun-2024,-,-,-,-,-,-,-,-,-,-,-
FINNIFTY,26-Mar-2024,25-Jun-2024,-,-,-,-,-,-,-,-,-,-,-
FINNIFTY,26-Mar-2024,30-Apr-2024,20922.95,20945.65,20885.00,20923.65,20920.75,20923.65,1097.00,9179.77,37920.00,13080.00,-
FINNIFTY,22-Mar-2024,30-Apr-2024,20907.30,21026.40,20884.20,20964.35,20962.00,20964.35,699.00,5861.56,24840.00,12440.00,-
FINNIFTY,22-Mar-2024,26-Mar-2024,20702.50,20865.05,20700.00,20805.20,20799.70,20805.20,2095.00,17431.13,59720.00,4920.00,-
FINNIFTY,22-Mar-2024,28-May-2024,21118.75,21249.95,20944.00,21116.95,21131.75,21116.95,42.00,354.84,1080.00,600.00,-
FINNIFTY,21-Mar-2024,30-Apr-2024,20900.00,21077.70,20510.00,20926.50,20942.00,20926.50,590.00,4942.81,12400.00,5760.00,-
FINNIFTY,21-Mar-2024,28-May-2024,21133.05,21577.00,20796.70,21577.00,21577.00,21577.00,11.00,93.08,480.00,80.00,-
FINNIFTY,21-Mar-2024,26-Mar-2024,20700.00,20884.85,20700.00,20758.30,20774.30,20758.30,1958.00,16283.40,54800.00,-9720.00,-
FINNIFTY,20-Mar-2024,26-Mar-2024,20644.55,20713.25,20397.55,20591.75,20601.00,20591.75,2491.00,20486.28,64520.00,-13160.00,-
FINNIFTY,20-Mar-2024,30-Apr-2024,20803.20,20865.00,20574.35,20753.45,20761.50,20753.45,191.00,1584.63,6640.00,1160.00,-
FINNIFTY,20-Mar-2024,28-May-2024,20760.00,21108.45,20760.00,21108.45,21108.35,21108.45,8.00,67.09,400.00,-,-
FINNIFTY,19-Mar-2024,28-May-2024,20946.25,20949.35,20910.65,20949.35,20949.35,20949.35,7.00,58.60,400.00,80.00,-
FINNIFTY,19-Mar-2024,30-Apr-2024,20852.65,20852.65,20745.00,20761.90,20761.00,20761.90,146.00,1214.30,5480.00,760.00,-
FINNIFTY,19-Mar-2024,26-Mar-2024,20624.00,20700.00,20570.25,20611.40,20594.05,20611.40,5121.00,42257.65,77680.00,3800.00,-
FINNIFTY,18-Mar-2024,26-Mar-2024,20625.00,20733.80,20450.00,20673.50,20683.00,20673.50,1878.00,15502.27,73880.00,17120.00,-
FINNIFTY,18-Mar-2024,30-Apr-2024,20758.70,20899.95,20645.00,20856.95,20859.60,20856.95,106.00,881.55,4720.00,960.00,-
FINNIFTY,18-Mar-2024,28-May-2024,20867.90,20931.70,20815.00,20930.00,20930.00,20899.25,7.00,58.50,320.00,-,-
FINNIFTY,15-Mar-2024,26-Mar-2024,20725.75,20767.65,20586.25,20677.75,20664.20,20677.75,3108.00,25702.84,56760.00,-11040.00,-
FINNIFTY,15-Mar-2024,30-Apr-2024,20800.00,20895.70,20729.30,20832.60,20828.35,20832.60,54.00,449.12,3760.00,960.00,-
FINNIFTY,15-Mar-2024,28-May-2024,21000.45,21000.45,20811.55,20998.55,20998.55,20928.75,5.00,41.83,320.00,-,-
FINNIFTY,14-Mar-2024,30-Apr-2024,20833.85,21080.00,20809.95,20933.45,20928.00,20933.45,78.00,653.80,2800.00,320.00,-
FINNIFTY,14-Mar-2024,26-Mar-2024,20752.55,20935.75,20662.70,20799.05,20800.10,20799.05,1915.00,15942.07,67800.00,-2600.00,-
FINNIFTY,14-Mar-2024,28-May-2024,20821.40,21210.00,20821.40,21210.00,21210.00,21210.00,3.00,25.24,320.00,40.00,-
FINNIFTY,13-Mar-2024,26-Mar-2024,20973.50,21012.45,20757.10,20795.30,20775.00,20795.30,2315.00,19323.86,70400.00,-6680.00,-
FINNIFTY,13-Mar-2024,28-May-2024,21211.15,21299.85,20977.05,21025.10,21025.10,21025.10,8.00,67.63,280.00,80.00,-
FINNIFTY,13-Mar-2024,30-Apr-2024,21145.15,21157.65,20903.05,20948.60,20914.10,20948.60,76.00,639.36,2480.00,-360.00,-
FINNIFTY,12-Mar-2024,28-May-2024,21250.45,21449.80,21250.45,21311.90,21311.90,21197.20,4.00,34.14,200.00,80.00,-
FINNIFTY,12-Mar-2024,30-Apr-2024,21044.60,21290.00,20900.00,21109.60,21101.95,21109.60,95.00,802.38,2840.00,520.00,-
FINNIFTY,12-Mar-2024,26-Mar-2024,20894.90,21125.00,20692.70,20963.75,20955.10,20963.75,10324.00,86533.60,77080.00,-12400.00,-
FINNIFTY,11-Mar-2024,26-Mar-2024,21020.40,21056.60,20880.00,20898.65,20880.00,20898.65,2086.00,17478.10,89480.00,3200.00,-
FINNIFTY,11-Mar-2024,30-Apr-2024,21250.65,21250.65,21007.75,21044.60,21048.80,21044.60,41.00,346.39,2320.00,-600.00,-
FINNIFTY,11-Mar-2024,28-May-2024,21234.35,21316.05,21234.35,21270.70,21270.70,21270.70,3.00,25.53,120.00,40.00,-
FINNIFTY,07-Mar-2024,30-Apr-2024,21300.00,21300.00,21153.50,21218.35,21244.65,21218.35,27.00,229.31,2920.00,-80.00,-
FINNIFTY,07-Mar-2024,26-Mar-2024,21076.20,21119.70,21013.65,21049.25,21037.20,21049.25,917.00,7725.85,86280.00,4080.00,-
FINNIFTY,07-Mar-2024,28-May-2024,20724.25,20724.25,20724.25,20724.25,20724.25,21326.80,1.00,8.29,80.00,40.00,-
FINNIFTY,06-Mar-2024,30-Apr-2024,21106.10,21294.95,20950.00,21253.20,21294.95,21253.20,53.00,449.35,3000.00,560.00,-
FINNIFTY,06-Mar-2024,28-May-2024,-,-,-,20933.55,20933.55,21310.75,-,-,40.00,-,-
FINNIFTY,06-Mar-2024,26-Mar-2024,20916.05,21151.90,20915.55,21063.75,21056.30,21063.75,3026.00,25501.68,82200.00,-3360.00,-
FINNIFTY,05-Mar-2024,26-Mar-2024,20960.00,21062.55,20910.00,20973.50,20996.85,20973.50,4767.00,40008.00,85560.00,20800.00,-
FINNIFTY,05-Mar-2024,30-Apr-2024,21091.55,21367.65,21064.60,21116.50,21129.25,21116.50,74.00,625.23,2440.00,-120.00,-
FINNIFTY,05-Mar-2024,28-May-2024,-,-,-,20933.55,20933.55,21181.00,-,-,40.00,-,-
FINNIFTY,04-Mar-2024,28-May-2024,20933.55,20933.55,20933.55,20933.55,20933.55,21258.80,1.00,8.37,40.00,40.00,-
FINNIFTY,04-Mar-2024,30-Apr-2024,21073.70,21161.20,21073.00,21158.50,21160.00,21158.50,21.00,177.38,2560.00,80.00,-
FINNIFTY,04-Mar-2024,26-Mar-2024,20981.80,21055.50,20909.00,21029.10,21022.50,21029.10,2195.00,18425.65,64760.00,-5560.00,-
FINNIFTY,02-Mar-2024,26-Mar-2024,21003.35,21003.35,20924.80,20990.60,20994.00,20990.60,373.00,3128.54,70320.00,3560.00,-
FINNIFTY,02-Mar-2024,30-Apr-2024,21100.00,21178.95,21089.45,21134.55,21090.15,21134.55,4.00,33.78,2480.00,-40.00,-
FINNIFTY,02-Mar-2024,28-May-2024,-,-,-,20933.55,-,21186.40,-,-,-,-,-
FINNIFTY,01-Mar-2024,30-Apr-2024,20800.00,21120.00,20799.95,21108.30,21098.45,21108.30,81.00,680.67,2520.00,920.00,-
FINNIFTY,01-Mar-2024,26-Mar-2024,20616.90,20969.90,20608.35,20953.90,20961.75,20953.90,2628.00,21889.44,66760.00,15480.00,-
FINNIFTY,01-Mar-2024,28-May-2024,-,-,-,20933.55,-,21184.65,-,-,-,-,-
FINNIFTY,29-Feb-2024,30-Apr-2024,20589.50,20735.30,20502.15,20706.85,20735.30,20706.85,45.00,371.46,1600.00,240.00,-
FINNIFTY,29-Feb-2024,28-May-2024,-,-,-,20933.55,-,20746.55,-,-,-,-,-
FINNIFTY,29-Feb-2024,26-Mar-2024,20423.50,20582.50,20360.40,20564.20,20570.15,20564.20,1241.00,10168.10,51280.00,-2760.00,-
FINNIFTY,28-Feb-2024,28-May-2024,-,-,-,20933.55,-,20681.80,-,-,-,-,-
FINNIFTY,28-Feb-2024,30-Apr-2024,20802.15,20802.15,20401.90,20589.50,20401.90,20589.50,44.00,363.21,1360.00,80.00,-
FINNIFTY,28-Feb-2024,26-Mar-2024,20661.25,20735.20,20405.00,20442.15,20405.00,20442.15,2122.00,17458.80,54040.00,9080.00,-
FINNIFTY,27-Feb-2024,27-Feb-2024,20590.00,20640.00,20500.15,20554.30,20554.95,20552.90,9796.00,80620.26,234560.00,126680.00,-
