Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
FINNIFTY,30-Sep-2024,26-Nov-2024,25175.05,25175.05,24786.00,24795.65,24786.00,24795.65,188.00,1170.19,5250.00,75.00,-
FINNIFTY,30-Sep-2024,31-Dec-2024,-,-,-,25376.20,-,24934.95,-,-,-,-,-
FINNIFTY,30-Sep-2024,29-Oct-2024,25040.05,25040.05,24655.45,24673.10,24671.00,24673.10,3839.00,23773.21,89175.00,-8450.00,-
FINNIFTY,27-Sep-2024,31-Dec-2024,-,-,-,25376.20,-,25385.10,-,-,-,-,-
FINNIFTY,27-Sep-2024,26-Nov-2024,25335.05,25349.90,25175.10,25214.90,25205.65,25214.90,121.00,764.59,5175.00,225.00,-
FINNIFTY,27-Sep-2024,29-Oct-2024,25235.25,25255.95,25061.40,25099.20,25088.90,25099.20,2457.00,15451.36,97625.00,1075.00,-
FINNIFTY,26-Sep-2024,31-Dec-2024,-,-,-,25376.20,-,25643.10,-,-,-,-,-
FINNIFTY,26-Sep-2024,29-Oct-2024,25105.10,25299.00,25105.10,25246.30,25234.45,25246.30,1615.00,10172.20,96550.00,1650.00,-
FINNIFTY,26-Sep-2024,26-Nov-2024,25250.00,25376.95,25219.95,25335.00,25334.00,25335.00,175.00,1106.92,4950.00,175.00,-
FINNIFTY,25-Sep-2024,26-Nov-2024,25088.95,25206.20,25076.40,25195.60,25196.00,25195.60,130.00,817.80,4775.00,975.00,-
FINNIFTY,25-Sep-2024,29-Oct-2024,25000.00,25120.10,24950.00,25105.10,25101.40,25105.10,2135.00,13373.04,94900.00,12100.00,-
FINNIFTY,25-Sep-2024,31-Dec-2024,-,-,-,25376.20,-,25477.25,-,-,-,-,-
FINNIFTY,24-Sep-2024,26-Nov-2024,25209.10,25246.00,25117.55,25149.30,25130.00,25149.30,145.00,912.46,3800.00,800.00,-
FINNIFTY,24-Sep-2024,24-Sep-2024,24915.05,25080.80,24846.70,24881.10,24888.10,24883.65,8826.00,54992.06,73150.00,16925.00,-
FINNIFTY,24-Sep-2024,29-Oct-2024,25045.45,25159.95,25004.00,25037.55,25017.55,25037.55,3802.00,23827.69,82800.00,17275.00,-
FINNIFTY,23-Sep-2024,29-Oct-2024,24872.00,25130.45,24872.00,25081.80,25067.55,25081.80,1553.00,9718.24,65525.00,18650.00,-
FINNIFTY,23-Sep-2024,24-Sep-2024,24778.55,25003.25,24770.00,24939.20,24913.00,24939.20,3569.00,22220.83,56225.00,-9300.00,-
FINNIFTY,23-Sep-2024,26-Nov-2024,25058.20,25301.90,25045.00,25209.10,25180.60,25209.10,90.00,565.70,3000.00,550.00,-
FINNIFTY,20-Sep-2024,24-Sep-2024,24522.30,24726.75,24430.00,24697.20,24719.95,24697.20,5511.00,33869.08,65525.00,9250.00,-
FINNIFTY,20-Sep-2024,29-Oct-2024,24606.80,24846.00,24533.95,24822.60,24829.70,24822.60,1626.00,10049.02,46875.00,23050.00,-
FINNIFTY,20-Sep-2024,26-Nov-2024,24702.10,25045.35,24671.95,24898.75,25045.35,24898.75,98.00,608.22,2450.00,425.00,-
FINNIFTY,19-Sep-2024,29-Oct-2024,24371.95,24690.00,24371.95,24562.65,24585.80,24562.65,943.00,5785.76,23825.00,3600.00,-
FINNIFTY,19-Sep-2024,24-Sep-2024,24471.70,24620.15,24350.00,24471.70,24490.20,24471.70,3105.00,18991.80,56275.00,-100.00,-
FINNIFTY,19-Sep-2024,26-Nov-2024,24500.00,24796.50,24500.00,24691.75,24702.40,24691.75,49.00,302.33,2025.00,450.00,-
FINNIFTY,18-Sep-2024,29-Oct-2024,24150.00,24516.85,24150.00,24402.75,24390.00,24402.75,841.00,5124.87,20225.00,6250.00,-
FINNIFTY,18-Sep-2024,26-Nov-2024,24327.70,24610.30,24327.70,24477.45,24430.05,24477.45,110.00,673.59,1575.00,600.00,-
FINNIFTY,18-Sep-2024,24-Sep-2024,24075.00,24434.95,24031.55,24325.55,24336.65,24325.55,4729.00,28682.98,56375.00,-8700.00,-
FINNIFTY,17-Sep-2024,24-Sep-2024,24005.80,24072.45,23967.95,24038.40,24045.00,24038.40,8922.00,53606.88,65075.00,3900.00,-
FINNIFTY,17-Sep-2024,26-Nov-2024,23968.00,24341.65,23968.00,24240.55,24267.70,24240.55,52.00,315.38,975.00,-250.00,-
FINNIFTY,17-Sep-2024,29-Oct-2024,24109.95,24154.95,24071.95,24135.35,24134.00,24135.35,379.00,2284.72,13975.00,4050.00,-
FINNIFTY,16-Sep-2024,29-Oct-2024,24141.25,24230.00,24110.00,24148.60,24161.00,24148.60,370.00,2234.64,9925.00,3600.00,-
FINNIFTY,16-Sep-2024,24-Sep-2024,24008.00,24108.00,23970.00,24037.10,24032.55,24037.10,3002.00,18042.71,61175.00,-5725.00,-
FINNIFTY,16-Sep-2024,26-Nov-2024,24200.00,24344.90,24200.00,24272.75,24274.35,24272.75,33.00,200.23,1225.00,-100.00,-
FINNIFTY,13-Sep-2024,24-Sep-2024,23945.00,24023.95,23877.85,23978.45,23981.90,23978.45,2030.00,12166.17,66900.00,-4200.00,-
FINNIFTY,13-Sep-2024,26-Nov-2024,24180.20,24257.95,24092.85,24222.30,24222.30,24222.30,47.00,284.38,1325.00,675.00,-
FINNIFTY,13-Sep-2024,29-Oct-2024,24055.75,24135.70,24015.00,24088.25,24094.00,24088.25,204.00,1228.71,6325.00,350.00,-
