Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
FINNIFTY,31-Dec-2024,25-Mar-2025,-,-,-,-,-,-,-,-,-,-,-
FINNIFTY,31-Dec-2024,28-Jan-2025,23887.95,23888.00,23624.75,23730.55,23741.10,23730.55,2854.00,16920.00,49650.00,23800.00,-
FINNIFTY,31-Dec-2024,25-Feb-2025,24064.80,24064.80,23801.60,23812.15,23812.15,23812.15,18.00,279.70,1300.00,585.00,-
FINNIFTY,31-Dec-2024,31-Dec-2024,23455.05,23567.00,23455.00,23513.60,23511.75,23512.80,2653.00,15594.12,40550.00,-7400.00,-
FINNIFTY,30-Dec-2024,31-Dec-2024,23736.75,24048.90,23522.00,23611.85,23640.60,23611.85,3525.00,20927.03,47950.00,3925.00,-
FINNIFTY,30-Dec-2024,25-Feb-2025,24274.80,24274.80,24274.80,24274.80,24274.80,24274.80,2.00,31.56,715.00,65.00,-
FINNIFTY,30-Dec-2024,28-Jan-2025,23933.70,24180.15,23681.00,23772.10,23801.15,23772.10,2075.00,12399.08,25850.00,5675.00,-
FINNIFTY,27-Dec-2024,28-Jan-2025,23975.50,24087.05,23918.85,23963.45,23974.95,23963.45,800.00,4797.02,20175.00,1925.00,-
FINNIFTY,27-Dec-2024,31-Dec-2024,23842.00,23949.30,23781.00,23823.80,23838.55,23823.80,1430.00,8530.88,44025.00,-1825.00,-
FINNIFTY,27-Dec-2024,25-Feb-2025,-,-,-,24274.80,24274.80,24053.40,-,-,650.00,-,-
FINNIFTY,26-Dec-2024,31-Dec-2024,23942.95,23995.00,23656.20,23803.50,23813.20,23803.50,1815.00,10807.70,45850.00,-7825.00,-
FINNIFTY,26-Dec-2024,25-Feb-2025,24301.70,24301.70,24201.70,24274.80,24274.80,24013.15,5.00,78.82,650.00,325.00,-
FINNIFTY,26-Dec-2024,28-Jan-2025,24034.50,24126.85,23821.00,23938.60,23938.10,23938.60,653.00,3912.92,18250.00,3375.00,-
FINNIFTY,24-Dec-2024,25-Feb-2025,24511.70,24511.70,24511.70,24511.70,24511.70,24015.80,1.00,15.93,325.00,-,-
FINNIFTY,24-Dec-2024,31-Dec-2024,23823.60,23874.05,23732.85,23818.45,23825.00,23818.45,2612.00,15555.90,53675.00,-30125.00,-
