Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
MIDCPNIFTY,28-Jun-2024,30-Sep-2024,12305.00,12329.90,12153.65,12267.60,12267.60,12267.60,14.00,85.99,950.00,250.00,-
MIDCPNIFTY,28-Jun-2024,29-Jul-2024,12270.05,12350.00,12212.15,12239.40,12225.55,12239.40,8211.00,50318.14,1979600.00,-7950.00,-
MIDCPNIFTY,28-Jun-2024,26-Aug-2024,12279.45,12321.15,12230.75,12253.70,12242.65,12253.70,189.00,1159.73,17600.00,1200.00,-
MIDCPNIFTY,27-Jun-2024,30-Sep-2024,12300.00,12470.50,12200.00,12300.00,12300.00,12300.00,16.00,98.30,700.00,600.00,-
MIDCPNIFTY,27-Jun-2024,29-Jul-2024,12269.00,12350.00,12126.00,12270.00,12264.95,12270.00,13605.00,83267.54,1987550.00,78900.00,-
MIDCPNIFTY,27-Jun-2024,26-Aug-2024,12286.00,12350.00,12150.00,12282.70,12271.05,12282.70,365.00,2236.31,16400.00,-1050.00,-
MIDCPNIFTY,26-Jun-2024,30-Sep-2024,12300.00,12500.00,12300.00,12500.00,12500.00,12489.20,2.00,12.40,100.00,100.00,-
MIDCPNIFTY,26-Jun-2024,26-Aug-2024,12290.00,12375.00,12264.00,12286.40,12277.75,12286.40,214.00,1318.53,17450.00,1050.00,-
MIDCPNIFTY,26-Jun-2024,29-Jul-2024,12316.30,12374.00,12230.00,12273.15,12265.00,12273.15,8791.00,54045.06,1908650.00,56250.00,-
MIDCPNIFTY,25-Jun-2024,30-Sep-2024,-,-,-,12518.90,-,12522.70,-,-,-,-,-
MIDCPNIFTY,25-Jun-2024,29-Jul-2024,12342.00,12382.25,12243.00,12291.60,12290.00,12291.60,10106.00,62174.93,1852400.00,4650.00,-
MIDCPNIFTY,25-Jun-2024,26-Aug-2024,12359.90,12395.25,12255.00,12296.90,12293.80,12296.90,305.00,1877.67,16400.00,800.00,-
MIDCPNIFTY,24-Jun-2024,29-Jul-2024,12102.80,12350.00,12012.40,12303.65,12337.00,12303.65,29538.00,180750.19,1847750.00,922200.00,-
MIDCPNIFTY,24-Jun-2024,24-Jun-2024,12109.95,12306.35,12008.85,12273.50,12277.70,12275.90,27220.00,249585.04,814950.00,-323400.00,-
MIDCPNIFTY,24-Jun-2024,26-Aug-2024,12150.00,12359.80,12033.70,12323.95,12348.80,12323.95,344.00,2105.82,15600.00,4400.00,-
MIDCPNIFTY,21-Jun-2024,29-Jul-2024,12191.85,12305.05,12132.55,12163.35,12151.00,12163.35,13370.00,81497.94,925550.00,432750.00,-
MIDCPNIFTY,21-Jun-2024,24-Jun-2024,12196.80,12252.45,12138.20,12169.15,12145.00,12169.15,16035.00,146640.57,1138350.00,-339675.00,-
MIDCPNIFTY,21-Jun-2024,26-Aug-2024,12200.00,12251.00,12164.40,12169.95,12164.40,12169.95,75.00,457.59,11200.00,1150.00,-
MIDCPNIFTY,20-Jun-2024,24-Jun-2024,12001.35,12156.90,11992.00,12139.55,12148.75,12139.55,11894.00,107999.98,1478025.00,-280275.00,-
MIDCPNIFTY,20-Jun-2024,29-Jul-2024,11985.05,12142.00,11950.05,12126.25,12139.15,12126.25,9479.00,57309.35,492800.00,265100.00,-
MIDCPNIFTY,20-Jun-2024,26-Aug-2024,11990.15,12142.80,11990.15,12131.95,12142.80,12131.95,82.00,495.91,10050.00,100.00,-
MIDCPNIFTY,19-Jun-2024,24-Jun-2024,12127.20,12155.80,11935.00,12001.95,11998.00,12001.95,13547.00,122303.08,1758300.00,48525.00,-
MIDCPNIFTY,19-Jun-2024,29-Jul-2024,12114.70,12149.90,11922.25,11984.90,11992.90,11984.90,4266.00,25657.54,227700.00,108050.00,-
MIDCPNIFTY,19-Jun-2024,26-Aug-2024,12145.00,12151.80,11951.25,11990.15,12009.35,11990.15,201.00,1210.08,9950.00,2700.00,-
MIDCPNIFTY,18-Jun-2024,24-Jun-2024,12134.95,12135.00,12035.00,12113.45,12117.00,12113.45,4662.00,42269.52,1709775.00,-4800.00,-
MIDCPNIFTY,18-Jun-2024,29-Jul-2024,12099.95,12150.00,12050.05,12108.95,12114.70,12108.95,1719.00,10386.67,119650.00,50150.00,-
MIDCPNIFTY,18-Jun-2024,26-Aug-2024,12109.00,12123.65,12063.80,12113.45,12122.85,12113.45,80.00,483.53,7250.00,200.00,-
MIDCPNIFTY,14-Jun-2024,29-Jul-2024,11960.00,12078.00,11946.05,12060.40,12063.35,12060.40,726.00,4364.69,69500.00,8700.00,-
MIDCPNIFTY,14-Jun-2024,26-Aug-2024,11950.90,12074.95,11950.00,12063.40,12061.00,12063.40,160.00,960.79,7050.00,300.00,-
MIDCPNIFTY,14-Jun-2024,24-Jun-2024,11946.95,12100.05,11937.25,12044.95,12061.55,12044.95,11174.00,100744.18,1714575.00,112350.00,-
MIDCPNIFTY,13-Jun-2024,29-Jul-2024,11945.95,11989.75,11906.50,11956.55,11964.80,11956.55,837.00,5003.45,60800.00,10100.00,-
MIDCPNIFTY,13-Jun-2024,24-Jun-2024,11935.00,11981.15,11896.25,11945.95,11946.80,11945.95,5547.00,49690.00,1602225.00,15450.00,-
MIDCPNIFTY,13-Jun-2024,26-Aug-2024,11973.85,12014.80,11914.00,11965.10,11965.10,11965.10,193.00,1154.22,6750.00,2300.00,-
MIDCPNIFTY,12-Jun-2024,24-Jun-2024,11768.45,11910.25,11768.45,11886.90,11889.90,11886.90,5983.00,53279.58,1586775.00,44400.00,-
MIDCPNIFTY,12-Jun-2024,26-Aug-2024,11795.35,11916.45,11795.35,11910.60,11911.00,11910.60,68.00,404.11,4450.00,1500.00,-
MIDCPNIFTY,12-Jun-2024,29-Jul-2024,11775.95,11920.00,11775.95,11895.20,11893.00,11895.20,490.00,2911.05,50700.00,5000.00,-
MIDCPNIFTY,11-Jun-2024,26-Aug-2024,11848.85,11848.85,11635.55,11795.35,11799.40,11795.35,52.00,306.58,2950.00,700.00,-
MIDCPNIFTY,11-Jun-2024,29-Jul-2024,11754.90,11820.00,11625.05,11780.75,11776.00,11780.75,587.00,3455.22,45700.00,-,-
MIDCPNIFTY,11-Jun-2024,24-Jun-2024,11664.75,11812.00,11643.85,11765.05,11763.50,11765.05,7428.00,65492.38,1542375.00,107325.00,-
MIDCPNIFTY,10-Jun-2024,29-Jul-2024,11849.95,11850.00,11631.00,11695.80,11655.00,11695.80,790.00,4626.66,45700.00,4400.00,-
MIDCPNIFTY,10-Jun-2024,24-Jun-2024,11800.80,11853.75,11618.05,11681.15,11645.00,11681.15,15104.00,132519.13,1435050.00,11700.00,-
MIDCPNIFTY,10-Jun-2024,26-Aug-2024,11850.00,11850.00,11600.00,11703.95,11623.30,11703.95,65.00,379.92,2250.00,1500.00,-
MIDCPNIFTY,07-Jun-2024,29-Jul-2024,11639.95,11798.95,11552.00,11783.80,11795.00,11783.80,430.00,2519.98,41300.00,-2650.00,-
MIDCPNIFTY,07-Jun-2024,26-Aug-2024,11600.00,11819.95,11600.00,11792.60,11819.95,11792.60,25.00,146.88,750.00,300.00,-
MIDCPNIFTY,07-Jun-2024,24-Jun-2024,11607.25,11785.00,11570.90,11770.60,11766.10,11770.60,7846.00,68922.64,1423350.00,19725.00,-
MIDCPNIFTY,06-Jun-2024,24-Jun-2024,11451.30,11679.95,11451.30,11596.60,11614.00,11596.60,9988.00,86819.65,1403625.00,71475.00,-
MIDCPNIFTY,06-Jun-2024,29-Jul-2024,11500.05,11696.95,11452.05,11617.00,11630.00,11617.00,332.00,1928.21,43950.00,550.00,-
MIDCPNIFTY,06-Jun-2024,26-Aug-2024,11600.00,11600.00,11600.00,11600.00,11600.00,11600.00,1.00,5.80,450.00,50.00,-
MIDCPNIFTY,05-Jun-2024,24-Jun-2024,10899.95,11500.00,10744.50,11448.50,11457.60,11448.50,17044.00,143106.56,1332150.00,159150.00,-
MIDCPNIFTY,05-Jun-2024,29-Jul-2024,10950.00,11515.00,10751.10,11472.15,11488.00,11472.15,908.00,5113.59,43400.00,12450.00,-
MIDCPNIFTY,05-Jun-2024,26-Aug-2024,10899.95,11507.95,10899.95,11505.00,11507.90,11505.00,9.00,50.99,400.00,100.00,-
MIDCPNIFTY,04-Jun-2024,24-Jun-2024,11750.00,11785.00,10615.65,10812.10,10858.65,10812.10,26305.00,219179.51,1173000.00,-90525.00,-
MIDCPNIFTY,04-Jun-2024,26-Aug-2024,11849.00,11899.00,10750.00,10875.00,10875.00,11022.25,10.00,56.73,300.00,300.00,-
MIDCPNIFTY,04-Jun-2024,29-Jul-2024,11834.50,11849.20,10664.30,10853.25,10855.00,10853.25,730.00,4079.25,30950.00,8350.00,-
MIDCPNIFTY,03-Jun-2024,26-Aug-2024,-,-,-,11887.15,-,11921.65,-,-,-,-,-
MIDCPNIFTY,03-Jun-2024,29-Jul-2024,11800.05,11928.90,11700.75,11849.20,11885.00,11849.20,556.00,3282.41,22600.00,3600.00,-
MIDCPNIFTY,03-Jun-2024,24-Jun-2024,11800.00,11845.00,11649.75,11795.15,11842.00,11795.15,22170.00,195692.92,1263525.00,-439875.00,-
MIDCPNIFTY,31-May-2024,26-Aug-2024,-,-,-,11887.15,-,11557.20,-,-,-,-,-
MIDCPNIFTY,31-May-2024,24-Jun-2024,11427.70,11476.60,11331.00,11414.65,11444.00,11414.65,11699.00,100057.08,1703400.00,-82050.00,-
MIDCPNIFTY,31-May-2024,29-Jul-2024,11449.65,11517.25,11375.00,11448.35,11490.00,11448.35,239.00,1366.28,19000.00,800.00,-
MIDCPNIFTY,30-May-2024,26-Aug-2024,-,-,-,11887.15,-,11539.60,-,-,-,-,-
MIDCPNIFTY,30-May-2024,29-Jul-2024,11590.00,11599.95,11400.00,11423.20,11449.65,11423.20,356.00,2044.00,18200.00,3850.00,-
MIDCPNIFTY,30-May-2024,24-Jun-2024,11560.10,11570.00,11360.15,11384.90,11395.60,11384.90,7494.00,64343.94,1785450.00,-114900.00,-
MIDCPNIFTY,29-May-2024,24-Jun-2024,11600.75,11644.30,11513.85,11572.65,11575.00,11572.65,5639.00,48984.65,1900350.00,11850.00,-
MIDCPNIFTY,29-May-2024,26-Aug-2024,-,-,-,11887.15,-,11732.55,-,-,-,-,-
MIDCPNIFTY,29-May-2024,29-Jul-2024,11614.95,11680.00,11565.00,11608.60,11620.00,11608.60,76.00,441.55,14350.00,1350.00,-
MIDCPNIFTY,28-May-2024,29-Jul-2024,11745.00,11853.00,11600.00,11656.20,11639.00,11656.20,218.00,1279.04,13000.00,350.00,-
MIDCPNIFTY,28-May-2024,24-Jun-2024,11737.95,11759.00,11550.00,11611.70,11601.35,11611.70,7663.00,66983.00,1888500.00,67500.00,-
MIDCPNIFTY,28-May-2024,26-Aug-2024,-,-,-,11887.15,-,11792.80,-,-,-,-,-
MIDCPNIFTY,27-May-2024,24-Jun-2024,11477.55,11792.45,11474.35,11706.20,11712.00,11706.20,19943.00,174552.96,1821000.00,548100.00,-
MIDCPNIFTY,27-May-2024,27-May-2024,11469.25,11795.00,11467.70,11679.35,11672.50,11673.05,20074.00,175653.13,611775.00,-473775.00,-
