Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
MIDCPNIFTY,28-Mar-2024,24-Jun-2024,-,-,-,10597.15,-,10698.00,-,-,-,-,-
MIDCPNIFTY,28-Mar-2024,27-May-2024,10562.05,10621.00,10515.00,10557.90,10571.70,10557.90,101.00,801.01,11025.00,75.00,-
MIDCPNIFTY,28-Mar-2024,29-Apr-2024,10570.00,10611.45,10496.00,10549.60,10551.30,10549.60,9951.00,78803.49,1560600.00,63450.00,-
MIDCPNIFTY,27-Mar-2024,29-Apr-2024,10561.90,10612.50,10502.05,10528.95,10556.45,10528.95,8621.00,68277.26,1497150.00,53100.00,-
MIDCPNIFTY,27-Mar-2024,24-Jun-2024,-,-,-,10597.15,-,10669.00,-,-,-,-,-
MIDCPNIFTY,27-Mar-2024,27-May-2024,10576.00,10612.75,10497.00,10544.50,10562.00,10544.50,118.00,935.66,10950.00,2700.00,-
MIDCPNIFTY,26-Mar-2024,29-Apr-2024,10406.25,10562.90,10400.00,10540.90,10544.00,10540.90,6640.00,52286.15,1444050.00,52050.00,-
MIDCPNIFTY,26-Mar-2024,24-Jun-2024,-,-,-,10597.15,-,10674.95,-,-,-,-,-
MIDCPNIFTY,26-Mar-2024,27-May-2024,10420.00,10558.05,10419.30,10548.45,10556.10,10548.45,86.00,676.45,8250.00,600.00,-
MIDCPNIFTY,22-Mar-2024,27-May-2024,10418.30,10466.75,10381.15,10454.55,10455.85,10454.55,56.00,438.48,7650.00,1200.00,-
MIDCPNIFTY,22-Mar-2024,24-Jun-2024,-,-,-,-,-,-,-,-,-,-,-
MIDCPNIFTY,22-Mar-2024,22-Mar-2024,10428.00,10428.00,10357.65,10400.95,10402.70,10402.10,9108.00,71011.48,675600.00,-77625.00,-
MIDCPNIFTY,22-Mar-2024,29-Apr-2024,10398.00,10453.85,10369.65,10442.45,10452.00,10442.45,10033.00,78424.17,1392000.00,159825.00,-
MIDCPNIFTY,21-Mar-2024,27-May-2024,10265.00,10469.75,10265.00,10446.65,10464.95,10446.65,115.00,894.05,6450.00,-1575.00,-
MIDCPNIFTY,21-Mar-2024,29-Apr-2024,10205.00,10457.05,10205.00,10442.35,10450.05,10442.35,13316.00,103394.15,1232175.00,573225.00,-
MIDCPNIFTY,21-Mar-2024,22-Mar-2024,10201.00,10448.55,10201.00,10437.30,10441.45,10437.30,17420.00,135173.45,753225.00,-361275.00,-
MIDCPNIFTY,20-Mar-2024,29-Apr-2024,10230.00,10287.00,10085.00,10162.05,10177.20,10162.05,11087.00,84511.51,658950.00,477975.00,-
MIDCPNIFTY,20-Mar-2024,27-May-2024,10260.00,10314.65,10127.50,10175.75,10175.00,10175.75,69.00,527.06,8025.00,900.00,-
MIDCPNIFTY,20-Mar-2024,22-Mar-2024,10180.00,10235.75,10059.00,10151.35,10159.90,10151.35,19914.00,151561.79,1114500.00,-555900.00,-
MIDCPNIFTY,19-Mar-2024,22-Mar-2024,10320.05,10320.05,10127.05,10158.90,10137.00,10158.90,14684.00,112241.63,1670400.00,-9825.00,-
MIDCPNIFTY,19-Mar-2024,29-Apr-2024,10345.00,10356.80,10181.00,10207.05,10190.55,10207.05,2667.00,20475.25,180975.00,61125.00,-
MIDCPNIFTY,19-Mar-2024,27-May-2024,10323.00,10374.45,10200.00,10224.55,10218.00,10224.55,74.00,569.49,7125.00,1125.00,-
