Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
MIDCPNIFTY,30-Sep-2024,30-Sep-2024,13348.15,13369.85,13179.20,13224.65,13225.30,13223.35,15677.00,103868.25,285900.00,-143500.00,-
MIDCPNIFTY,30-Sep-2024,30-Dec-2024,-,-,-,-,-,-,-,-,-,-,-
MIDCPNIFTY,30-Sep-2024,28-Oct-2024,13380.05,13424.65,13242.30,13285.55,13299.95,13285.55,31690.00,210711.79,2304850.00,584450.00,-
MIDCPNIFTY,30-Sep-2024,25-Nov-2024,13400.00,13459.65,13280.85,13326.85,13333.00,13326.85,1561.00,10412.69,56950.00,27850.00,-
MIDCPNIFTY,27-Sep-2024,30-Sep-2024,13276.90,13377.15,13271.20,13348.20,13330.00,13348.20,13850.00,92415.31,429400.00,-295500.00,-
MIDCPNIFTY,27-Sep-2024,28-Oct-2024,13349.50,13445.95,13335.45,13407.35,13405.00,13407.35,14983.00,100435.39,1720400.00,207500.00,-
MIDCPNIFTY,27-Sep-2024,25-Nov-2024,13399.30,13478.00,13362.05,13440.00,13436.00,13440.00,578.00,3880.63,29100.00,3850.00,-
MIDCPNIFTY,26-Sep-2024,25-Nov-2024,13353.35,13370.00,13280.00,13355.75,13361.00,13355.75,277.00,1845.16,25250.00,2350.00,-
MIDCPNIFTY,26-Sep-2024,30-Sep-2024,13286.15,13318.65,13173.80,13271.65,13261.20,13271.65,14252.00,94266.66,724900.00,-305150.00,-
MIDCPNIFTY,26-Sep-2024,28-Oct-2024,13325.60,13349.00,13240.00,13332.80,13339.70,13332.80,13282.00,88274.21,1512900.00,238050.00,-
MIDCPNIFTY,25-Sep-2024,25-Nov-2024,13372.75,13381.00,13320.00,13353.35,13358.75,13353.35,147.00,980.99,22900.00,300.00,-
MIDCPNIFTY,25-Sep-2024,28-Oct-2024,13325.75,13360.40,13285.00,13323.50,13325.50,13323.50,10906.00,72579.93,1274850.00,346950.00,-
MIDCPNIFTY,25-Sep-2024,30-Sep-2024,13278.00,13288.85,13213.75,13257.55,13250.15,13257.55,12973.00,85910.60,1030050.00,-271700.00,-
MIDCPNIFTY,24-Sep-2024,30-Sep-2024,13229.75,13310.00,13200.00,13285.75,13283.00,13285.75,11981.00,79510.34,1301750.00,-228500.00,-
MIDCPNIFTY,24-Sep-2024,25-Nov-2024,13320.00,13395.00,13312.90,13383.95,13389.70,13383.95,207.00,1383.52,22600.00,100.00,-
MIDCPNIFTY,24-Sep-2024,28-Oct-2024,13313.60,13379.30,13263.65,13354.65,13358.45,13354.65,8632.00,57593.56,927900.00,169950.00,-
MIDCPNIFTY,23-Sep-2024,28-Oct-2024,13210.85,13320.00,13208.70,13293.25,13303.95,13293.25,10345.00,68730.28,757950.00,316900.00,-
MIDCPNIFTY,23-Sep-2024,25-Nov-2024,13263.20,13361.60,13238.55,13323.40,13331.00,13323.40,250.00,1663.96,22500.00,-300.00,-
MIDCPNIFTY,23-Sep-2024,30-Sep-2024,13130.00,13252.30,13124.00,13217.60,13234.00,13217.60,30224.00,199744.95,1530250.00,-544250.00,-
MIDCPNIFTY,20-Sep-2024,25-Nov-2024,13208.05,13265.80,13120.00,13224.90,13216.95,13224.90,255.00,1681.97,22800.00,1450.00,-
MIDCPNIFTY,20-Sep-2024,28-Oct-2024,13192.00,13245.80,13072.40,13192.70,13195.00,13192.70,6518.00,42862.70,441050.00,135250.00,-
MIDCPNIFTY,20-Sep-2024,30-Sep-2024,13149.95,13183.80,13007.65,13118.55,13118.60,13118.55,21628.00,141607.42,2074500.00,-99400.00,-
MIDCPNIFTY,19-Sep-2024,30-Sep-2024,13179.65,13312.35,12887.30,13100.15,13125.00,13100.15,30381.00,198641.31,2173900.00,67750.00,-
MIDCPNIFTY,19-Sep-2024,25-Nov-2024,13346.35,13379.95,12980.95,13191.60,13202.00,13191.60,574.00,3768.17,21350.00,-1050.00,-
MIDCPNIFTY,19-Sep-2024,28-Oct-2024,13245.00,13360.00,12952.15,13157.70,13200.00,13157.70,8523.00,55880.70,305800.00,160600.00,-
MIDCPNIFTY,18-Sep-2024,30-Sep-2024,13280.05,13284.90,13063.15,13152.85,13138.00,13152.85,10620.00,69991.08,2106150.00,-44350.00,-
MIDCPNIFTY,18-Sep-2024,28-Oct-2024,13336.70,13336.75,13115.85,13204.30,13196.00,13204.30,2095.00,13852.59,145200.00,650.00,-
MIDCPNIFTY,18-Sep-2024,25-Nov-2024,13352.15,13352.15,13146.30,13229.45,13227.05,13229.45,168.00,1112.21,22400.00,2050.00,-
MIDCPNIFTY,17-Sep-2024,30-Sep-2024,13313.85,13339.95,13216.25,13304.75,13301.90,13304.75,8543.00,56764.80,2150500.00,-18750.00,-
MIDCPNIFTY,17-Sep-2024,25-Nov-2024,13337.15,13389.50,13288.00,13368.55,13362.40,13368.55,105.00,700.66,20350.00,1050.00,-
MIDCPNIFTY,17-Sep-2024,28-Oct-2024,13343.90,13379.95,13267.05,13350.85,13343.20,13350.85,1500.00,9995.90,144550.00,1950.00,-
MIDCPNIFTY,16-Sep-2024,28-Oct-2024,13421.85,13465.20,13333.55,13354.45,13355.00,13354.45,1556.00,10407.91,142600.00,-2350.00,-
MIDCPNIFTY,16-Sep-2024,25-Nov-2024,13424.00,13479.95,13350.00,13365.60,13378.50,13365.60,176.00,1179.48,19300.00,1550.00,-
MIDCPNIFTY,16-Sep-2024,30-Sep-2024,13380.45,13428.15,13287.95,13313.10,13315.95,13313.10,15426.00,102846.37,2169250.00,32500.00,-
MIDCPNIFTY,13-Sep-2024,30-Sep-2024,13310.00,13394.60,13292.30,13355.20,13356.30,13355.20,6698.00,44711.19,2136750.00,5800.00,-
MIDCPNIFTY,13-Sep-2024,25-Nov-2024,13342.25,13436.05,13342.25,13403.25,13400.25,13403.25,174.00,1165.22,17750.00,3550.00,-
MIDCPNIFTY,13-Sep-2024,28-Oct-2024,13332.80,13430.70,13332.80,13391.15,13389.95,13391.15,1247.00,8346.06,144950.00,15150.00,-
MIDCPNIFTY,12-Sep-2024,28-Oct-2024,13203.40,13335.00,13199.95,13326.45,13326.35,13326.45,1121.00,7446.55,129800.00,4300.00,-
MIDCPNIFTY,12-Sep-2024,30-Sep-2024,13161.40,13301.70,13160.00,13290.85,13292.45,13290.85,10509.00,69575.46,2130950.00,-31300.00,-
MIDCPNIFTY,12-Sep-2024,25-Nov-2024,13267.85,13348.80,13230.05,13340.85,13342.25,13340.85,129.00,857.62,14200.00,250.00,-
MIDCPNIFTY,11-Sep-2024,25-Nov-2024,13260.05,13310.00,13150.00,13167.85,13182.30,13167.85,109.00,722.64,13950.00,1750.00,-
MIDCPNIFTY,11-Sep-2024,30-Sep-2024,13211.40,13269.40,13095.00,13116.90,13129.00,13116.90,12641.00,83358.02,2162250.00,17800.00,-
MIDCPNIFTY,11-Sep-2024,28-Oct-2024,13248.15,13305.30,13130.05,13153.00,13170.10,13153.00,1009.00,6678.71,125500.00,15700.00,-
MIDCPNIFTY,10-Sep-2024,25-Nov-2024,13197.85,13293.10,13150.25,13258.55,13262.50,13258.55,186.00,1229.78,12200.00,700.00,-
MIDCPNIFTY,10-Sep-2024,28-Oct-2024,13119.10,13275.80,13119.10,13248.15,13260.00,13248.15,1091.00,7207.52,109800.00,-4600.00,-
MIDCPNIFTY,10-Sep-2024,30-Sep-2024,13079.85,13247.70,13079.85,13206.85,13224.25,13206.85,11132.00,73376.99,2144450.00,20450.00,-
MIDCPNIFTY,09-Sep-2024,25-Nov-2024,13100.00,13124.90,13052.95,13109.55,13124.90,13109.55,134.00,876.72,11500.00,1150.00,-
MIDCPNIFTY,09-Sep-2024,30-Sep-2024,13050.05,13080.00,13000.00,13055.45,13079.80,13055.45,10667.00,69553.18,2124000.00,12800.00,-
MIDCPNIFTY,09-Sep-2024,28-Oct-2024,13078.00,13114.35,13036.75,13090.85,13114.35,13090.85,680.00,4445.46,114400.00,5150.00,-
MIDCPNIFTY,06-Sep-2024,28-Oct-2024,13344.35,13344.35,13082.25,13118.90,13128.00,13118.90,1184.00,7816.66,109250.00,10200.00,-
MIDCPNIFTY,06-Sep-2024,25-Nov-2024,13353.45,13353.45,13100.00,13134.75,13130.00,13134.75,165.00,1091.11,10350.00,2200.00,-
MIDCPNIFTY,06-Sep-2024,30-Sep-2024,13304.40,13314.65,13038.65,13076.35,13082.70,13076.35,19256.00,126808.77,2111200.00,25250.00,-
MIDCPNIFTY,05-Sep-2024,25-Nov-2024,13323.35,13374.10,13302.85,13365.00,13365.50,13365.00,189.00,1261.24,8150.00,-250.00,-
MIDCPNIFTY,05-Sep-2024,30-Sep-2024,13263.40,13339.95,13260.50,13324.35,13317.35,13324.35,12103.00,80553.32,2085950.00,-84800.00,-
MIDCPNIFTY,05-Sep-2024,28-Oct-2024,13300.90,13368.75,13291.70,13352.85,13350.00,13352.85,728.00,4855.17,99050.00,17750.00,-
MIDCPNIFTY,04-Sep-2024,25-Nov-2024,13240.70,13300.00,13180.00,13284.80,13295.10,13284.80,104.00,688.65,8400.00,1800.00,-
MIDCPNIFTY,04-Sep-2024,28-Oct-2024,13200.00,13292.00,13169.50,13279.45,13285.10,13279.45,638.00,4222.05,81300.00,10000.00,-
MIDCPNIFTY,04-Sep-2024,30-Sep-2024,13199.00,13266.25,13135.15,13253.65,13252.00,13253.65,10896.00,71916.61,2170750.00,5050.00,-
MIDCPNIFTY,03-Sep-2024,30-Sep-2024,13205.00,13279.80,13192.10,13259.95,13261.50,13259.95,7723.00,51182.72,2165700.00,-6150.00,-
MIDCPNIFTY,03-Sep-2024,25-Nov-2024,13263.20,13323.00,13263.20,13303.10,13297.00,13303.10,116.00,771.35,6600.00,2050.00,-
MIDCPNIFTY,03-Sep-2024,28-Oct-2024,13220.00,13299.25,13220.00,13282.85,13278.60,13282.85,420.00,2788.04,71300.00,-1200.00,-
MIDCPNIFTY,02-Sep-2024,25-Nov-2024,13291.30,13291.30,13215.00,13242.60,13241.80,13242.60,51.00,337.84,4550.00,1450.00,-
MIDCPNIFTY,02-Sep-2024,30-Sep-2024,13241.05,13248.95,13171.05,13196.10,13200.55,13196.10,9532.00,62976.05,2171850.00,75000.00,-
MIDCPNIFTY,02-Sep-2024,28-Oct-2024,13256.25,13267.90,13203.30,13221.75,13224.00,13221.75,402.00,2660.87,72500.00,4950.00,-
MIDCPNIFTY,30-Aug-2024,25-Nov-2024,13196.25,13265.00,13184.00,13240.00,13243.75,13240.00,115.00,760.67,3100.00,-800.00,-
MIDCPNIFTY,30-Aug-2024,28-Oct-2024,13151.00,13310.90,13151.00,13236.10,13247.00,13236.10,1191.00,7869.26,67550.00,13350.00,-
MIDCPNIFTY,30-Aug-2024,30-Sep-2024,13140.00,13234.00,13140.00,13213.70,13231.80,13213.70,9917.00,65436.00,2096850.00,65950.00,-
MIDCPNIFTY,29-Aug-2024,30-Sep-2024,13116.85,13144.35,13042.00,13120.05,13135.05,13120.05,11173.00,73121.34,2030900.00,21050.00,-
MIDCPNIFTY,29-Aug-2024,28-Oct-2024,13101.25,13155.30,13060.05,13138.05,13151.00,13138.05,646.00,4234.08,54200.00,6450.00,-
MIDCPNIFTY,29-Aug-2024,25-Nov-2024,13170.00,13180.00,13076.75,13150.15,13173.00,13150.15,50.00,328.18,3900.00,1400.00,-
MIDCPNIFTY,28-Aug-2024,30-Sep-2024,13122.00,13171.00,13055.00,13118.75,13110.95,13118.75,12228.00,80313.22,2009850.00,125900.00,-
MIDCPNIFTY,28-Aug-2024,25-Nov-2024,13199.65,13202.90,13137.75,13153.20,13140.00,13153.20,65.00,428.33,2500.00,2500.00,-
MIDCPNIFTY,28-Aug-2024,28-Oct-2024,13137.45,13180.00,13070.00,13133.25,13127.50,13133.25,870.00,5721.12,47750.00,5800.00,-
MIDCPNIFTY,27-Aug-2024,25-Nov-2024,-,-,-,13296.75,-,13318.80,-,-,-,-,-
MIDCPNIFTY,27-Aug-2024,30-Sep-2024,13120.00,13173.45,13080.00,13122.30,13117.20,13122.30,8400.00,55162.02,1883950.00,10450.00,-
MIDCPNIFTY,27-Aug-2024,28-Oct-2024,13109.10,13180.00,13092.15,13128.45,13133.00,13128.45,553.00,3632.80,41950.00,3800.00,-
MIDCPNIFTY,26-Aug-2024,28-Oct-2024,13040.00,13143.30,13040.00,13116.05,13143.30,13116.05,706.00,4623.51,38150.00,17350.00,-
MIDCPNIFTY,26-Aug-2024,30-Sep-2024,13015.40,13140.50,13010.55,13118.90,13131.00,13118.90,38035.00,249100.99,1873500.00,503150.00,-
MIDCPNIFTY,26-Aug-2024,26-Aug-2024,12989.05,13104.85,12989.00,13045.50,13059.00,13057.90,21971.00,143429.79,1094900.00,-374550.00,-
MIDCPNIFTY,23-Aug-2024,30-Sep-2024,13076.05,13101.00,12943.00,12981.40,12985.10,12981.40,18002.00,117081.93,1370350.00,594650.00,-
MIDCPNIFTY,23-Aug-2024,26-Aug-2024,13076.05,13099.00,12930.00,12961.65,12960.00,12961.65,23311.00,151489.41,1469450.00,-512000.00,-
MIDCPNIFTY,23-Aug-2024,28-Oct-2024,13083.20,13175.00,12963.05,13025.05,12994.00,13025.05,623.00,4057.82,20800.00,-3650.00,-
MIDCPNIFTY,22-Aug-2024,28-Oct-2024,13005.00,13134.45,12997.00,13087.10,13087.40,13087.10,330.00,2157.71,24450.00,5000.00,-
MIDCPNIFTY,22-Aug-2024,30-Sep-2024,12964.45,13122.85,12964.45,13072.70,13082.05,13072.70,11636.00,76040.25,775700.00,420800.00,-
MIDCPNIFTY,22-Aug-2024,26-Aug-2024,12960.00,13108.00,12960.00,13074.20,13071.00,13074.20,17939.00,117123.05,1981450.00,-255950.00,-
MIDCPNIFTY,21-Aug-2024,28-Oct-2024,12900.65,12969.90,12868.75,12959.40,12969.00,12959.40,311.00,2013.25,19450.00,9750.00,-
MIDCPNIFTY,21-Aug-2024,30-Sep-2024,12870.00,12966.75,12862.05,12956.00,12963.00,12956.00,5572.00,36016.35,354900.00,170050.00,-
MIDCPNIFTY,21-Aug-2024,26-Aug-2024,12851.30,12952.35,12849.45,12938.15,12945.05,12938.15,8322.00,53716.15,2237400.00,-50050.00,-
MIDCPNIFTY,20-Aug-2024,28-Oct-2024,12807.85,12900.70,12807.85,12893.60,12900.70,12893.60,79.00,508.28,9700.00,-150.00,-
MIDCPNIFTY,20-Aug-2024,30-Sep-2024,12801.25,12894.25,12797.80,12885.95,12889.95,12885.95,2244.00,14421.10,184850.00,53450.00,-
MIDCPNIFTY,20-Aug-2024,26-Aug-2024,12797.85,12883.55,12751.10,12873.70,12871.00,12873.70,8799.00,56497.76,2287450.00,29550.00,-
MIDCPNIFTY,19-Aug-2024,28-Oct-2024,12764.95,12850.00,12710.00,12804.10,12804.55,12804.10,139.00,888.28,9850.00,2200.00,-
MIDCPNIFTY,19-Aug-2024,26-Aug-2024,12764.00,12826.50,12678.20,12757.45,12785.25,12757.45,19510.00,124368.55,2257900.00,-600.00,-
MIDCPNIFTY,19-Aug-2024,30-Sep-2024,12787.55,12832.40,12690.00,12776.70,12794.80,12776.70,2282.00,14559.36,131400.00,22350.00,-
MIDCPNIFTY,16-Aug-2024,28-Oct-2024,12674.15,12766.00,12608.65,12761.15,12765.00,12761.15,116.00,737.42,7650.00,-200.00,-
MIDCPNIFTY,16-Aug-2024,26-Aug-2024,12627.60,12750.40,12558.45,12744.00,12741.00,12744.00,16830.00,106623.37,2258500.00,27850.00,-
MIDCPNIFTY,16-Aug-2024,30-Sep-2024,12636.80,12757.70,12583.00,12750.15,12757.70,12750.15,1272.00,8072.75,109050.00,8800.00,-
MIDCPNIFTY,14-Aug-2024,28-Oct-2024,12621.00,12625.60,12532.00,12569.15,12570.00,12569.15,33.00,207.32,7850.00,450.00,-
MIDCPNIFTY,14-Aug-2024,26-Aug-2024,12595.00,12607.50,12492.65,12543.95,12549.00,12543.95,8118.00,50917.95,2230650.00,-6400.00,-
MIDCPNIFTY,14-Aug-2024,30-Sep-2024,12616.00,12619.70,12511.65,12558.55,12556.80,12558.55,1014.00,6365.34,100250.00,13900.00,-
MIDCPNIFTY,13-Aug-2024,26-Aug-2024,12675.05,12717.60,12554.35,12591.45,12589.95,12591.45,11072.00,69921.92,2237050.00,-36650.00,-
MIDCPNIFTY,13-Aug-2024,28-Oct-2024,12720.00,12737.00,12597.00,12616.85,12617.00,12616.85,62.00,392.54,7400.00,-,-
MIDCPNIFTY,13-Aug-2024,30-Sep-2024,12690.20,12733.80,12574.75,12607.65,12605.00,12607.65,685.00,4334.01,86350.00,8950.00,-
MIDCPNIFTY,12-Aug-2024,26-Aug-2024,12580.55,12710.40,12497.45,12665.15,12659.90,12665.15,21153.00,133350.11,2273700.00,-8350.00,-
MIDCPNIFTY,12-Aug-2024,30-Sep-2024,12600.05,12722.45,12518.00,12687.65,12675.15,12687.65,1123.00,7088.13,77400.00,4700.00,-
MIDCPNIFTY,12-Aug-2024,28-Oct-2024,12615.90,12731.65,12541.65,12693.65,12686.60,12693.65,66.00,417.21,7400.00,50.00,-
MIDCPNIFTY,09-Aug-2024,30-Sep-2024,12652.25,12750.00,12618.30,12646.95,12658.75,12646.95,580.00,3675.89,72700.00,1150.00,-
MIDCPNIFTY,09-Aug-2024,26-Aug-2024,12628.00,12750.00,12597.80,12635.90,12639.00,12635.90,11667.00,73835.76,2282050.00,-6600.00,-
MIDCPNIFTY,09-Aug-2024,28-Oct-2024,12695.00,12794.00,12609.50,12660.40,12660.00,12660.40,50.00,317.43,7350.00,-250.00,-
