Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
MIDCPNIFTY,31-Dec-2024,31-Mar-2025,12980.05,13030.85,12980.05,13030.85,13030.85,13030.85,6.00,93.53,600.00,600.00,-
MIDCPNIFTY,31-Dec-2024,24-Feb-2025,12898.00,13030.00,12797.10,12973.10,12960.05,12973.10,217.00,3360.78,24960.00,1080.00,-
MIDCPNIFTY,31-Dec-2024,27-Jan-2025,12908.05,13015.00,12750.05,12929.70,12920.00,12929.70,14070.00,90596.81,1714550.00,73000.00,-
MIDCPNIFTY,30-Dec-2024,24-Feb-2025,12821.70,13050.00,12800.00,12993.35,12921.05,12993.35,259.00,4018.96,23880.00,10320.00,-
MIDCPNIFTY,30-Dec-2024,27-Jan-2025,12828.75,13042.00,12763.40,12968.70,12900.00,12968.70,23092.00,148949.36,1641550.00,227400.00,-
MIDCPNIFTY,30-Dec-2024,30-Dec-2024,12760.05,13000.00,12695.10,12987.10,12986.65,12987.90,11791.00,75593.23,372050.00,-134650.00,-
MIDCPNIFTY,27-Dec-2024,27-Jan-2025,12898.75,12934.60,12834.00,12853.60,12848.00,12853.60,7476.00,48159.45,1414150.00,105300.00,-
MIDCPNIFTY,27-Dec-2024,24-Feb-2025,12935.05,12977.85,12877.95,12878.00,12878.00,12878.00,25.00,387.45,13560.00,480.00,-
MIDCPNIFTY,27-Dec-2024,30-Dec-2024,12823.95,12862.85,12770.90,12787.65,12779.35,12787.65,5153.00,33029.70,506700.00,-98300.00,-
MIDCPNIFTY,26-Dec-2024,27-Jan-2025,12859.95,12898.80,12751.60,12874.10,12898.80,12874.10,11308.00,72481.47,1308850.00,340300.00,-
MIDCPNIFTY,26-Dec-2024,30-Dec-2024,12810.00,12827.15,12680.00,12803.65,12824.00,12803.65,10566.00,67364.20,605000.00,-352050.00,-
