Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ADANIPORTS,30-Jun-2022,30-Jun-2022,677.80,685.45,667.10,671.75,670.00,672.05,5181.00,43744.47,1016250.00,-3147500.00,-
ADANIPORTS,30-Jun-2022,28-Jul-2022,675.80,683.45,663.30,667.90,665.85,667.90,6891.00,57922.72,27328750.00,2893750.00,-
ADANIPORTS,30-Jun-2022,25-Aug-2022,682.10,684.95,666.05,669.25,669.75,669.25,326.00,2748.75,51511250.00,-51250.00,-
ADANIPORTS,29-Jun-2022,28-Jul-2022,668.25,682.30,665.45,675.55,674.20,675.55,14294.00,120297.92,24435000.00,8226250.00,-
ADANIPORTS,29-Jun-2022,30-Jun-2022,672.30,685.15,667.50,677.85,676.05,677.85,13763.00,116215.03,4163750.00,-12022500.00,-
ADANIPORTS,29-Jun-2022,25-Aug-2022,671.75,683.70,667.45,677.95,676.25,677.95,654.00,5528.71,51562500.00,71250.00,-
ADANIPORTS,28-Jun-2022,30-Jun-2022,682.95,684.25,670.40,679.50,679.70,679.50,8777.00,74287.64,16186250.00,-5562500.00,-
ADANIPORTS,28-Jun-2022,28-Jul-2022,681.90,682.90,670.05,679.05,679.50,679.05,7279.00,61571.94,16208750.00,6537500.00,-
ADANIPORTS,28-Jun-2022,25-Aug-2022,683.15,683.20,670.60,679.70,680.40,679.70,968.00,8204.38,51491250.00,850000.00,-
ADANIPORTS,27-Jun-2022,28-Jul-2022,689.95,697.50,685.20,687.90,685.55,687.90,5129.00,44375.25,9671250.00,4095000.00,-
ADANIPORTS,27-Jun-2022,25-Aug-2022,696.10,697.90,685.60,687.45,686.30,687.45,21656.00,187350.05,50641250.00,26547500.00,-
ADANIPORTS,27-Jun-2022,30-Jun-2022,694.05,699.40,685.60,687.85,685.80,687.85,30440.00,263383.28,21748750.00,-28356250.00,-
ADANIPORTS,24-Jun-2022,30-Jun-2022,682.65,688.95,677.30,687.15,686.55,687.15,12166.00,104002.90,50105000.00,-10840000.00,-
ADANIPORTS,24-Jun-2022,28-Jul-2022,680.45,687.10,676.00,685.55,684.95,685.55,1876.00,15989.93,5576250.00,832500.00,-
ADANIPORTS,24-Jun-2022,25-Aug-2022,684.00,688.00,677.50,686.85,686.00,686.85,8267.00,70705.19,24093750.00,10058750.00,-
ADANIPORTS,23-Jun-2022,30-Jun-2022,675.65,684.55,666.55,677.35,678.50,677.35,15766.00,132566.55,60945000.00,-14000000.00,-
ADANIPORTS,23-Jun-2022,28-Jul-2022,673.50,683.15,665.75,675.80,677.00,675.80,1570.00,13258.18,4743750.00,662500.00,-
ADANIPORTS,23-Jun-2022,25-Aug-2022,675.00,685.20,667.50,677.70,678.70,677.70,11304.00,94900.96,14035000.00,13862500.00,-
ADANIPORTS,22-Jun-2022,30-Jun-2022,686.35,686.35,665.55,669.30,669.40,669.30,4596.00,38626.23,74945000.00,-160000.00,-
ADANIPORTS,22-Jun-2022,28-Jul-2022,683.45,683.45,665.00,668.20,668.25,668.20,1190.00,9984.14,4081250.00,440000.00,-
ADANIPORTS,22-Jun-2022,25-Aug-2022,685.15,685.15,668.50,670.10,670.00,670.10,58.00,488.87,172500.00,12500.00,-
ADANIPORTS,21-Jun-2022,28-Jul-2022,672.15,692.50,667.00,689.30,689.05,689.30,1157.00,9892.84,3641250.00,365000.00,-
ADANIPORTS,21-Jun-2022,30-Jun-2022,671.30,693.35,668.15,690.00,689.80,690.00,6088.00,52019.45,75105000.00,-957500.00,-
