Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ADANIPORTS,28-Mar-2024,27-Jun-2024,-,-,-,-,-,-,-,-,-,-,-
ADANIPORTS,28-Mar-2024,25-Apr-2024,1340.00,1369.00,1323.55,1352.10,1354.00,1352.10,28741.00,310208.37,41888800.00,5625600.00,-
ADANIPORTS,28-Mar-2024,30-May-2024,1350.70,1378.85,1334.00,1363.75,1364.00,1363.75,1696.00,18516.64,6996000.00,94400.00,-
ADANIPORTS,28-Mar-2024,28-Mar-2024,1333.25,1359.85,1313.20,1344.90,1342.00,1341.85,13284.00,141866.07,1560000.00,-5964000.00,-
ADANIPORTS,27-Mar-2024,30-May-2024,1339.95,1364.05,1338.00,1344.00,1345.00,1344.00,5800.00,62754.51,6901600.00,93600.00,-
ADANIPORTS,27-Mar-2024,25-Apr-2024,1328.80,1356.20,1325.00,1334.55,1335.05,1334.55,39681.00,426881.24,36263200.00,8848000.00,-
ADANIPORTS,27-Mar-2024,28-Mar-2024,1320.00,1344.60,1315.00,1323.40,1324.50,1323.40,18833.00,200926.52,7524000.00,-9592000.00,-
ADANIPORTS,26-Mar-2024,30-May-2024,1317.60,1336.00,1314.95,1329.00,1329.50,1329.00,8591.00,90897.95,6808000.00,27200.00,-
ADANIPORTS,26-Mar-2024,28-Mar-2024,1287.55,1317.90,1283.45,1309.45,1308.90,1309.45,19553.00,204039.83,17116000.00,-9324800.00,-
ADANIPORTS,26-Mar-2024,25-Apr-2024,1297.80,1327.70,1296.70,1319.45,1320.00,1319.45,31225.00,328163.35,27415200.00,9588800.00,-
ADANIPORTS,22-Mar-2024,25-Apr-2024,1272.05,1301.95,1268.00,1295.45,1293.40,1295.45,10989.00,113171.79,17826400.00,5464000.00,-
ADANIPORTS,22-Mar-2024,30-May-2024,1285.00,1310.05,1277.75,1302.15,1301.00,1302.15,3202.00,33396.07,6780800.00,19200.00,-
