Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ADANIPORTS,30-Sep-2024,26-Dec-2024,1474.00,1499.35,1474.00,1477.50,1477.55,1477.50,22.00,130.25,14400.00,5200.00,1479.80
ADANIPORTS,30-Sep-2024,28-Nov-2024,1470.00,1488.60,1461.45,1466.60,1464.30,1466.60,357.00,2099.13,366400.00,41200.00,1479.80
ADANIPORTS,30-Sep-2024,31-Oct-2024,1461.15,1479.90,1450.00,1456.35,1454.40,1456.35,11984.00,70021.01,26259600.00,-367600.00,1479.80
ADANIPORTS,27-Sep-2024,26-Dec-2024,1499.00,1501.15,1485.00,1486.25,1485.00,1486.25,27.00,161.36,9200.00,9200.00,1479.80
ADANIPORTS,27-Sep-2024,28-Nov-2024,1494.15,1497.05,1474.35,1477.30,1474.70,1477.30,483.00,2867.31,325200.00,50800.00,1479.80
ADANIPORTS,27-Sep-2024,31-Oct-2024,1488.35,1489.70,1463.70,1467.90,1464.00,1467.90,13386.00,78937.95,26627200.00,-632400.00,1479.80
ADANIPORTS,26-Sep-2024,31-Oct-2024,1460.25,1486.00,1456.75,1482.55,1482.50,1482.55,28046.00,164719.95,27259600.00,5903200.00,1479.80
ADANIPORTS,26-Sep-2024,28-Nov-2024,1472.45,1495.05,1468.15,1493.05,1492.85,1493.05,335.00,1980.84,274400.00,43600.00,1479.80
ADANIPORTS,26-Sep-2024,26-Sep-2024,1450.70,1474.00,1446.40,1470.70,1470.50,1472.60,20597.00,119967.13,1178400.00,-5153200.00,1479.80
ADANIPORTS,25-Sep-2024,31-Oct-2024,1478.50,1483.90,1448.95,1462.20,1460.30,1462.20,22473.00,130945.58,21356400.00,7138000.00,1479.80
ADANIPORTS,25-Sep-2024,26-Sep-2024,1463.95,1469.00,1438.95,1452.00,1450.00,1452.00,21985.00,127216.34,6331600.00,-7316800.00,1479.80
ADANIPORTS,25-Sep-2024,28-Nov-2024,1479.70,1479.70,1458.75,1472.45,1471.15,1472.45,187.00,1098.51,230800.00,22800.00,1479.80
ADANIPORTS,24-Sep-2024,28-Nov-2024,1476.00,1485.95,1469.35,1478.00,1479.65,1478.00,132.00,779.78,208000.00,11200.00,1479.80
ADANIPORTS,24-Sep-2024,31-Oct-2024,1469.00,1477.50,1458.30,1468.25,1469.05,1468.25,20221.00,118585.61,14218400.00,5918800.00,1479.80
ADANIPORTS,24-Sep-2024,26-Sep-2024,1454.30,1467.75,1448.75,1458.70,1458.55,1458.70,19062.00,111052.38,13648400.00,-5945600.00,1479.80
ADANIPORTS,23-Sep-2024,26-Sep-2024,1446.80,1459.75,1442.30,1457.00,1458.00,1457.00,17796.00,103516.20,19594000.00,-5404800.00,1479.80
ADANIPORTS,23-Sep-2024,31-Oct-2024,1458.00,1469.00,1452.65,1466.70,1468.95,1466.70,15535.00,90970.17,8299600.00,4905600.00,1479.80
ADANIPORTS,23-Sep-2024,28-Nov-2024,1465.90,1477.00,1465.90,1476.00,1477.00,1476.00,142.00,836.50,196800.00,15200.00,1479.80
ADANIPORTS,20-Sep-2024,26-Sep-2024,1421.05,1453.80,1406.90,1439.10,1441.40,1439.10,19763.00,113530.70,24998800.00,-1622000.00,1479.80
ADANIPORTS,20-Sep-2024,31-Oct-2024,1427.75,1463.00,1418.00,1449.00,1451.45,1449.00,6410.00,37096.14,3394000.00,1276000.00,1479.80
ADANIPORTS,20-Sep-2024,28-Nov-2024,1433.50,1470.10,1427.85,1457.10,1460.00,1457.10,162.00,939.62,181600.00,15600.00,1479.80
ADANIPORTS,19-Sep-2024,28-Nov-2024,1455.50,1455.50,1413.00,1429.00,1432.05,1429.00,120.00,686.91,166000.00,28800.00,1479.80
ADANIPORTS,19-Sep-2024,31-Oct-2024,1445.05,1447.70,1403.15,1421.35,1422.30,1421.35,2968.00,16870.86,2118000.00,628400.00,1479.80
ADANIPORTS,19-Sep-2024,26-Sep-2024,1442.15,1442.60,1393.00,1411.30,1412.65,1411.30,12450.00,70299.85,26620800.00,-491200.00,1479.80
ADANIPORTS,18-Sep-2024,26-Sep-2024,1432.20,1441.45,1416.40,1428.80,1427.35,1428.80,6490.00,37139.10,27112000.00,-232000.00,1479.80
ADANIPORTS,18-Sep-2024,31-Oct-2024,1442.00,1450.50,1425.95,1438.20,1438.70,1438.20,1641.00,9453.99,1489600.00,225200.00,1479.80
