Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ADANIPORTS,30-Dec-2022,23-Feb-2023,833.25,838.40,826.70,829.25,830.05,829.25,539.00,2801.71,311875.00,51875.00,-
ADANIPORTS,30-Dec-2022,29-Mar-2023,843.00,843.00,835.00,835.00,835.00,835.00,6.00,31.40,3750.00,3750.00,-
ADANIPORTS,30-Dec-2022,25-Jan-2023,825.30,832.35,820.75,823.65,825.65,823.65,8175.00,42199.97,63378125.00,8125.00,-
ADANIPORTS,29-Dec-2022,23-Feb-2023,816.65,830.45,810.50,829.35,830.00,829.35,199.00,1018.34,260000.00,42500.00,-
ADANIPORTS,29-Dec-2022,29-Dec-2022,805.75,819.50,798.00,816.80,817.50,819.55,22464.00,112986.15,3165625.00,-8590625.00,-
ADANIPORTS,29-Dec-2022,25-Jan-2023,812.45,824.80,803.95,823.10,824.00,823.10,29307.00,148672.72,63370000.00,9731250.00,-
ADANIPORTS,28-Dec-2022,25-Jan-2023,819.80,823.65,814.20,816.55,815.50,816.55,23802.00,121830.24,53638750.00,11031250.00,-
ADANIPORTS,28-Dec-2022,23-Feb-2023,826.85,829.30,821.50,822.10,821.50,822.10,88.00,453.49,217500.00,25625.00,-
ADANIPORTS,28-Dec-2022,29-Dec-2022,816.40,817.75,808.35,810.50,809.10,810.50,22681.00,115257.70,11756250.00,-11499375.00,-
ADANIPORTS,27-Dec-2022,23-Feb-2023,821.95,833.95,810.00,829.45,830.00,829.45,184.00,944.17,191875.00,33125.00,-
ADANIPORTS,27-Dec-2022,29-Dec-2022,812.35,821.75,797.75,817.65,818.00,817.65,50987.00,257465.14,23255625.00,-26361875.00,-
ADANIPORTS,27-Dec-2022,25-Jan-2023,815.15,827.50,803.30,823.70,824.00,823.70,49196.00,250183.19,42607500.00,26320000.00,-
ADANIPORTS,26-Dec-2022,23-Feb-2023,801.45,825.00,801.45,817.45,817.80,817.45,180.00,918.43,158750.00,30000.00,-
ADANIPORTS,26-Dec-2022,29-Dec-2022,798.40,813.40,786.20,806.30,805.70,806.30,26084.00,131304.75,49617500.00,-9054375.00,-
ADANIPORTS,26-Dec-2022,25-Jan-2023,805.25,819.05,791.60,811.95,811.75,811.95,21994.00,111518.52,16287500.00,8735000.00,-
ADANIPORTS,23-Dec-2022,25-Jan-2023,858.40,858.40,796.75,801.40,801.40,801.40,11075.00,56779.98,7552500.00,2709375.00,-
ADANIPORTS,23-Dec-2022,29-Dec-2022,851.20,852.00,790.20,795.00,795.30,795.00,26075.00,132859.63,58671875.00,-2789375.00,-
ADANIPORTS,23-Dec-2022,23-Feb-2023,859.95,859.95,804.35,807.30,808.50,807.30,208.00,1073.56,128750.00,21250.00,-
ADANIPORTS,22-Dec-2022,29-Dec-2022,867.05,874.10,846.70,857.15,856.00,857.15,11442.00,61372.46,61461250.00,-684375.00,-
ADANIPORTS,22-Dec-2022,25-Jan-2023,873.35,880.00,853.00,863.15,862.00,863.15,2745.00,14828.23,4843125.00,259375.00,-
ADANIPORTS,22-Dec-2022,23-Feb-2023,889.85,889.85,860.10,869.20,869.00,869.20,65.00,353.99,107500.00,3125.00,-
ADANIPORTS,21-Dec-2022,29-Dec-2022,888.50,895.45,852.60,859.35,860.50,859.35,13784.00,75122.74,62145625.00,-906250.00,-
ADANIPORTS,21-Dec-2022,25-Jan-2023,896.15,901.55,859.00,865.65,867.15,865.65,3689.00,20278.52,4583750.00,774375.00,-
ADANIPORTS,21-Dec-2022,23-Feb-2023,904.20,905.00,867.25,872.40,875.65,872.40,79.00,435.98,104375.00,18750.00,-
ADANIPORTS,20-Dec-2022,25-Jan-2023,904.10,904.10,879.10,894.00,894.50,894.00,3232.00,17974.50,3809375.00,715625.00,-
ADANIPORTS,20-Dec-2022,23-Feb-2023,904.20,907.30,886.30,901.15,901.60,901.15,71.00,397.88,85625.00,16250.00,-
ADANIPORTS,20-Dec-2022,29-Dec-2022,899.00,899.00,872.75,887.90,888.25,887.90,12241.00,67596.74,63051875.00,-545625.00,-
ADANIPORTS,19-Dec-2022,25-Jan-2023,871.50,905.00,869.85,901.85,904.20,901.85,2045.00,11372.75,3093750.00,360625.00,-
ADANIPORTS,19-Dec-2022,23-Feb-2023,879.00,910.05,877.85,908.25,910.05,908.25,94.00,526.76,69375.00,-5000.00,-
ADANIPORTS,19-Dec-2022,29-Dec-2022,863.00,899.00,862.65,895.70,898.75,895.70,13842.00,76299.98,63597500.00,-1285000.00,-
ADANIPORTS,16-Dec-2022,25-Jan-2023,892.75,899.75,863.50,868.30,866.50,868.30,1510.00,8316.24,2733125.00,319375.00,-
ADANIPORTS,16-Dec-2022,23-Feb-2023,903.35,905.90,870.00,874.90,874.20,874.90,103.00,571.52,74375.00,23750.00,-
ADANIPORTS,16-Dec-2022,29-Dec-2022,889.15,894.10,856.50,862.20,860.00,862.20,18034.00,98304.13,64882500.00,-888750.00,-
ADANIPORTS,15-Dec-2022,23-Feb-2023,918.40,919.05,898.95,901.20,900.35,901.20,22.00,125.16,50625.00,-,-
ADANIPORTS,15-Dec-2022,25-Jan-2023,911.70,917.95,890.10,893.50,893.90,893.50,1173.00,6633.42,2413750.00,349375.00,-
ADANIPORTS,15-Dec-2022,29-Dec-2022,904.70,911.40,883.35,887.45,886.45,887.45,10541.00,59174.41,65771250.00,-553125.00,-
ADANIPORTS,14-Dec-2022,29-Dec-2022,902.05,914.10,897.00,907.20,903.00,907.20,14097.00,79922.29,66324375.00,-131250.00,-
ADANIPORTS,14-Dec-2022,23-Feb-2023,916.00,926.00,911.00,917.10,915.00,917.10,28.00,160.77,50625.00,-,-
ADANIPORTS,14-Dec-2022,25-Jan-2023,908.25,920.60,903.60,912.20,908.85,912.20,1708.00,9753.41,2064375.00,662500.00,-
ADANIPORTS,13-Dec-2022,23-Feb-2023,906.00,915.00,900.00,914.95,914.70,914.95,26.00,147.66,50625.00,-,-
ADANIPORTS,13-Dec-2022,29-Dec-2022,891.30,903.40,886.65,901.30,899.50,901.30,9013.00,50494.82,66455625.00,38750.00,-
ADANIPORTS,13-Dec-2022,25-Jan-2023,899.40,909.70,893.65,907.90,906.00,907.90,478.00,2696.43,1401875.00,25625.00,-
ADANIPORTS,12-Dec-2022,23-Feb-2023,909.45,912.00,898.05,901.80,901.00,901.80,20.00,112.85,50625.00,1875.00,-
ADANIPORTS,12-Dec-2022,25-Jan-2023,900.50,907.50,891.00,894.10,893.90,894.10,924.00,5178.29,1376250.00,310625.00,-
ADANIPORTS,12-Dec-2022,29-Dec-2022,895.70,901.40,883.80,888.35,887.80,888.35,7739.00,43120.96,66416875.00,-83750.00,-
ADANIPORTS,09-Dec-2022,25-Jan-2023,908.90,925.50,893.45,902.75,901.65,902.75,1677.00,9550.14,1065625.00,291250.00,-
ADANIPORTS,09-Dec-2022,23-Feb-2023,917.50,930.90,901.00,909.45,909.25,909.45,71.00,406.62,48750.00,-1875.00,-
ADANIPORTS,09-Dec-2022,29-Dec-2022,903.10,919.45,886.85,896.30,895.70,896.30,19888.00,112455.25,66500625.00,-821875.00,-
ADANIPORTS,08-Dec-2022,29-Dec-2022,892.35,905.35,892.35,899.75,900.75,899.75,7264.00,40830.63,67322500.00,-346875.00,-
ADANIPORTS,08-Dec-2022,25-Jan-2023,903.05,911.35,900.10,906.35,907.00,906.35,412.00,2332.52,774375.00,-625.00,-
ADANIPORTS,08-Dec-2022,23-Feb-2023,907.15,917.40,907.10,913.30,913.30,905.80,25.00,142.42,50625.00,-2500.00,-
ADANIPORTS,07-Dec-2022,29-Dec-2022,906.00,909.70,891.00,892.90,893.00,892.90,8709.00,48934.96,67669375.00,-28125.00,-
ADANIPORTS,07-Dec-2022,25-Jan-2023,912.75,916.00,897.75,900.00,900.00,900.00,536.00,3037.09,775000.00,46250.00,-
ADANIPORTS,07-Dec-2022,23-Feb-2023,918.05,918.05,904.95,905.40,906.40,905.40,29.00,165.22,53125.00,11875.00,-
ADANIPORTS,06-Dec-2022,29-Dec-2022,899.25,909.70,892.75,904.35,903.85,904.35,13570.00,76625.64,67697500.00,-59375.00,-
ADANIPORTS,06-Dec-2022,23-Feb-2023,909.15,920.00,906.80,915.55,916.15,915.55,126.00,719.74,41250.00,19375.00,-
ADANIPORTS,06-Dec-2022,25-Jan-2023,910.00,915.85,899.75,910.35,910.25,910.35,719.00,4092.27,728750.00,144375.00,-
ADANIPORTS,05-Dec-2022,29-Dec-2022,896.05,903.45,884.35,900.75,901.30,900.75,11780.00,65943.73,67756875.00,465000.00,-
ADANIPORTS,05-Dec-2022,25-Jan-2023,903.85,909.00,890.90,907.20,907.40,907.20,569.00,3213.27,584375.00,65000.00,-
ADANIPORTS,05-Dec-2022,23-Feb-2023,912.00,913.65,899.45,913.65,913.65,913.65,26.00,147.71,21875.00,2500.00,-
ADANIPORTS,02-Dec-2022,25-Jan-2023,903.85,916.90,899.00,901.00,899.55,901.00,428.00,2429.57,519375.00,60625.00,-
ADANIPORTS,02-Dec-2022,29-Dec-2022,897.85,911.25,891.30,895.25,893.80,895.25,15499.00,87341.25,67291875.00,1271250.00,-
ADANIPORTS,02-Dec-2022,23-Feb-2023,909.00,920.20,904.60,906.30,906.30,906.30,19.00,108.25,19375.00,7500.00,-
ADANIPORTS,01-Dec-2022,23-Feb-2023,902.55,911.30,902.40,911.00,911.00,911.00,16.00,90.69,11875.00,625.00,-
ADANIPORTS,01-Dec-2022,29-Dec-2022,894.80,904.00,887.00,897.70,897.30,897.70,13887.00,77774.85,66020625.00,210625.00,-
ADANIPORTS,01-Dec-2022,25-Jan-2023,896.40,909.50,893.80,904.25,902.40,904.25,347.00,1954.88,458750.00,-30625.00,-
ADANIPORTS,30-Nov-2022,25-Jan-2023,891.05,895.90,884.75,893.50,893.70,893.50,257.00,1430.68,489375.00,-625.00,-
ADANIPORTS,30-Nov-2022,29-Dec-2022,885.90,890.05,878.50,887.25,887.10,887.25,8790.00,48614.83,65810000.00,-750625.00,-
ADANIPORTS,30-Nov-2022,23-Feb-2023,898.35,899.70,891.75,899.70,899.70,899.70,12.00,67.22,11250.00,3125.00,-
ADANIPORTS,29-Nov-2022,23-Feb-2023,897.05,902.50,894.05,894.90,894.05,894.90,19.00,106.64,8125.00,5625.00,-
ADANIPORTS,29-Nov-2022,25-Jan-2023,891.85,903.40,883.85,891.60,888.40,891.60,308.00,1720.41,490000.00,56875.00,-
ADANIPORTS,29-Nov-2022,29-Dec-2022,884.95,898.90,881.95,883.95,883.60,883.95,10549.00,58642.31,66560625.00,-401250.00,-
ADANIPORTS,28-Nov-2022,23-Feb-2023,899.55,899.55,895.35,895.35,895.35,892.60,4.00,22.44,2500.00,2500.00,-
ADANIPORTS,28-Nov-2022,25-Jan-2023,890.85,897.30,888.00,892.35,889.00,892.35,162.00,903.11,433125.00,25000.00,-
ADANIPORTS,28-Nov-2022,29-Dec-2022,875.00,891.60,875.00,885.35,882.20,885.35,7435.00,41210.45,66961875.00,-163750.00,-
ADANIPORTS,25-Nov-2022,29-Dec-2022,883.55,890.15,878.60,888.30,887.15,888.30,9128.00,50480.03,67125625.00,321250.00,-
ADANIPORTS,25-Nov-2022,23-Feb-2023,-,-,-,891.25,-,894.10,-,-,-,-,-
