Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
DLF,28-Jun-2024,29-Aug-2024,824.95,836.35,822.85,830.10,829.40,830.10,603.00,4122.43,1871100.00,154275.00,-
DLF,28-Jun-2024,26-Sep-2024,829.55,836.95,826.00,835.45,833.90,835.45,7.00,48.02,3300.00,3300.00,-
DLF,28-Jun-2024,25-Jul-2024,823.85,835.50,818.20,828.05,827.30,828.05,9882.00,67484.77,44210925.00,358050.00,-
DLF,27-Jun-2024,27-Jun-2024,825.05,830.00,811.65,817.20,820.00,816.75,13538.00,91741.54,1061775.00,-7782225.00,-
DLF,27-Jun-2024,26-Sep-2024,-,-,-,-,-,-,-,-,-,-,-
DLF,27-Jun-2024,29-Aug-2024,833.50,838.00,818.85,824.50,825.50,824.50,1568.00,10729.48,1716825.00,970200.00,-
DLF,27-Jun-2024,25-Jul-2024,830.80,835.50,817.25,822.80,824.35,822.80,19348.00,131779.32,43852875.00,8469450.00,-
DLF,26-Jun-2024,29-Aug-2024,834.00,843.50,830.20,833.60,833.50,833.60,476.00,3288.09,746625.00,254100.00,-
DLF,26-Jun-2024,27-Jun-2024,824.95,837.00,822.95,826.35,825.50,826.35,14441.00,98887.49,8844000.00,-8697975.00,-
DLF,26-Jun-2024,25-Jul-2024,833.60,842.95,828.25,831.55,831.50,831.55,17074.00,117653.34,35383425.00,9234225.00,-
DLF,25-Jun-2024,27-Jun-2024,840.00,845.00,815.10,825.40,827.75,825.40,15834.00,107835.46,17541975.00,-8674875.00,-
DLF,25-Jun-2024,29-Aug-2024,847.80,848.00,822.45,833.10,833.95,833.10,389.00,2674.29,492525.00,179025.00,-
DLF,25-Jun-2024,25-Jul-2024,849.00,849.00,820.40,830.80,833.00,830.80,18389.00,125980.81,26149200.00,10809150.00,-
DLF,24-Jun-2024,25-Jul-2024,859.45,859.45,838.50,845.55,845.00,845.55,18006.00,125392.26,15340050.00,11130075.00,-
DLF,24-Jun-2024,29-Aug-2024,850.40,853.80,841.45,847.75,847.55,847.75,175.00,1222.10,313500.00,62700.00,-
DLF,24-Jun-2024,27-Jun-2024,853.15,853.15,832.90,840.20,839.35,840.20,18813.00,130145.03,26216850.00,-9781200.00,-
DLF,21-Jun-2024,25-Jul-2024,878.40,884.95,859.00,862.05,859.95,862.05,4420.00,31712.20,4209975.00,1770450.00,-
DLF,21-Jun-2024,27-Jun-2024,874.10,879.00,853.45,856.40,854.00,856.40,7129.00,50830.85,35998050.00,-1248225.00,-
DLF,21-Jun-2024,29-Aug-2024,881.00,882.45,863.90,864.20,863.90,864.20,73.00,525.23,250800.00,14025.00,-
DLF,20-Jun-2024,25-Jul-2024,868.20,882.20,863.40,879.75,881.00,879.75,1687.00,12202.69,2439525.00,284625.00,-
DLF,20-Jun-2024,29-Aug-2024,868.40,883.40,868.40,881.90,883.00,881.90,101.00,732.55,236775.00,-1650.00,-
DLF,20-Jun-2024,27-Jun-2024,862.90,876.35,857.20,874.55,875.45,874.55,6866.00,49310.42,37246275.00,-1361250.00,-
DLF,19-Jun-2024,25-Jul-2024,883.65,887.80,858.50,866.05,867.35,866.05,2169.00,15535.23,2154900.00,569250.00,-
DLF,19-Jun-2024,29-Aug-2024,883.00,883.00,860.90,869.75,869.75,869.75,147.00,1057.86,238425.00,47850.00,-
DLF,19-Jun-2024,27-Jun-2024,879.30,882.00,852.05,859.90,861.85,859.90,9794.00,69703.12,38607525.00,249150.00,-
