Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
DLF,28-Mar-2024,27-Jun-2024,-,-,-,-,-,-,-,-,-,-,725.35
DLF,28-Mar-2024,30-May-2024,896.10,911.00,895.35,907.25,910.00,907.25,150.00,2241.76,290400.00,-9900.00,725.35
DLF,28-Mar-2024,25-Apr-2024,886.80,906.25,886.80,901.10,903.80,901.10,7432.00,110058.36,34016400.00,3192750.00,725.35
DLF,28-Mar-2024,28-Mar-2024,882.65,920.90,881.40,895.95,901.90,897.05,4546.00,66848.02,1295250.00,-3682800.00,725.35
DLF,27-Mar-2024,28-Mar-2024,876.55,888.15,876.45,881.05,883.50,881.05,8271.00,120488.85,4978050.00,-9406650.00,725.35
DLF,27-Mar-2024,30-May-2024,892.00,900.90,890.25,894.95,895.90,894.95,111.00,1642.35,300300.00,82500.00,725.35
DLF,27-Mar-2024,25-Apr-2024,884.95,894.55,883.25,887.80,889.50,887.80,9053.00,132883.26,30823650.00,7938150.00,725.35
DLF,26-Mar-2024,30-May-2024,874.50,889.55,874.50,887.90,888.85,887.90,66.00,965.02,217800.00,42900.00,725.35
DLF,26-Mar-2024,28-Mar-2024,859.00,876.85,859.00,874.30,875.00,874.30,11269.00,161979.19,14384700.00,-14252700.00,725.35
DLF,26-Mar-2024,25-Apr-2024,872.95,883.00,866.50,880.70,881.55,880.70,10611.00,153645.45,22885500.00,13206600.00,725.35
DLF,22-Mar-2024,28-Mar-2024,857.90,870.75,856.60,866.65,866.35,866.65,8215.00,116985.94,28637400.00,-5321250.00,725.35
DLF,22-Mar-2024,30-May-2024,870.00,882.25,870.00,880.00,880.70,880.00,56.00,810.03,174900.00,-1650.00,725.35
DLF,22-Mar-2024,25-Apr-2024,866.00,876.95,863.00,872.95,873.20,872.95,5498.00,78849.70,9678900.00,5278350.00,725.35
