Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
DLF,30-Sep-2024,31-Oct-2024,916.90,925.20,898.65,901.00,901.40,901.00,9788.00,73472.98,39614850.00,-14850.00,-
DLF,30-Sep-2024,26-Dec-2024,935.05,936.10,911.75,913.80,913.80,913.80,45.00,343.70,30525.00,25575.00,-
DLF,30-Sep-2024,28-Nov-2024,923.65,931.00,905.25,906.80,907.20,906.80,253.00,1909.90,344850.00,19800.00,-
DLF,27-Sep-2024,28-Nov-2024,933.65,940.90,917.00,925.90,927.20,925.90,265.00,2030.29,325050.00,41250.00,-
DLF,27-Sep-2024,26-Dec-2024,936.00,936.00,925.00,931.20,933.30,931.20,10.00,76.67,4950.00,4950.00,-
DLF,27-Sep-2024,31-Oct-2024,932.05,936.15,910.55,920.30,921.50,920.30,12899.00,98127.68,39629700.00,-6600.00,-
DLF,26-Sep-2024,28-Nov-2024,932.75,941.00,919.35,937.40,935.50,937.40,286.00,2200.50,283800.00,63525.00,-
DLF,26-Sep-2024,31-Oct-2024,928.10,935.00,912.65,931.15,928.70,931.15,18940.00,144374.65,39636300.00,5330325.00,-
DLF,26-Sep-2024,26-Sep-2024,920.85,929.00,906.55,924.25,920.40,924.00,8924.00,67464.38,2691975.00,-3139950.00,-
DLF,25-Sep-2024,31-Oct-2024,919.00,930.05,908.85,927.15,925.60,927.15,19016.00,144621.99,34305975.00,9782850.00,-
DLF,25-Sep-2024,26-Sep-2024,914.40,923.75,902.60,920.55,919.45,920.55,16197.00,122308.17,5831925.00,-9950325.00,-
DLF,25-Sep-2024,28-Nov-2024,931.30,936.25,915.10,932.60,932.75,932.60,137.00,1050.40,220275.00,18150.00,-
DLF,24-Sep-2024,26-Sep-2024,909.50,924.60,909.50,915.70,913.10,915.70,18282.00,138543.83,15782250.00,-10268775.00,-
DLF,24-Sep-2024,28-Nov-2024,926.25,936.95,922.55,926.55,925.00,926.55,200.00,1534.88,202125.00,35475.00,-
DLF,24-Sep-2024,31-Oct-2024,916.70,931.00,915.85,921.60,918.50,921.60,18343.00,139968.25,24523125.00,9148425.00,-
DLF,23-Sep-2024,26-Sep-2024,881.85,918.25,879.35,909.85,908.45,909.85,26051.00,193936.11,26051025.00,-9211950.00,-
DLF,23-Sep-2024,31-Oct-2024,888.00,923.80,886.40,915.85,914.50,915.85,22052.00,165325.40,15374700.00,10044375.00,-
DLF,23-Sep-2024,28-Nov-2024,895.90,929.00,895.40,921.50,920.40,921.50,298.00,2247.80,166650.00,40425.00,-
DLF,20-Sep-2024,28-Nov-2024,870.00,892.50,867.60,890.55,890.20,890.55,108.00,785.88,126225.00,14850.00,-
DLF,20-Sep-2024,26-Sep-2024,853.50,881.60,853.50,878.00,879.40,878.00,17170.00,123149.98,35262975.00,-1021350.00,-
DLF,20-Sep-2024,31-Oct-2024,860.80,888.00,859.90,884.85,885.45,884.85,6435.00,46551.96,5330325.00,2165625.00,-
DLF,19-Sep-2024,28-Nov-2024,883.50,885.50,845.35,864.05,865.50,864.05,84.00,598.11,111375.00,13200.00,-
DLF,19-Sep-2024,31-Oct-2024,874.00,880.40,840.00,858.05,860.00,858.05,3466.00,24478.37,3164700.00,984225.00,-
DLF,19-Sep-2024,26-Sep-2024,869.75,875.65,834.00,852.05,854.95,852.05,14280.00,100393.55,36284325.00,-1046925.00,-
DLF,18-Sep-2024,26-Sep-2024,861.15,865.35,849.90,861.10,858.15,861.10,6116.00,43327.07,37331250.00,-737550.00,-
DLF,18-Sep-2024,28-Nov-2024,873.25,876.00,863.20,872.80,872.85,872.80,21.00,150.68,98175.00,-3300.00,-
DLF,18-Sep-2024,31-Oct-2024,866.90,871.00,855.50,866.40,864.80,866.40,1086.00,7750.78,2180475.00,298650.00,-
DLF,17-Sep-2024,26-Sep-2024,861.25,867.65,856.45,863.00,862.80,863.00,4847.00,34482.27,38068800.00,-443025.00,-
DLF,17-Sep-2024,31-Oct-2024,867.70,873.00,862.05,868.50,868.50,868.50,515.00,3686.86,1881825.00,82500.00,-
DLF,17-Sep-2024,28-Nov-2024,871.75,877.45,868.55,875.75,875.75,873.35,77.00,554.25,101475.00,7425.00,-
DLF,16-Sep-2024,28-Nov-2024,880.70,892.00,871.60,875.65,875.00,875.65,63.00,457.79,94050.00,9900.00,-
DLF,16-Sep-2024,26-Sep-2024,868.95,882.00,859.05,864.10,862.95,864.10,12808.00,91866.76,38511825.00,-13200.00,-
DLF,16-Sep-2024,31-Oct-2024,878.15,887.00,865.60,869.85,869.05,869.85,1337.00,9636.72,1799325.00,316800.00,-
DLF,13-Sep-2024,31-Oct-2024,844.65,874.00,844.65,871.40,874.00,871.40,2054.00,14648.13,1482525.00,667425.00,-
DLF,13-Sep-2024,26-Sep-2024,840.70,868.90,837.30,866.10,867.55,866.10,16190.00,114762.57,38525025.00,-25575.00,-
DLF,13-Sep-2024,28-Nov-2024,850.70,879.00,850.70,876.55,879.00,876.55,97.00,695.24,84150.00,23925.00,-
DLF,12-Sep-2024,28-Nov-2024,841.00,847.60,839.50,847.50,847.60,847.50,32.00,222.41,60225.00,-825.00,-
DLF,12-Sep-2024,31-Oct-2024,835.40,843.45,834.00,842.45,842.65,842.45,235.00,1626.39,815100.00,18150.00,-
DLF,12-Sep-2024,26-Sep-2024,830.50,838.25,827.90,836.90,837.15,836.90,4506.00,31000.32,38550600.00,-267300.00,-
DLF,11-Sep-2024,28-Nov-2024,842.00,847.80,832.65,835.75,836.45,835.75,34.00,235.99,61050.00,-3300.00,-
DLF,11-Sep-2024,26-Sep-2024,831.05,837.55,820.95,824.50,825.95,824.50,4750.00,32505.83,38817900.00,-15675.00,-
DLF,11-Sep-2024,31-Oct-2024,836.30,843.00,827.35,830.80,831.85,830.80,207.00,1425.72,796950.00,23100.00,-
DLF,10-Sep-2024,31-Oct-2024,835.00,844.45,830.00,837.65,837.50,837.65,252.00,1741.70,773850.00,-9900.00,-
DLF,10-Sep-2024,28-Nov-2024,840.85,848.50,836.00,843.40,842.65,843.40,39.00,271.28,64350.00,7425.00,-
