Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
DLF,31-Dec-2024,27-Feb-2025,826.20,838.95,826.20,835.85,835.15,835.85,187.00,1288.37,421575.00,37950.00,824.90
DLF,31-Dec-2024,27-Mar-2025,837.00,843.15,837.00,841.90,841.90,841.90,5.00,34.68,4125.00,2475.00,824.90
DLF,31-Dec-2024,30-Jan-2025,820.15,833.90,817.25,830.90,831.00,830.90,3164.00,21658.16,41481825.00,-164175.00,824.90
DLF,30-Dec-2024,27-Feb-2025,847.50,848.65,831.50,834.45,836.45,834.45,181.00,1249.00,383625.00,42900.00,820.70
DLF,30-Dec-2024,30-Jan-2025,839.60,848.90,825.55,828.70,830.55,828.70,7164.00,49189.68,41646000.00,1136850.00,820.70
DLF,30-Dec-2024,27-Mar-2025,850.00,852.45,850.00,852.45,852.45,834.00,2.00,14.05,1650.00,1650.00,820.70
DLF,27-Dec-2024,27-Mar-2025,-,-,-,854.15,-,848.85,-,-,-,-,834.85
DLF,27-Dec-2024,30-Jan-2025,845.60,851.30,837.60,839.55,840.80,839.55,4195.00,29218.24,40509150.00,424875.00,834.85
DLF,27-Dec-2024,27-Feb-2025,854.50,857.45,844.00,845.60,846.15,845.60,141.00,989.93,340725.00,26400.00,834.85
DLF,26-Dec-2024,30-Jan-2025,850.95,853.95,836.45,844.60,847.50,844.60,10778.00,74866.88,40084275.00,4719825.00,838.70
DLF,26-Dec-2024,26-Dec-2024,843.50,845.00,830.85,837.90,839.70,838.70,9257.00,63832.66,1725900.00,-4572150.00,838.70
DLF,26-Dec-2024,27-Feb-2025,852.45,855.25,843.55,851.35,852.80,851.35,134.00,939.36,314325.00,63525.00,838.70
DLF,24-Dec-2024,26-Dec-2024,842.60,850.80,833.30,841.05,841.00,841.05,14857.00,103456.59,6298050.00,-9376950.00,841.70
DLF,24-Dec-2024,27-Feb-2025,851.10,862.10,846.45,852.45,852.00,852.45,86.00,607.27,250800.00,31350.00,841.70
DLF,24-Dec-2024,30-Jan-2025,848.00,856.70,839.10,846.55,845.90,846.55,14770.00,103550.95,35364450.00,8844000.00,841.70
DLF,23-Dec-2024,26-Dec-2024,836.95,852.80,832.10,842.85,842.85,842.85,19560.00,136281.94,15675000.00,-11861850.00,844.25
DLF,23-Dec-2024,27-Feb-2025,846.00,863.00,844.00,853.90,853.50,853.90,83.00,584.83,219450.00,14850.00,844.25
DLF,23-Dec-2024,30-Jan-2025,843.00,859.20,838.65,848.90,849.10,848.90,18032.00,126571.22,26520450.00,11616825.00,844.25
DLF,20-Dec-2024,27-Feb-2025,877.10,881.20,841.50,843.80,841.65,843.80,108.00,765.48,204600.00,19800.00,830.70
DLF,20-Dec-2024,26-Dec-2024,866.10,870.65,827.90,831.00,831.45,831.00,21656.00,151958.09,27536850.00,-10949400.00,830.70
DLF,20-Dec-2024,30-Jan-2025,870.00,877.10,834.55,837.15,837.40,837.15,16621.00,117535.59,14903625.00,11337150.00,830.70
DLF,19-Dec-2024,30-Jan-2025,869.55,878.55,860.55,872.05,873.60,872.05,2211.00,15872.86,3566475.00,1116225.00,864.40
DLF,19-Dec-2024,27-Feb-2025,869.10,881.35,865.55,877.30,878.30,877.30,48.00,345.55,184800.00,6600.00,864.40
DLF,19-Dec-2024,26-Dec-2024,860.50,871.95,854.00,865.35,866.85,865.35,6466.00,46056.45,38486250.00,-1393425.00,864.40
DLF,18-Dec-2024,30-Jan-2025,887.00,890.10,875.25,878.60,879.75,878.60,986.00,7171.22,2450250.00,149325.00,871.45
DLF,18-Dec-2024,26-Dec-2024,877.80,883.95,868.40,872.05,872.90,872.05,7405.00,53417.46,39879675.00,-590700.00,871.45
DLF,18-Dec-2024,27-Feb-2025,892.25,895.00,881.85,884.55,884.35,884.55,57.00,417.60,178200.00,1650.00,871.45
DLF,17-Dec-2024,26-Dec-2024,888.40,897.55,874.25,875.90,875.60,875.90,7961.00,58145.10,40470375.00,-362175.00,872.45
DLF,17-Dec-2024,27-Feb-2025,905.45,909.00,887.05,887.65,888.40,887.65,84.00,622.69,176550.00,36300.00,872.45
DLF,17-Dec-2024,30-Jan-2025,897.10,904.00,880.50,882.10,882.00,882.10,2082.00,15271.41,2300925.00,829950.00,872.45
DLF,16-Dec-2024,27-Feb-2025,888.45,909.00,888.45,905.45,904.00,905.45,130.00,967.33,140250.00,-7425.00,893.30
DLF,16-Dec-2024,30-Jan-2025,884.00,903.80,884.00,900.40,899.00,900.40,1542.00,11387.01,1470975.00,292875.00,893.30
DLF,16-Dec-2024,26-Dec-2024,872.75,897.65,871.90,894.25,892.20,894.25,11899.00,87247.34,40832550.00,-176550.00,893.30
DLF,13-Dec-2024,27-Feb-2025,879.25,884.00,860.10,883.55,883.75,883.55,68.00,491.15,147675.00,7425.00,870.85
DLF,13-Dec-2024,30-Jan-2025,876.70,881.00,854.50,878.95,879.15,878.95,781.00,5602.67,1178100.00,146025.00,870.85
DLF,13-Dec-2024,26-Dec-2024,863.85,875.40,847.60,873.00,873.00,873.00,8022.00,57076.46,41009100.00,-94050.00,870.85
DLF,12-Dec-2024,27-Feb-2025,887.65,887.65,875.25,882.45,882.40,882.45,29.00,210.55,140250.00,7425.00,867.10
DLF,12-Dec-2024,26-Dec-2024,878.00,879.30,863.00,870.35,870.25,870.35,4725.00,33881.89,41103150.00,-344025.00,867.10
DLF,12-Dec-2024,30-Jan-2025,884.65,885.00,869.25,876.75,876.90,876.75,590.00,4260.46,1032075.00,156750.00,867.10
DLF,11-Dec-2024,26-Dec-2024,866.10,883.55,865.90,877.30,876.60,877.30,6061.00,43925.08,41447175.00,23925.00,875.75
DLF,11-Dec-2024,27-Feb-2025,886.35,894.40,886.35,889.10,889.10,889.10,43.00,316.19,132825.00,7425.00,875.75
DLF,11-Dec-2024,30-Jan-2025,873.50,889.30,873.50,883.65,883.25,883.65,393.00,2868.92,875325.00,36300.00,875.75
DLF,10-Dec-2024,27-Feb-2025,877.00,882.80,876.00,881.50,880.50,881.50,35.00,254.10,125400.00,3300.00,868.40
DLF,10-Dec-2024,26-Dec-2024,867.95,872.40,863.65,869.65,869.50,869.65,4643.00,33260.09,41423250.00,-616275.00,868.40
DLF,10-Dec-2024,30-Jan-2025,871.95,878.10,869.75,875.60,875.45,875.60,237.00,1708.94,839025.00,32175.00,868.40
DLF,09-Dec-2024,27-Feb-2025,872.00,886.00,872.00,877.80,878.35,877.80,112.00,812.97,122100.00,32175.00,862.70
DLF,09-Dec-2024,30-Jan-2025,865.00,881.85,863.85,872.15,872.90,872.15,832.00,5999.81,806850.00,87450.00,862.70
DLF,09-Dec-2024,26-Dec-2024,858.85,875.85,856.90,866.40,866.30,866.40,13385.00,95858.63,42039525.00,690525.00,862.70
DLF,06-Dec-2024,27-Feb-2025,862.00,871.20,860.00,870.55,870.45,870.55,86.00,615.10,89925.00,-10725.00,856.85
DLF,06-Dec-2024,26-Dec-2024,851.70,861.70,844.75,859.50,857.90,859.50,9294.00,65524.54,41349000.00,-49500.00,856.85
DLF,06-Dec-2024,30-Jan-2025,856.35,867.40,850.80,865.00,863.25,865.00,412.00,2923.02,719400.00,11550.00,856.85
DLF,05-Dec-2024,26-Dec-2024,850.95,856.30,846.60,853.05,853.85,853.05,8053.00,56626.89,41398500.00,-375375.00,850.25
DLF,05-Dec-2024,30-Jan-2025,858.00,861.50,853.25,859.15,858.90,859.15,310.00,2194.62,707850.00,10725.00,850.25
DLF,05-Dec-2024,27-Feb-2025,862.35,866.00,860.00,864.25,865.20,864.25,47.00,334.74,100650.00,25575.00,850.25
DLF,04-Dec-2024,27-Feb-2025,865.00,865.00,856.50,862.35,863.00,862.35,41.00,291.20,75075.00,19800.00,847.95
DLF,04-Dec-2024,26-Dec-2024,853.30,855.40,844.40,851.30,850.90,851.30,6555.00,45966.79,41773875.00,-284625.00,847.95
DLF,04-Dec-2024,30-Jan-2025,860.40,860.40,850.00,857.35,856.70,857.35,252.00,1776.96,697125.00,-3300.00,847.95
DLF,03-Dec-2024,26-Dec-2024,861.00,862.50,845.35,850.90,850.40,850.90,9492.00,66701.95,42058500.00,-676500.00,846.95
DLF,03-Dec-2024,30-Jan-2025,860.50,866.30,851.00,855.95,855.65,855.95,538.00,3808.80,700425.00,65175.00,846.95
DLF,03-Dec-2024,27-Feb-2025,865.65,866.00,857.60,861.45,861.00,861.45,57.00,405.29,55275.00,30525.00,846.95
DLF,02-Dec-2024,26-Dec-2024,831.45,856.00,826.55,852.70,855.25,852.70,13424.00,93288.82,42735000.00,-163350.00,849.10
