Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
HINDALCO,28-Jun-2024,26-Sep-2024,703.50,703.50,701.60,702.55,702.55,702.55,4.00,39.34,4200.00,4200.00,-
HINDALCO,28-Jun-2024,29-Aug-2024,694.40,702.05,691.05,697.65,697.55,697.65,240.00,2341.80,376600.00,22400.00,-
HINDALCO,28-Jun-2024,25-Jul-2024,691.95,700.90,687.60,696.25,696.35,696.25,7447.00,72499.33,39368000.00,-887600.00,-
HINDALCO,27-Jun-2024,26-Sep-2024,-,-,-,-,-,-,-,-,-,-,-
HINDALCO,27-Jun-2024,27-Jun-2024,674.70,686.25,670.90,683.65,684.00,685.25,11258.00,106782.19,2417800.00,-7439600.00,-
HINDALCO,27-Jun-2024,29-Aug-2024,682.65,693.00,678.40,690.80,691.00,690.80,136.00,1303.80,354200.00,16800.00,-
HINDALCO,27-Jun-2024,25-Jul-2024,677.90,691.40,676.10,688.60,687.90,688.60,18206.00,173912.92,40255600.00,7004200.00,-
HINDALCO,26-Jun-2024,25-Jul-2024,689.00,689.00,675.20,678.15,677.45,678.15,12314.00,116990.35,33251400.00,7968800.00,-
HINDALCO,26-Jun-2024,29-Aug-2024,687.75,687.75,677.20,679.75,678.10,679.75,119.00,1133.92,337400.00,30800.00,-
HINDALCO,26-Jun-2024,27-Jun-2024,683.65,683.65,670.55,673.80,673.70,673.80,8127.00,76698.40,9857400.00,-6854400.00,-
HINDALCO,25-Jun-2024,29-Aug-2024,693.90,701.95,687.90,690.00,689.80,690.00,109.00,1061.20,306600.00,11200.00,-
HINDALCO,25-Jun-2024,27-Jun-2024,686.35,695.40,681.30,684.70,685.00,684.70,10462.00,100787.20,16711800.00,-7646800.00,-
HINDALCO,25-Jun-2024,25-Jul-2024,690.65,700.00,686.00,689.25,689.50,689.25,11320.00,109775.79,25282600.00,9949800.00,-
HINDALCO,24-Jun-2024,27-Jun-2024,680.60,686.50,675.00,684.65,685.15,684.65,12485.00,119421.14,24358600.00,-10726800.00,-
HINDALCO,24-Jun-2024,25-Jul-2024,682.90,691.00,680.10,689.20,689.00,689.20,10117.00,97442.62,15332800.00,10096800.00,-
HINDALCO,24-Jun-2024,29-Aug-2024,682.45,691.55,681.25,690.50,690.85,690.50,35.00,337.51,295400.00,9800.00,-
HINDALCO,21-Jun-2024,25-Jul-2024,690.90,695.00,682.00,689.10,688.20,689.10,3866.00,37348.28,5236000.00,1727600.00,-
HINDALCO,21-Jun-2024,27-Jun-2024,679.90,690.95,677.05,685.05,683.45,685.05,11875.00,113968.38,35085400.00,-5145000.00,-
HINDALCO,21-Jun-2024,29-Aug-2024,685.55,695.50,685.55,689.55,689.45,689.55,87.00,841.57,285600.00,-5600.00,-
HINDALCO,20-Jun-2024,25-Jul-2024,666.45,688.80,666.45,680.65,681.80,680.65,2389.00,22771.42,3508400.00,862400.00,-
HINDALCO,20-Jun-2024,29-Aug-2024,675.10,689.55,673.85,682.95,683.00,682.95,71.00,679.50,291200.00,-8400.00,-
HINDALCO,20-Jun-2024,27-Jun-2024,662.00,684.10,662.00,676.40,677.35,676.40,10474.00,99141.74,40230400.00,-37800.00,-
HINDALCO,19-Jun-2024,27-Jun-2024,680.30,681.80,661.70,664.15,665.30,664.15,7172.00,67173.05,40268200.00,743400.00,-
HINDALCO,19-Jun-2024,25-Jul-2024,685.00,686.65,666.50,668.60,669.80,668.60,1562.00,14720.76,2646000.00,817600.00,-
HINDALCO,19-Jun-2024,29-Aug-2024,686.95,687.00,668.95,669.85,671.35,669.85,137.00,1290.21,299600.00,110600.00,-
HINDALCO,18-Jun-2024,27-Jun-2024,682.15,688.00,677.85,678.85,679.00,678.85,4462.00,42639.96,39524800.00,-123200.00,-
HINDALCO,18-Jun-2024,29-Aug-2024,692.05,693.55,685.40,685.55,685.60,685.55,21.00,202.64,189000.00,-,-
HINDALCO,18-Jun-2024,25-Jul-2024,688.05,692.55,683.00,683.75,683.05,683.75,506.00,4871.06,1828400.00,288400.00,-
HINDALCO,14-Jun-2024,29-Aug-2024,695.00,695.00,687.30,690.80,690.55,690.80,28.00,271.01,189000.00,-7000.00,-
HINDALCO,14-Jun-2024,27-Jun-2024,684.45,689.75,678.25,683.50,683.15,683.50,7210.00,69047.36,39648000.00,-308000.00,-
HINDALCO,14-Jun-2024,25-Jul-2024,689.10,692.10,683.00,688.40,688.35,688.40,665.00,6413.02,1540000.00,317800.00,-
HINDALCO,13-Jun-2024,27-Jun-2024,679.80,685.00,678.10,682.55,681.55,682.55,7463.00,71289.83,39956000.00,-824600.00,-
HINDALCO,13-Jun-2024,25-Jul-2024,684.40,689.50,683.25,686.95,686.00,686.95,640.00,6155.98,1222200.00,82600.00,-
HINDALCO,13-Jun-2024,29-Aug-2024,689.00,691.85,686.00,688.80,688.80,688.80,55.00,530.72,196000.00,7000.00,-
HINDALCO,12-Jun-2024,27-Jun-2024,674.15,683.50,672.70,675.25,675.45,675.25,7114.00,67535.05,40780600.00,-883400.00,-
HINDALCO,12-Jun-2024,25-Jul-2024,678.45,688.00,678.00,680.05,679.85,680.05,528.00,5046.98,1139600.00,121800.00,-
HINDALCO,12-Jun-2024,29-Aug-2024,685.90,689.55,681.75,682.35,682.90,682.35,56.00,536.66,189000.00,33600.00,-
HINDALCO,11-Jun-2024,25-Jul-2024,685.25,686.80,677.95,678.45,678.15,678.45,423.00,4038.87,1017800.00,180600.00,-
