Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
HINDALCO,31-Mar-2022,30-Jun-2022,-,-,-,-,-,-,-,-,-,-,-
HINDALCO,31-Mar-2022,28-Apr-2022,600.00,600.00,571.85,573.30,574.65,573.30,25813.00,161193.23,27470550.00,7269150.00,-
HINDALCO,31-Mar-2022,26-May-2022,596.15,597.35,574.60,575.55,576.65,575.55,281.00,1759.18,347225.00,80625.00,-
HINDALCO,31-Mar-2022,31-Mar-2022,601.00,601.00,568.25,569.85,571.00,569.50,12852.00,80061.89,7465875.00,-6437100.00,-
HINDALCO,30-Mar-2022,28-Apr-2022,623.15,623.15,602.65,603.40,603.70,603.40,13010.00,85160.52,20201400.00,3496975.00,-
HINDALCO,30-Mar-2022,31-Mar-2022,622.20,622.20,600.40,601.35,602.00,601.35,13876.00,90593.85,13902975.00,-5813600.00,-
HINDALCO,30-Mar-2022,26-May-2022,620.00,620.00,604.95,605.40,604.95,605.40,158.00,1037.28,266600.00,32250.00,-
HINDALCO,29-Mar-2022,26-May-2022,631.25,640.00,628.00,635.55,635.00,635.55,88.00,599.82,234350.00,49450.00,-
HINDALCO,29-Mar-2022,28-Apr-2022,631.35,638.85,625.05,633.30,631.70,633.30,10417.00,70715.68,16704425.00,4605300.00,-
HINDALCO,29-Mar-2022,31-Mar-2022,627.65,636.85,623.10,631.35,629.80,631.35,14730.00,99593.04,19716575.00,-5743725.00,-
HINDALCO,28-Mar-2022,31-Mar-2022,618.25,633.60,616.85,628.65,628.80,628.65,11679.00,78722.00,25460300.00,-2259650.00,-
HINDALCO,28-Mar-2022,26-May-2022,624.25,637.00,624.25,632.95,632.50,632.95,90.00,611.73,184900.00,40850.00,-
HINDALCO,28-Mar-2022,28-Apr-2022,622.35,635.50,620.05,630.60,630.55,630.60,7345.00,49655.73,12099125.00,4207550.00,-
HINDALCO,25-Mar-2022,28-Apr-2022,620.80,632.20,616.65,622.65,623.20,622.65,6975.00,46759.81,7891575.00,4577350.00,-
HINDALCO,25-Mar-2022,26-May-2022,629.40,633.80,620.00,624.60,625.95,624.60,69.00,464.34,144050.00,-,-
HINDALCO,25-Mar-2022,31-Mar-2022,619.95,630.25,614.55,620.65,621.75,620.65,16968.00,113350.20,27719950.00,-4692375.00,-
HINDALCO,24-Mar-2022,31-Mar-2022,613.00,626.70,613.00,621.55,618.90,621.55,12476.00,83392.79,32412325.00,-165550.00,-
HINDALCO,24-Mar-2022,26-May-2022,622.00,630.00,620.90,625.80,623.70,625.80,77.00,518.07,144050.00,3225.00,-
HINDALCO,24-Mar-2022,28-Apr-2022,616.00,628.90,616.00,623.65,621.50,623.65,1946.00,13063.57,3314225.00,348300.00,-
HINDALCO,23-Mar-2022,28-Apr-2022,605.05,614.90,600.30,611.35,611.10,611.35,1900.00,12418.35,2965925.00,27950.00,-
HINDALCO,23-Mar-2022,31-Mar-2022,601.90,612.75,597.70,609.05,609.00,609.05,15526.00,101107.10,32577875.00,1171750.00,-
HINDALCO,23-Mar-2022,26-May-2022,606.00,616.45,603.40,614.15,613.30,614.15,57.00,373.83,140825.00,-9675.00,-
HINDALCO,22-Mar-2022,28-Apr-2022,603.90,605.15,590.85,596.80,596.45,596.80,1237.00,7946.37,2937975.00,58050.00,-
HINDALCO,22-Mar-2022,26-May-2022,605.00,606.00,598.00,599.75,598.50,599.75,14.00,90.55,150500.00,1075.00,-
HINDALCO,22-Mar-2022,31-Mar-2022,599.80,603.45,588.50,594.70,594.40,594.70,10231.00,65523.50,31406125.00,60200.00,-
HINDALCO,21-Mar-2022,26-May-2022,596.00,605.00,595.80,596.50,596.00,596.50,49.00,316.07,149425.00,-2150.00,-
HINDALCO,21-Mar-2022,28-Apr-2022,587.55,603.75,587.55,594.25,594.00,594.25,1490.00,9573.76,2879925.00,183825.00,-
HINDALCO,21-Mar-2022,31-Mar-2022,584.65,601.65,584.65,592.25,591.60,592.25,14110.00,90319.42,31345925.00,-338625.00,-
HINDALCO,17-Mar-2022,28-Apr-2022,581.25,586.65,576.65,580.50,580.50,580.50,1220.00,7643.00,2696100.00,284875.00,-
HINDALCO,17-Mar-2022,26-May-2022,581.30,587.45,579.00,582.90,582.90,582.90,17.00,106.75,151575.00,-3225.00,-
HINDALCO,17-Mar-2022,31-Mar-2022,575.70,584.85,574.05,578.55,578.55,578.55,10243.00,63816.74,31684550.00,97825.00,-
HINDALCO,16-Mar-2022,31-Mar-2022,566.95,576.35,564.20,574.00,574.60,574.00,10472.00,64273.68,31586725.00,173075.00,-
HINDALCO,16-Mar-2022,28-Apr-2022,569.60,578.00,566.65,576.00,576.30,576.00,591.00,3639.60,2411225.00,-9675.00,-
HINDALCO,16-Mar-2022,26-May-2022,575.00,579.50,569.80,579.10,579.10,579.10,28.00,172.77,154800.00,2150.00,-
HINDALCO,15-Mar-2022,28-Apr-2022,582.75,582.80,560.00,563.70,563.65,563.70,1319.00,8040.79,2420900.00,365500.00,-
HINDALCO,15-Mar-2022,31-Mar-2022,583.85,583.85,557.85,561.85,561.50,561.85,13856.00,84501.67,31413650.00,-296700.00,-
HINDALCO,15-Mar-2022,26-May-2022,581.40,581.40,563.00,566.15,566.35,566.15,90.00,553.54,152650.00,4300.00,-
