Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
HINDALCO,30-Sep-2024,26-Dec-2024,770.00,776.10,769.00,770.00,769.00,770.00,33.00,357.14,46200.00,14000.00,777.70
HINDALCO,30-Sep-2024,31-Oct-2024,755.05,769.90,753.50,760.30,759.20,760.30,10795.00,115350.79,38329200.00,-765800.00,777.70
HINDALCO,30-Sep-2024,28-Nov-2024,767.80,774.75,762.10,764.60,763.85,764.60,499.00,5373.43,847000.00,212800.00,777.70
HINDALCO,27-Sep-2024,28-Nov-2024,753.25,766.25,753.15,757.85,757.20,757.85,611.00,6507.29,634200.00,193200.00,777.70
HINDALCO,27-Sep-2024,31-Oct-2024,747.90,761.80,746.00,753.30,752.75,753.30,13089.00,138329.34,39095000.00,-1330000.00,777.70
HINDALCO,27-Sep-2024,26-Dec-2024,763.90,771.00,761.00,762.25,762.50,762.25,49.00,524.25,32200.00,32200.00,777.70
HINDALCO,26-Sep-2024,26-Sep-2024,720.00,734.20,710.00,732.60,731.40,734.65,9905.00,100757.54,4356800.00,-5458600.00,777.70
HINDALCO,26-Sep-2024,31-Oct-2024,722.70,740.40,715.50,738.55,738.15,738.55,20763.00,213054.71,40425000.00,6090000.00,777.70
HINDALCO,26-Sep-2024,28-Nov-2024,725.95,744.90,721.55,743.50,743.05,743.50,273.00,2819.25,441000.00,70000.00,777.70
HINDALCO,25-Sep-2024,26-Sep-2024,723.40,729.50,714.75,716.85,715.10,716.85,10312.00,103950.71,9815400.00,-5136600.00,777.70
HINDALCO,25-Sep-2024,31-Oct-2024,728.40,735.20,720.15,722.65,720.85,722.65,16162.00,164235.46,34335000.00,7292600.00,777.70
HINDALCO,25-Sep-2024,28-Nov-2024,733.50,739.75,725.00,727.35,726.55,727.35,276.00,2825.28,371000.00,86800.00,777.70
HINDALCO,24-Sep-2024,31-Oct-2024,702.95,724.95,698.15,723.05,724.10,723.05,20754.00,207282.97,27042400.00,10505600.00,777.70
HINDALCO,24-Sep-2024,26-Sep-2024,694.00,719.40,688.85,717.50,718.75,717.50,18746.00,185797.67,14952000.00,-6434400.00,777.70
HINDALCO,24-Sep-2024,28-Nov-2024,705.00,729.75,705.00,727.60,728.50,727.60,233.00,2353.28,284200.00,54600.00,777.70
HINDALCO,23-Sep-2024,31-Oct-2024,698.75,699.90,692.00,695.20,694.00,695.20,8100.00,78915.69,16536800.00,8281000.00,777.70
HINDALCO,23-Sep-2024,26-Sep-2024,692.65,695.25,687.05,690.30,689.50,690.30,10204.00,98722.70,21386400.00,-8268400.00,777.70
HINDALCO,23-Sep-2024,28-Nov-2024,700.00,703.90,696.50,699.95,698.85,699.95,59.00,578.02,229600.00,35000.00,777.70
HINDALCO,20-Sep-2024,26-Sep-2024,691.00,698.10,689.00,693.60,693.95,693.60,13819.00,134396.53,29654800.00,-4625600.00,777.70
HINDALCO,20-Sep-2024,28-Nov-2024,702.70,706.50,700.00,702.60,702.55,702.60,74.00,729.10,194600.00,15400.00,777.70
HINDALCO,20-Sep-2024,31-Oct-2024,696.00,702.55,692.90,698.40,698.20,698.40,4838.00,47368.68,8255800.00,2877000.00,777.70
HINDALCO,19-Sep-2024,31-Oct-2024,693.95,694.90,673.90,690.85,693.00,690.85,2662.00,25578.88,5378800.00,1359400.00,777.70
HINDALCO,19-Sep-2024,28-Nov-2024,697.05,697.05,678.50,695.20,696.70,695.20,52.00,502.85,179200.00,-,777.70
HINDALCO,19-Sep-2024,26-Sep-2024,691.00,691.00,669.40,686.35,688.50,686.35,10377.00,99056.16,34280400.00,-1526000.00,777.70
HINDALCO,18-Sep-2024,26-Sep-2024,683.10,687.55,674.35,685.70,683.05,685.70,5738.00,54706.27,35806400.00,-1323000.00,777.70
HINDALCO,18-Sep-2024,31-Oct-2024,687.80,692.00,678.90,689.95,687.45,689.95,1586.00,15193.19,4019400.00,785400.00,777.70
HINDALCO,18-Sep-2024,28-Nov-2024,687.00,695.80,683.70,694.55,692.70,694.55,30.00,289.28,179200.00,4200.00,777.70
HINDALCO,17-Sep-2024,31-Oct-2024,694.20,696.00,686.55,687.80,687.50,687.80,1445.00,13968.72,3234000.00,1141000.00,777.70
HINDALCO,17-Sep-2024,26-Sep-2024,687.50,691.95,682.05,683.60,683.00,683.60,5380.00,51702.92,37129400.00,-2206400.00,777.70
HINDALCO,17-Sep-2024,28-Nov-2024,699.00,699.00,691.00,691.75,691.80,691.75,35.00,340.11,175000.00,15400.00,777.70
HINDALCO,16-Sep-2024,28-Nov-2024,692.50,696.00,685.70,694.95,694.60,694.95,65.00,630.27,159600.00,16800.00,777.70
HINDALCO,16-Sep-2024,31-Oct-2024,684.70,692.35,682.00,691.05,690.35,691.05,946.00,9112.77,2093000.00,443800.00,777.70
HINDALCO,16-Sep-2024,26-Sep-2024,679.00,687.75,677.40,686.15,685.75,686.15,9547.00,91349.04,39335800.00,-2125200.00,777.70
HINDALCO,13-Sep-2024,31-Oct-2024,687.05,691.15,677.05,679.25,678.90,679.25,980.00,9383.28,1649200.00,695800.00,777.70
HINDALCO,13-Sep-2024,26-Sep-2024,678.00,686.95,672.10,675.00,674.60,675.00,10516.00,100134.66,41461000.00,-728000.00,777.70
HINDALCO,13-Sep-2024,28-Nov-2024,694.80,694.80,680.40,683.40,683.20,683.40,42.00,404.74,142800.00,4200.00,777.70
HINDALCO,12-Sep-2024,28-Nov-2024,666.25,686.50,661.60,685.60,685.55,685.60,76.00,719.78,138600.00,21000.00,777.70
