Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
HINDALCO,31-Dec-2024,30-Jan-2025,606.35,610.35,602.00,606.65,605.70,606.65,4383.00,37195.25,43719200.00,443800.00,602.45
HINDALCO,31-Dec-2024,27-Feb-2025,612.85,613.85,605.65,610.60,609.00,610.60,165.00,1409.58,627200.00,106400.00,602.45
HINDALCO,31-Dec-2024,27-Mar-2025,616.15,617.65,610.00,614.00,614.00,614.00,19.00,163.46,43400.00,8400.00,602.45
HINDALCO,30-Dec-2024,27-Mar-2025,625.40,630.70,613.80,614.40,614.95,614.40,33.00,286.29,35000.00,23800.00,601.10
HINDALCO,30-Dec-2024,30-Jan-2025,631.00,631.00,604.40,606.30,607.75,606.30,7091.00,60801.98,43275400.00,1737400.00,601.10
HINDALCO,30-Dec-2024,27-Feb-2025,623.70,628.00,609.00,610.35,611.40,610.35,212.00,1830.95,520800.00,68600.00,601.10
HINDALCO,27-Dec-2024,27-Mar-2025,634.65,635.50,628.50,628.70,628.50,628.70,13.00,114.94,11200.00,11200.00,617.40
HINDALCO,27-Dec-2024,30-Jan-2025,631.15,637.00,620.35,621.95,621.40,621.95,5769.00,50727.71,41538000.00,1131200.00,617.40
HINDALCO,27-Dec-2024,27-Feb-2025,637.75,641.00,624.60,625.90,625.05,625.90,209.00,1847.42,452200.00,95200.00,617.40
HINDALCO,26-Dec-2024,27-Feb-2025,640.00,641.00,636.55,637.70,637.45,637.70,82.00,732.89,357000.00,43400.00,628.75
HINDALCO,26-Dec-2024,26-Dec-2024,629.45,634.00,627.00,628.25,628.00,628.75,7785.00,68572.30,2665600.00,-5350800.00,628.75
HINDALCO,26-Dec-2024,30-Jan-2025,633.80,638.00,632.00,633.30,633.90,633.30,10277.00,91210.97,40406800.00,4853800.00,628.75
HINDALCO,24-Dec-2024,26-Dec-2024,630.00,638.50,626.50,628.50,629.80,628.50,11919.00,105148.27,8016400.00,-13468000.00,627.45
HINDALCO,24-Dec-2024,30-Jan-2025,639.65,642.90,631.00,633.05,634.50,633.05,13607.00,120848.59,35553000.00,13252400.00,627.45
HINDALCO,24-Dec-2024,27-Feb-2025,642.25,646.00,635.50,637.70,639.00,637.70,53.00,474.30,313600.00,30800.00,627.45
HINDALCO,23-Dec-2024,27-Feb-2025,640.85,644.65,636.70,644.05,643.70,644.05,65.00,583.81,282800.00,-1400.00,634.15
HINDALCO,23-Dec-2024,26-Dec-2024,629.40,636.85,629.40,635.25,635.00,635.25,9989.00,88666.20,21484400.00,-8842400.00,634.15
HINDALCO,23-Dec-2024,30-Jan-2025,634.05,641.00,632.60,639.50,639.25,639.50,7902.00,70521.91,22300600.00,7179200.00,634.15
HINDALCO,20-Dec-2024,26-Dec-2024,625.60,641.55,622.70,624.45,625.10,624.45,14592.00,129380.46,30326800.00,-10557400.00,622.65
HINDALCO,20-Dec-2024,27-Feb-2025,639.20,648.00,630.60,632.15,634.00,632.15,203.00,1814.62,284200.00,-26600.00,622.65
HINDALCO,20-Dec-2024,30-Jan-2025,633.15,644.75,625.95,628.20,629.15,628.20,10398.00,92749.07,15121400.00,8400000.00,622.65
HINDALCO,19-Dec-2024,27-Feb-2025,629.00,642.00,625.25,638.15,639.45,638.15,243.00,2157.33,310800.00,135800.00,629.35
HINDALCO,19-Dec-2024,30-Jan-2025,625.40,637.65,619.50,634.10,634.25,634.10,2300.00,20311.41,6721400.00,1624000.00,629.35
HINDALCO,19-Dec-2024,26-Dec-2024,623.00,633.25,614.55,629.50,629.70,629.50,7020.00,61468.48,40884200.00,-2268000.00,629.35
HINDALCO,18-Dec-2024,26-Dec-2024,643.00,643.00,629.50,633.05,633.45,633.05,4419.00,39274.69,43152200.00,204400.00,633.00
HINDALCO,18-Dec-2024,30-Jan-2025,646.25,646.75,634.70,638.00,638.55,638.00,1241.00,11107.57,5097400.00,1115800.00,633.00
HINDALCO,18-Dec-2024,27-Feb-2025,650.20,650.20,639.35,642.25,642.70,642.25,47.00,423.88,175000.00,15400.00,633.00
HINDALCO,17-Dec-2024,26-Dec-2024,651.40,655.00,639.05,641.50,640.60,641.50,5515.00,49822.00,42947800.00,140000.00,639.45
HINDALCO,17-Dec-2024,30-Jan-2025,658.60,659.55,644.00,646.70,645.75,646.70,1619.00,14729.09,3981600.00,1414000.00,639.45
HINDALCO,17-Dec-2024,27-Feb-2025,663.70,663.70,648.30,650.75,649.70,650.75,132.00,1206.83,159600.00,12600.00,639.45
HINDALCO,16-Dec-2024,30-Jan-2025,671.55,672.30,658.50,660.35,660.15,660.35,477.00,4421.12,2567600.00,292600.00,653.50
HINDALCO,16-Dec-2024,26-Dec-2024,662.70,668.75,653.30,655.40,655.00,655.40,4411.00,40656.24,42807800.00,1092000.00,653.50
HINDALCO,16-Dec-2024,27-Feb-2025,670.00,670.00,664.00,664.95,664.85,664.95,20.00,186.55,147000.00,18200.00,653.50
HINDALCO,13-Dec-2024,27-Feb-2025,671.00,675.40,658.40,674.25,674.25,671.45,41.00,383.02,128800.00,12600.00,662.10
HINDALCO,13-Dec-2024,26-Dec-2024,665.20,666.60,648.55,664.40,664.90,664.40,7639.00,70420.37,41715800.00,-1118600.00,662.10
HINDALCO,13-Dec-2024,30-Jan-2025,668.00,671.30,654.00,669.25,668.85,669.25,745.00,6928.53,2275000.00,354200.00,662.10
HINDALCO,12-Dec-2024,26-Dec-2024,677.75,681.00,662.75,669.45,669.10,669.45,7763.00,72791.18,42834400.00,-541800.00,668.70
HINDALCO,12-Dec-2024,27-Feb-2025,678.40,678.60,671.00,678.25,678.55,678.25,28.00,264.42,116200.00,7000.00,668.70
HINDALCO,12-Dec-2024,30-Jan-2025,682.85,685.55,668.00,674.25,674.00,674.25,712.00,6728.92,1920800.00,292600.00,668.70
HINDALCO,11-Dec-2024,27-Feb-2025,686.75,688.80,683.00,683.00,683.00,683.00,9.00,86.54,109200.00,1400.00,670.50
HINDALCO,11-Dec-2024,30-Jan-2025,676.25,686.00,676.25,677.90,678.10,677.90,358.00,3413.95,1628200.00,173600.00,670.50
HINDALCO,11-Dec-2024,26-Dec-2024,672.35,681.55,670.65,672.95,672.50,672.95,6330.00,59964.37,43376200.00,347200.00,670.50
HINDALCO,10-Dec-2024,30-Jan-2025,680.40,681.00,672.00,676.25,675.90,676.25,241.00,2281.67,1454600.00,53200.00,668.90
HINDALCO,10-Dec-2024,26-Dec-2024,674.95,678.95,666.95,671.30,671.80,671.30,5082.00,47809.72,43029000.00,-21000.00,668.90
HINDALCO,10-Dec-2024,27-Feb-2025,682.00,685.00,676.55,680.60,680.60,680.60,13.00,123.96,107800.00,2800.00,668.90
HINDALCO,09-Dec-2024,27-Feb-2025,682.50,683.70,667.00,682.05,682.05,680.90,29.00,273.91,105000.00,11200.00,670.90
HINDALCO,09-Dec-2024,30-Jan-2025,674.90,679.55,661.60,678.35,677.75,678.35,615.00,5768.43,1401400.00,172200.00,670.90
HINDALCO,09-Dec-2024,26-Dec-2024,668.30,675.20,656.65,673.80,672.40,673.80,9898.00,92423.19,43050000.00,954800.00,670.90
HINDALCO,06-Dec-2024,26-Dec-2024,672.50,677.80,668.75,673.45,673.40,673.45,5548.00,52321.88,42095200.00,50400.00,670.15
HINDALCO,06-Dec-2024,30-Jan-2025,677.40,682.10,673.55,678.15,677.80,678.15,209.00,1984.59,1229200.00,47600.00,670.15
HINDALCO,06-Dec-2024,27-Feb-2025,680.25,685.60,678.45,682.50,682.50,682.50,13.00,124.18,93800.00,-,670.15
HINDALCO,05-Dec-2024,26-Dec-2024,666.90,675.35,661.00,671.70,672.65,671.70,8192.00,76827.37,42044800.00,-1689800.00,670.85
HINDALCO,05-Dec-2024,30-Jan-2025,669.60,679.50,665.50,676.10,676.00,676.10,340.00,3207.50,1181600.00,-21000.00,670.85
HINDALCO,05-Dec-2024,27-Feb-2025,673.60,682.75,669.90,682.15,682.15,682.15,65.00,617.94,93800.00,57400.00,670.85
HINDALCO,04-Dec-2024,26-Dec-2024,667.55,672.75,661.40,664.75,664.50,664.75,3415.00,31881.89,43734600.00,40600.00,663.05
HINDALCO,04-Dec-2024,30-Jan-2025,672.85,677.25,666.00,669.10,668.50,669.10,189.00,1776.83,1202600.00,100800.00,663.05
HINDALCO,04-Dec-2024,27-Feb-2025,679.20,680.10,672.00,673.55,673.55,673.55,17.00,161.03,36400.00,12600.00,663.05
HINDALCO,03-Dec-2024,30-Jan-2025,670.20,675.35,663.65,673.95,673.25,673.95,250.00,2342.03,1101800.00,28000.00,667.55
HINDALCO,03-Dec-2024,27-Feb-2025,670.00,678.75,667.95,677.60,677.40,677.60,15.00,141.76,23800.00,14000.00,667.55
HINDALCO,03-Dec-2024,26-Dec-2024,666.10,671.30,659.10,669.25,668.50,669.25,5006.00,46641.71,43694000.00,-894600.00,667.55
HINDALCO,02-Dec-2024,30-Jan-2025,664.50,669.75,661.70,669.35,669.50,669.35,125.00,1167.38,1073800.00,-7000.00,662.60
HINDALCO,02-Dec-2024,27-Feb-2025,670.25,673.85,668.50,673.85,673.85,673.35,7.00,65.70,9800.00,7000.00,662.60
HINDALCO,02-Dec-2024,26-Dec-2024,657.50,666.60,656.85,665.00,665.05,665.00,3697.00,34336.93,44588600.00,-956200.00,662.60
HINDALCO,29-Nov-2024,30-Jan-2025,659.10,666.65,658.00,664.10,664.20,664.10,144.00,1335.44,1080800.00,47600.00,656.20
HINDALCO,29-Nov-2024,27-Feb-2025,665.00,668.70,665.00,668.70,668.70,668.10,4.00,37.31,2800.00,2800.00,656.20
HINDALCO,29-Nov-2024,26-Dec-2024,655.85,662.25,653.30,659.65,659.40,659.65,3926.00,36148.64,45544800.00,-21000.00,656.20
HINDALCO,28-Nov-2024,26-Dec-2024,658.20,667.30,652.25,654.90,654.20,654.90,15386.00,141993.22,45565800.00,7586600.00,650.25
HINDALCO,28-Nov-2024,30-Jan-2025,667.30,670.40,656.95,659.90,660.00,659.90,252.00,2339.93,1033200.00,196000.00,650.25
HINDALCO,28-Nov-2024,28-Nov-2024,661.25,663.05,648.20,651.00,649.30,650.25,10138.00,93063.00,1947400.00,-6708800.00,650.25
