Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ICICIBANK,28-Jun-2024,25-Jul-2024,1229.00,1233.15,1203.80,1206.65,1204.50,1206.65,42836.00,363311.22,53595500.00,899500.00,-
ICICIBANK,28-Jun-2024,29-Aug-2024,1231.10,1231.10,1202.20,1204.55,1203.50,1204.55,1158.00,9812.82,28818300.00,239400.00,-
ICICIBANK,28-Jun-2024,26-Sep-2024,1226.70,1226.70,1211.00,1212.15,1211.00,1212.15,24.00,204.55,14000.00,14000.00,-
ICICIBANK,27-Jun-2024,29-Aug-2024,1224.80,1234.75,1213.00,1221.55,1219.65,1221.55,4430.00,38012.95,28578900.00,831600.00,-
ICICIBANK,27-Jun-2024,26-Sep-2024,-,-,-,-,-,-,-,-,-,-,-
ICICIBANK,27-Jun-2024,27-Jun-2024,1224.00,1232.00,1208.95,1216.45,1213.90,1219.90,27702.00,236877.80,9023700.00,-6334300.00,-
ICICIBANK,27-Jun-2024,25-Jul-2024,1227.90,1235.45,1213.40,1222.65,1220.05,1222.65,77287.00,663478.41,52696000.00,8096900.00,-
ICICIBANK,26-Jun-2024,29-Aug-2024,1208.05,1221.95,1195.95,1218.45,1214.80,1218.45,13492.00,114437.86,27747300.00,7546000.00,-
ICICIBANK,26-Jun-2024,25-Jul-2024,1205.95,1222.65,1197.50,1218.60,1215.65,1218.60,72458.00,615556.19,44599100.00,11853800.00,-
ICICIBANK,26-Jun-2024,27-Jun-2024,1202.30,1217.30,1192.35,1213.25,1211.50,1213.25,58036.00,490802.10,15358000.00,-17427200.00,-
ICICIBANK,25-Jun-2024,27-Jun-2024,1172.95,1201.40,1168.45,1194.60,1200.50,1194.60,70607.00,585508.35,32785200.00,-18008900.00,-
ICICIBANK,25-Jun-2024,25-Jul-2024,1167.75,1206.10,1167.75,1199.15,1205.70,1199.15,61034.00,508198.80,32745300.00,14578900.00,-
ICICIBANK,25-Jun-2024,29-Aug-2024,1174.00,1207.50,1172.50,1199.60,1207.50,1199.60,11098.00,92238.45,20201300.00,7100800.00,-
ICICIBANK,24-Jun-2024,25-Jul-2024,1158.10,1174.80,1158.10,1171.90,1172.50,1171.90,32753.00,267911.73,18166400.00,10448900.00,-
ICICIBANK,24-Jun-2024,29-Aug-2024,1165.00,1175.00,1164.45,1172.15,1172.80,1172.15,7179.00,58729.83,13100500.00,4671100.00,-
ICICIBANK,24-Jun-2024,27-Jun-2024,1158.00,1172.50,1146.25,1168.65,1169.30,1168.65,62065.00,506595.19,50794100.00,-16691500.00,-
ICICIBANK,21-Jun-2024,25-Jul-2024,1160.00,1167.00,1152.00,1159.35,1159.80,1159.35,14284.00,115992.44,7717500.00,2046100.00,-
ICICIBANK,21-Jun-2024,29-Aug-2024,1162.20,1166.10,1151.25,1158.45,1159.75,1158.45,6929.00,56216.79,8429400.00,4387600.00,-
ICICIBANK,21-Jun-2024,27-Jun-2024,1159.30,1163.45,1147.05,1154.80,1154.75,1154.80,71401.00,577715.06,67485600.00,-266700.00,-
ICICIBANK,20-Jun-2024,27-Jun-2024,1148.00,1156.80,1135.80,1154.50,1156.40,1154.50,41183.00,330207.94,67752300.00,-9367400.00,-
ICICIBANK,20-Jun-2024,25-Jul-2024,1153.60,1160.30,1138.00,1158.00,1160.00,1158.00,7979.00,64147.10,5671400.00,588700.00,-
ICICIBANK,20-Jun-2024,29-Aug-2024,1151.20,1160.20,1139.05,1158.20,1159.00,1158.20,4834.00,38883.65,4041800.00,2858800.00,-
ICICIBANK,19-Jun-2024,25-Jul-2024,1131.70,1161.10,1129.55,1145.60,1147.70,1145.60,11810.00,94708.57,5082700.00,1406300.00,-
ICICIBANK,19-Jun-2024,29-Aug-2024,1132.95,1164.85,1132.00,1147.15,1147.50,1147.15,994.00,7996.07,1183000.00,129500.00,-
ICICIBANK,19-Jun-2024,27-Jun-2024,1125.35,1161.80,1125.35,1144.25,1146.00,1144.25,134513.00,1076458.97,77119700.00,5079200.00,-
ICICIBANK,18-Jun-2024,27-Jun-2024,1108.90,1123.00,1102.30,1119.05,1121.30,1119.05,33041.00,257596.42,72040500.00,-231700.00,-
ICICIBANK,18-Jun-2024,25-Jul-2024,1115.00,1126.00,1108.65,1123.70,1126.00,1123.70,2515.00,19685.94,3676400.00,299600.00,-
ICICIBANK,18-Jun-2024,29-Aug-2024,1115.70,1128.50,1110.20,1125.45,1128.50,1125.45,272.00,2133.15,1053500.00,1400.00,-
ICICIBANK,14-Jun-2024,29-Aug-2024,1112.00,1118.20,1107.40,1110.80,1109.90,1110.80,285.00,2218.17,1052100.00,98700.00,-
ICICIBANK,14-Jun-2024,27-Jun-2024,1108.30,1111.60,1099.10,1103.35,1102.95,1103.35,33193.00,256708.05,72272200.00,3857700.00,-
ICICIBANK,14-Jun-2024,25-Jul-2024,1114.10,1116.80,1105.35,1109.15,1108.00,1109.15,2483.00,19299.15,3376800.00,660100.00,-
ICICIBANK,13-Jun-2024,25-Jul-2024,1125.70,1126.65,1113.00,1114.95,1116.10,1114.95,1641.00,12851.53,2716700.00,528500.00,-
ICICIBANK,13-Jun-2024,27-Jun-2024,1118.80,1123.45,1107.05,1108.90,1109.70,1108.90,24363.00,190033.20,68414500.00,-41300.00,-
ICICIBANK,13-Jun-2024,29-Aug-2024,1128.00,1130.00,1116.00,1117.50,1118.20,1117.50,513.00,4032.99,953400.00,289800.00,-
ICICIBANK,12-Jun-2024,25-Jul-2024,1123.90,1136.40,1119.75,1123.35,1122.80,1123.35,1517.00,11977.93,2188200.00,370300.00,-
ICICIBANK,12-Jun-2024,27-Jun-2024,1119.20,1132.55,1112.90,1118.70,1117.90,1118.70,44315.00,348019.07,68455800.00,-4389700.00,-
ICICIBANK,12-Jun-2024,29-Aug-2024,1125.00,1140.45,1123.90,1127.35,1125.90,1127.35,541.00,4283.02,663600.00,296800.00,-
ICICIBANK,11-Jun-2024,27-Jun-2024,1119.65,1128.70,1114.30,1119.70,1118.25,1119.70,22329.00,175387.97,72845500.00,218400.00,-
ICICIBANK,11-Jun-2024,29-Aug-2024,1126.65,1136.00,1125.00,1126.85,1127.55,1126.85,205.00,1622.52,366800.00,91700.00,-
ICICIBANK,11-Jun-2024,25-Jul-2024,1123.35,1133.00,1121.10,1124.15,1124.50,1124.15,1075.00,8487.04,1817900.00,172200.00,-
ICICIBANK,10-Jun-2024,27-Jun-2024,1120.35,1133.05,1117.60,1122.60,1118.40,1122.60,35893.00,282865.99,72627100.00,-4723600.00,-
ICICIBANK,10-Jun-2024,25-Jul-2024,1130.00,1137.55,1122.70,1126.60,1123.10,1126.60,1308.00,10352.15,1645700.00,18900.00,-
ICICIBANK,10-Jun-2024,29-Aug-2024,1132.10,1141.50,1126.50,1131.40,1127.20,1131.40,239.00,1900.09,275100.00,109900.00,-
ICICIBANK,07-Jun-2024,27-Jun-2024,1110.00,1128.95,1105.65,1124.60,1125.90,1124.60,40742.00,320056.25,77350700.00,-5106500.00,-
ICICIBANK,07-Jun-2024,29-Aug-2024,1120.55,1137.35,1119.55,1132.80,1133.50,1132.80,143.00,1131.17,165200.00,13300.00,-
ICICIBANK,07-Jun-2024,25-Jul-2024,1117.55,1133.20,1112.05,1129.45,1129.60,1129.45,874.00,6894.75,1626800.00,-39200.00,-
ICICIBANK,06-Jun-2024,25-Jul-2024,1119.25,1126.50,1108.20,1119.90,1119.50,1119.90,1108.00,8675.71,1666000.00,72800.00,-
ICICIBANK,06-Jun-2024,29-Aug-2024,1122.65,1130.00,1111.30,1122.45,1123.25,1122.45,209.00,1639.43,151900.00,68600.00,-
ICICIBANK,06-Jun-2024,27-Jun-2024,1117.35,1120.90,1102.00,1113.95,1114.10,1113.95,39975.00,311091.52,82457200.00,2003400.00,-
