Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ICICIBANK,28-Mar-2024,27-Jun-2024,-,-,-,-,-,-,-,-,-,-,-
ICICIBANK,28-Mar-2024,28-Mar-2024,1088.60,1106.95,1088.00,1095.15,1098.20,1093.65,33365.00,257112.27,11383400.00,-10965500.00,-
ICICIBANK,28-Mar-2024,30-May-2024,1103.55,1121.00,1103.20,1109.70,1112.00,1109.70,509.00,3968.77,742700.00,84000.00,-
ICICIBANK,28-Mar-2024,25-Apr-2024,1095.00,1113.50,1094.95,1102.20,1104.50,1102.20,68226.00,528475.12,69650000.00,7161700.00,-
ICICIBANK,27-Mar-2024,28-Mar-2024,1087.75,1090.95,1081.90,1086.80,1088.20,1086.80,47991.00,364942.63,22348900.00,-15856400.00,-
ICICIBANK,27-Mar-2024,30-May-2024,1099.30,1106.00,1096.00,1101.50,1102.00,1101.50,215.00,1656.64,658700.00,33600.00,-
ICICIBANK,27-Mar-2024,25-Apr-2024,1099.15,1099.15,1087.55,1092.90,1095.00,1092.90,52445.00,401265.97,62488300.00,14744100.00,-
ICICIBANK,26-Mar-2024,28-Mar-2024,1085.10,1090.40,1079.25,1083.60,1084.20,1083.60,62018.00,470940.31,38205300.00,-20776000.00,-
ICICIBANK,26-Mar-2024,25-Apr-2024,1092.60,1097.85,1086.05,1091.00,1091.60,1091.00,58603.00,447929.08,47744200.00,24476900.00,-
ICICIBANK,26-Mar-2024,30-May-2024,1103.05,1105.00,1095.00,1099.55,1099.75,1099.55,233.00,1794.40,625100.00,40600.00,-
ICICIBANK,22-Mar-2024,28-Mar-2024,1084.55,1095.00,1079.25,1090.15,1089.30,1090.15,48385.00,368837.56,58981300.00,-10898300.00,-
ICICIBANK,22-Mar-2024,25-Apr-2024,1093.35,1103.25,1087.55,1097.80,1097.75,1097.80,25008.00,191974.06,23267300.00,10845100.00,-
ICICIBANK,22-Mar-2024,30-May-2024,1098.55,1110.00,1096.05,1105.55,1105.65,1105.55,128.00,990.06,584500.00,42000.00,-
ICICIBANK,21-Mar-2024,28-Mar-2024,1096.00,1098.60,1081.75,1084.15,1084.50,1084.15,41169.00,314020.82,69879600.00,-4104800.00,-
ICICIBANK,21-Mar-2024,30-May-2024,1110.00,1113.60,1099.00,1100.70,1100.55,1100.70,136.00,1052.87,542500.00,39200.00,-
ICICIBANK,21-Mar-2024,25-Apr-2024,1101.00,1106.75,1089.85,1092.55,1093.00,1092.55,12067.00,92778.96,12422200.00,3724000.00,-
ICICIBANK,20-Mar-2024,30-May-2024,1099.90,1107.05,1088.00,1102.90,1102.45,1102.90,101.00,777.33,503300.00,-2100.00,-
ICICIBANK,20-Mar-2024,25-Apr-2024,1091.55,1099.85,1079.35,1094.65,1095.65,1094.65,12472.00,95279.59,8698200.00,4638900.00,-
ICICIBANK,20-Mar-2024,28-Mar-2024,1083.90,1091.70,1070.85,1086.60,1086.55,1086.60,46273.00,350920.11,73984400.00,-291200.00,-
ICICIBANK,19-Mar-2024,28-Mar-2024,1084.65,1088.85,1074.15,1084.55,1083.40,1084.55,29302.00,222343.79,74275600.00,-953400.00,-
ICICIBANK,19-Mar-2024,30-May-2024,1100.05,1104.95,1096.00,1100.65,1100.55,1100.65,51.00,392.78,505400.00,-3500.00,-
ICICIBANK,19-Mar-2024,25-Apr-2024,1089.30,1096.90,1087.65,1092.55,1091.40,1092.55,2624.00,20067.89,4059300.00,672700.00,-
ICICIBANK,18-Mar-2024,30-May-2024,1092.35,1104.00,1085.00,1100.55,1100.00,1100.55,128.00,979.55,508900.00,1400.00,-
ICICIBANK,18-Mar-2024,25-Apr-2024,1087.10,1096.50,1073.15,1092.60,1092.00,1092.60,2069.00,15757.31,3386600.00,487200.00,-
ICICIBANK,18-Mar-2024,28-Mar-2024,1081.00,1088.40,1064.40,1084.15,1084.30,1084.15,26293.00,198687.75,75229000.00,434000.00,-
ICICIBANK,15-Mar-2024,25-Apr-2024,1086.10,1095.30,1082.50,1088.25,1085.70,1088.25,2892.00,22045.85,2899400.00,581000.00,-
ICICIBANK,15-Mar-2024,30-May-2024,1097.00,1103.00,1091.00,1095.85,1095.00,1095.85,167.00,1282.49,507500.00,14700.00,-
ICICIBANK,15-Mar-2024,28-Mar-2024,1076.55,1087.10,1073.65,1080.75,1077.95,1080.75,55191.00,417551.65,74795000.00,6026300.00,-
ICICIBANK,14-Mar-2024,25-Apr-2024,1090.95,1107.50,1087.05,1094.65,1092.45,1094.65,2476.00,19048.91,2318400.00,665700.00,-
ICICIBANK,14-Mar-2024,30-May-2024,1098.00,1115.30,1096.30,1101.60,1099.00,1101.60,103.00,797.60,492800.00,5600.00,-
ICICIBANK,14-Mar-2024,28-Mar-2024,1084.65,1099.90,1079.00,1086.60,1084.90,1086.60,30738.00,234207.57,68768700.00,415100.00,-
ICICIBANK,13-Mar-2024,30-May-2024,1094.75,1107.05,1094.75,1100.95,1103.00,1100.95,65.00,501.96,487200.00,-7700.00,-
ICICIBANK,13-Mar-2024,25-Apr-2024,1086.10,1100.15,1086.10,1094.45,1092.55,1094.45,1723.00,13218.01,1652700.00,189000.00,-
ICICIBANK,13-Mar-2024,28-Mar-2024,1079.90,1092.90,1078.00,1086.30,1085.30,1086.30,47137.00,358927.90,68353600.00,-1885800.00,-
ICICIBANK,12-Mar-2024,25-Apr-2024,1087.75,1105.35,1070.00,1089.85,1089.20,1089.85,1557.00,11847.62,1463700.00,74200.00,-
ICICIBANK,12-Mar-2024,28-Mar-2024,1081.45,1098.10,1062.00,1082.30,1080.75,1082.30,49939.00,378505.02,70239400.00,-1404200.00,-
ICICIBANK,12-Mar-2024,30-May-2024,1099.15,1112.95,1077.60,1097.60,1098.05,1097.60,218.00,1667.36,494900.00,1400.00,-
ICICIBANK,11-Mar-2024,30-May-2024,1104.00,1106.85,1098.00,1099.15,1099.15,1099.15,59.00,455.06,493500.00,20300.00,-
ICICIBANK,11-Mar-2024,25-Apr-2024,1094.75,1098.80,1089.55,1091.80,1091.50,1091.80,603.00,4614.66,1389500.00,89600.00,-
ICICIBANK,11-Mar-2024,28-Mar-2024,1090.45,1091.15,1081.30,1083.60,1083.45,1083.60,18379.00,139594.68,71643600.00,239400.00,-
ICICIBANK,07-Mar-2024,25-Apr-2024,1104.75,1107.35,1095.90,1098.50,1095.90,1098.50,587.00,4523.67,1299900.00,37800.00,-
ICICIBANK,07-Mar-2024,28-Mar-2024,1094.10,1100.10,1088.25,1090.75,1088.55,1090.75,23724.00,181507.78,71404200.00,-3168900.00,-
ICICIBANK,07-Mar-2024,30-May-2024,1109.95,1115.00,1104.00,1105.55,1104.00,1105.55,41.00,317.94,473200.00,16800.00,-
ICICIBANK,06-Mar-2024,28-Mar-2024,1087.90,1115.40,1086.00,1100.75,1102.70,1100.75,54464.00,421312.34,74573100.00,-6419700.00,-
ICICIBANK,06-Mar-2024,25-Apr-2024,1095.40,1122.35,1094.80,1108.65,1109.35,1108.65,1359.00,10592.55,1262100.00,21700.00,-
ICICIBANK,06-Mar-2024,30-May-2024,1104.35,1130.00,1104.35,1115.80,1116.20,1115.80,142.00,1113.74,456400.00,18200.00,-
ICICIBANK,05-Mar-2024,30-May-2024,1102.10,1117.00,1097.50,1109.05,1110.00,1109.05,64.00,496.25,438200.00,700.00,-
ICICIBANK,05-Mar-2024,25-Apr-2024,1098.05,1110.50,1089.80,1102.40,1101.85,1102.40,1326.00,10226.14,1240400.00,280700.00,-
ICICIBANK,05-Mar-2024,28-Mar-2024,1091.70,1103.50,1082.00,1094.40,1094.10,1094.40,34400.00,263591.64,80992800.00,2123100.00,-
ICICIBANK,04-Mar-2024,25-Apr-2024,1100.00,1105.00,1095.00,1102.85,1101.55,1102.85,1166.00,8982.35,959700.00,469700.00,-
ICICIBANK,04-Mar-2024,28-Mar-2024,1088.30,1097.80,1086.10,1094.80,1094.50,1094.80,25546.00,195360.49,78869700.00,-1840300.00,-
ICICIBANK,04-Mar-2024,30-May-2024,1104.00,1111.60,1102.00,1109.35,1108.75,1109.35,649.00,5033.91,437500.00,414400.00,-
ICICIBANK,02-Mar-2024,28-Mar-2024,1090.60,1093.00,1083.80,1090.85,1090.90,1090.85,3438.00,26211.34,80710000.00,67900.00,-
ICICIBANK,02-Mar-2024,30-May-2024,1101.85,1104.65,1101.80,1103.85,1103.50,1103.85,15.00,115.83,23100.00,4900.00,-
ICICIBANK,02-Mar-2024,25-Apr-2024,1099.55,1100.00,1092.00,1099.05,1098.60,1099.05,94.00,722.57,490000.00,38500.00,-
ICICIBANK,01-Mar-2024,30-May-2024,1080.60,1106.00,1080.60,1105.55,1104.70,1105.55,43.00,329.74,18200.00,18200.00,-
ICICIBANK,01-Mar-2024,28-Mar-2024,1062.30,1092.80,1060.30,1090.20,1089.25,1090.20,44149.00,334432.41,80642100.00,-1399300.00,-
ICICIBANK,01-Mar-2024,25-Apr-2024,1070.50,1100.00,1070.45,1097.70,1096.20,1097.70,1160.00,8840.67,451500.00,147000.00,-
ICICIBANK,29-Feb-2024,29-Feb-2024,1045.90,1060.85,1040.40,1052.30,1053.15,1052.20,28511.00,210042.74,6267800.00,-10425100.00,-
ICICIBANK,29-Feb-2024,28-Mar-2024,1052.55,1066.90,1045.75,1060.30,1062.30,1060.30,63020.00,466857.77,82041400.00,17462900.00,-
ICICIBANK,29-Feb-2024,25-Apr-2024,1055.95,1073.00,1053.75,1066.45,1068.85,1066.45,407.00,3031.41,304500.00,68600.00,-
