Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ICICIBANK,30-Sep-2024,28-Nov-2024,1312.60,1312.60,1288.45,1291.25,1291.00,1291.25,975.00,8851.07,924700.00,248500.00,1369.50
ICICIBANK,30-Sep-2024,31-Oct-2024,1304.45,1305.50,1280.65,1283.20,1283.05,1283.20,45095.00,407035.63,75934600.00,3380300.00,1369.50
ICICIBANK,30-Sep-2024,26-Dec-2024,1310.40,1314.80,1295.00,1298.00,1298.30,1298.00,75.00,684.45,53200.00,43400.00,1369.50
ICICIBANK,27-Sep-2024,26-Dec-2024,1336.60,1336.60,1328.75,1330.00,1330.00,1330.00,16.00,149.25,9800.00,9800.00,1369.50
ICICIBANK,27-Sep-2024,28-Nov-2024,1336.20,1337.50,1321.80,1323.80,1324.25,1323.80,1179.00,10964.40,676200.00,301000.00,1369.50
ICICIBANK,27-Sep-2024,31-Oct-2024,1327.10,1332.95,1315.45,1317.85,1317.70,1317.85,38905.00,359913.94,72554300.00,1512000.00,1369.50
ICICIBANK,26-Sep-2024,31-Oct-2024,1321.55,1336.50,1320.80,1331.85,1331.05,1331.85,53172.00,495403.40,71042300.00,8435700.00,1369.50
ICICIBANK,26-Sep-2024,26-Sep-2024,1316.40,1332.80,1316.40,1328.20,1324.55,1329.10,26247.00,243735.93,9639700.00,-10318000.00,1369.50
ICICIBANK,26-Sep-2024,28-Nov-2024,1332.00,1341.85,1332.00,1337.15,1335.20,1337.15,173.00,1620.11,375200.00,44100.00,1369.50
ICICIBANK,25-Sep-2024,31-Oct-2024,1322.00,1333.35,1319.65,1327.30,1328.80,1327.30,46548.00,432816.79,62606600.00,7576100.00,1369.50
ICICIBANK,25-Sep-2024,28-Nov-2024,1330.00,1340.30,1329.75,1333.65,1334.20,1333.65,240.00,2243.66,331100.00,55300.00,1369.50
ICICIBANK,25-Sep-2024,26-Sep-2024,1312.60,1328.00,1312.45,1323.45,1324.80,1323.45,32160.00,297900.74,19957700.00,-13413400.00,1369.50
ICICIBANK,24-Sep-2024,28-Nov-2024,1330.45,1340.00,1329.55,1332.45,1332.15,1332.45,199.00,1857.97,275800.00,25900.00,1369.50
