Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ICICIBANK,31-Dec-2024,27-Mar-2025,1311.00,1311.00,1307.05,1307.75,1308.80,1307.75,24.00,219.85,35700.00,8400.00,1281.65
ICICIBANK,31-Dec-2024,30-Jan-2025,1297.50,1299.75,1288.95,1291.15,1292.75,1291.15,18800.00,170068.53,84886900.00,2086000.00,1281.65
ICICIBANK,31-Dec-2024,27-Feb-2025,1303.45,1305.05,1297.25,1299.65,1301.00,1299.65,1069.00,9736.34,1138200.00,529200.00,1281.65
ICICIBANK,30-Dec-2024,30-Jan-2025,1315.00,1333.35,1299.30,1305.90,1305.65,1305.90,31242.00,286958.72,82800900.00,-659400.00,1294.65
ICICIBANK,30-Dec-2024,27-Mar-2025,1333.00,1346.15,1318.35,1318.35,1318.35,1315.65,33.00,307.14,27300.00,11200.00,1294.65
ICICIBANK,30-Dec-2024,27-Feb-2025,1321.25,1341.00,1307.50,1314.30,1314.40,1314.30,888.00,8205.68,609000.00,135800.00,1294.65
ICICIBANK,27-Dec-2024,30-Jan-2025,1307.05,1324.15,1307.05,1316.85,1317.55,1316.85,15592.00,143717.06,83460300.00,282800.00,1307.55
ICICIBANK,27-Dec-2024,27-Mar-2025,1325.85,1338.05,1325.85,1333.00,1333.00,1333.00,28.00,261.15,16100.00,16100.00,1307.55
ICICIBANK,27-Dec-2024,27-Feb-2025,1316.95,1332.65,1316.90,1325.25,1324.85,1325.25,405.00,3760.07,473200.00,56000.00,1307.55
ICICIBANK,26-Dec-2024,30-Jan-2025,1309.80,1322.10,1297.50,1304.50,1306.05,1304.50,39191.00,358230.67,83177500.00,12389300.00,1297.35
ICICIBANK,26-Dec-2024,27-Feb-2025,1328.00,1329.05,1306.40,1311.20,1313.00,1311.20,301.00,2770.78,417200.00,88200.00,1297.35
ICICIBANK,26-Dec-2024,26-Dec-2024,1307.00,1312.65,1288.15,1295.75,1297.00,1297.35,28496.00,258569.55,1984500.00,-15586200.00,1297.35
ICICIBANK,24-Dec-2024,27-Feb-2025,1318.40,1318.85,1310.00,1317.20,1318.85,1317.20,202.00,1859.31,329000.00,71400.00,1297.25
ICICIBANK,24-Dec-2024,26-Dec-2024,1300.90,1302.65,1291.55,1299.70,1301.85,1299.70,34498.00,313270.34,17570700.00,-15493100.00,1297.25
ICICIBANK,24-Dec-2024,30-Jan-2025,1309.95,1310.90,1300.55,1308.50,1310.05,1308.50,35781.00,327159.87,70788200.00,14063700.00,1297.25
ICICIBANK,23-Dec-2024,26-Dec-2024,1293.50,1305.75,1288.45,1298.30,1300.75,1298.30,35750.00,324502.77,33063800.00,-15859200.00,1296.80
ICICIBANK,23-Dec-2024,30-Jan-2025,1304.95,1314.90,1298.00,1307.40,1309.00,1307.40,36406.00,332747.98,56724500.00,17208100.00,1296.80
ICICIBANK,23-Dec-2024,27-Feb-2025,1313.10,1322.65,1307.50,1316.55,1317.10,1316.55,154.00,1418.55,257600.00,1400.00,1296.80
ICICIBANK,20-Dec-2024,26-Dec-2024,1287.55,1296.80,1271.35,1286.75,1290.10,1286.75,67751.00,610049.48,48923000.00,-20752900.00,1288.40
ICICIBANK,20-Dec-2024,27-Feb-2025,1308.75,1313.50,1290.00,1300.05,1305.05,1300.05,211.00,1923.23,256200.00,48300.00,1288.40
ICICIBANK,20-Dec-2024,30-Jan-2025,1299.60,1306.55,1280.10,1295.80,1298.15,1295.80,48333.00,438233.83,39516400.00,20803300.00,1288.40
ICICIBANK,19-Dec-2024,26-Dec-2024,1292.50,1305.80,1287.85,1290.30,1291.50,1290.30,36876.00,334127.63,69675900.00,-2202900.00,1286.90
ICICIBANK,19-Dec-2024,30-Jan-2025,1302.00,1315.85,1297.75,1299.95,1301.70,1299.95,14691.00,134097.10,18713100.00,7428400.00,1286.90
ICICIBANK,19-Dec-2024,27-Feb-2025,1316.80,1322.05,1306.55,1308.75,1310.35,1308.75,109.00,1001.52,207900.00,41300.00,1286.90
ICICIBANK,18-Dec-2024,27-Feb-2025,1354.95,1356.00,1330.00,1337.15,1338.00,1337.15,143.00,1339.27,166600.00,28000.00,1314.15
