Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
INFY,28-Jun-2024,26-Sep-2024,1611.00,1611.00,1593.70,1594.50,1595.60,1594.50,58.00,371.56,19200.00,19200.00,1545.00
INFY,28-Jun-2024,29-Aug-2024,1583.90,1601.00,1581.65,1583.50,1585.00,1583.50,1021.00,6494.45,647600.00,132400.00,1545.00
INFY,28-Jun-2024,25-Jul-2024,1576.55,1590.45,1570.00,1573.00,1574.00,1573.00,26429.00,166908.32,48808400.00,-240000.00,1545.00
INFY,27-Jun-2024,29-Aug-2024,1554.75,1595.00,1550.00,1591.20,1588.00,1591.20,881.00,5559.29,515200.00,16400.00,1545.00
INFY,27-Jun-2024,25-Jul-2024,1537.70,1584.65,1537.70,1579.40,1576.35,1579.40,65043.00,407559.23,49048400.00,8285200.00,1545.00
INFY,27-Jun-2024,27-Jun-2024,1534.05,1573.50,1529.00,1569.15,1566.70,1573.35,32217.00,200151.01,7364800.00,-1213600.00,1545.00
INFY,27-Jun-2024,26-Sep-2024,-,-,-,-,-,-,-,-,-,-,1545.00
INFY,26-Jun-2024,25-Jul-2024,1550.00,1555.00,1541.80,1546.25,1545.10,1546.25,39431.00,244230.91,40763200.00,7564000.00,1545.00
INFY,26-Jun-2024,27-Jun-2024,1538.95,1545.55,1524.20,1536.60,1535.80,1536.60,31292.00,192618.32,8578400.00,-7618800.00,1545.00
INFY,26-Jun-2024,29-Aug-2024,1559.05,1565.80,1554.15,1557.55,1555.00,1557.55,372.00,2321.58,498800.00,63600.00,1545.00
INFY,25-Jun-2024,27-Jun-2024,1522.65,1539.20,1516.90,1537.65,1538.40,1537.65,42904.00,262587.16,16197200.00,-10128400.00,1545.00
INFY,25-Jun-2024,25-Jul-2024,1527.45,1549.60,1527.40,1547.85,1548.00,1547.85,43638.00,268834.42,33199200.00,12096800.00,1545.00
INFY,25-Jun-2024,29-Aug-2024,1544.65,1560.50,1540.20,1559.05,1558.40,1559.05,337.00,2091.66,435200.00,18000.00,1545.00
INFY,24-Jun-2024,27-Jun-2024,1521.80,1526.20,1514.75,1522.65,1521.30,1522.65,48524.00,294981.54,26325600.00,-11798000.00,1545.00
INFY,24-Jun-2024,25-Jul-2024,1531.85,1536.20,1524.45,1532.80,1531.95,1532.80,45825.00,280314.61,21102400.00,12936800.00,1545.00
INFY,24-Jun-2024,29-Aug-2024,1540.00,1547.25,1537.50,1544.05,1542.60,1544.05,209.00,1288.26,417200.00,29600.00,1545.00
INFY,21-Jun-2024,25-Jul-2024,1548.70,1564.85,1533.00,1539.60,1535.70,1539.60,19070.00,118065.46,8165600.00,2338000.00,1545.00
INFY,21-Jun-2024,29-Aug-2024,1548.00,1576.00,1540.00,1549.50,1547.10,1549.50,551.00,3442.55,387600.00,12000.00,1545.00
INFY,21-Jun-2024,27-Jun-2024,1548.05,1555.15,1523.05,1530.45,1525.15,1530.45,65018.00,400136.95,38123600.00,-4372800.00,1545.00
INFY,20-Jun-2024,27-Jun-2024,1515.05,1516.00,1501.00,1514.45,1515.10,1514.45,24212.00,146243.70,42496400.00,-1461600.00,1545.00
INFY,20-Jun-2024,25-Jul-2024,1524.80,1525.60,1511.40,1524.50,1525.20,1524.50,7896.00,48010.71,5827600.00,1649200.00,1545.00
INFY,20-Jun-2024,29-Aug-2024,1532.00,1537.75,1522.30,1536.30,1537.00,1536.30,265.00,1623.63,375600.00,42800.00,1545.00
INFY,19-Jun-2024,29-Aug-2024,1529.95,1538.70,1520.50,1532.25,1530.40,1532.25,403.00,2469.85,332800.00,-16800.00,1545.00
INFY,19-Jun-2024,27-Jun-2024,1509.00,1517.90,1500.40,1510.80,1509.50,1510.80,21239.00,128249.01,43958000.00,-839200.00,1545.00
INFY,19-Jun-2024,25-Jul-2024,1517.15,1527.65,1511.00,1520.95,1519.80,1520.95,5893.00,35831.33,4178400.00,915200.00,1545.00
INFY,18-Jun-2024,27-Jun-2024,1500.05,1509.80,1498.55,1502.60,1503.05,1502.60,16565.00,99708.83,44797200.00,-572800.00,1545.00
INFY,18-Jun-2024,25-Jul-2024,1511.35,1520.85,1510.00,1512.50,1512.70,1512.50,3911.00,23694.78,3263200.00,632400.00,1545.00
INFY,18-Jun-2024,29-Aug-2024,1524.00,1530.95,1521.20,1523.95,1524.65,1523.95,204.00,1245.73,349600.00,2000.00,1545.00
INFY,14-Jun-2024,25-Jul-2024,1511.00,1513.00,1499.30,1500.35,1501.20,1500.35,1539.00,9252.01,2630800.00,202800.00,1545.00
INFY,14-Jun-2024,29-Aug-2024,1524.50,1524.50,1511.35,1512.05,1512.50,1512.05,146.00,884.16,347600.00,14000.00,1545.00
