Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
INFY,31-Mar-2020,28-May-2020,643.55,667.00,640.10,646.35,645.65,646.35,266.00,2083.08,211200.00,85200.00,1545.00
INFY,31-Mar-2020,25-Jun-2020,660.00,661.55,660.00,661.55,661.55,648.50,2.00,15.86,10800.00,2400.00,1545.00
INFY,31-Mar-2020,30-Apr-2020,646.55,665.25,636.40,643.75,642.80,643.75,13203.00,103233.39,36794400.00,2953200.00,1545.00
INFY,30-Mar-2020,25-Jun-2020,656.40,656.50,655.00,655.00,655.00,633.70,7.00,55.12,8400.00,8400.00,1545.00
INFY,30-Mar-2020,28-May-2020,645.25,667.90,628.25,631.10,630.00,631.10,183.00,1428.10,126000.00,39600.00,1545.00
INFY,30-Mar-2020,30-Apr-2020,634.80,669.55,625.60,630.30,626.50,630.30,14517.00,112139.49,33841200.00,4029600.00,1545.00
INFY,27-Mar-2020,30-Apr-2020,666.05,679.40,647.45,657.45,660.00,657.45,11567.00,91531.80,29811600.00,1941600.00,1545.00
INFY,27-Mar-2020,25-Jun-2020,-,-,-,653.05,-,660.25,-,-,-,-,1545.00
INFY,27-Mar-2020,28-May-2020,671.00,677.35,649.35,662.35,661.00,662.35,125.00,990.32,86400.00,15600.00,1545.00
INFY,26-Mar-2020,25-Jun-2020,-,-,-,-,-,-,-,-,-,-,1545.00
INFY,26-Mar-2020,28-May-2020,637.30,655.00,620.00,648.15,644.60,648.15,90.00,693.91,70800.00,14400.00,1545.00
INFY,26-Mar-2020,30-Apr-2020,624.20,655.85,620.65,649.60,646.50,649.60,13392.00,103578.01,27870000.00,2764800.00,1545.00
INFY,26-Mar-2020,26-Mar-2020,619.20,650.85,615.05,643.70,638.45,643.15,7206.00,55217.94,1731600.00,-3070800.00,1545.00
INFY,25-Mar-2020,30-Apr-2020,601.00,638.00,570.25,614.10,611.55,614.10,13826.00,98717.88,25105200.00,6969600.00,1545.00
INFY,25-Mar-2020,28-May-2020,610.00,635.65,572.90,613.60,614.00,613.60,57.00,410.86,56400.00,3600.00,1545.00
INFY,25-Mar-2020,26-Mar-2020,599.55,633.00,566.15,609.35,610.00,609.35,14791.00,104691.83,4802400.00,-7238400.00,1545.00
INFY,24-Mar-2020,28-May-2020,531.60,604.40,531.60,594.95,600.00,594.95,27.00,184.14,52800.00,-3600.00,1545.00
