Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
INFY,30-Sep-2024,26-Dec-2024,1899.00,1916.80,1890.10,1896.70,1896.15,1896.70,47.00,358.08,30800.00,11200.00,1545.00
INFY,30-Sep-2024,28-Nov-2024,1889.85,1907.40,1878.05,1884.50,1885.85,1884.50,1010.00,7637.29,916400.00,211200.00,1545.00
INFY,30-Sep-2024,31-Oct-2024,1885.50,1897.90,1866.55,1873.90,1875.65,1873.90,23441.00,176289.47,52634000.00,1125600.00,1545.00
INFY,27-Sep-2024,28-Nov-2024,1930.00,1980.00,1912.55,1916.20,1916.00,1916.20,1538.00,11959.71,705200.00,104000.00,1545.00
INFY,27-Sep-2024,26-Dec-2024,1957.95,1982.50,1924.90,1927.80,1927.30,1927.80,77.00,601.02,19600.00,19600.00,1545.00
INFY,27-Sep-2024,31-Oct-2024,1925.00,1970.90,1902.35,1905.95,1908.00,1905.95,49261.00,380180.02,51508400.00,2580000.00,1545.00
INFY,26-Sep-2024,31-Oct-2024,1892.00,1911.30,1887.60,1895.95,1889.20,1895.95,50057.00,380516.23,48928400.00,8105600.00,1545.00
INFY,26-Sep-2024,28-Nov-2024,1909.00,1921.00,1900.00,1905.50,1900.00,1905.50,936.00,7164.80,601200.00,146000.00,1545.00
INFY,26-Sep-2024,26-Sep-2024,1897.25,1918.10,1894.55,1900.10,1899.25,1900.25,21287.00,162502.61,564000.00,-6005600.00,1545.00
INFY,25-Sep-2024,28-Nov-2024,1898.75,1905.55,1881.00,1901.40,1897.40,1901.40,691.00,5244.99,455200.00,169200.00,1545.00
INFY,25-Sep-2024,26-Sep-2024,1894.70,1902.75,1878.50,1894.10,1896.20,1894.10,29117.00,220096.66,6569600.00,-9051600.00,1545.00
INFY,25-Sep-2024,31-Oct-2024,1890.70,1897.50,1872.25,1888.95,1891.15,1888.95,32299.00,243419.77,40822800.00,7945200.00,1545.00
INFY,24-Sep-2024,31-Oct-2024,1881.90,1907.70,1866.60,1895.70,1896.60,1895.70,40871.00,308134.64,32877600.00,11182000.00,1545.00
INFY,24-Sep-2024,26-Sep-2024,1890.00,1912.70,1873.15,1901.70,1904.20,1901.70,37965.00,287016.54,15621200.00,-10411200.00,1545.00
INFY,24-Sep-2024,28-Nov-2024,1888.90,1915.00,1876.85,1904.05,1904.00,1904.05,260.00,1968.14,286000.00,14000.00,1545.00
INFY,23-Sep-2024,28-Nov-2024,1919.00,1919.00,1885.00,1896.50,1895.00,1896.50,235.00,1781.63,272000.00,32400.00,1545.00
INFY,23-Sep-2024,26-Sep-2024,1916.25,1922.00,1881.85,1895.20,1894.85,1895.20,31444.00,237995.21,26032400.00,-9524800.00,1545.00
INFY,23-Sep-2024,31-Oct-2024,1912.40,1915.00,1874.50,1888.15,1887.00,1888.15,28752.00,216739.38,21695600.00,9517200.00,1545.00
INFY,20-Sep-2024,28-Nov-2024,1913.75,1914.65,1874.55,1911.25,1914.00,1911.25,260.00,1977.01,239600.00,19200.00,1545.00
INFY,20-Sep-2024,31-Oct-2024,1899.80,1907.00,1863.90,1901.90,1905.95,1901.90,17683.00,133835.45,12178400.00,4457600.00,1545.00
INFY,20-Sep-2024,26-Sep-2024,1909.95,1914.20,1871.05,1908.60,1913.00,1908.60,53273.00,404696.15,35557200.00,-3355600.00,1545.00
INFY,19-Sep-2024,26-Sep-2024,1910.90,1925.55,1883.25,1898.80,1901.60,1898.80,34667.00,263842.23,38912800.00,-1700400.00,1545.00
INFY,19-Sep-2024,28-Nov-2024,1915.95,1929.00,1887.20,1902.55,1906.00,1902.55,276.00,2108.73,220400.00,36400.00,1545.00
INFY,19-Sep-2024,31-Oct-2024,1909.95,1918.00,1875.95,1891.70,1896.20,1891.70,11424.00,86463.01,7720800.00,2950000.00,1545.00
INFY,18-Sep-2024,26-Sep-2024,1940.50,1940.50,1885.15,1896.60,1895.90,1896.60,29131.00,221977.65,40613200.00,-864400.00,1545.00
INFY,18-Sep-2024,28-Nov-2024,1935.00,1941.05,1889.20,1899.30,1900.50,1899.30,380.00,2897.97,184000.00,76400.00,1545.00
INFY,18-Sep-2024,31-Oct-2024,1931.50,1931.55,1878.00,1888.70,1888.35,1888.70,7647.00,57942.00,4770800.00,2171600.00,1545.00
INFY,17-Sep-2024,31-Oct-2024,1944.25,1951.00,1938.10,1946.00,1945.00,1946.00,1297.00,10091.12,2599200.00,236800.00,1545.00
INFY,17-Sep-2024,28-Nov-2024,1952.00,1961.05,1949.95,1957.10,1957.50,1957.10,173.00,1353.43,107600.00,35200.00,1545.00
INFY,17-Sep-2024,26-Sep-2024,1952.45,1958.55,1945.50,1952.95,1951.60,1952.95,8744.00,68273.39,41477600.00,-243200.00,1545.00
INFY,16-Sep-2024,26-Sep-2024,1950.20,1955.00,1936.05,1951.45,1950.40,1951.45,10887.00,84785.20,41720800.00,-1000400.00,1545.00
INFY,16-Sep-2024,28-Nov-2024,1952.70,1956.10,1941.00,1955.15,1953.50,1955.15,48.00,374.65,72400.00,2800.00,1545.00
INFY,16-Sep-2024,31-Oct-2024,1941.30,1947.25,1929.00,1944.25,1944.00,1944.25,709.00,5500.00,2362400.00,60800.00,1545.00
INFY,13-Sep-2024,26-Sep-2024,1953.25,1960.50,1940.90,1948.45,1948.10,1948.45,14298.00,111611.79,42721200.00,-352000.00,1545.00
INFY,13-Sep-2024,31-Oct-2024,1941.45,1952.00,1933.25,1940.60,1940.00,1940.60,809.00,6287.61,2301600.00,42400.00,1545.00
INFY,13-Sep-2024,28-Nov-2024,1951.30,1962.00,1946.65,1951.95,1952.00,1951.95,65.00,508.49,69600.00,2000.00,1545.00
INFY,12-Sep-2024,26-Sep-2024,1930.05,1957.80,1917.00,1952.30,1946.90,1952.30,33362.00,258768.27,43073200.00,483200.00,1545.00
INFY,12-Sep-2024,31-Oct-2024,1927.80,1949.15,1909.45,1943.65,1939.00,1943.65,2837.00,21837.00,2259200.00,614000.00,1545.00
INFY,12-Sep-2024,28-Nov-2024,1936.80,1960.95,1922.55,1956.75,1950.15,1956.75,97.00,753.02,67600.00,4800.00,1545.00
INFY,11-Sep-2024,26-Sep-2024,1922.35,1932.90,1910.70,1916.35,1918.55,1916.35,15113.00,116107.89,42590000.00,450400.00,1545.00
INFY,11-Sep-2024,31-Oct-2024,1915.00,1925.00,1904.00,1909.10,1911.95,1909.10,1075.00,8239.42,1645200.00,236400.00,1545.00
INFY,11-Sep-2024,28-Nov-2024,1928.05,1936.50,1917.00,1920.35,1921.40,1920.35,30.00,231.13,62800.00,1600.00,1545.00
INFY,10-Sep-2024,31-Oct-2024,1901.05,1934.40,1894.85,1912.85,1915.00,1912.85,1283.00,9849.86,1408800.00,173200.00,1545.00
INFY,10-Sep-2024,28-Nov-2024,1912.60,1944.80,1912.35,1926.20,1925.25,1926.20,98.00,757.34,61200.00,2000.00,1545.00
INFY,10-Sep-2024,26-Sep-2024,1909.00,1941.45,1902.00,1919.90,1923.00,1919.90,23147.00,178215.85,42139600.00,-59200.00,1545.00
INFY,09-Sep-2024,26-Sep-2024,1899.00,1926.95,1895.00,1903.30,1910.55,1903.30,17916.00,137109.40,42198800.00,79600.00,1545.00
INFY,09-Sep-2024,28-Nov-2024,1914.90,1931.45,1902.35,1908.60,1913.35,1908.60,76.00,582.69,59200.00,3600.00,1545.00
INFY,09-Sep-2024,31-Oct-2024,1891.75,1919.15,1889.00,1895.30,1901.00,1895.30,1745.00,13278.77,1235600.00,426000.00,1545.00
INFY,06-Sep-2024,28-Nov-2024,1942.30,1946.30,1910.00,1912.85,1914.40,1912.85,69.00,529.90,55600.00,6000.00,1545.00
INFY,06-Sep-2024,26-Sep-2024,1929.00,1944.75,1903.20,1907.60,1910.00,1907.60,28036.00,214941.03,42119200.00,-416000.00,1545.00
INFY,06-Sep-2024,31-Oct-2024,1927.15,1937.95,1897.95,1900.85,1903.15,1900.85,847.00,6477.09,809600.00,-14800.00,1545.00
INFY,05-Sep-2024,26-Sep-2024,1933.20,1944.00,1920.00,1939.35,1942.00,1939.35,20081.00,155230.02,42535200.00,374800.00,1545.00
INFY,05-Sep-2024,28-Nov-2024,1940.95,1948.60,1926.00,1946.30,1946.20,1946.30,45.00,348.65,49600.00,2400.00,1545.00
INFY,05-Sep-2024,31-Oct-2024,1928.85,1937.00,1913.10,1933.55,1934.55,1933.55,878.00,6756.09,824400.00,147600.00,1545.00
INFY,04-Sep-2024,28-Nov-2024,1928.00,1934.25,1916.00,1931.45,1929.25,1931.45,125.00,962.72,47200.00,18800.00,1545.00
INFY,04-Sep-2024,26-Sep-2024,1940.05,1940.05,1910.00,1927.95,1926.50,1927.95,26087.00,200396.94,42160400.00,-185200.00,1545.00
INFY,04-Sep-2024,31-Oct-2024,1925.95,1925.95,1903.15,1921.35,1920.65,1921.35,1134.00,8678.61,676800.00,101600.00,1545.00
INFY,03-Sep-2024,31-Oct-2024,1968.00,1968.00,1940.65,1945.90,1942.20,1945.90,1029.00,8053.72,575200.00,172000.00,1545.00
INFY,03-Sep-2024,28-Nov-2024,1966.45,1977.00,1954.60,1958.10,1954.60,1958.10,61.00,479.85,28400.00,12400.00,1545.00
INFY,03-Sep-2024,26-Sep-2024,1969.95,1975.00,1947.75,1952.75,1951.80,1952.75,17001.00,133425.04,42345600.00,-4800.00,1545.00
INFY,02-Sep-2024,28-Nov-2024,1964.00,1986.35,1956.00,1974.60,1974.25,1974.60,80.00,631.95,16000.00,11200.00,1545.00
INFY,02-Sep-2024,26-Sep-2024,1960.00,1981.90,1950.85,1970.40,1967.55,1970.40,20177.00,158817.20,42350400.00,1078400.00,1545.00
INFY,02-Sep-2024,31-Oct-2024,1951.30,1975.50,1946.00,1965.20,1962.00,1965.20,754.00,5917.26,403200.00,46800.00,1545.00
INFY,30-Aug-2024,31-Oct-2024,1938.10,1957.95,1932.75,1950.85,1956.60,1950.85,489.00,3802.08,356400.00,15200.00,1545.00
INFY,30-Aug-2024,26-Sep-2024,1925.05,1964.15,1925.05,1957.00,1964.00,1957.00,23414.00,182737.80,41272000.00,-84800.00,1545.00
INFY,30-Aug-2024,28-Nov-2024,1952.35,1966.00,1944.25,1963.00,1966.00,1963.00,19.00,148.56,4800.00,4800.00,1545.00
INFY,29-Aug-2024,31-Oct-2024,1940.00,1953.00,1925.70,1936.75,1933.00,1936.75,425.00,3299.15,341200.00,44800.00,1545.00
INFY,29-Aug-2024,26-Sep-2024,1943.05,1959.75,1930.70,1942.15,1937.40,1942.15,37029.00,288244.59,41356800.00,5767600.00,1545.00
INFY,29-Aug-2024,29-Aug-2024,1938.30,1946.00,1918.05,1929.80,1925.20,1933.35,22024.00,170304.94,6586000.00,-3040400.00,1545.00
INFY,28-Aug-2024,26-Sep-2024,1911.00,1964.75,1908.55,1948.35,1951.40,1948.35,42042.00,326848.34,35589200.00,9051600.00,1545.00
INFY,28-Aug-2024,31-Oct-2024,1909.75,1957.95,1903.00,1942.60,1945.20,1942.60,741.00,5742.33,296400.00,16000.00,1545.00
INFY,28-Aug-2024,29-Aug-2024,1902.55,1953.00,1897.55,1936.15,1940.25,1936.15,36253.00,280248.11,9626400.00,-7896000.00,1545.00
INFY,27-Aug-2024,31-Oct-2024,1882.25,1907.15,1882.25,1905.20,1902.50,1905.20,407.00,3092.22,280400.00,57200.00,1545.00
INFY,27-Aug-2024,29-Aug-2024,1879.25,1900.65,1873.05,1898.55,1895.80,1898.55,32382.00,245128.27,17522400.00,-8154800.00,1545.00
INFY,27-Aug-2024,26-Sep-2024,1889.25,1911.95,1883.95,1909.75,1908.35,1909.75,29883.00,227492.21,26537600.00,9526400.00,1545.00
INFY,26-Aug-2024,29-Aug-2024,1866.55,1890.40,1866.20,1878.20,1878.85,1878.20,38244.00,287907.51,25677200.00,-10734800.00,1545.00
INFY,26-Aug-2024,31-Oct-2024,1878.90,1894.95,1878.90,1883.35,1886.00,1883.35,214.00,1615.02,223200.00,8800.00,1545.00
INFY,26-Aug-2024,26-Sep-2024,1884.00,1901.10,1872.65,1889.25,1890.50,1889.25,32126.00,243301.57,17011200.00,10726000.00,1545.00
INFY,23-Aug-2024,26-Sep-2024,1888.00,1890.00,1870.00,1876.45,1878.25,1876.45,11826.00,88843.40,6285200.00,3121200.00,1545.00
INFY,23-Aug-2024,31-Oct-2024,1878.15,1879.90,1865.00,1871.75,1872.45,1871.75,166.00,1243.17,214400.00,16800.00,1545.00
INFY,23-Aug-2024,29-Aug-2024,1878.50,1880.95,1858.65,1865.65,1867.50,1865.65,22380.00,167140.42,36412000.00,-2322800.00,1545.00
