Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
INFY,31-Dec-2020,28-Jan-2021,1251.00,1260.90,1243.30,1258.40,1256.00,1258.40,24464.00,183455.87,34492200.00,7544400.00,1545.00
INFY,31-Dec-2020,25-Feb-2021,1252.50,1264.85,1248.00,1262.70,1261.95,1262.70,163.00,1228.77,216600.00,31800.00,1545.00
INFY,31-Dec-2020,25-Mar-2021,-,-,-,-,-,-,-,-,-,-,1545.00
INFY,31-Dec-2020,31-Dec-2020,1241.20,1256.75,1234.95,1253.10,1253.00,1255.80,16007.00,119512.77,1522800.00,-5832600.00,1545.00
INFY,30-Dec-2020,25-Feb-2021,1258.00,1263.00,1249.95,1255.50,1254.20,1255.50,93.00,701.65,184800.00,9000.00,1545.00
INFY,30-Dec-2020,28-Jan-2021,1255.95,1259.20,1243.85,1251.50,1249.80,1251.50,18366.00,138119.73,26947800.00,6009600.00,1545.00
INFY,30-Dec-2020,31-Dec-2020,1252.05,1253.95,1238.50,1246.65,1245.50,1246.65,16524.00,123769.58,7355400.00,-5742000.00,1545.00
INFY,29-Dec-2020,25-Feb-2021,1257.00,1265.45,1252.10,1260.45,1260.45,1260.45,109.00,823.17,175800.00,1800.00,1545.00
INFY,29-Dec-2020,31-Dec-2020,1240.05,1256.50,1239.10,1250.80,1249.20,1250.80,24402.00,182768.14,13097400.00,-8154000.00,1545.00
INFY,29-Dec-2020,28-Jan-2021,1243.70,1261.40,1243.65,1256.05,1255.00,1256.05,21129.00,158900.13,20938200.00,8373000.00,1545.00
INFY,28-Dec-2020,31-Dec-2020,1242.90,1247.90,1237.20,1240.85,1240.85,1240.85,20126.00,149872.79,21251400.00,-6612000.00,1545.00
INFY,28-Dec-2020,25-Feb-2021,1252.20,1257.05,1247.00,1250.00,1250.55,1250.00,105.00,788.90,174000.00,23400.00,1545.00
INFY,28-Dec-2020,28-Jan-2021,1241.30,1252.05,1241.30,1245.75,1245.90,1245.75,14990.00,112034.10,12565200.00,6246600.00,1545.00
INFY,24-Dec-2020,28-Jan-2021,1250.25,1254.00,1230.50,1241.30,1241.45,1241.30,7787.00,57983.07,6318600.00,1611600.00,1545.00
INFY,24-Dec-2020,31-Dec-2020,1245.20,1247.40,1226.10,1236.45,1236.40,1236.45,18369.00,136284.04,27863400.00,-2115600.00,1545.00
INFY,24-Dec-2020,25-Feb-2021,1246.40,1254.00,1235.00,1246.20,1245.65,1246.20,132.00,985.93,150600.00,45600.00,1545.00
INFY,23-Dec-2020,31-Dec-2020,1235.95,1259.00,1230.80,1253.20,1252.10,1253.20,29282.00,218873.46,29979000.00,-2976000.00,1545.00
INFY,23-Dec-2020,28-Jan-2021,1242.75,1263.90,1235.80,1258.50,1256.65,1258.50,6878.00,51608.20,4707000.00,1455600.00,1545.00
INFY,23-Dec-2020,25-Feb-2021,1253.80,1265.00,1243.00,1261.50,1259.25,1261.50,187.00,1405.21,105000.00,16800.00,1545.00
INFY,22-Dec-2020,25-Feb-2021,1195.25,1232.00,1189.20,1229.35,1228.00,1229.35,169.00,1226.53,88200.00,-1800.00,1545.00
