Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ITC,30-Jun-2022,25-Aug-2022,275.45,275.45,272.10,273.20,272.70,273.20,269.00,2357.16,1302400.00,272000.00,-
ITC,30-Jun-2022,30-Jun-2022,272.75,273.70,270.65,273.10,272.20,273.50,10318.00,89939.84,3833600.00,-19603200.00,-
ITC,30-Jun-2022,28-Jul-2022,274.00,274.60,271.15,272.55,271.70,272.55,14564.00,127166.42,86272000.00,16240000.00,-
ITC,29-Jun-2022,30-Jun-2022,269.65,273.15,269.05,272.70,272.15,272.70,9198.00,79744.68,23436800.00,-16249600.00,-
ITC,29-Jun-2022,28-Jul-2022,270.70,274.40,270.05,273.85,273.45,273.85,10664.00,92819.43,70032000.00,16931200.00,-
ITC,29-Jun-2022,25-Aug-2022,272.15,275.20,271.45,274.85,274.35,274.85,152.00,1329.41,1030400.00,147200.00,-
ITC,28-Jun-2022,28-Jul-2022,270.00,272.90,269.80,272.45,272.40,272.45,12411.00,107835.33,53100800.00,24697600.00,-
ITC,28-Jun-2022,25-Aug-2022,268.00,273.60,268.00,273.25,273.05,273.25,172.00,1499.82,883200.00,208000.00,-
ITC,28-Jun-2022,30-Jun-2022,268.05,272.05,268.05,271.50,271.45,271.50,11945.00,103476.93,39686400.00,-23177600.00,-
ITC,27-Jun-2022,28-Jul-2022,268.00,271.50,267.95,270.75,270.75,270.75,7046.00,60891.18,28403200.00,12252800.00,-
ITC,27-Jun-2022,30-Jun-2022,267.10,270.80,267.00,270.00,269.95,270.00,8673.00,74749.70,62864000.00,-14908800.00,-
ITC,27-Jun-2022,25-Aug-2022,269.15,272.25,268.85,271.50,271.55,271.50,119.00,1030.28,675200.00,41600.00,-
ITC,24-Jun-2022,25-Aug-2022,269.85,270.00,267.50,267.95,268.05,267.95,117.00,1005.39,633600.00,64000.00,-
ITC,24-Jun-2022,30-Jun-2022,267.95,268.80,265.70,266.40,266.70,266.40,4212.00,35988.03,77772800.00,-5452800.00,-
ITC,24-Jun-2022,28-Jul-2022,268.00,269.55,266.45,267.15,267.35,267.15,3270.00,28011.21,16150400.00,4825600.00,-
ITC,23-Jun-2022,25-Aug-2022,267.50,268.65,264.50,267.80,268.40,267.80,106.00,905.80,569600.00,12800.00,-
ITC,23-Jun-2022,30-Jun-2022,265.60,267.15,262.75,266.05,266.95,266.05,4077.00,34599.32,83225600.00,-1417600.00,-
ITC,23-Jun-2022,28-Jul-2022,267.15,268.00,263.55,266.90,267.80,266.90,2249.00,19139.65,11324800.00,1523200.00,-
ITC,22-Jun-2022,28-Jul-2022,270.05,271.00,265.70,265.95,265.75,265.95,1278.00,10959.59,9801600.00,1392000.00,-
ITC,22-Jun-2022,25-Aug-2022,270.50,271.15,266.80,266.85,266.85,266.85,92.00,791.88,556800.00,54400.00,-
ITC,22-Jun-2022,30-Jun-2022,268.80,270.20,264.80,265.15,265.00,265.15,4983.00,42640.90,84643200.00,243200.00,-
ITC,21-Jun-2022,28-Jul-2022,265.50,271.70,265.20,270.60,270.55,270.60,1300.00,11194.82,8409600.00,892800.00,-
ITC,21-Jun-2022,30-Jun-2022,264.65,271.00,264.35,269.85,269.85,269.85,6395.00,54874.39,84400000.00,-9600.00,-
ITC,21-Jun-2022,25-Aug-2022,267.45,272.45,266.10,271.60,271.50,271.60,93.00,802.70,502400.00,-9600.00,-
ITC,20-Jun-2022,25-Aug-2022,265.00,267.65,263.35,265.65,266.00,265.65,51.00,432.86,512000.00,16000.00,-
ITC,20-Jun-2022,30-Jun-2022,263.95,266.00,261.35,263.90,264.10,263.90,7287.00,61480.11,84409600.00,761600.00,-
ITC,20-Jun-2022,28-Jul-2022,263.70,266.70,262.20,264.75,264.75,264.75,1321.00,11172.14,7516800.00,931200.00,-
ITC,17-Jun-2022,30-Jun-2022,260.00,264.40,258.90,263.40,263.70,263.40,6797.00,57133.64,83648000.00,390400.00,-
ITC,17-Jun-2022,28-Jul-2022,261.05,265.10,260.40,264.25,264.60,264.25,958.00,8071.76,6585600.00,672000.00,-
ITC,17-Jun-2022,25-Aug-2022,263.00,265.60,261.25,265.00,265.30,265.00,69.00,583.81,496000.00,3200.00,-
ITC,16-Jun-2022,25-Aug-2022,267.60,269.65,262.10,263.10,263.15,263.10,82.00,697.54,492800.00,32000.00,-
ITC,16-Jun-2022,30-Jun-2022,266.00,268.05,260.10,261.15,261.00,261.15,7343.00,61914.87,83257600.00,-406400.00,-
ITC,16-Jun-2022,28-Jul-2022,267.10,268.85,261.10,262.05,262.00,262.05,971.00,8195.46,5913600.00,700800.00,-
ITC,15-Jun-2022,25-Aug-2022,268.20,268.35,265.65,265.75,265.80,265.75,38.00,324.68,460800.00,60800.00,-
ITC,15-Jun-2022,30-Jun-2022,266.60,267.50,263.65,264.05,264.10,264.05,2922.00,24815.28,83664000.00,361600.00,-
ITC,15-Jun-2022,28-Jul-2022,268.15,268.15,264.60,264.90,264.85,264.90,276.00,2352.30,5212800.00,243200.00,-
ITC,14-Jun-2022,25-Aug-2022,267.05,269.35,266.00,267.10,267.65,267.10,34.00,290.57,400000.00,22400.00,-
ITC,14-Jun-2022,28-Jul-2022,264.30,268.55,264.25,266.80,267.05,266.80,369.00,3153.60,4969600.00,268800.00,-
ITC,14-Jun-2022,30-Jun-2022,263.20,267.90,263.20,265.85,266.10,265.85,3239.00,27580.64,83302400.00,-403200.00,-
ITC,13-Jun-2022,30-Jun-2022,267.05,269.80,263.65,265.40,265.60,265.40,5165.00,44053.96,83705600.00,1481600.00,-
ITC,13-Jun-2022,28-Jul-2022,268.00,270.45,264.65,266.15,266.25,266.15,578.00,4938.15,4700800.00,355200.00,-
ITC,13-Jun-2022,25-Aug-2022,269.90,270.55,265.45,267.00,267.10,267.00,43.00,368.67,377600.00,6400.00,-
ITC,10-Jun-2022,30-Jun-2022,271.30,271.35,269.25,270.50,270.60,270.50,3994.00,34536.32,82224000.00,230400.00,-
ITC,10-Jun-2022,28-Jul-2022,272.25,272.25,270.20,271.40,271.35,271.40,261.00,2264.54,4345600.00,182400.00,-
ITC,10-Jun-2022,25-Aug-2022,272.25,272.40,271.10,272.20,272.35,272.20,23.00,200.07,371200.00,35200.00,-
ITC,09-Jun-2022,30-Jun-2022,267.95,272.00,266.70,271.10,271.65,271.10,4603.00,39776.76,81993600.00,-841600.00,-
ITC,09-Jun-2022,28-Jul-2022,265.00,272.70,265.00,272.00,272.35,272.00,322.00,2791.74,4163200.00,153600.00,-
ITC,09-Jun-2022,25-Aug-2022,268.60,273.50,268.60,272.90,272.85,272.90,32.00,278.43,336000.00,9600.00,-
ITC,08-Jun-2022,25-Aug-2022,274.65,275.05,269.00,270.40,270.30,270.40,33.00,287.08,326400.00,12800.00,-
ITC,08-Jun-2022,28-Jul-2022,275.30,275.30,268.05,269.60,269.40,269.60,501.00,4348.40,4009600.00,454400.00,-
ITC,08-Jun-2022,30-Jun-2022,275.00,275.00,267.20,268.70,268.55,268.70,5789.00,50190.49,82835200.00,140800.00,-
ITC,07-Jun-2022,30-Jun-2022,274.60,275.75,272.65,274.25,274.35,274.25,4601.00,40321.85,82694400.00,-806400.00,-
ITC,07-Jun-2022,28-Jul-2022,274.80,276.55,273.60,275.15,275.20,275.15,255.00,2241.62,3555200.00,153600.00,-
ITC,07-Jun-2022,25-Aug-2022,276.50,276.50,274.65,275.30,275.30,276.75,28.00,246.70,313600.00,9600.00,-
ITC,06-Jun-2022,28-Jul-2022,275.20,277.10,271.70,276.15,276.15,276.15,388.00,3412.44,3401600.00,92800.00,-
ITC,06-Jun-2022,30-Jun-2022,272.90,276.35,270.70,275.35,275.15,275.35,5371.00,47083.83,83500800.00,886400.00,-
ITC,06-Jun-2022,25-Aug-2022,274.90,278.00,273.00,276.85,276.25,276.85,77.00,679.81,304000.00,25600.00,-
ITC,03-Jun-2022,28-Jul-2022,275.80,277.15,273.45,274.10,274.05,274.10,441.00,3878.65,3308800.00,38400.00,-
ITC,03-Jun-2022,30-Jun-2022,274.90,276.30,272.50,273.40,273.35,273.40,6026.00,52881.09,82614400.00,-1900800.00,-
ITC,03-Jun-2022,25-Aug-2022,276.25,277.50,274.30,275.50,275.50,275.70,61.00,537.88,278400.00,25600.00,-
ITC,02-Jun-2022,25-Aug-2022,272.00,275.60,270.20,275.25,275.25,275.25,41.00,358.37,252800.00,41600.00,-
ITC,02-Jun-2022,30-Jun-2022,271.25,274.40,268.20,273.60,273.60,273.60,6651.00,57791.52,84515200.00,-934400.00,-
ITC,02-Jun-2022,28-Jul-2022,271.50,275.25,269.15,274.45,274.45,274.45,348.00,3032.75,3270400.00,188800.00,-
ITC,01-Jun-2022,25-Aug-2022,274.70,275.50,273.00,273.55,273.35,273.55,29.00,254.35,211200.00,41600.00,-
ITC,01-Jun-2022,30-Jun-2022,271.50,274.50,271.10,272.00,271.90,272.00,5875.00,51241.20,85449600.00,-1574400.00,-
ITC,01-Jun-2022,28-Jul-2022,272.30,275.00,272.05,272.85,272.75,272.85,295.00,2581.40,3081600.00,96000.00,-
ITC,31-May-2022,30-Jun-2022,268.80,275.45,267.20,271.55,271.60,271.55,10040.00,87214.74,87024000.00,-1638400.00,-
ITC,31-May-2022,25-Aug-2022,270.00,276.50,269.00,273.20,273.45,273.20,55.00,480.88,169600.00,96000.00,-
ITC,31-May-2022,28-Jul-2022,270.30,276.00,268.00,272.50,272.60,272.50,453.00,3945.73,2985600.00,150400.00,-
ITC,30-May-2022,25-Aug-2022,272.75,272.95,270.25,271.65,271.65,271.65,20.00,173.81,73600.00,28800.00,-
ITC,30-May-2022,30-Jun-2022,270.95,271.70,268.50,270.00,270.05,270.00,5587.00,48240.63,88662400.00,892800.00,-
ITC,30-May-2022,28-Jul-2022,270.70,272.45,269.45,270.85,270.90,270.85,327.00,2833.56,2835200.00,195200.00,-
ITC,27-May-2022,25-Aug-2022,269.70,272.30,269.20,271.25,270.85,271.25,16.00,138.59,44800.00,44800.00,-
ITC,27-May-2022,30-Jun-2022,268.70,271.00,265.65,269.45,269.40,269.45,6659.00,57231.21,87769600.00,640000.00,-
ITC,27-May-2022,28-Jul-2022,269.45,271.90,266.40,270.35,270.15,270.35,557.00,4802.92,2640000.00,688000.00,-
ITC,26-May-2022,28-Jul-2022,268.85,268.85,265.50,268.00,268.00,268.00,294.00,2512.49,1952000.00,198400.00,-
ITC,26-May-2022,30-Jun-2022,267.80,268.20,264.50,266.95,267.25,266.95,11890.00,101303.04,87129600.00,10038400.00,-
ITC,26-May-2022,26-May-2022,267.25,267.85,263.85,265.80,266.10,266.70,10122.00,85938.84,10003200.00,-8377600.00,-
ITC,25-May-2022,26-May-2022,266.75,267.95,264.45,266.40,266.25,266.40,12741.00,108478.03,18380800.00,-17760000.00,-
ITC,25-May-2022,30-Jun-2022,266.85,268.50,265.30,267.15,267.00,267.15,11874.00,101373.54,77091200.00,18185600.00,-
ITC,25-May-2022,28-Jul-2022,269.00,269.00,266.30,267.95,267.95,267.95,128.00,1096.47,1753600.00,118400.00,-
ITC,24-May-2022,28-Jul-2022,269.00,269.50,265.85,266.60,267.00,266.60,123.00,1053.39,1635200.00,92800.00,-
ITC,24-May-2022,30-Jun-2022,266.00,269.25,264.80,265.70,266.05,265.70,11673.00,99688.18,58905600.00,19952000.00,-
ITC,24-May-2022,26-May-2022,267.20,268.95,264.15,265.30,265.50,265.30,13620.00,116073.06,36140800.00,-19084800.00,-
ITC,23-May-2022,28-Jul-2022,271.95,272.65,269.00,270.10,270.00,270.10,195.00,1689.03,1542400.00,76800.00,-
ITC,23-May-2022,26-May-2022,273.55,273.55,267.55,268.70,268.60,268.70,11396.00,98241.71,55225600.00,-12246400.00,-
