Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ITC,28-Mar-2024,27-Jun-2024,-,-,-,-,-,-,-,-,-,-,-
ITC,28-Mar-2024,25-Apr-2024,432.75,435.90,430.60,431.85,431.00,431.85,46401.00,321458.33,106753600.00,26388800.00,-
ITC,28-Mar-2024,28-Mar-2024,427.60,432.40,426.70,428.20,427.25,428.35,31833.00,218598.55,28646400.00,-11784000.00,-
ITC,28-Mar-2024,30-May-2024,430.55,435.55,430.55,432.15,431.10,432.15,1436.00,9942.32,7803200.00,1340800.00,-
ITC,27-Mar-2024,30-May-2024,432.25,432.95,430.50,431.55,431.80,431.55,445.00,3071.66,6462400.00,348800.00,-
ITC,27-Mar-2024,28-Mar-2024,428.25,428.85,426.65,427.85,427.90,427.85,21522.00,147237.10,40430400.00,-20684800.00,-
ITC,27-Mar-2024,25-Apr-2024,431.70,432.85,430.40,431.45,431.70,431.45,19892.00,137259.68,80364800.00,15518400.00,-
ITC,26-Mar-2024,28-Mar-2024,427.85,429.30,426.15,428.55,428.90,428.55,23093.00,158117.77,61115200.00,-22878400.00,-
ITC,26-Mar-2024,30-May-2024,430.50,433.65,429.50,432.30,432.50,432.30,462.00,3190.41,6113600.00,505600.00,-
ITC,26-Mar-2024,25-Apr-2024,432.95,432.95,429.35,432.25,432.55,432.25,25955.00,179199.44,64846400.00,25038400.00,-
ITC,22-Mar-2024,28-Mar-2024,422.35,429.85,422.15,428.75,428.15,428.75,33395.00,228215.36,83993600.00,-21569600.00,-
ITC,22-Mar-2024,25-Apr-2024,425.90,432.90,425.10,431.80,431.55,431.80,18031.00,124121.24,39808000.00,16476800.00,-
ITC,22-Mar-2024,30-May-2024,424.95,432.05,424.95,431.35,431.55,431.35,2198.00,15112.33,5608000.00,3036800.00,-
ITC,21-Mar-2024,25-Apr-2024,421.85,425.50,420.15,424.90,425.50,424.90,4939.00,33461.49,23331200.00,3729600.00,-
ITC,21-Mar-2024,28-Mar-2024,419.35,422.75,417.00,421.70,422.45,421.70,15235.00,102466.71,105563200.00,-3166400.00,-
