Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ITC,30-Sep-2024,31-Oct-2024,525.60,528.50,518.20,522.45,522.60,522.45,12364.00,103447.48,96886400.00,1020800.00,407.85
ITC,30-Sep-2024,26-Dec-2024,531.70,532.65,523.75,527.10,526.95,527.10,120.00,1012.48,236800.00,126400.00,407.85
ITC,30-Sep-2024,28-Nov-2024,528.25,530.70,521.05,525.10,525.35,525.10,1115.00,9388.61,2236800.00,865600.00,407.85
ITC,27-Sep-2024,26-Dec-2024,534.15,537.50,530.50,531.60,530.50,531.60,102.00,872.41,110400.00,110400.00,407.85
ITC,27-Sep-2024,31-Oct-2024,525.00,533.30,524.80,527.45,526.50,527.45,15252.00,129077.59,95865600.00,5486400.00,407.85
ITC,27-Sep-2024,28-Nov-2024,529.85,534.75,527.55,528.85,528.75,528.85,792.00,6733.51,1371200.00,476800.00,407.85
ITC,26-Sep-2024,28-Nov-2024,524.45,529.00,524.45,528.45,527.60,528.45,515.00,4345.62,894400.00,188800.00,407.85
ITC,26-Sep-2024,26-Sep-2024,517.75,524.75,517.70,523.90,524.50,522.75,24434.00,204010.48,24897600.00,-9964800.00,407.85
ITC,26-Sep-2024,31-Oct-2024,522.00,527.35,520.95,526.45,526.80,526.45,40043.00,336239.68,90379200.00,20587200.00,407.85
ITC,25-Sep-2024,26-Sep-2024,515.15,518.85,512.10,517.45,517.50,517.45,15511.00,127852.15,34862400.00,-17668800.00,407.85
ITC,25-Sep-2024,31-Oct-2024,520.20,522.30,515.60,520.95,521.00,520.95,18553.00,154041.92,69792000.00,17440000.00,407.85
ITC,25-Sep-2024,28-Nov-2024,522.45,524.70,518.30,523.55,523.20,523.55,173.00,1445.28,705600.00,96000.00,407.85
ITC,24-Sep-2024,28-Nov-2024,522.00,523.50,521.25,522.05,521.75,522.05,90.00,752.15,609600.00,33600.00,407.85
ITC,24-Sep-2024,31-Oct-2024,523.50,524.75,518.30,519.40,519.05,519.40,18650.00,155042.77,52352000.00,21550400.00,407.85
ITC,24-Sep-2024,26-Sep-2024,516.50,517.55,514.75,515.85,515.90,515.85,17961.00,148313.63,52531200.00,-23606400.00,407.85
ITC,23-Sep-2024,28-Nov-2024,521.10,525.50,520.00,523.30,522.90,523.30,168.00,1407.55,576000.00,22400.00,407.85
ITC,23-Sep-2024,31-Oct-2024,519.15,523.50,517.25,520.45,520.00,520.45,14017.00,116879.05,30801600.00,15160000.00,407.85
ITC,23-Sep-2024,26-Sep-2024,514.70,520.15,513.80,517.00,516.60,517.00,17652.00,146203.41,76137600.00,-17902400.00,407.85
ITC,20-Sep-2024,28-Nov-2024,516.50,522.10,514.85,520.80,521.10,520.80,303.00,2517.76,553600.00,-49600.00,407.85
ITC,20-Sep-2024,26-Sep-2024,511.00,516.65,508.25,515.05,514.85,515.05,28385.00,233336.69,94040000.00,-4094400.00,407.85
ITC,20-Sep-2024,31-Oct-2024,515.00,519.90,511.65,518.25,518.00,518.25,8240.00,68179.38,15641600.00,4686400.00,407.85
ITC,19-Sep-2024,26-Sep-2024,509.25,515.70,507.95,509.55,509.60,509.55,15986.00,130927.75,98134400.00,-2998400.00,407.85
ITC,19-Sep-2024,31-Oct-2024,514.55,519.00,511.55,512.85,513.10,512.85,5684.00,46878.26,10955200.00,3900800.00,407.85
ITC,19-Sep-2024,28-Nov-2024,514.95,520.85,514.95,515.45,515.20,515.45,184.00,1525.03,603200.00,70400.00,407.85
ITC,18-Sep-2024,31-Oct-2024,514.00,516.00,509.00,511.95,511.05,511.95,1599.00,13128.54,7054400.00,1196800.00,407.85
ITC,18-Sep-2024,26-Sep-2024,508.10,512.80,505.55,508.35,507.50,508.35,8548.00,69731.35,101132800.00,-2771200.00,407.85
ITC,18-Sep-2024,28-Nov-2024,516.90,518.20,512.00,514.70,513.65,514.70,45.00,370.96,532800.00,6400.00,407.85
ITC,17-Sep-2024,26-Sep-2024,512.65,514.95,507.45,508.90,509.35,508.90,9679.00,79016.87,103904000.00,2907200.00,407.85
ITC,17-Sep-2024,31-Oct-2024,515.35,518.35,510.95,512.25,512.80,512.25,1526.00,12526.44,5857600.00,1444800.00,407.85
ITC,17-Sep-2024,28-Nov-2024,517.45,519.65,514.00,514.80,515.00,514.80,72.00,594.87,526400.00,51200.00,407.85
ITC,16-Sep-2024,26-Sep-2024,518.00,518.00,511.60,513.35,511.70,513.35,7394.00,60829.28,100996800.00,-280000.00,407.85
ITC,16-Sep-2024,31-Oct-2024,518.30,520.00,514.90,515.75,515.30,515.75,933.00,7719.51,4412800.00,667200.00,407.85
ITC,16-Sep-2024,28-Nov-2024,520.30,522.00,518.00,519.40,518.00,519.40,66.00,548.86,475200.00,33600.00,407.85
ITC,13-Sep-2024,31-Oct-2024,522.00,522.35,516.60,518.40,518.10,518.40,890.00,7382.79,3745600.00,491200.00,407.85
ITC,13-Sep-2024,26-Sep-2024,519.55,519.60,513.05,515.20,514.55,515.20,11998.00,98889.59,101276800.00,-1499200.00,407.85
ITC,13-Sep-2024,28-Nov-2024,523.50,523.50,518.85,520.80,520.75,520.80,87.00,724.17,441600.00,46400.00,407.85
ITC,12-Sep-2024,31-Oct-2024,519.40,524.00,513.80,523.10,522.70,523.10,1188.00,9875.16,3254400.00,312000.00,407.85
ITC,12-Sep-2024,26-Sep-2024,515.35,520.90,510.50,519.85,519.10,519.85,24029.00,198639.31,102776000.00,-542400.00,407.85
ITC,12-Sep-2024,28-Nov-2024,520.70,525.85,516.40,525.00,524.50,525.00,145.00,1208.92,395200.00,48000.00,407.85
ITC,11-Sep-2024,31-Oct-2024,516.75,523.25,516.40,518.15,518.35,518.15,1074.00,8944.00,2942400.00,292800.00,407.85
ITC,11-Sep-2024,26-Sep-2024,514.35,520.00,513.15,514.70,514.75,514.70,16146.00,133611.90,103318400.00,-2716800.00,407.85
ITC,11-Sep-2024,28-Nov-2024,523.50,525.05,519.05,520.05,520.80,520.05,118.00,987.69,347200.00,41600.00,407.85
ITC,10-Sep-2024,26-Sep-2024,512.30,515.75,509.50,514.20,513.80,514.20,12535.00,102966.68,106035200.00,-3420800.00,407.85
ITC,10-Sep-2024,31-Oct-2024,516.05,519.00,513.00,517.45,517.45,517.45,527.00,4358.44,2649600.00,160000.00,407.85
ITC,10-Sep-2024,28-Nov-2024,517.80,520.80,515.75,519.55,519.25,519.55,60.00,498.30,305600.00,16000.00,407.85
ITC,09-Sep-2024,26-Sep-2024,502.95,513.30,499.70,512.65,512.65,512.65,13937.00,113594.56,109456000.00,-4361600.00,407.85
ITC,09-Sep-2024,28-Nov-2024,509.05,518.60,508.85,518.05,518.40,518.05,102.00,840.79,289600.00,3200.00,407.85
ITC,09-Sep-2024,31-Oct-2024,505.55,516.60,505.15,515.95,515.75,515.95,645.00,5291.77,2489600.00,108800.00,407.85
ITC,06-Sep-2024,28-Nov-2024,517.20,517.35,504.00,508.50,509.00,508.50,76.00,618.86,286400.00,59200.00,407.85
ITC,06-Sep-2024,31-Oct-2024,515.30,515.30,501.60,506.25,506.45,506.25,833.00,6765.88,2380800.00,544000.00,407.85
ITC,06-Sep-2024,26-Sep-2024,513.30,513.30,498.05,502.75,503.00,502.75,22710.00,183105.49,113817600.00,-2104000.00,407.85
ITC,05-Sep-2024,28-Nov-2024,518.30,518.60,514.90,518.35,518.60,518.35,29.00,240.07,227200.00,12800.00,407.85
ITC,05-Sep-2024,26-Sep-2024,510.50,513.50,509.00,512.60,512.80,512.60,10638.00,87111.18,115921600.00,-2556800.00,407.85
ITC,05-Sep-2024,31-Oct-2024,513.10,516.60,512.30,515.85,515.80,515.85,297.00,2447.47,1836800.00,84800.00,407.85
ITC,04-Sep-2024,31-Oct-2024,509.00,514.00,508.25,512.20,512.55,512.20,310.00,2539.50,1752000.00,212800.00,407.85
ITC,04-Sep-2024,26-Sep-2024,506.50,510.80,504.40,509.05,509.25,509.05,10079.00,82082.84,118478400.00,2097600.00,407.85
ITC,04-Sep-2024,28-Nov-2024,513.10,515.50,513.00,514.90,515.05,514.90,40.00,329.15,214400.00,25600.00,407.85
ITC,03-Sep-2024,28-Nov-2024,517.05,522.70,516.15,517.50,516.60,517.50,96.00,798.90,188800.00,38400.00,407.85
ITC,03-Sep-2024,26-Sep-2024,510.30,517.50,510.25,511.70,511.25,511.70,15200.00,125148.14,116380800.00,2078400.00,407.85
ITC,03-Sep-2024,31-Oct-2024,514.85,520.45,513.65,514.90,514.45,514.90,633.00,5244.96,1539200.00,248000.00,407.85
ITC,02-Sep-2024,26-Sep-2024,506.15,514.85,505.35,511.55,511.30,511.55,18544.00,151808.56,114302400.00,-376000.00,407.85
ITC,02-Sep-2024,28-Nov-2024,512.50,520.25,512.50,517.05,516.80,517.05,108.00,893.84,150400.00,75200.00,407.85
ITC,02-Sep-2024,31-Oct-2024,509.75,517.75,509.10,514.55,514.45,514.55,677.00,5575.05,1291200.00,102400.00,407.85
ITC,30-Aug-2024,31-Oct-2024,509.15,514.95,506.50,508.20,509.30,508.20,456.00,3715.77,1188800.00,104000.00,407.85
ITC,30-Aug-2024,28-Nov-2024,514.50,517.75,509.40,510.90,511.75,510.90,65.00,532.55,75200.00,75200.00,407.85
ITC,30-Aug-2024,26-Sep-2024,507.70,512.10,503.40,505.25,506.15,505.25,15911.00,128870.36,114678400.00,771200.00,407.85
ITC,29-Aug-2024,29-Aug-2024,498.15,507.75,497.50,505.30,504.20,505.10,22861.00,184271.17,4097600.00,-19476800.00,407.85
ITC,29-Aug-2024,31-Oct-2024,503.65,513.30,503.60,511.70,511.15,511.70,492.00,4009.98,1084800.00,206400.00,407.85
ITC,29-Aug-2024,26-Sep-2024,500.45,510.75,500.45,508.75,508.90,508.75,36784.00,298456.99,113907200.00,17780800.00,407.85
ITC,28-Aug-2024,26-Sep-2024,504.05,504.95,499.80,500.35,501.45,500.35,30628.00,246168.52,96126400.00,35209600.00,407.85
ITC,28-Aug-2024,31-Oct-2024,504.60,507.55,502.70,503.10,503.60,503.10,219.00,1769.08,878400.00,59200.00,407.85
ITC,28-Aug-2024,29-Aug-2024,500.95,502.10,496.70,497.35,498.85,497.35,28194.00,225250.01,23574400.00,-32678400.00,407.85
ITC,27-Aug-2024,29-Aug-2024,506.80,507.50,500.60,501.10,501.20,501.10,21268.00,171109.98,56252800.00,-25225600.00,407.85
ITC,27-Aug-2024,31-Oct-2024,511.85,512.50,506.30,506.65,506.80,506.65,182.00,1479.29,819200.00,123200.00,407.85
ITC,27-Aug-2024,26-Sep-2024,509.30,510.50,503.50,504.00,503.90,504.00,22937.00,185595.75,60916800.00,28084800.00,407.85
ITC,26-Aug-2024,31-Oct-2024,509.00,513.65,508.00,511.35,511.50,511.35,120.00,982.48,696000.00,14400.00,407.85
ITC,26-Aug-2024,29-Aug-2024,505.25,508.45,501.95,506.00,505.65,506.00,19021.00,154104.97,81478400.00,-17094400.00,407.85
ITC,26-Aug-2024,26-Sep-2024,507.95,511.40,505.05,508.90,509.30,508.90,16905.00,137755.81,32832000.00,19001600.00,407.85
ITC,23-Aug-2024,26-Sep-2024,508.45,508.90,503.05,508.35,507.95,508.35,4031.00,32701.43,13830400.00,3617600.00,407.85
ITC,23-Aug-2024,29-Aug-2024,505.70,506.20,500.00,505.40,505.45,505.40,10457.00,84329.20,98572800.00,-3540800.00,407.85
ITC,23-Aug-2024,31-Oct-2024,510.00,511.20,506.10,510.90,511.00,510.90,100.00,814.27,681600.00,46400.00,407.85
ITC,22-Aug-2024,26-Sep-2024,509.95,512.10,505.45,508.25,508.50,508.25,3114.00,25327.78,10212800.00,2350400.00,407.85
ITC,22-Aug-2024,29-Aug-2024,503.50,509.40,502.30,505.30,505.70,505.30,10226.00,82710.03,102113600.00,-3630400.00,407.85
ITC,22-Aug-2024,31-Oct-2024,512.00,514.60,508.50,510.90,511.20,510.90,119.00,973.18,635200.00,78400.00,407.85
ITC,21-Aug-2024,26-Sep-2024,503.00,512.45,503.00,509.45,509.20,509.45,2854.00,23252.23,7862400.00,1966400.00,407.85
ITC,21-Aug-2024,29-Aug-2024,500.60,509.60,499.90,506.55,506.45,506.55,11014.00,89210.32,105744000.00,870400.00,407.85
ITC,21-Aug-2024,31-Oct-2024,506.40,514.50,506.40,511.90,511.90,511.90,159.00,1300.66,556800.00,-1600.00,407.85
ITC,20-Aug-2024,29-Aug-2024,502.65,504.80,498.90,499.90,500.10,499.90,6336.00,50845.66,104873600.00,-478400.00,407.85
ITC,20-Aug-2024,26-Sep-2024,504.50,507.60,501.95,502.80,502.90,502.80,1438.00,11601.24,5896000.00,812800.00,407.85
ITC,20-Aug-2024,31-Oct-2024,506.20,510.00,505.00,505.50,506.00,505.50,115.00,932.70,558400.00,70400.00,407.85
ITC,19-Aug-2024,26-Sep-2024,508.65,512.45,504.05,505.10,504.15,505.10,1923.00,15616.98,5083200.00,1427200.00,407.85
ITC,19-Aug-2024,31-Oct-2024,511.50,514.45,507.00,508.55,507.15,508.55,124.00,1012.89,488000.00,70400.00,407.85
ITC,19-Aug-2024,29-Aug-2024,505.55,509.50,501.25,502.70,501.40,502.70,11112.00,89866.12,105352000.00,985600.00,407.85
ITC,16-Aug-2024,26-Sep-2024,499.00,507.20,495.65,506.15,507.10,506.15,1206.00,9694.99,3656000.00,180800.00,407.85
ITC,16-Aug-2024,31-Oct-2024,499.90,509.70,498.85,508.85,509.30,508.85,113.00,914.55,417600.00,-14400.00,407.85
ITC,16-Aug-2024,29-Aug-2024,495.55,504.35,492.90,503.20,503.80,503.20,14881.00,118727.52,104366400.00,-860800.00,407.85
ITC,14-Aug-2024,29-Aug-2024,492.65,499.40,490.60,492.60,492.50,492.60,10735.00,84870.78,105227200.00,-2432000.00,407.85
ITC,14-Aug-2024,26-Sep-2024,495.85,502.25,493.50,495.55,495.70,495.55,614.00,4893.97,3475200.00,268800.00,407.85
ITC,14-Aug-2024,31-Oct-2024,497.70,504.20,497.05,498.05,498.05,498.05,62.00,495.85,432000.00,3200.00,407.85
ITC,13-Aug-2024,26-Sep-2024,498.80,501.50,493.55,494.55,495.20,494.55,660.00,5251.76,3206400.00,113600.00,407.85
ITC,13-Aug-2024,29-Aug-2024,496.25,498.85,490.55,491.70,492.60,491.70,8593.00,67938.57,107659200.00,804800.00,407.85
ITC,13-Aug-2024,31-Oct-2024,501.70,504.00,496.60,497.30,497.70,497.30,71.00,568.77,428800.00,32000.00,407.85
ITC,12-Aug-2024,26-Sep-2024,498.85,504.05,497.05,498.10,498.15,498.10,556.00,4460.24,3092800.00,64000.00,407.85
ITC,12-Aug-2024,29-Aug-2024,495.15,501.50,494.25,495.45,495.25,495.45,8491.00,67678.37,106854400.00,-1009600.00,407.85
