Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ITC,30-Dec-2022,23-Feb-2023,336.05,336.55,330.50,331.10,331.25,331.10,618.00,3293.51,3792000.00,307200.00,407.85
ITC,30-Dec-2022,25-Jan-2023,336.95,337.95,332.60,333.25,333.35,333.25,5237.00,28072.20,66006400.00,-518400.00,407.85
ITC,30-Dec-2022,29-Mar-2023,334.50,334.50,332.25,332.60,333.10,332.60,12.00,63.94,14400.00,14400.00,407.85
ITC,29-Dec-2022,25-Jan-2023,335.70,336.80,333.00,336.35,336.55,336.35,25101.00,134185.07,66524800.00,17576000.00,407.85
ITC,29-Dec-2022,29-Dec-2022,333.30,335.15,330.55,334.75,334.55,335.35,23133.00,122957.76,4009600.00,-20043200.00,407.85
ITC,29-Dec-2022,23-Feb-2023,333.05,334.90,331.50,334.75,334.90,334.75,477.00,2538.39,3484800.00,420800.00,407.85
ITC,28-Dec-2022,23-Feb-2023,333.55,336.60,333.00,335.05,335.10,335.05,234.00,1250.90,3064000.00,212800.00,407.85
ITC,28-Dec-2022,25-Jan-2023,335.40,336.60,333.90,336.10,335.80,336.10,11112.00,59561.02,48948800.00,12665600.00,407.85
ITC,28-Dec-2022,29-Dec-2022,332.60,333.90,331.30,333.40,333.05,333.40,10539.00,56055.48,24052800.00,-11200000.00,407.85
ITC,27-Dec-2022,25-Jan-2023,337.60,338.35,332.40,335.80,335.80,335.80,11766.00,63150.95,36283200.00,12072000.00,407.85
ITC,27-Dec-2022,23-Feb-2023,335.70,336.45,331.15,334.30,334.60,334.30,372.00,1985.56,2851200.00,368000.00,407.85
ITC,27-Dec-2022,29-Dec-2022,333.30,336.00,330.00,333.20,333.40,333.20,12800.00,68203.49,35252800.00,-12880000.00,407.85
ITC,26-Dec-2022,25-Jan-2023,329.05,337.00,328.05,336.40,336.70,336.40,8947.00,47899.94,24211200.00,8491200.00,407.85
ITC,26-Dec-2022,29-Dec-2022,327.55,334.65,325.90,334.15,334.50,334.15,12450.00,66204.36,48132800.00,-9284800.00,407.85
ITC,26-Dec-2022,23-Feb-2023,326.65,335.05,326.60,334.65,334.90,334.65,400.00,2133.30,2483200.00,404800.00,407.85
ITC,23-Dec-2022,29-Dec-2022,330.00,332.95,326.00,326.85,326.70,326.85,9880.00,51968.43,57417600.00,-7108800.00,407.85
ITC,23-Dec-2022,25-Jan-2023,332.75,335.30,328.40,329.15,329.10,329.15,7087.00,37532.51,15720000.00,7422400.00,407.85
ITC,23-Dec-2022,23-Feb-2023,332.30,333.25,326.50,326.95,327.00,326.95,234.00,1232.46,2078400.00,116800.00,407.85
ITC,22-Dec-2022,23-Feb-2023,337.40,337.85,331.80,333.85,333.75,333.85,602.00,3219.50,1961600.00,776000.00,407.85
ITC,22-Dec-2022,25-Jan-2023,338.95,339.85,333.25,335.50,335.35,335.50,2904.00,15609.45,8297600.00,2329600.00,407.85
ITC,22-Dec-2022,29-Dec-2022,336.30,337.70,330.95,333.30,333.05,333.30,6597.00,35242.60,64526400.00,-2982400.00,407.85
ITC,21-Dec-2022,25-Jan-2023,342.50,344.05,337.80,338.40,338.65,338.40,1887.00,10252.97,5968000.00,923200.00,407.85
ITC,21-Dec-2022,29-Dec-2022,341.90,341.95,335.45,336.10,336.20,336.10,6911.00,37306.61,67508800.00,-2172800.00,407.85
ITC,21-Dec-2022,23-Feb-2023,341.20,341.50,336.10,336.55,336.95,336.55,146.00,791.38,1185600.00,139200.00,407.85
