Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
JINDALSTEL,28-Jun-2024,26-Sep-2024,1076.50,1076.85,1076.50,1076.85,1076.85,1063.40,2.00,13.46,1250.00,1250.00,1038.60
JINDALSTEL,28-Jun-2024,29-Aug-2024,1069.50,1072.95,1057.20,1058.70,1058.25,1058.70,76.00,506.05,96250.00,16875.00,1038.60
JINDALSTEL,28-Jun-2024,25-Jul-2024,1047.00,1067.50,1046.60,1051.30,1053.80,1051.30,5021.00,33180.47,12127500.00,523750.00,1038.60
JINDALSTEL,27-Jun-2024,27-Jun-2024,1052.05,1057.60,1030.20,1047.60,1046.50,1047.35,5298.00,34593.54,1014375.00,-1444375.00,1038.60
JINDALSTEL,27-Jun-2024,26-Sep-2024,-,-,-,-,-,-,-,-,-,-,1038.60
JINDALSTEL,27-Jun-2024,25-Jul-2024,1059.20,1065.00,1036.10,1054.80,1054.90,1054.80,8835.00,58051.63,11603750.00,1895000.00,1038.60
JINDALSTEL,27-Jun-2024,29-Aug-2024,1063.05,1070.00,1045.00,1062.20,1061.00,1062.20,56.00,370.16,79375.00,11250.00,1038.60
JINDALSTEL,26-Jun-2024,25-Jul-2024,1057.35,1065.90,1050.30,1052.75,1052.65,1052.75,5303.00,34989.79,9708750.00,1272500.00,1038.60
JINDALSTEL,26-Jun-2024,27-Jun-2024,1055.15,1058.30,1043.55,1046.40,1047.20,1046.40,4536.00,29732.27,2458750.00,-1641875.00,1038.60
JINDALSTEL,26-Jun-2024,29-Aug-2024,1065.25,1068.15,1059.00,1059.45,1059.50,1059.45,25.00,166.11,68125.00,9375.00,1038.60
JINDALSTEL,25-Jun-2024,25-Jul-2024,1082.80,1086.65,1055.55,1068.75,1068.00,1068.75,7578.00,50482.48,8436250.00,2745000.00,1038.60
JINDALSTEL,25-Jun-2024,29-Aug-2024,1090.00,1090.00,1065.00,1072.00,1072.00,1078.00,36.00,241.59,58750.00,625.00,1038.60
JINDALSTEL,25-Jun-2024,27-Jun-2024,1072.40,1079.75,1048.90,1062.05,1062.05,1062.05,8398.00,55588.98,4100625.00,-2894375.00,1038.60
JINDALSTEL,24-Jun-2024,29-Aug-2024,1069.05,1087.65,1060.00,1085.25,1085.80,1085.25,43.00,288.48,58125.00,1875.00,1038.60
JINDALSTEL,24-Jun-2024,27-Jun-2024,1072.35,1075.55,1043.50,1072.15,1074.20,1072.15,10096.00,67090.70,6995000.00,-1656250.00,1038.60
JINDALSTEL,24-Jun-2024,25-Jul-2024,1060.00,1081.65,1051.30,1078.75,1078.85,1078.75,7651.00,51170.92,5691250.00,1870625.00,1038.60
