Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
JINDALSTEL,28-Mar-2024,27-Jun-2024,-,-,-,-,-,-,-,-,-,-,-
JINDALSTEL,28-Mar-2024,28-Mar-2024,836.65,854.15,836.60,848.60,852.00,849.15,3172.00,33614.94,10077500.00,-1370000.00,-
JINDALSTEL,28-Mar-2024,30-May-2024,851.55,865.45,850.70,860.15,861.40,860.15,81.00,869.63,171250.00,17500.00,-
JINDALSTEL,28-Mar-2024,25-Apr-2024,843.00,859.85,842.20,853.20,855.10,853.20,5686.00,60599.71,11955000.00,1018750.00,-
JINDALSTEL,27-Mar-2024,30-May-2024,854.30,855.00,841.95,845.35,845.35,845.35,24.00,254.59,153750.00,10000.00,-
JINDALSTEL,27-Mar-2024,25-Apr-2024,848.95,850.80,834.10,839.05,839.45,839.05,4624.00,48722.32,10936250.00,2588750.00,-
JINDALSTEL,27-Mar-2024,28-Mar-2024,843.50,844.95,827.75,833.25,833.00,833.25,4232.00,44269.48,11447500.00,-2913750.00,-
JINDALSTEL,26-Mar-2024,30-May-2024,864.00,880.00,851.00,852.85,854.30,852.85,82.00,884.36,143750.00,36250.00,-
JINDALSTEL,26-Mar-2024,28-Mar-2024,843.00,868.65,838.80,840.30,841.90,840.30,7693.00,81796.06,14361250.00,-3127500.00,-
JINDALSTEL,26-Mar-2024,25-Apr-2024,846.00,875.20,844.50,845.95,847.05,845.95,8010.00,85746.98,8347500.00,3606250.00,-
JINDALSTEL,22-Mar-2024,25-Apr-2024,827.05,845.00,820.05,840.25,839.85,840.25,2905.00,30305.81,4741250.00,1238750.00,-
JINDALSTEL,22-Mar-2024,28-Mar-2024,822.30,839.00,814.10,833.70,833.70,833.70,4830.00,49969.21,17488750.00,-1192500.00,-
JINDALSTEL,22-Mar-2024,30-May-2024,830.00,849.60,830.00,844.20,844.00,844.20,32.00,336.88,107500.00,12500.00,-
JINDALSTEL,21-Mar-2024,25-Apr-2024,804.10,830.35,804.10,828.45,828.50,828.45,1856.00,19042.06,3502500.00,640000.00,-
JINDALSTEL,21-Mar-2024,28-Mar-2024,795.10,824.75,788.60,822.30,822.10,822.30,6546.00,66593.95,18681250.00,-681250.00,-
JINDALSTEL,21-Mar-2024,30-May-2024,816.00,835.20,816.00,834.80,834.35,834.80,21.00,216.50,95000.00,11250.00,-
JINDALSTEL,20-Mar-2024,30-May-2024,810.00,814.50,790.60,790.60,790.60,790.60,45.00,452.92,83750.00,22500.00,-
JINDALSTEL,20-Mar-2024,28-Mar-2024,798.25,803.60,775.15,782.85,786.50,782.85,4484.00,44002.64,19362500.00,-872500.00,-
JINDALSTEL,20-Mar-2024,25-Apr-2024,805.30,809.45,782.50,788.75,792.00,788.75,1020.00,10070.90,2862500.00,718750.00,-
JINDALSTEL,19-Mar-2024,30-May-2024,815.00,828.00,808.00,808.25,808.00,808.25,14.00,142.31,61250.00,2500.00,-
JINDALSTEL,19-Mar-2024,28-Mar-2024,805.70,817.90,791.55,796.65,796.95,796.65,6533.00,65505.84,20235000.00,-353750.00,-
JINDALSTEL,19-Mar-2024,25-Apr-2024,834.45,834.45,798.00,803.00,803.75,803.00,581.00,5869.55,2143750.00,121250.00,-
JINDALSTEL,18-Mar-2024,25-Apr-2024,790.00,817.80,776.50,814.10,812.00,814.10,1547.00,15636.07,2022500.00,1170000.00,-
JINDALSTEL,18-Mar-2024,28-Mar-2024,774.05,811.90,769.85,808.30,805.40,808.30,8468.00,84336.69,20588750.00,-880000.00,-
JINDALSTEL,18-Mar-2024,30-May-2024,788.80,821.25,788.80,819.80,819.35,819.80,22.00,223.42,58750.00,-2500.00,-
JINDALSTEL,15-Mar-2024,25-Apr-2024,781.50,791.45,768.50,777.40,776.80,777.40,710.00,6902.50,852500.00,283750.00,-
JINDALSTEL,15-Mar-2024,28-Mar-2024,781.05,785.20,762.00,771.60,771.75,771.60,4438.00,42827.21,21468750.00,-257500.00,-
JINDALSTEL,15-Mar-2024,30-May-2024,794.90,794.90,777.00,782.65,782.10,782.65,15.00,146.84,61250.00,-,-
JINDALSTEL,14-Mar-2024,25-Apr-2024,769.95,792.00,767.30,790.05,790.05,790.05,311.00,3036.37,568750.00,43750.00,-
JINDALSTEL,14-Mar-2024,28-Mar-2024,766.35,787.05,760.50,783.95,785.00,783.95,5720.00,55454.82,21726250.00,-757500.00,-
JINDALSTEL,14-Mar-2024,30-May-2024,775.20,796.35,775.20,795.20,794.00,795.20,21.00,206.92,61250.00,8750.00,-
JINDALSTEL,13-Mar-2024,28-Mar-2024,814.40,817.65,764.25,768.55,767.45,768.55,6154.00,60331.21,22483750.00,225000.00,-
JINDALSTEL,13-Mar-2024,30-May-2024,804.55,804.55,790.00,791.00,791.00,775.30,21.00,209.40,52500.00,8750.00,-
JINDALSTEL,13-Mar-2024,25-Apr-2024,818.05,822.65,770.20,774.15,772.25,774.15,545.00,5394.07,525000.00,161250.00,-
JINDALSTEL,12-Mar-2024,30-May-2024,839.35,840.00,820.00,820.00,820.00,819.05,7.00,72.39,43750.00,-,-
JINDALSTEL,12-Mar-2024,25-Apr-2024,837.80,840.95,811.30,818.45,819.00,818.45,296.00,3033.42,363750.00,56250.00,-
JINDALSTEL,12-Mar-2024,28-Mar-2024,838.90,838.90,805.10,812.20,813.65,812.20,4448.00,45352.46,22258750.00,70000.00,-
JINDALSTEL,11-Mar-2024,28-Mar-2024,842.70,843.50,824.10,830.70,831.40,830.70,4473.00,46557.97,22188750.00,-463750.00,-
JINDALSTEL,11-Mar-2024,25-Apr-2024,846.50,848.75,831.75,836.80,837.80,836.80,198.00,2074.83,307500.00,48750.00,-
JINDALSTEL,11-Mar-2024,30-May-2024,852.85,852.85,840.90,841.75,842.15,841.75,11.00,116.02,43750.00,-,-
JINDALSTEL,07-Mar-2024,25-Apr-2024,843.70,859.00,842.00,847.70,847.75,847.70,282.00,2999.92,258750.00,45000.00,-
JINDALSTEL,07-Mar-2024,30-May-2024,862.00,863.85,848.70,853.00,852.85,853.00,54.00,580.33,43750.00,-15000.00,-
JINDALSTEL,07-Mar-2024,28-Mar-2024,836.05,853.50,834.55,841.40,841.00,841.40,6839.00,72211.75,22652500.00,80000.00,-
