Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
JINDALSTEL,30-Sep-2024,28-Nov-2024,1049.25,1071.00,1037.80,1054.15,1051.00,1054.15,368.00,2430.14,160625.00,23125.00,1038.60
JINDALSTEL,30-Sep-2024,31-Oct-2024,1048.00,1064.90,1030.60,1047.40,1043.10,1047.40,12301.00,80661.50,18587500.00,224375.00,1038.60
JINDALSTEL,30-Sep-2024,26-Dec-2024,1053.10,1074.35,1048.20,1060.75,1058.65,1060.75,33.00,219.38,12500.00,12500.00,1038.60
JINDALSTEL,27-Sep-2024,26-Dec-2024,-,-,-,1047.15,-,1046.70,-,-,-,-,1038.60
JINDALSTEL,27-Sep-2024,28-Nov-2024,1060.00,1060.00,1026.60,1040.30,1036.10,1040.30,217.00,1414.15,137500.00,34375.00,1038.60
JINDALSTEL,27-Sep-2024,31-Oct-2024,1047.00,1056.65,1019.20,1034.20,1030.25,1034.20,9467.00,61377.12,18363125.00,-44375.00,1038.60
JINDALSTEL,26-Sep-2024,31-Oct-2024,1037.85,1045.00,1020.10,1037.15,1039.90,1037.15,13362.00,86225.39,18407500.00,3278750.00,1038.60
JINDALSTEL,26-Sep-2024,28-Nov-2024,1031.75,1050.40,1027.90,1044.65,1045.45,1044.65,128.00,832.07,103125.00,24375.00,1038.60
JINDALSTEL,26-Sep-2024,26-Sep-2024,1028.60,1037.40,1013.15,1029.35,1032.95,1028.25,5943.00,38058.08,361875.00,-1825625.00,1038.60
JINDALSTEL,25-Sep-2024,26-Sep-2024,1051.20,1052.75,1019.25,1021.30,1026.50,1021.30,8833.00,56818.73,2187500.00,-3175625.00,1038.60
JINDALSTEL,25-Sep-2024,31-Oct-2024,1061.40,1061.40,1026.80,1028.90,1032.85,1028.90,11522.00,74603.85,15128750.00,3698125.00,1038.60
JINDALSTEL,25-Sep-2024,28-Nov-2024,1064.90,1066.00,1034.20,1036.50,1039.00,1036.50,66.00,430.93,78750.00,15000.00,1038.60
JINDALSTEL,24-Sep-2024,28-Nov-2024,1054.90,1065.80,1050.50,1055.50,1055.00,1055.50,74.00,489.55,63750.00,15625.00,1038.60
JINDALSTEL,24-Sep-2024,31-Oct-2024,1041.40,1061.10,1040.10,1049.75,1049.05,1049.75,13261.00,87114.19,11430625.00,4525625.00,1038.60
JINDALSTEL,24-Sep-2024,26-Sep-2024,1038.90,1053.45,1033.45,1042.75,1041.85,1042.75,11591.00,75612.79,5363125.00,-3081875.00,1038.60
JINDALSTEL,23-Sep-2024,28-Nov-2024,1023.25,1035.00,1023.25,1035.00,1035.00,1035.00,35.00,225.09,48125.00,-1875.00,1038.60
JINDALSTEL,23-Sep-2024,31-Oct-2024,1030.00,1030.00,1015.80,1028.05,1027.05,1028.05,8660.00,55316.58,6905000.00,4313750.00,1038.60
JINDALSTEL,23-Sep-2024,26-Sep-2024,1022.10,1023.30,1007.95,1021.15,1020.40,1021.15,10236.00,64960.35,8445000.00,-3943125.00,1038.60
JINDALSTEL,20-Sep-2024,26-Sep-2024,1030.00,1043.65,1004.20,1009.95,1009.10,1009.95,11292.00,71703.11,12388125.00,-41250.00,1038.60
JINDALSTEL,20-Sep-2024,28-Nov-2024,1046.30,1046.85,1022.05,1023.25,1022.05,1023.25,24.00,154.61,50000.00,8750.00,1038.60
JINDALSTEL,20-Sep-2024,31-Oct-2024,1030.00,1049.50,1011.00,1016.75,1016.50,1016.75,3499.00,22315.87,2591250.00,916250.00,1038.60
JINDALSTEL,19-Sep-2024,31-Oct-2024,1046.45,1052.40,1006.00,1015.70,1025.00,1015.70,2809.00,17929.86,1675000.00,790625.00,1038.60
JINDALSTEL,19-Sep-2024,28-Nov-2024,1036.90,1043.00,1015.00,1021.35,1024.85,1021.35,41.00,263.41,41250.00,1250.00,1038.60
JINDALSTEL,19-Sep-2024,26-Sep-2024,1034.15,1046.50,999.05,1008.75,1019.55,1008.75,13207.00,83968.63,12429375.00,315625.00,1038.60
JINDALSTEL,18-Sep-2024,26-Sep-2024,1050.30,1057.60,1019.30,1026.60,1027.05,1026.60,5575.00,36096.69,12113750.00,-135625.00,1038.60
JINDALSTEL,18-Sep-2024,28-Nov-2024,1062.00,1064.00,1033.00,1039.60,1039.60,1039.60,22.00,145.07,40000.00,3125.00,1038.60
JINDALSTEL,18-Sep-2024,31-Oct-2024,1061.15,1061.60,1027.05,1033.30,1034.35,1033.30,827.00,5394.03,884375.00,184375.00,1038.60
JINDALSTEL,17-Sep-2024,31-Oct-2024,1053.00,1080.00,1040.70,1062.65,1064.00,1062.65,1174.00,7809.17,700000.00,192500.00,1038.60
JINDALSTEL,17-Sep-2024,26-Sep-2024,1041.55,1074.10,1033.45,1055.60,1057.40,1055.60,8008.00,52902.48,12249375.00,-260625.00,1038.60
JINDALSTEL,17-Sep-2024,28-Nov-2024,1046.50,1082.75,1046.50,1067.45,1067.45,1067.45,45.00,301.87,36875.00,-1875.00,1038.60
JINDALSTEL,16-Sep-2024,26-Sep-2024,1037.10,1046.00,1025.00,1043.20,1043.95,1043.20,6688.00,43348.45,12510000.00,-222500.00,1038.60
JINDALSTEL,16-Sep-2024,28-Nov-2024,1046.00,1057.55,1037.00,1055.00,1057.30,1055.00,51.00,334.25,38750.00,5625.00,1038.60
JINDALSTEL,16-Sep-2024,31-Oct-2024,1043.00,1052.00,1030.80,1049.00,1050.25,1049.00,754.00,4918.68,507500.00,130625.00,1038.60
JINDALSTEL,13-Sep-2024,28-Nov-2024,1030.50,1046.70,1024.80,1042.45,1044.35,1042.45,55.00,356.95,33125.00,11250.00,1038.60
JINDALSTEL,13-Sep-2024,31-Oct-2024,1022.80,1041.20,1016.15,1038.15,1038.90,1038.15,777.00,5011.46,376875.00,73125.00,1038.60
JINDALSTEL,13-Sep-2024,26-Sep-2024,1012.60,1036.05,1009.40,1031.65,1031.50,1031.65,10876.00,69649.68,12732500.00,16250.00,1038.60
JINDALSTEL,12-Sep-2024,28-Nov-2024,990.00,1022.65,988.00,1020.70,1022.65,1020.70,57.00,360.12,21875.00,10625.00,1038.60
JINDALSTEL,12-Sep-2024,26-Sep-2024,975.55,1012.90,972.60,1006.60,1009.95,1006.60,10454.00,65065.02,12716250.00,574375.00,1038.60
JINDALSTEL,12-Sep-2024,31-Oct-2024,987.30,1017.95,978.95,1012.10,1015.00,1012.10,602.00,3760.50,303750.00,16875.00,1038.60
JINDALSTEL,11-Sep-2024,31-Oct-2024,969.50,977.80,959.00,973.05,973.20,973.05,251.00,1525.08,286875.00,80625.00,1038.60
JINDALSTEL,11-Sep-2024,26-Sep-2024,964.85,971.70,953.10,967.55,968.25,967.55,4382.00,26441.42,12141875.00,-519375.00,1038.60
