Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
JINDALSTEL,31-Dec-2024,27-Mar-2025,938.05,945.85,938.05,945.85,945.85,945.60,3.00,17.68,7500.00,625.00,930.70
JINDALSTEL,31-Dec-2024,27-Feb-2025,931.85,945.10,929.60,941.35,940.65,941.35,34.00,199.38,213125.00,1875.00,930.70
JINDALSTEL,31-Dec-2024,30-Jan-2025,920.35,940.40,920.35,935.60,934.90,935.60,3565.00,20770.92,18776250.00,25625.00,930.70
JINDALSTEL,30-Dec-2024,27-Mar-2025,941.55,941.55,931.35,931.35,931.35,933.20,2.00,11.71,6875.00,625.00,918.30
JINDALSTEL,30-Dec-2024,27-Feb-2025,933.90,935.75,923.55,932.75,935.00,932.75,57.00,331.50,211250.00,4375.00,918.30
JINDALSTEL,30-Dec-2024,30-Jan-2025,931.45,931.85,915.10,927.10,929.05,927.10,5282.00,30523.28,18750625.00,-48750.00,918.30
JINDALSTEL,27-Dec-2024,30-Jan-2025,943.35,954.95,928.30,931.00,931.45,931.00,3848.00,22595.49,18799375.00,360625.00,923.55
JINDALSTEL,27-Dec-2024,27-Feb-2025,955.15,959.05,935.30,936.95,937.35,936.95,90.00,530.12,206875.00,22500.00,923.55
JINDALSTEL,27-Dec-2024,27-Mar-2025,965.00,965.00,944.00,944.15,944.30,944.15,11.00,65.32,6250.00,6250.00,923.55
JINDALSTEL,26-Dec-2024,27-Feb-2025,954.05,955.60,936.60,954.10,954.80,954.10,55.00,325.58,184375.00,11875.00,941.35
JINDALSTEL,26-Dec-2024,26-Dec-2024,942.00,951.75,923.20,940.40,941.10,941.35,8396.00,49031.48,2394375.00,-2774375.00,941.35
JINDALSTEL,26-Dec-2024,30-Jan-2025,943.35,949.50,929.40,946.60,949.35,946.60,9439.00,55503.12,18438750.00,3002500.00,941.35
JINDALSTEL,24-Dec-2024,27-Feb-2025,945.85,958.00,942.50,954.90,955.10,954.90,34.00,202.42,172500.00,8750.00,942.70
JINDALSTEL,24-Dec-2024,26-Dec-2024,938.85,945.35,928.65,941.35,941.90,941.35,8611.00,50455.36,5168750.00,-4122500.00,942.70
JINDALSTEL,24-Dec-2024,30-Jan-2025,941.55,951.85,935.60,947.55,948.20,947.55,7942.00,46864.49,15436250.00,3490625.00,942.70
JINDALSTEL,23-Dec-2024,30-Jan-2025,913.40,953.40,913.40,945.35,945.00,945.35,9455.00,55636.32,11945625.00,4059375.00,940.80
JINDALSTEL,23-Dec-2024,26-Dec-2024,923.55,946.15,914.65,939.15,937.55,939.15,11932.00,69714.14,9291250.00,-4212500.00,940.80
JINDALSTEL,23-Dec-2024,27-Feb-2025,935.00,956.00,931.60,952.60,951.30,952.60,28.00,165.65,163750.00,3125.00,940.80
