Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
MARUTI,28-Jun-2024,29-Aug-2024,12180.90,12252.80,12063.65,12088.20,12077.00,12088.20,814.00,4943.87,90350.00,16150.00,15977.00
MARUTI,28-Jun-2024,26-Sep-2024,12286.50,12286.50,12150.00,12176.65,12150.00,12176.65,11.00,67.32,450.00,450.00,15977.00
MARUTI,28-Jun-2024,25-Jul-2024,12224.75,12280.00,12088.90,12116.15,12104.00,12116.15,16399.00,99865.14,3180150.00,179400.00,15977.00
MARUTI,27-Jun-2024,27-Jun-2024,12191.65,12200.00,11980.00,12181.95,12200.00,12178.75,17174.00,103961.95,224750.00,-346200.00,15977.00
MARUTI,27-Jun-2024,26-Sep-2024,-,-,-,-,-,-,-,-,-,-,15977.00
MARUTI,27-Jun-2024,29-Aug-2024,12230.00,12230.00,12040.00,12191.25,12195.00,12191.25,766.00,4647.79,74200.00,19850.00,15977.00
MARUTI,27-Jun-2024,25-Jul-2024,12260.35,12275.50,12057.15,12217.65,12224.75,12217.65,31952.00,194386.41,3000750.00,482200.00,15977.00
MARUTI,26-Jun-2024,29-Aug-2024,12130.00,12334.90,12111.00,12222.50,12230.00,12222.50,423.00,2588.35,54350.00,5000.00,15977.00
MARUTI,26-Jun-2024,27-Jun-2024,12100.20,12288.75,12043.60,12169.15,12161.40,12169.15,17488.00,106609.53,570950.00,-500800.00,15977.00
MARUTI,26-Jun-2024,25-Jul-2024,12173.40,12364.85,12122.25,12243.70,12244.95,12243.70,20298.00,124490.78,2518550.00,377700.00,15977.00
MARUTI,25-Jun-2024,27-Jun-2024,12195.05,12240.10,12066.25,12091.75,12109.45,12091.75,22298.00,135241.51,1071750.00,-620150.00,15977.00
MARUTI,25-Jun-2024,25-Jul-2024,12186.75,12317.05,12142.05,12157.10,12178.60,12157.10,22206.00,135493.74,2140850.00,881100.00,15977.00
MARUTI,25-Jun-2024,29-Aug-2024,12260.00,12284.10,12125.00,12137.70,12155.00,12137.70,212.00,1291.08,49350.00,6200.00,15977.00
MARUTI,24-Jun-2024,27-Jun-2024,12115.90,12265.80,12039.95,12193.30,12199.65,12193.30,25116.00,152888.90,1691900.00,-724350.00,15977.00
MARUTI,24-Jun-2024,29-Aug-2024,12159.65,12286.00,12120.00,12251.75,12260.00,12251.75,182.00,1112.33,43150.00,5150.00,15977.00
MARUTI,24-Jun-2024,25-Jul-2024,12240.60,12342.85,12129.05,12271.25,12282.00,12271.25,22922.00,140433.93,1259750.00,807500.00,15977.00
MARUTI,21-Jun-2024,25-Jul-2024,12311.00,12462.25,12185.00,12264.35,12250.00,12264.35,8335.00,51200.75,452250.00,148050.00,15977.00
MARUTI,21-Jun-2024,27-Jun-2024,12250.00,12384.40,12093.75,12190.65,12169.95,12190.65,22320.00,136226.91,2416250.00,-149900.00,15977.00
MARUTI,21-Jun-2024,29-Aug-2024,12236.35,12400.00,12170.00,12257.40,12233.20,12257.40,499.00,3060.37,38000.00,18500.00,15977.00
MARUTI,20-Jun-2024,27-Jun-2024,12255.95,12327.55,12157.45,12175.40,12190.00,12175.40,16942.00,103496.26,2566150.00,39500.00,15977.00
MARUTI,20-Jun-2024,25-Jul-2024,12335.05,12410.00,12241.40,12255.45,12273.00,12255.45,5745.00,35338.06,304200.00,135300.00,15977.00
MARUTI,20-Jun-2024,29-Aug-2024,12270.10,12383.70,12221.00,12236.35,12250.05,12236.35,162.00,994.15,19500.00,3600.00,15977.00
MARUTI,19-Jun-2024,27-Jun-2024,12598.95,12615.45,12214.55,12251.15,12238.50,12251.15,14427.00,89467.55,2526650.00,85400.00,15977.00
MARUTI,19-Jun-2024,25-Jul-2024,12672.00,12699.00,12308.10,12339.20,12332.95,12339.20,3683.00,22976.93,168900.00,65700.00,15977.00
MARUTI,19-Jun-2024,29-Aug-2024,12650.00,12669.30,12295.00,12316.60,12316.20,12316.60,276.00,1722.07,15900.00,5050.00,15977.00
MARUTI,18-Jun-2024,29-Aug-2024,12752.10,12817.00,12640.00,12653.20,12650.00,12653.20,162.00,1027.59,10850.00,2850.00,15977.00
MARUTI,18-Jun-2024,27-Jun-2024,12890.00,12890.00,12513.90,12590.50,12591.95,12590.50,20258.00,127886.61,2441250.00,96250.00,15977.00
MARUTI,18-Jun-2024,25-Jul-2024,12730.45,12951.10,12656.45,12676.40,12682.00,12676.40,2868.00,18219.44,103200.00,48250.00,15977.00
MARUTI,14-Jun-2024,27-Jun-2024,12820.75,12900.00,12801.40,12840.70,12832.60,12840.70,7302.00,46914.16,2345000.00,5700.00,15977.00
MARUTI,14-Jun-2024,25-Jul-2024,12966.60,12975.00,12893.35,12931.40,12925.15,12931.40,446.00,2885.40,54950.00,6550.00,15977.00
MARUTI,14-Jun-2024,29-Aug-2024,12897.40,12950.00,12874.00,12892.10,12892.10,12892.10,19.00,122.54,8000.00,150.00,15977.00
MARUTI,13-Jun-2024,27-Jun-2024,12949.40,12965.00,12786.55,12876.65,12865.05,12876.65,8439.00,54254.08,2339300.00,-6100.00,15977.00
MARUTI,13-Jun-2024,29-Aug-2024,12942.30,12945.65,12874.30,12934.50,12929.55,12934.50,21.00,135.62,7850.00,400.00,15977.00
MARUTI,13-Jun-2024,25-Jul-2024,13015.85,13044.50,12879.95,12958.15,12963.80,12958.15,373.00,2413.40,48400.00,5050.00,15977.00
MARUTI,12-Jun-2024,29-Aug-2024,12960.00,12999.00,12942.55,12978.70,12978.70,13051.40,17.00,110.27,7450.00,-,15977.00
MARUTI,12-Jun-2024,25-Jul-2024,12994.00,13050.00,12942.30,12986.60,12993.70,12986.60,461.00,2997.27,43350.00,6000.00,15977.00
MARUTI,12-Jun-2024,27-Jun-2024,12890.10,12969.70,12840.70,12897.70,12899.25,12897.70,9280.00,59912.76,2345400.00,16000.00,15977.00
MARUTI,11-Jun-2024,25-Jul-2024,12859.25,13060.70,12779.95,12992.80,12993.25,12992.80,650.00,4212.25,37350.00,6350.00,15977.00
MARUTI,11-Jun-2024,27-Jun-2024,12718.30,12978.60,12692.15,12907.40,12897.65,12907.40,13664.00,87976.56,2329400.00,102950.00,15977.00
MARUTI,11-Jun-2024,29-Aug-2024,12819.60,13033.10,12803.00,12960.00,12960.00,12960.00,36.00,232.87,7450.00,-50.00,15977.00
MARUTI,10-Jun-2024,27-Jun-2024,12873.40,12923.05,12638.35,12718.75,12740.05,12718.75,11758.00,74954.20,2226450.00,53150.00,15977.00
MARUTI,10-Jun-2024,25-Jul-2024,12910.00,12993.00,12730.00,12806.75,12821.40,12806.75,543.00,3483.11,31000.00,4600.00,15977.00
MARUTI,10-Jun-2024,29-Aug-2024,12900.75,12900.75,12710.00,12740.00,12740.00,12922.40,32.00,204.44,7500.00,400.00,15977.00
MARUTI,07-Jun-2024,25-Jul-2024,12738.00,12920.90,12712.75,12903.55,12912.60,12903.55,541.00,3467.22,26400.00,5500.00,15977.00
MARUTI,07-Jun-2024,27-Jun-2024,12688.00,12837.60,12618.05,12820.40,12830.00,12820.40,18335.00,116887.52,2173300.00,103350.00,15977.00
MARUTI,07-Jun-2024,29-Aug-2024,12742.20,12875.00,12724.85,12864.55,12864.20,12864.55,24.00,153.71,7100.00,400.00,15977.00
MARUTI,06-Jun-2024,29-Aug-2024,12671.50,12756.35,12671.50,12752.85,12756.35,12752.85,25.00,159.05,6700.00,150.00,15977.00
MARUTI,06-Jun-2024,27-Jun-2024,12624.45,12711.00,12510.10,12692.35,12711.00,12692.35,14608.00,92378.50,2069950.00,56150.00,15977.00
MARUTI,06-Jun-2024,25-Jul-2024,12686.00,12793.60,12591.50,12779.00,12793.60,12779.00,480.00,3052.96,20900.00,1750.00,15977.00
MARUTI,05-Jun-2024,29-Aug-2024,12344.80,12660.00,12240.00,12570.45,12575.00,12570.45,32.00,200.34,6550.00,50.00,15977.00
MARUTI,05-Jun-2024,25-Jul-2024,12364.10,12716.35,12247.65,12622.45,12593.80,12622.45,375.00,2352.34,19150.00,-1500.00,15977.00
MARUTI,05-Jun-2024,27-Jun-2024,12190.00,12639.00,12157.15,12525.90,12524.05,12525.90,18562.00,115847.30,2013800.00,-83150.00,15977.00
MARUTI,04-Jun-2024,29-Aug-2024,12560.25,12592.40,11954.75,12300.05,12300.40,12300.05,155.00,953.96,6500.00,5450.00,15977.00
MARUTI,04-Jun-2024,25-Jul-2024,12641.20,12661.30,11702.70,12266.40,12265.25,12266.40,1168.00,7154.09,20650.00,5150.00,15977.00
MARUTI,04-Jun-2024,27-Jun-2024,12499.90,12639.85,11583.15,12188.15,12207.10,12188.15,24735.00,150845.93,2096950.00,-57650.00,15977.00
MARUTI,03-Jun-2024,25-Jul-2024,12858.60,12859.40,12577.95,12636.80,12645.00,12636.80,320.00,2026.70,15500.00,4150.00,15977.00
