Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
MARUTI,28-Mar-2024,28-Mar-2024,12565.05,12696.85,12200.00,12579.95,12548.60,12600.65,14792.00,92931.40,419550.00,-337550.00,15977.00
MARUTI,28-Mar-2024,30-May-2024,12657.00,12855.00,12573.45,12762.50,12752.00,12762.50,3116.00,19933.62,112900.00,10600.00,15977.00
MARUTI,28-Mar-2024,27-Jun-2024,-,-,-,-,-,-,-,-,-,-,15977.00
MARUTI,28-Mar-2024,25-Apr-2024,12629.90,12773.20,12475.15,12662.40,12663.25,12662.40,25830.00,163432.45,2318700.00,167900.00,15977.00
MARUTI,27-Mar-2024,25-Apr-2024,12384.45,12774.00,12384.45,12574.55,12610.90,12574.55,36659.00,231758.27,2150800.00,450800.00,15977.00
MARUTI,27-Mar-2024,28-Mar-2024,12325.30,12681.15,12303.50,12478.40,12520.00,12478.40,27470.00,172252.90,757100.00,-524200.00,15977.00
MARUTI,27-Mar-2024,30-May-2024,12520.00,12850.00,12520.00,12656.65,12707.30,12656.65,491.00,3121.21,102300.00,6000.00,15977.00
MARUTI,26-Mar-2024,30-May-2024,12426.00,12510.00,12339.60,12463.10,12482.65,12463.10,1783.00,11052.52,96300.00,83150.00,15977.00
MARUTI,26-Mar-2024,28-Mar-2024,12235.00,12343.25,12165.80,12293.90,12315.00,12293.90,27898.00,171139.15,1281300.00,-830900.00,15977.00
MARUTI,26-Mar-2024,25-Apr-2024,12330.30,12427.00,12252.05,12383.95,12406.00,12383.95,29627.00,183004.19,1700000.00,963850.00,15977.00
MARUTI,22-Mar-2024,28-Mar-2024,11906.80,12388.60,11889.55,12314.75,12305.00,12314.75,35757.00,217795.85,2112200.00,-360400.00,15977.00
MARUTI,22-Mar-2024,25-Apr-2024,11993.50,12473.95,11987.30,12400.45,12385.05,12400.45,21624.00,132686.45,736150.00,471550.00,15977.00
MARUTI,22-Mar-2024,30-May-2024,12088.65,12550.00,12079.25,12485.20,12475.55,12485.20,272.00,1680.80,13150.00,4000.00,15977.00
MARUTI,21-Mar-2024,30-May-2024,12128.70,12152.20,12025.00,12070.15,12070.15,12070.15,94.00,568.00,9150.00,450.00,15977.00
MARUTI,21-Mar-2024,28-Mar-2024,11954.05,11997.75,11842.50,11906.30,11910.05,11906.30,18512.00,110196.72,2472600.00,-61950.00,15977.00
MARUTI,21-Mar-2024,25-Apr-2024,12084.95,12170.00,11933.40,11996.95,11996.60,11996.95,4783.00,28688.52,264600.00,78700.00,15977.00
MARUTI,20-Mar-2024,30-May-2024,11859.00,12180.00,11859.00,12106.05,12106.95,12106.05,231.00,1393.46,8700.00,4350.00,15977.00
MARUTI,20-Mar-2024,25-Apr-2024,11750.00,12105.35,11750.00,12020.65,12020.75,12020.65,4601.00,27603.60,185900.00,73600.00,15977.00
MARUTI,20-Mar-2024,28-Mar-2024,11650.10,12019.05,11650.10,11938.05,11943.90,11938.05,32180.00,191711.02,2534550.00,116100.00,15977.00
MARUTI,19-Mar-2024,28-Mar-2024,11627.80,11688.30,11495.50,11604.20,11599.75,11604.20,10862.00,62921.89,2418450.00,-73300.00,15977.00
