Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
MARUTI,30-Sep-2024,28-Nov-2024,13555.00,13655.00,13405.00,13432.10,13460.85,13432.10,374.00,2527.92,43100.00,1650.00,15977.00
MARUTI,30-Sep-2024,26-Dec-2024,13804.85,13804.85,13500.00,13501.75,13501.75,13470.15,32.00,217.84,2050.00,650.00,15977.00
MARUTI,30-Sep-2024,31-Oct-2024,13460.00,13573.00,13321.40,13342.25,13365.70,13342.25,15677.00,105288.59,3333350.00,-29100.00,15977.00
MARUTI,27-Sep-2024,28-Nov-2024,13518.10,13701.75,13467.00,13646.85,13631.70,13646.85,824.00,5600.51,41450.00,5650.00,15977.00
MARUTI,27-Sep-2024,26-Dec-2024,13570.00,13773.45,13570.00,13746.20,13705.00,13746.20,40.00,273.99,1400.00,1400.00,15977.00
MARUTI,27-Sep-2024,31-Oct-2024,13482.30,13618.00,13377.70,13573.10,13530.00,13573.10,21837.00,147654.62,3362450.00,-111300.00,15977.00
MARUTI,26-Sep-2024,28-Nov-2024,12996.00,13599.50,12939.95,13564.05,13555.10,13564.05,1158.00,7746.06,35800.00,16300.00,15977.00
MARUTI,26-Sep-2024,26-Sep-2024,12787.40,13408.70,12787.40,13372.45,13367.05,13383.80,20355.00,133958.59,794850.00,47500.00,15977.00
MARUTI,26-Sep-2024,31-Oct-2024,12897.00,13510.85,12897.00,13482.25,13475.00,13482.25,54103.00,360216.92,3473750.00,539250.00,15977.00
MARUTI,25-Sep-2024,28-Nov-2024,12893.65,12995.70,12800.00,12896.20,12867.15,12896.20,272.00,1753.13,19500.00,3000.00,15977.00
MARUTI,25-Sep-2024,26-Sep-2024,12733.05,12825.00,12614.00,12745.00,12711.85,12745.00,27403.00,173973.86,747350.00,-803350.00,15977.00
MARUTI,25-Sep-2024,31-Oct-2024,12806.00,12919.05,12710.00,12831.55,12806.10,12831.55,30807.00,196937.93,2934500.00,717400.00,15977.00
MARUTI,24-Sep-2024,31-Oct-2024,12650.00,12878.30,12650.00,12807.95,12806.00,12807.95,28402.00,181887.98,2217100.00,903650.00,15977.00
MARUTI,24-Sep-2024,28-Nov-2024,12842.10,12958.50,12782.00,12893.65,12893.75,12893.65,118.00,760.98,16500.00,1050.00,15977.00
MARUTI,24-Sep-2024,26-Sep-2024,12650.70,12788.65,12600.95,12720.75,12720.05,12720.75,28767.00,183016.39,1550700.00,-820200.00,15977.00
MARUTI,23-Sep-2024,31-Oct-2024,12735.05,12829.55,12722.50,12763.25,12760.95,12763.25,21287.00,135956.55,1313450.00,760800.00,15977.00
MARUTI,23-Sep-2024,28-Nov-2024,12850.20,12889.00,12805.00,12842.10,12827.10,12842.10,91.00,584.75,15450.00,1500.00,15977.00
MARUTI,23-Sep-2024,26-Sep-2024,12617.30,12740.00,12617.30,12676.55,12665.70,12676.55,23958.00,151989.23,2370900.00,-667800.00,15977.00
MARUTI,20-Sep-2024,26-Sep-2024,12420.40,12716.50,12379.10,12623.20,12620.00,12623.20,41236.00,259781.23,3038700.00,75800.00,15977.00
MARUTI,20-Sep-2024,31-Oct-2024,12485.55,12799.85,12460.30,12710.05,12704.40,12710.05,11154.00,70729.90,552650.00,262100.00,15977.00
MARUTI,20-Sep-2024,28-Nov-2024,12570.05,12865.20,12569.20,12790.95,12775.05,12790.95,207.00,1321.37,13950.00,1250.00,15977.00
MARUTI,19-Sep-2024,31-Oct-2024,12328.75,12512.70,12315.85,12460.95,12453.00,12460.95,5672.00,35313.08,290550.00,102200.00,15977.00
MARUTI,19-Sep-2024,28-Nov-2024,12407.85,12570.00,12399.25,12534.55,12521.05,12534.55,149.00,932.86,12700.00,750.00,15977.00
MARUTI,19-Sep-2024,26-Sep-2024,12242.15,12435.00,12231.45,12377.85,12369.00,12377.85,20492.00,126745.55,2962900.00,-190300.00,15977.00
MARUTI,18-Sep-2024,26-Sep-2024,12259.00,12359.00,12190.65,12224.85,12204.25,12224.85,8953.00,54970.12,3153200.00,-81550.00,15977.00
MARUTI,18-Sep-2024,28-Nov-2024,12442.00,12500.00,12355.00,12376.20,12370.30,12376.20,98.00,608.55,11950.00,1350.00,15977.00
