Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
MARUTI,31-Dec-2024,27-Mar-2025,11000.00,11120.00,10960.00,11072.45,11072.45,11072.45,13.00,71.69,1600.00,600.00,10858.40
MARUTI,31-Dec-2024,30-Jan-2025,10800.00,10949.35,10800.00,10924.25,10929.60,10924.25,4514.00,24587.33,3102050.00,-550.00,10858.40
MARUTI,31-Dec-2024,27-Feb-2025,10923.25,11009.00,10900.00,10992.60,10988.10,10992.60,206.00,1128.53,32100.00,1600.00,10858.40
MARUTI,30-Dec-2024,27-Mar-2025,11035.00,11105.00,11020.00,11047.00,11052.00,11047.00,12.00,66.34,1000.00,500.00,10798.95
MARUTI,30-Dec-2024,27-Feb-2025,11037.65,11066.00,10939.45,10963.45,10978.50,10963.45,255.00,1401.40,30500.00,500.00,10798.95
MARUTI,30-Dec-2024,30-Jan-2025,10995.05,11135.85,10866.40,10893.80,10902.30,10893.80,6002.00,32766.44,3102600.00,33500.00,10798.95
MARUTI,27-Dec-2024,30-Jan-2025,10961.05,11218.90,10961.05,10999.85,11015.00,10999.85,9625.00,53357.53,3069100.00,-59750.00,10941.05
MARUTI,27-Dec-2024,27-Mar-2025,11196.00,11310.00,11194.75,11194.75,11194.75,11124.40,18.00,101.22,500.00,500.00,10941.05
MARUTI,27-Dec-2024,27-Feb-2025,11100.00,11291.20,11066.00,11075.45,11088.10,11075.45,300.00,1676.05,30000.00,2200.00,10941.05
MARUTI,26-Dec-2024,26-Dec-2024,10740.00,10954.25,10740.00,10869.40,10891.60,10896.00,14992.00,81524.62,327250.00,-419000.00,10896.00
MARUTI,26-Dec-2024,27-Feb-2025,10900.00,11105.00,10900.00,11024.75,11029.05,11024.75,256.00,1412.05,27800.00,4800.00,10896.00
MARUTI,26-Dec-2024,30-Jan-2025,10839.95,11033.70,10833.30,10946.25,10947.00,10946.25,20896.00,114475.68,3128850.00,285350.00,10896.00
MARUTI,24-Dec-2024,26-Dec-2024,10782.30,10888.30,10724.00,10745.60,10741.40,10745.60,18564.00,100391.61,746250.00,-552150.00,10736.60
MARUTI,24-Dec-2024,27-Feb-2025,10951.00,11035.00,10872.00,10897.70,10892.35,10897.70,233.00,1276.27,23000.00,4750.00,10736.60
MARUTI,24-Dec-2024,30-Jan-2025,10875.05,10965.85,10802.85,10823.80,10821.30,10823.80,20058.00,109213.13,2843500.00,725500.00,10736.60
MARUTI,23-Dec-2024,30-Jan-2025,11019.45,11087.85,10839.20,10879.95,10872.00,10879.95,22073.00,120813.79,2118000.00,861500.00,10822.00
MARUTI,23-Dec-2024,26-Dec-2024,10916.15,11003.20,10762.40,10805.50,10807.20,10805.50,21645.00,117640.53,1298400.00,-800100.00,10822.00
MARUTI,23-Dec-2024,27-Feb-2025,11110.00,11139.00,10918.00,10964.15,10968.00,10964.15,150.00,828.14,18250.00,1600.00,10822.00
MARUTI,20-Dec-2024,26-Dec-2024,10926.40,11091.00,10868.85,10894.20,10886.85,10894.20,26046.00,143002.99,2098500.00,-782500.00,10901.05
MARUTI,20-Dec-2024,30-Jan-2025,11068.05,11173.15,10933.05,10972.75,10960.00,10972.75,19496.00,107831.45,1256500.00,784500.00,10901.05
MARUTI,20-Dec-2024,27-Feb-2025,11130.05,11225.70,11036.00,11052.90,11044.85,11052.90,105.00,582.13,16650.00,700.00,10901.05
MARUTI,19-Dec-2024,27-Feb-2025,11046.85,11172.85,11046.85,11120.55,11131.00,11120.55,183.00,1014.55,15950.00,3900.00,10955.35
MARUTI,19-Dec-2024,30-Jan-2025,11005.00,11128.55,10962.25,11044.55,11068.00,11044.55,3934.00,21737.94,472000.00,128050.00,10955.35
MARUTI,19-Dec-2024,26-Dec-2024,10863.70,11043.35,10863.70,10961.45,10986.95,10961.45,10149.00,55652.53,2881000.00,-123400.00,10955.35
MARUTI,18-Dec-2024,30-Jan-2025,11203.05,11203.05,11085.40,11113.45,11122.00,11113.45,3474.00,19326.40,343950.00,119500.00,11002.45
MARUTI,18-Dec-2024,27-Feb-2025,11189.25,11231.85,11161.55,11190.00,11190.00,11147.85,94.00,526.70,12050.00,-200.00,11002.45
MARUTI,18-Dec-2024,26-Dec-2024,11090.00,11122.90,11001.25,11030.50,11040.00,11030.50,9186.00,50732.94,3004400.00,23250.00,11002.45
MARUTI,17-Dec-2024,30-Jan-2025,11326.25,11390.00,11176.00,11224.70,11203.60,11224.70,2492.00,14028.43,224450.00,89800.00,11108.55
MARUTI,17-Dec-2024,27-Feb-2025,11435.90,11436.25,11250.95,11259.25,11256.00,11259.25,92.00,520.49,12250.00,1900.00,11108.55
MARUTI,17-Dec-2024,26-Dec-2024,11290.00,11308.95,11096.10,11137.05,11120.00,11137.05,10276.00,57459.94,2981150.00,17750.00,11108.55
MARUTI,16-Dec-2024,30-Jan-2025,11360.00,11427.00,11320.35,11388.00,11399.50,11388.00,1136.00,6462.07,134650.00,31800.00,11277.00
MARUTI,16-Dec-2024,26-Dec-2024,11258.30,11350.00,11234.05,11306.85,11313.95,11306.85,6605.00,37296.33,2963400.00,-20400.00,11277.00
MARUTI,16-Dec-2024,27-Feb-2025,11409.75,11457.10,11400.80,11457.10,11457.10,11457.10,10.00,57.18,10350.00,350.00,11277.00
MARUTI,13-Dec-2024,26-Dec-2024,11157.75,11303.85,11051.55,11284.40,11286.55,11284.40,12563.00,70342.23,2983800.00,-101400.00,11272.55
MARUTI,13-Dec-2024,27-Feb-2025,11300.00,11440.00,11209.95,11435.05,11433.00,11435.05,68.00,384.29,10000.00,1350.00,11272.55
MARUTI,13-Dec-2024,30-Jan-2025,11237.80,11383.00,11135.60,11369.70,11374.70,11369.70,898.00,5059.14,102850.00,4450.00,11272.55
MARUTI,12-Dec-2024,27-Feb-2025,11450.00,11451.05,11275.00,11348.30,11342.45,11348.30,53.00,300.90,8650.00,1950.00,11167.40
MARUTI,12-Dec-2024,26-Dec-2024,11318.85,11335.80,11117.00,11199.00,11180.00,11199.00,10040.00,56228.84,3085200.00,9500.00,11167.40
MARUTI,12-Dec-2024,30-Jan-2025,11425.35,11425.40,11201.00,11280.50,11265.05,11280.50,1236.00,6973.43,98400.00,22300.00,11167.40
MARUTI,11-Dec-2024,30-Jan-2025,11338.00,11440.10,11338.00,11406.00,11421.50,11406.00,472.00,2692.06,76100.00,6750.00,11277.75
MARUTI,11-Dec-2024,26-Dec-2024,11323.65,11360.10,11254.05,11325.30,11332.00,11325.30,5130.00,29051.03,3075700.00,-11450.00,11277.75
MARUTI,11-Dec-2024,27-Feb-2025,11456.00,11500.00,11456.00,11482.40,11480.00,11482.40,33.00,189.42,6700.00,-400.00,11277.75
MARUTI,10-Dec-2024,26-Dec-2024,11311.90,11358.35,11219.90,11246.90,11262.00,11246.90,6936.00,39089.92,3087150.00,14750.00,11198.20
MARUTI,10-Dec-2024,27-Feb-2025,11400.00,11500.00,11384.00,11398.85,11410.00,11398.85,39.00,222.85,7100.00,1150.00,11198.20
MARUTI,10-Dec-2024,30-Jan-2025,11379.55,11436.15,11303.00,11324.50,11338.10,11324.50,366.00,2076.64,69350.00,6100.00,11198.20
MARUTI,09-Dec-2024,26-Dec-2024,11424.75,11424.75,11285.90,11303.15,11302.15,11303.15,5780.00,32751.82,3072400.00,-52850.00,11279.80
MARUTI,09-Dec-2024,30-Jan-2025,11405.40,11481.10,11368.30,11383.75,11381.10,11383.75,232.00,1323.95,63250.00,850.00,11279.80
MARUTI,09-Dec-2024,27-Feb-2025,11500.00,11554.20,11440.00,11451.00,11448.60,11451.00,89.00,511.53,5950.00,1650.00,11279.80
MARUTI,06-Dec-2024,26-Dec-2024,11224.90,11426.95,11170.00,11368.90,11360.10,11368.90,13912.00,78720.10,3125250.00,57300.00,11317.95
MARUTI,06-Dec-2024,27-Feb-2025,11380.00,11555.50,11325.00,11530.90,11520.00,11530.90,57.00,326.97,4300.00,150.00,11317.95
