Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,28-Jun-2024,25-Jul-2024,3082.00,3174.90,3077.00,3151.45,3150.00,3151.45,92432.00,724266.84,30354500.00,-1709500.00,-
RELIANCE,28-Jun-2024,29-Aug-2024,3098.90,3190.25,3098.90,3167.40,3167.80,3167.40,3520.00,27755.31,6102750.00,3500.00,-
RELIANCE,28-Jun-2024,26-Sep-2024,3169.45,3210.00,3127.95,3186.60,3185.95,3186.60,222.00,1761.32,23500.00,23500.00,-
RELIANCE,27-Jun-2024,29-Aug-2024,3057.85,3101.45,3043.90,3091.45,3084.70,3091.45,9447.00,72920.59,6099250.00,1584500.00,-
RELIANCE,27-Jun-2024,25-Jul-2024,3045.80,3086.85,3030.95,3071.70,3069.85,3071.70,120767.00,926464.95,32064000.00,5439250.00,-
RELIANCE,27-Jun-2024,26-Sep-2024,-,-,-,-,-,-,-,-,-,-,-
RELIANCE,27-Jun-2024,27-Jun-2024,3025.00,3071.65,3010.90,3054.70,3050.00,3061.10,69080.00,527304.69,4276000.00,-7804000.00,-
RELIANCE,26-Jun-2024,25-Jul-2024,2916.65,3056.95,2912.10,3047.50,3045.00,3047.50,111564.00,835249.77,26624750.00,8271000.00,-
RELIANCE,26-Jun-2024,29-Aug-2024,2929.95,3070.00,2875.00,3059.75,3056.90,3059.75,4419.00,33256.34,4514750.00,568500.00,-
RELIANCE,26-Jun-2024,27-Jun-2024,2900.25,3038.00,2894.00,3028.80,3025.45,3028.80,80176.00,595296.25,12080000.00,-9773000.00,-
RELIANCE,25-Jun-2024,27-Jun-2024,2883.15,2907.40,2883.15,2904.80,2902.30,2904.80,49258.00,356489.66,21853000.00,-8911000.00,-
RELIANCE,25-Jun-2024,29-Aug-2024,2921.45,2937.25,2916.25,2934.10,2931.40,2934.10,4803.00,35091.38,3946250.00,1105500.00,-
RELIANCE,25-Jun-2024,25-Jul-2024,2904.10,2925.20,2903.80,2922.55,2918.90,2922.55,43515.00,316870.89,18353750.00,7009250.00,-
RELIANCE,24-Jun-2024,29-Aug-2024,2975.00,2975.00,2905.00,2916.95,2921.45,2916.95,3128.00,22827.07,2840750.00,705750.00,-
RELIANCE,24-Jun-2024,25-Jul-2024,2910.00,2922.35,2892.30,2905.40,2908.00,2905.40,37717.00,274059.23,11344500.00,5030750.00,-
RELIANCE,24-Jun-2024,27-Jun-2024,2901.00,2903.75,2874.05,2887.50,2890.15,2887.50,45066.00,325459.58,30764000.00,-5005750.00,-
RELIANCE,21-Jun-2024,27-Jun-2024,2953.00,2953.00,2887.80,2911.30,2909.00,2911.30,62646.00,456556.01,35769750.00,-1028250.00,-
RELIANCE,21-Jun-2024,29-Aug-2024,2982.90,2990.05,2917.00,2940.85,2941.50,2940.85,3261.00,23998.94,2135000.00,647250.00,-
RELIANCE,21-Jun-2024,25-Jul-2024,2970.65,2976.80,2905.00,2927.40,2929.00,2927.40,23676.00,173479.22,6313750.00,2892000.00,-
RELIANCE,20-Jun-2024,27-Jun-2024,2920.10,2969.50,2905.70,2952.95,2953.90,2952.95,53021.00,391235.67,36798000.00,-751500.00,-
RELIANCE,20-Jun-2024,25-Jul-2024,2933.20,2983.00,2922.00,2968.25,2969.20,2968.25,10805.00,80144.90,3421750.00,856500.00,-
RELIANCE,20-Jun-2024,29-Aug-2024,2948.45,2999.30,2939.35,2982.90,2982.80,2982.90,4718.00,35257.04,1487750.00,981250.00,-
RELIANCE,19-Jun-2024,25-Jul-2024,2973.00,2986.45,2930.00,2935.30,2931.45,2935.30,6485.00,47864.54,2565250.00,726750.00,-
RELIANCE,19-Jun-2024,29-Aug-2024,3001.75,3004.30,2945.55,2950.25,2948.00,2950.25,944.00,6998.89,506500.00,105500.00,-
RELIANCE,19-Jun-2024,27-Jun-2024,2972.60,2974.00,2913.50,2918.10,2916.00,2918.10,36310.00,266662.58,37549500.00,-56750.00,-
RELIANCE,18-Jun-2024,25-Jul-2024,2973.20,2985.00,2965.60,2978.70,2975.25,2978.70,2279.00,16955.44,1838500.00,163250.00,-
RELIANCE,18-Jun-2024,29-Aug-2024,2988.00,3003.90,2985.75,2998.35,2996.00,2998.35,195.00,1460.57,401000.00,25750.00,-
RELIANCE,18-Jun-2024,27-Jun-2024,2963.95,2973.65,2951.25,2965.20,2961.70,2965.20,19280.00,142769.68,37606250.00,-72000.00,-
RELIANCE,14-Jun-2024,29-Aug-2024,2960.00,2990.40,2953.85,2988.10,2985.75,2988.10,242.00,1802.36,375250.00,25250.00,-
RELIANCE,14-Jun-2024,27-Jun-2024,2939.90,2959.70,2919.10,2955.40,2953.00,2955.40,28502.00,209961.25,37678250.00,-321000.00,-
RELIANCE,14-Jun-2024,25-Jul-2024,2948.50,2972.00,2935.25,2968.65,2966.50,2968.65,2216.00,16391.13,1675250.00,125000.00,-
RELIANCE,13-Jun-2024,27-Jun-2024,2946.55,2954.00,2928.35,2933.20,2932.70,2933.20,18440.00,135383.78,37999250.00,-17000.00,-
RELIANCE,13-Jun-2024,29-Aug-2024,2976.70,2978.00,2963.00,2965.25,2964.95,2965.25,334.00,2480.28,350000.00,53250.00,-
RELIANCE,13-Jun-2024,25-Jul-2024,2962.80,2962.80,2944.60,2947.55,2947.85,2947.55,1468.00,10833.39,1550250.00,131500.00,-
RELIANCE,12-Jun-2024,29-Aug-2024,2960.20,2987.30,2957.00,2969.50,2970.00,2969.50,358.00,2664.51,296750.00,47000.00,-
RELIANCE,12-Jun-2024,27-Jun-2024,2926.80,2954.60,2920.60,2934.85,2936.50,2934.85,24052.00,176769.30,38016250.00,-175750.00,-
RELIANCE,12-Jun-2024,25-Jul-2024,2944.50,2968.65,2937.05,2950.60,2952.00,2950.60,2037.00,15050.37,1418750.00,74500.00,-
RELIANCE,11-Jun-2024,27-Jun-2024,2945.00,2956.05,2920.70,2925.45,2926.75,2925.45,24838.00,182339.61,38192000.00,1049500.00,-
RELIANCE,11-Jun-2024,29-Aug-2024,2986.30,2986.30,2957.00,2960.20,2962.60,2960.20,174.00,1291.92,249750.00,14000.00,-
RELIANCE,11-Jun-2024,25-Jul-2024,2969.75,2970.65,2935.50,2940.95,2943.80,2940.95,2095.00,15457.51,1344250.00,183000.00,-
RELIANCE,10-Jun-2024,25-Jul-2024,2961.55,3003.50,2957.15,2961.25,2963.00,2961.25,2123.00,15814.18,1161250.00,35000.00,-
RELIANCE,10-Jun-2024,29-Aug-2024,2981.95,3021.10,2976.50,2980.20,2982.75,2980.20,376.00,2818.92,235750.00,47750.00,-
RELIANCE,10-Jun-2024,27-Jun-2024,2944.00,2989.55,2941.20,2945.80,2945.75,2945.80,35981.00,266648.63,37142500.00,-1391500.00,-
RELIANCE,07-Jun-2024,25-Jul-2024,2895.00,2962.45,2878.05,2958.00,2954.35,2958.00,3165.00,23218.19,1126250.00,40000.00,-
RELIANCE,07-Jun-2024,27-Jun-2024,2875.70,2948.90,2862.05,2944.30,2940.30,2944.30,61012.00,445300.62,38534000.00,-3004000.00,-
RELIANCE,07-Jun-2024,29-Aug-2024,2910.00,2981.90,2910.00,2977.50,2976.00,2977.50,812.00,6012.70,188000.00,49500.00,-
RELIANCE,06-Jun-2024,27-Jun-2024,2867.10,2899.90,2854.25,2875.55,2880.00,2875.55,57597.00,413913.58,41538000.00,2620500.00,-
RELIANCE,06-Jun-2024,25-Jul-2024,2880.00,2915.45,2873.95,2892.80,2893.30,2892.80,2393.00,17301.41,1086250.00,84750.00,-
RELIANCE,06-Jun-2024,29-Aug-2024,2906.20,2933.00,2890.05,2912.35,2915.00,2912.35,624.00,4539.75,138500.00,18000.00,-
RELIANCE,05-Jun-2024,25-Jul-2024,2842.65,2885.35,2797.00,2866.50,2861.45,2866.50,4613.00,32851.80,1001500.00,295000.00,-
RELIANCE,05-Jun-2024,29-Aug-2024,2875.00,2906.30,2819.00,2883.80,2879.40,2883.80,402.00,2883.57,120500.00,18250.00,-
RELIANCE,05-Jun-2024,27-Jun-2024,2825.05,2868.15,2777.90,2846.70,2843.00,2846.70,63485.00,448718.21,38917500.00,838250.00,-
RELIANCE,04-Jun-2024,27-Jun-2024,2989.90,3011.00,2660.30,2796.30,2810.00,2796.30,126135.00,900538.37,38079250.00,-1683500.00,-
RELIANCE,04-Jun-2024,25-Jul-2024,3063.00,3063.00,2748.75,2817.40,2826.00,2817.40,7142.00,51123.26,706500.00,304250.00,-
RELIANCE,04-Jun-2024,29-Aug-2024,3050.00,3058.00,2768.25,2837.60,2845.40,2837.60,761.00,5485.03,102250.00,71750.00,-
RELIANCE,03-Jun-2024,25-Jul-2024,2984.70,3063.00,2942.15,3054.15,3063.00,3054.15,2417.00,18149.83,402250.00,-16250.00,-
RELIANCE,03-Jun-2024,27-Jun-2024,2938.00,3047.55,2930.70,3040.75,3046.00,3040.75,73584.00,550032.46,39762750.00,-1013250.00,-
RELIANCE,03-Jun-2024,29-Aug-2024,3000.00,3081.50,2965.00,3075.80,3081.50,3075.80,280.00,2123.34,30500.00,23500.00,-
RELIANCE,31-May-2024,27-Jun-2024,2870.00,2897.00,2860.05,2880.90,2881.45,2880.90,45271.00,325849.09,40776000.00,-503750.00,-
RELIANCE,31-May-2024,25-Jul-2024,2896.10,2910.40,2875.15,2893.70,2896.00,2893.70,1135.00,8210.00,418500.00,57250.00,-
RELIANCE,31-May-2024,29-Aug-2024,2929.05,2929.05,2896.20,2910.60,2911.00,2910.60,49.00,356.51,7000.00,7000.00,-
RELIANCE,30-May-2024,30-May-2024,2878.00,2881.30,2836.95,2846.30,2851.50,2849.70,48256.00,344570.36,889000.00,-8575500.00,-
RELIANCE,30-May-2024,25-Jul-2024,2919.90,2920.15,2877.65,2885.00,2890.10,2885.00,722.00,5223.05,361250.00,93750.00,-
RELIANCE,30-May-2024,27-Jun-2024,2898.55,2901.90,2860.20,2868.95,2876.80,2868.95,83712.00,601992.25,41279750.00,9239750.00,-
RELIANCE,29-May-2024,30-May-2024,2906.35,2921.90,2883.00,2888.00,2886.45,2888.00,54200.00,392681.93,9464500.00,-9215000.00,-
RELIANCE,29-May-2024,27-Jun-2024,2930.05,2941.50,2902.00,2907.35,2906.55,2907.35,58410.00,426041.28,32040000.00,11030250.00,-
RELIANCE,29-May-2024,25-Jul-2024,2953.65,2956.00,2920.00,2922.75,2926.05,2922.75,377.00,2765.69,267500.00,56750.00,-
RELIANCE,28-May-2024,27-Jun-2024,2962.95,2982.00,2937.00,2941.30,2939.50,2941.30,50235.00,371679.13,21009750.00,8219750.00,-
RELIANCE,28-May-2024,25-Jul-2024,2977.00,2995.00,2953.70,2956.55,2954.70,2956.55,334.00,2481.76,210750.00,44250.00,-
RELIANCE,28-May-2024,30-May-2024,2943.15,2963.40,2917.65,2922.30,2920.00,2922.30,51688.00,379982.57,18679500.00,-9754750.00,-
RELIANCE,27-May-2024,27-Jun-2024,2990.00,2990.00,2948.10,2957.45,2962.00,2957.45,44340.00,329275.86,12790000.00,7607250.00,-
RELIANCE,27-May-2024,30-May-2024,2970.00,2971.35,2928.85,2937.80,2942.55,2937.80,49626.00,366125.45,28434250.00,-6488750.00,-
RELIANCE,27-May-2024,25-Jul-2024,3002.95,3003.80,2965.00,2973.50,2979.80,2973.50,304.00,2268.37,166500.00,17750.00,-
RELIANCE,24-May-2024,27-Jun-2024,2994.90,3002.00,2978.70,2988.55,2986.00,2988.55,8549.00,63886.12,5182750.00,970500.00,-
RELIANCE,24-May-2024,30-May-2024,2971.00,2984.45,2959.55,2969.50,2968.75,2969.50,21811.00,161968.04,34923000.00,-649750.00,-
RELIANCE,24-May-2024,25-Jul-2024,3008.00,3014.90,2996.20,3002.95,3003.80,3002.95,181.00,1359.33,148750.00,7750.00,-
RELIANCE,23-May-2024,27-Jun-2024,2943.45,3003.00,2940.00,2994.40,2995.00,2994.40,9435.00,70083.89,4212250.00,255750.00,-
RELIANCE,23-May-2024,30-May-2024,2904.05,2985.80,2904.05,2975.65,2977.90,2975.65,50104.00,370262.82,35572750.00,-1467250.00,-
RELIANCE,23-May-2024,25-Jul-2024,2966.00,3017.05,2965.00,3008.05,3008.85,3008.05,331.00,2473.41,141000.00,9250.00,-
RELIANCE,22-May-2024,30-May-2024,2889.30,2941.00,2875.00,2924.85,2923.95,2924.85,41589.00,303927.13,37040000.00,-318250.00,-
RELIANCE,22-May-2024,27-Jun-2024,2906.70,2960.00,2903.95,2943.75,2943.90,2943.75,8823.00,64917.21,3956500.00,534250.00,-
RELIANCE,22-May-2024,25-Jul-2024,2924.80,2975.40,2924.65,2959.55,2959.00,2959.55,370.00,2737.60,131750.00,-2750.00,-
RELIANCE,21-May-2024,30-May-2024,2871.55,2893.85,2859.75,2881.50,2878.50,2881.50,20216.00,145462.17,37358250.00,108000.00,-
RELIANCE,21-May-2024,27-Jun-2024,2885.00,2912.00,2880.05,2900.00,2898.05,2900.00,4739.00,34321.01,3422250.00,476250.00,-
RELIANCE,21-May-2024,25-Jul-2024,2907.65,2928.00,2901.90,2918.55,2920.00,2918.55,172.00,1252.76,134500.00,3500.00,-
RELIANCE,18-May-2024,25-Jul-2024,2909.05,2910.90,2906.40,2909.25,2908.65,2909.25,31.00,225.42,131000.00,-3500.00,-
RELIANCE,18-May-2024,27-Jun-2024,2893.65,2897.60,2888.95,2892.00,2890.50,2892.00,585.00,4230.01,2946000.00,12750.00,-
RELIANCE,18-May-2024,30-May-2024,2876.95,2880.00,2870.60,2873.95,2872.00,2873.95,2962.00,21286.94,37250250.00,-30500.00,-
RELIANCE,17-May-2024,27-Jun-2024,2868.25,2892.00,2855.60,2889.55,2888.00,2889.55,2271.00,16343.96,2933250.00,47000.00,-
RELIANCE,17-May-2024,25-Jul-2024,2877.95,2908.00,2875.30,2906.30,2904.45,2906.30,212.00,1535.89,134500.00,-1250.00,-
RELIANCE,17-May-2024,30-May-2024,2851.35,2876.65,2837.15,2873.55,2872.50,2873.55,28151.00,201518.72,37280750.00,-1227000.00,-
RELIANCE,16-May-2024,30-May-2024,2850.65,2859.95,2810.60,2856.05,2857.85,2856.05,43239.00,306755.91,38507750.00,32750.00,-
RELIANCE,16-May-2024,27-Jun-2024,2870.00,2876.80,2828.65,2872.90,2873.50,2872.90,4375.00,31202.85,2886250.00,456250.00,-
RELIANCE,16-May-2024,25-Jul-2024,2887.00,2893.15,2847.80,2889.05,2891.00,2889.05,189.00,1355.98,135750.00,16750.00,-
RELIANCE,15-May-2024,27-Jun-2024,2866.50,2885.80,2857.55,2862.25,2862.90,2862.25,3238.00,23228.85,2430000.00,197250.00,-
RELIANCE,15-May-2024,25-Jul-2024,2883.95,2904.20,2875.85,2880.15,2880.45,2880.15,63.00,454.93,119000.00,4000.00,-
RELIANCE,15-May-2024,30-May-2024,2847.10,2868.55,2840.15,2845.05,2844.50,2845.05,19456.00,138687.14,38475000.00,-388750.00,-
RELIANCE,14-May-2024,25-Jul-2024,2872.00,2895.85,2860.00,2883.95,2883.20,2883.95,158.00,1137.15,115000.00,2000.00,-
RELIANCE,14-May-2024,27-Jun-2024,2835.45,2879.55,2835.45,2865.75,2867.00,2865.75,2088.00,14929.26,2232750.00,43250.00,-
RELIANCE,14-May-2024,30-May-2024,2816.05,2862.45,2812.55,2848.10,2848.60,2848.10,25836.00,183599.33,38863750.00,-1278250.00,-
RELIANCE,13-May-2024,27-Jun-2024,2836.75,2841.75,2798.00,2832.95,2835.00,2832.95,2217.00,15597.42,2189500.00,152500.00,-
RELIANCE,13-May-2024,25-Jul-2024,2849.25,2857.60,2817.50,2852.00,2852.00,2852.00,177.00,1254.55,113000.00,11750.00,-
RELIANCE,13-May-2024,30-May-2024,2816.05,2823.20,2778.60,2814.55,2815.00,2814.55,25267.00,176963.36,40142000.00,-699000.00,-
RELIANCE,10-May-2024,27-Jun-2024,2829.00,2846.00,2811.20,2840.30,2835.00,2840.30,2119.00,14990.75,2037000.00,95000.00,-
RELIANCE,10-May-2024,30-May-2024,2806.80,2828.00,2791.50,2822.60,2817.65,2822.60,31065.00,218274.50,40841000.00,-1642250.00,-
RELIANCE,10-May-2024,25-Jul-2024,2851.95,2863.85,2831.00,2857.25,2855.15,2857.25,216.00,1536.38,101250.00,6750.00,-
RELIANCE,09-May-2024,30-May-2024,2842.15,2863.95,2797.70,2806.85,2801.00,2806.85,45885.00,323422.21,42483250.00,2080000.00,-
RELIANCE,09-May-2024,25-Jul-2024,2888.80,2888.80,2835.35,2843.80,2840.00,2843.80,165.00,1176.95,94500.00,14250.00,-
RELIANCE,09-May-2024,27-Jun-2024,2865.00,2882.25,2817.80,2824.80,2820.95,2824.80,3560.00,25229.87,1942000.00,457000.00,-
RELIANCE,08-May-2024,27-Jun-2024,2825.10,2896.85,2825.05,2870.85,2870.60,2870.85,2255.00,16168.64,1485000.00,98250.00,-
RELIANCE,08-May-2024,30-May-2024,2811.60,2879.30,2804.65,2852.15,2851.45,2852.15,33785.00,240806.01,40403250.00,-1680250.00,-
RELIANCE,08-May-2024,25-Jul-2024,2866.60,2914.95,2866.60,2888.80,2889.60,2888.80,189.00,1366.26,80250.00,-10750.00,-
RELIANCE,07-May-2024,30-May-2024,2857.55,2861.00,2802.05,2821.70,2824.00,2821.70,33101.00,233638.07,42083500.00,1739750.00,-
RELIANCE,07-May-2024,25-Jul-2024,2899.50,2899.50,2845.00,2863.10,2864.80,2863.10,223.00,1596.74,91000.00,29500.00,-
RELIANCE,07-May-2024,27-Jun-2024,2880.40,2880.95,2821.95,2841.05,2843.00,2841.05,3177.00,22577.17,1386750.00,301250.00,-
RELIANCE,06-May-2024,27-Jun-2024,2914.80,2920.05,2877.70,2880.40,2882.90,2880.40,2177.00,15754.69,1085500.00,209250.00,-
RELIANCE,06-May-2024,30-May-2024,2888.25,2901.15,2857.30,2860.30,2863.45,2860.30,23415.00,168304.83,40343750.00,605750.00,-
RELIANCE,06-May-2024,25-Jul-2024,2936.05,2940.00,2900.00,2901.40,2902.00,2901.40,133.00,970.03,61500.00,9000.00,-
RELIANCE,03-May-2024,30-May-2024,2965.05,2973.55,2847.45,2884.75,2883.50,2884.75,66994.00,485130.84,39738000.00,349750.00,-
RELIANCE,03-May-2024,25-Jul-2024,3000.00,3000.00,2891.00,2925.25,2925.20,2925.25,240.00,1757.47,52500.00,39750.00,-
RELIANCE,03-May-2024,27-Jun-2024,2985.15,2992.05,2869.10,2905.70,2903.00,2905.70,3517.00,25649.02,876250.00,327000.00,-
RELIANCE,02-May-2024,25-Jul-2024,3002.00,3006.00,2995.90,2996.85,2997.35,2996.85,16.00,120.10,12750.00,2250.00,-
RELIANCE,02-May-2024,27-Jun-2024,2982.70,2990.00,2967.95,2980.65,2983.30,2980.65,696.00,5186.40,549250.00,28500.00,-
RELIANCE,02-May-2024,30-May-2024,2959.25,2971.85,2948.70,2960.15,2963.30,2960.15,29261.00,216612.80,39388250.00,-60750.00,-
RELIANCE,30-Apr-2024,27-Jun-2024,2975.00,3001.05,2969.00,2973.10,2971.40,2973.10,1063.00,7939.73,520750.00,33250.00,-
RELIANCE,30-Apr-2024,25-Jul-2024,2997.75,3014.75,2988.00,2992.50,2993.75,2992.50,54.00,405.52,10500.00,7250.00,-
RELIANCE,30-Apr-2024,30-May-2024,2953.85,2982.00,2947.55,2953.85,2953.00,2953.85,34967.00,259322.33,39449000.00,-825750.00,-
RELIANCE,29-Apr-2024,27-Jun-2024,2945.40,2973.50,2945.00,2970.20,2970.95,2970.20,497.00,3686.20,487500.00,-7750.00,-
RELIANCE,29-Apr-2024,25-Jul-2024,2981.85,2987.00,2981.85,2985.05,2985.05,2985.05,7.00,52.22,3250.00,750.00,-
RELIANCE,29-Apr-2024,30-May-2024,2916.10,2954.40,2916.10,2950.50,2950.80,2950.50,22152.00,163212.81,40274750.00,-390500.00,-
RELIANCE,26-Apr-2024,27-Jun-2024,2960.05,3000.00,2944.55,2951.20,2952.95,2951.20,670.00,4952.33,495250.00,13000.00,-
RELIANCE,26-Apr-2024,30-May-2024,2945.00,2952.00,2924.30,2931.00,2934.25,2931.00,27944.00,205086.40,40665250.00,144750.00,-
RELIANCE,26-Apr-2024,25-Jul-2024,2970.00,2977.60,2965.00,2970.00,2970.00,2970.00,14.00,103.93,2500.00,2500.00,-
RELIANCE,25-Apr-2024,25-Apr-2024,2889.20,2936.40,2887.55,2916.90,2924.95,2919.95,49241.00,358598.45,2045000.00,-7132500.00,-
RELIANCE,25-Apr-2024,30-May-2024,2912.25,2954.30,2908.50,2938.40,2942.00,2938.40,89588.00,657130.91,40520500.00,6831250.00,-
RELIANCE,25-Apr-2024,27-Jun-2024,2935.55,2970.00,2925.75,2955.25,2956.00,2955.25,981.00,7230.83,482250.00,44750.00,-
RELIANCE,24-Apr-2024,27-Jun-2024,2964.95,2974.00,2938.90,2941.30,2941.25,2941.30,1154.00,8540.88,437500.00,128750.00,-
RELIANCE,24-Apr-2024,25-Apr-2024,2925.60,2933.55,2900.55,2904.40,2904.00,2904.40,45597.00,332943.49,9177500.00,-8402250.00,-
RELIANCE,24-Apr-2024,30-May-2024,2945.00,2954.50,2920.90,2924.65,2922.00,2924.65,52388.00,385232.62,33689250.00,8698750.00,-
RELIANCE,23-Apr-2024,30-May-2024,2990.00,3010.50,2932.30,2938.50,2939.40,2938.50,55477.00,410894.86,24990500.00,9226750.00,-
RELIANCE,23-Apr-2024,27-Jun-2024,2996.40,3024.05,2952.00,2955.90,2955.00,2955.90,928.00,6915.18,308750.00,74000.00,-
RELIANCE,23-Apr-2024,25-Apr-2024,2958.00,2989.20,2911.40,2917.65,2918.95,2917.65,63510.00,467371.90,17579750.00,-8679750.00,-
RELIANCE,22-Apr-2024,25-Apr-2024,2955.40,2967.95,2925.00,2964.55,2963.50,2964.55,53565.00,395560.43,26259500.00,-8225750.00,-
RELIANCE,22-Apr-2024,27-Jun-2024,2988.00,3003.00,2977.95,3000.30,3000.00,3000.30,405.00,3030.56,234750.00,50500.00,-
RELIANCE,22-Apr-2024,30-May-2024,2973.95,2989.70,2959.05,2985.70,2986.45,2985.70,46925.00,349050.19,15763750.00,9537000.00,-
RELIANCE,19-Apr-2024,30-May-2024,2938.20,2965.60,2905.40,2959.10,2961.95,2959.10,13393.00,98301.19,6226750.00,1753500.00,-
