Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,28-Mar-2024,28-Mar-2024,2985.05,3008.50,2962.70,2972.15,2970.45,2971.85,53720.00,401159.50,3428000.00,-7467000.00,1546.60
RELIANCE,28-Mar-2024,27-Jun-2024,-,-,-,-,-,-,-,-,-,-,1546.60
RELIANCE,28-Mar-2024,25-Apr-2024,3006.55,3031.50,2980.00,2991.25,2991.50,2991.25,89557.00,673685.61,38764250.00,7814500.00,1546.60
RELIANCE,28-Mar-2024,30-May-2024,3025.65,3050.30,3001.65,3013.90,3014.80,3013.90,921.00,6976.95,263500.00,68500.00,1546.60
RELIANCE,27-Mar-2024,28-Mar-2024,2908.00,2998.30,2904.75,2987.00,2988.00,2987.00,66475.00,493935.14,10895000.00,-10813000.00,1546.60
RELIANCE,27-Mar-2024,25-Apr-2024,2937.00,3022.05,2926.20,3010.60,3012.65,3010.60,75348.00,564467.04,30949750.00,10344250.00,1546.60
RELIANCE,27-Mar-2024,30-May-2024,2955.00,3042.50,2954.00,3030.70,3030.70,3030.70,1051.00,7936.05,195000.00,37500.00,1546.60
RELIANCE,26-Mar-2024,25-Apr-2024,2924.65,2934.45,2908.00,2915.55,2919.35,2915.55,47104.00,343509.88,20605500.00,9804250.00,1546.60
RELIANCE,26-Mar-2024,28-Mar-2024,2909.85,2912.20,2886.10,2893.60,2896.60,2893.60,47651.00,344924.86,21708000.00,-9020250.00,1546.60
RELIANCE,26-Mar-2024,30-May-2024,2947.25,2949.70,2930.00,2938.05,2940.75,2938.05,182.00,1336.99,157500.00,14250.00,1546.60
RELIANCE,22-Mar-2024,30-May-2024,2950.00,2969.60,2946.55,2959.80,2955.50,2959.80,178.00,1317.02,143250.00,9750.00,1546.60
RELIANCE,22-Mar-2024,25-Apr-2024,2928.00,2951.60,2923.75,2941.35,2937.45,2941.35,29742.00,218574.41,10801250.00,5002250.00,1546.60
RELIANCE,22-Mar-2024,28-Mar-2024,2890.40,2930.25,2890.40,2919.65,2914.30,2919.65,40194.00,293160.59,30728250.00,-3792500.00,1546.60
RELIANCE,21-Mar-2024,28-Mar-2024,2907.50,2924.35,2898.00,2909.20,2910.75,2909.20,32217.00,234483.99,34520750.00,-2494500.00,1546.60
RELIANCE,21-Mar-2024,30-May-2024,2949.60,2963.00,2941.00,2951.80,2953.45,2951.80,159.00,1173.92,133500.00,2000.00,1546.60
RELIANCE,21-Mar-2024,25-Apr-2024,2927.95,2945.90,2920.60,2931.05,2933.60,2931.05,12266.00,89988.38,5799000.00,2035250.00,1546.60
RELIANCE,20-Mar-2024,28-Mar-2024,2861.60,2893.90,2851.35,2890.80,2891.95,2890.80,22340.00,160696.54,37015250.00,-1454000.00,1546.60
RELIANCE,20-Mar-2024,30-May-2024,2900.00,2934.00,2899.90,2932.45,2934.00,2932.45,293.00,2142.37,131500.00,22500.00,1546.60
RELIANCE,20-Mar-2024,25-Apr-2024,2881.00,2915.00,2874.00,2912.15,2913.05,2912.15,5613.00,40663.52,3763750.00,712250.00,1546.60
RELIANCE,19-Mar-2024,25-Apr-2024,2897.80,2902.05,2866.00,2876.15,2876.50,2876.15,4886.00,35160.66,3051500.00,781500.00,1546.60
RELIANCE,19-Mar-2024,30-May-2024,2921.05,2921.05,2890.00,2899.25,2897.55,2899.25,153.00,1109.38,109000.00,12000.00,1546.60
RELIANCE,19-Mar-2024,28-Mar-2024,2877.85,2883.00,2843.05,2854.45,2854.20,2854.45,22405.00,160031.26,38469250.00,-720250.00,1546.60
RELIANCE,18-Mar-2024,25-Apr-2024,2869.10,2909.70,2865.00,2906.00,2905.00,2906.00,3464.00,24991.75,2270000.00,314500.00,1546.60
RELIANCE,18-Mar-2024,28-Mar-2024,2847.15,2888.60,2843.50,2884.80,2883.50,2884.80,23254.00,166710.52,39189500.00,-1085250.00,1546.60
RELIANCE,18-Mar-2024,30-May-2024,2893.05,2932.40,2889.00,2929.35,2928.00,2929.35,172.00,1251.63,97000.00,3250.00,1546.60
RELIANCE,15-Mar-2024,25-Apr-2024,2889.70,2897.70,2862.55,2871.45,2872.00,2871.45,4560.00,32780.66,1955500.00,484500.00,1546.60
RELIANCE,15-Mar-2024,30-May-2024,2910.00,2915.60,2890.00,2893.05,2894.00,2893.05,185.00,1341.74,93750.00,11000.00,1546.60
RELIANCE,15-Mar-2024,28-Mar-2024,2867.65,2875.60,2840.45,2849.95,2850.30,2849.95,37580.00,268227.43,40274750.00,-564750.00,1546.60
RELIANCE,14-Mar-2024,30-May-2024,2934.00,2945.60,2914.50,2928.80,2928.50,2928.80,122.00,894.10,82750.00,6500.00,1546.60
RELIANCE,14-Mar-2024,25-Apr-2024,2907.15,2926.40,2889.65,2900.80,2908.00,2900.80,3328.00,24196.55,1471000.00,294000.00,1546.60
RELIANCE,14-Mar-2024,28-Mar-2024,2877.00,2904.20,2867.70,2880.80,2886.50,2880.80,33991.00,245363.66,40839500.00,536000.00,1546.60
RELIANCE,13-Mar-2024,25-Apr-2024,2984.70,2995.25,2892.70,2900.45,2907.65,2900.45,3196.00,23431.71,1177000.00,231000.00,1546.60
RELIANCE,13-Mar-2024,28-Mar-2024,2970.55,2973.60,2870.20,2879.45,2885.55,2879.45,34928.00,254778.91,40303500.00,1382500.00,1546.60
RELIANCE,13-Mar-2024,30-May-2024,3009.15,3010.80,2918.00,2923.10,2930.00,2923.10,232.00,1711.72,76250.00,12250.00,1546.60
RELIANCE,12-Mar-2024,28-Mar-2024,2945.65,2983.80,2944.70,2964.80,2964.30,2964.80,21320.00,158255.46,38921000.00,-141750.00,1546.60
RELIANCE,12-Mar-2024,25-Apr-2024,2966.70,3005.00,2966.70,2987.30,2990.00,2987.30,1294.00,9679.54,946000.00,62250.00,1546.60
RELIANCE,12-Mar-2024,30-May-2024,3001.40,3025.00,2998.00,3009.60,3011.00,3009.60,79.00,594.98,64000.00,750.00,1546.60
RELIANCE,11-Mar-2024,25-Apr-2024,3001.00,3007.35,2963.25,2970.50,2965.20,2970.50,2549.00,19009.13,883750.00,309500.00,1546.60
RELIANCE,11-Mar-2024,30-May-2024,3017.20,3027.95,2986.00,2990.25,2987.00,2990.25,87.00,655.06,63250.00,11250.00,1546.60
RELIANCE,11-Mar-2024,28-Mar-2024,2982.25,2985.65,2941.15,2946.30,2944.65,2946.30,18544.00,137376.15,39062750.00,-392000.00,1546.60
RELIANCE,07-Mar-2024,30-May-2024,3050.00,3055.55,3005.25,3009.95,3010.70,3009.95,118.00,892.23,52000.00,13250.00,1546.60
RELIANCE,07-Mar-2024,28-Mar-2024,3014.00,3017.90,2962.95,2966.40,2966.00,2966.40,29400.00,219411.12,39454750.00,456250.00,1546.60
RELIANCE,07-Mar-2024,25-Apr-2024,3035.65,3039.20,2985.15,2989.70,2990.85,2989.70,1009.00,7589.69,574250.00,107250.00,1546.60
RELIANCE,06-Mar-2024,28-Mar-2024,3000.00,3028.75,2972.15,3019.15,3014.20,3019.15,34125.00,256338.13,38998500.00,289000.00,1546.60
RELIANCE,06-Mar-2024,25-Apr-2024,3025.90,3050.30,2995.20,3041.05,3037.00,3041.05,1399.00,10571.51,467000.00,33250.00,1546.60
RELIANCE,06-Mar-2024,30-May-2024,3055.30,3063.90,3015.00,3059.95,3060.05,3059.95,133.00,1011.40,38750.00,3750.00,1546.60
RELIANCE,05-Mar-2024,25-Apr-2024,3038.95,3046.75,3011.00,3034.95,3030.95,3034.95,820.00,6209.81,433750.00,42000.00,1546.60
RELIANCE,05-Mar-2024,30-May-2024,3061.00,3061.00,3030.00,3055.30,3049.15,3055.30,87.00,662.68,35000.00,750.00,1546.60
RELIANCE,05-Mar-2024,28-Mar-2024,3025.25,3025.45,2987.35,3012.10,3010.20,3012.10,21439.00,161138.96,38709500.00,53500.00,1546.60
RELIANCE,04-Mar-2024,28-Mar-2024,2999.85,3037.00,2993.15,3026.45,3022.10,3026.45,28029.00,211609.55,38656000.00,101000.00,1546.60
RELIANCE,04-Mar-2024,25-Apr-2024,3023.65,3057.55,3013.90,3049.85,3044.20,3049.85,1493.00,11363.50,391750.00,160000.00,1546.60
RELIANCE,04-Mar-2024,30-May-2024,3038.50,3075.00,3038.00,3065.45,3061.00,3065.45,119.00,910.72,34250.00,12750.00,1546.60
RELIANCE,02-Mar-2024,25-Apr-2024,3012.50,3034.85,3012.50,3023.40,3023.90,3023.40,141.00,1066.55,231750.00,6750.00,1546.60
RELIANCE,02-Mar-2024,30-May-2024,3041.00,3052.00,3041.00,3045.05,3045.05,3045.05,20.00,152.35,21500.00,3250.00,1546.60
RELIANCE,02-Mar-2024,28-Mar-2024,3002.00,3014.05,2940.00,3001.90,3002.00,3001.90,4733.00,35562.84,38555000.00,120500.00,1546.60
RELIANCE,01-Mar-2024,25-Apr-2024,2971.50,3036.60,2964.00,3021.60,3019.00,3021.60,945.00,7092.47,225000.00,-6500.00,1546.60
RELIANCE,01-Mar-2024,28-Mar-2024,2950.00,3016.70,2941.15,3001.05,2997.75,3001.05,41962.00,312961.29,38434500.00,-344250.00,1546.60
RELIANCE,01-Mar-2024,30-May-2024,2986.00,3052.65,2986.00,3041.30,3038.00,3041.30,93.00,703.48,18250.00,18250.00,1546.60
RELIANCE,29-Feb-2024,28-Mar-2024,2949.00,2974.70,2931.70,2944.25,2948.05,2944.25,64042.00,472404.98,38778750.00,5812750.00,1546.60
RELIANCE,29-Feb-2024,29-Feb-2024,2926.25,2955.45,2912.80,2924.10,2934.85,2921.60,31723.00,232478.48,2005000.00,-4638250.00,1546.60
RELIANCE,29-Feb-2024,25-Apr-2024,2969.00,2997.25,2952.05,2965.60,2973.00,2965.60,920.00,6838.91,231500.00,37000.00,1546.60
RELIANCE,28-Feb-2024,25-Apr-2024,3017.25,3026.00,2941.00,2950.25,2953.70,2950.25,701.00,5209.54,194500.00,36000.00,1546.60
RELIANCE,28-Feb-2024,29-Feb-2024,2972.50,2984.80,2899.00,2912.05,2911.75,2912.05,45974.00,337686.13,6643250.00,-7397500.00,1546.60
RELIANCE,28-Feb-2024,28-Mar-2024,2993.10,3004.20,2917.70,2929.95,2930.50,2929.95,54899.00,405782.93,32966000.00,8007250.00,1546.60
RELIANCE,27-Feb-2024,28-Mar-2024,2985.15,3024.00,2977.05,2995.45,2992.80,2995.45,52454.00,393139.44,24958750.00,9886250.00,1546.60
RELIANCE,27-Feb-2024,25-Apr-2024,3007.35,3045.00,3001.30,3017.25,3015.55,3017.25,302.00,2280.85,158500.00,3000.00,1546.60
RELIANCE,27-Feb-2024,29-Feb-2024,2964.95,3004.40,2957.15,2975.95,2974.00,2975.95,55334.00,412021.88,14040750.00,-9297250.00,1546.60
RELIANCE,26-Feb-2024,29-Feb-2024,2988.65,2993.45,2968.75,2977.95,2979.50,2977.95,42340.00,315239.36,23338000.00,-7755750.00,1546.60
RELIANCE,26-Feb-2024,25-Apr-2024,3030.00,3035.25,3013.00,3021.75,3022.00,3021.75,201.00,1517.51,155500.00,10500.00,1546.60
RELIANCE,26-Feb-2024,28-Mar-2024,3009.20,3013.20,2989.00,2997.85,3000.10,2997.85,36741.00,275381.99,15072500.00,7736500.00,1546.60
RELIANCE,23-Feb-2024,25-Apr-2024,3015.00,3037.50,3014.00,3028.95,3029.10,3028.95,322.00,2437.08,145000.00,12250.00,1546.60
RELIANCE,23-Feb-2024,28-Mar-2024,3000.05,3016.65,2988.25,3005.10,3006.95,3005.10,11153.00,83755.70,7336000.00,966250.00,1546.60
RELIANCE,23-Feb-2024,29-Feb-2024,2974.25,2997.10,2968.25,2985.90,2986.80,2985.90,34833.00,259877.86,31093750.00,-485500.00,1546.60
RELIANCE,22-Feb-2024,29-Feb-2024,2940.30,2975.80,2923.20,2970.90,2972.00,2970.90,39947.00,294693.36,31579250.00,-493500.00,1546.60
RELIANCE,22-Feb-2024,28-Mar-2024,2963.10,2995.45,2943.00,2990.65,2993.00,2990.65,14222.00,105578.42,6369750.00,2085750.00,1546.60
RELIANCE,22-Feb-2024,25-Apr-2024,2979.00,3017.00,2967.95,3014.05,3014.50,3014.05,234.00,1755.12,132750.00,-9000.00,1546.60
RELIANCE,21-Feb-2024,28-Mar-2024,2968.00,3002.30,2942.05,2958.15,2955.50,2958.15,8014.00,59629.36,4284000.00,922500.00,1546.60
RELIANCE,21-Feb-2024,25-Apr-2024,2995.00,3023.85,2967.50,2985.65,2976.60,2985.65,476.00,3564.77,141750.00,1750.00,1546.60
RELIANCE,21-Feb-2024,29-Feb-2024,2947.00,2983.00,2922.00,2938.40,2932.55,2938.40,33563.00,247951.44,32072750.00,-52000.00,1546.60
RELIANCE,20-Feb-2024,28-Mar-2024,2974.10,2974.10,2952.40,2964.85,2964.60,2964.85,4983.00,36875.29,3361500.00,837500.00,1546.60
RELIANCE,20-Feb-2024,25-Apr-2024,2994.25,2994.25,2978.00,2986.30,2986.10,2986.30,219.00,1633.84,140000.00,30750.00,1546.60
RELIANCE,20-Feb-2024,29-Feb-2024,2956.45,2956.45,2931.20,2943.75,2942.10,2943.75,21623.00,158952.13,32124750.00,-1268000.00,1546.60
RELIANCE,19-Feb-2024,25-Apr-2024,2980.90,3012.00,2961.20,2997.75,2994.00,2997.75,239.00,1788.68,109250.00,-14750.00,1546.60
RELIANCE,19-Feb-2024,29-Feb-2024,2940.00,2969.50,2916.40,2956.15,2951.45,2956.15,26431.00,194558.22,33392750.00,-133250.00,1546.60
RELIANCE,19-Feb-2024,28-Mar-2024,2957.80,2989.10,2936.50,2976.10,2971.45,2976.10,3890.00,28828.02,2524000.00,357000.00,1546.60
RELIANCE,16-Feb-2024,28-Mar-2024,2982.00,2982.60,2947.00,2950.30,2955.00,2950.30,4505.00,33329.41,2167000.00,491750.00,1546.60
RELIANCE,16-Feb-2024,25-Apr-2024,3000.00,3007.30,2972.00,2975.00,2979.40,2975.00,225.00,1678.21,124000.00,23750.00,1546.60
RELIANCE,16-Feb-2024,29-Feb-2024,2959.70,2962.00,2927.65,2931.25,2936.50,2931.25,22801.00,167652.91,33526000.00,-184000.00,1546.60
RELIANCE,15-Feb-2024,28-Mar-2024,2992.65,2995.85,2966.95,2975.30,2978.00,2975.30,2135.00,15892.33,1675250.00,183250.00,1546.60
RELIANCE,15-Feb-2024,25-Apr-2024,3012.35,3013.50,2991.00,2996.50,3000.00,2996.50,208.00,1559.72,100250.00,12000.00,1546.60
RELIANCE,15-Feb-2024,29-Feb-2024,2967.00,2977.70,2945.60,2954.55,2957.35,2954.55,22598.00,167035.30,33710000.00,215250.00,1546.60
RELIANCE,14-Feb-2024,25-Apr-2024,2965.00,3016.20,2965.00,3011.95,3010.55,3011.95,179.00,1342.31,88250.00,-2250.00,1546.60
RELIANCE,14-Feb-2024,28-Mar-2024,2947.15,2996.25,2944.45,2990.05,2990.35,2990.05,3141.00,23337.74,1492000.00,302500.00,1546.60
RELIANCE,14-Feb-2024,29-Feb-2024,2925.00,2974.70,2922.15,2968.25,2967.75,2968.25,25067.00,184947.35,33494750.00,-84000.00,1546.60
RELIANCE,13-Feb-2024,25-Apr-2024,2975.00,3005.30,2969.55,2984.40,2985.00,2984.40,83.00,620.56,90500.00,1250.00,1546.60
RELIANCE,13-Feb-2024,29-Feb-2024,2924.35,2964.00,2920.00,2941.10,2939.45,2941.10,25139.00,185002.24,33578750.00,41250.00,1546.60
RELIANCE,13-Feb-2024,28-Mar-2024,2951.00,2985.10,2942.30,2962.10,2960.65,2962.10,2050.00,15196.55,1189500.00,125500.00,1546.60
RELIANCE,12-Feb-2024,25-Apr-2024,2966.80,2980.80,2944.45,2960.35,2960.80,2960.35,64.00,472.91,89250.00,2500.00,1546.60
RELIANCE,12-Feb-2024,29-Feb-2024,2929.35,2936.50,2898.00,2915.60,2917.60,2915.60,19200.00,139895.26,33537500.00,270000.00,1546.60
RELIANCE,12-Feb-2024,28-Mar-2024,2949.05,2958.00,2920.00,2938.40,2940.40,2938.40,1249.00,9165.01,1064000.00,65500.00,1546.60
RELIANCE,09-Feb-2024,25-Apr-2024,2975.00,2991.00,2961.00,2971.75,2968.75,2971.75,117.00,871.25,86750.00,7000.00,1546.60
RELIANCE,09-Feb-2024,29-Feb-2024,2925.85,2952.40,2908.10,2926.75,2924.00,2926.75,33817.00,247867.15,33267500.00,-775750.00,1546.60
RELIANCE,09-Feb-2024,28-Mar-2024,2945.20,2974.65,2932.00,2949.40,2946.10,2949.40,1389.00,10260.51,998500.00,30250.00,1546.60
RELIANCE,08-Feb-2024,25-Apr-2024,2941.80,2975.00,2920.00,2963.05,2974.65,2963.05,81.00,596.98,79750.00,-6000.00,1546.60
RELIANCE,08-Feb-2024,28-Mar-2024,2949.70,2954.20,2893.75,2937.85,2952.80,2937.85,1728.00,12621.56,968250.00,-27500.00,1546.60
RELIANCE,08-Feb-2024,29-Feb-2024,2904.90,2933.85,2871.15,2916.50,2930.50,2916.50,32356.00,234762.55,34043250.00,209250.00,1546.60
RELIANCE,07-Feb-2024,29-Feb-2024,2889.35,2915.30,2868.00,2893.15,2894.45,2893.15,28065.00,202767.63,33834000.00,-641750.00,1546.60
RELIANCE,07-Feb-2024,28-Mar-2024,2911.35,2936.65,2890.10,2915.20,2915.00,2915.20,1087.00,7912.76,995750.00,39000.00,1546.60
RELIANCE,07-Feb-2024,25-Apr-2024,2934.00,2955.00,2914.60,2938.05,2936.00,2938.05,257.00,1886.43,85750.00,-10750.00,1546.60
RELIANCE,06-Feb-2024,28-Mar-2024,2912.10,2912.35,2877.05,2891.75,2893.60,2891.75,1313.00,9505.39,956750.00,59500.00,1546.60
RELIANCE,06-Feb-2024,29-Feb-2024,2900.00,2900.00,2855.80,2870.80,2872.00,2870.80,20875.00,149983.52,34475750.00,-297500.00,1546.60
RELIANCE,06-Feb-2024,25-Apr-2024,2932.95,2932.95,2901.00,2915.30,2916.00,2915.30,210.00,1532.41,96500.00,25750.00,1546.60
RELIANCE,05-Feb-2024,28-Mar-2024,2952.30,2972.75,2894.20,2907.10,2911.00,2907.10,1958.00,14377.47,897250.00,123000.00,1546.60
RELIANCE,05-Feb-2024,29-Feb-2024,2933.30,2952.20,2872.05,2885.55,2889.15,2885.55,33015.00,240746.62,34773250.00,-70500.00,1546.60
RELIANCE,05-Feb-2024,25-Apr-2024,2957.55,2991.60,2921.00,2929.60,2932.90,2929.60,221.00,1636.67,70750.00,13750.00,1546.60
RELIANCE,02-Feb-2024,29-Feb-2024,2871.95,2960.85,2871.95,2926.55,2923.00,2926.55,59550.00,435906.97,34843750.00,997250.00,1546.60
RELIANCE,02-Feb-2024,25-Apr-2024,2933.60,3002.00,2933.60,2967.30,2965.00,2967.30,276.00,2049.18,57000.00,14250.00,1546.60
