Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,30-Sep-2024,26-Dec-2024,3099.00,3099.35,3015.00,3017.65,3018.45,3017.65,598.00,4544.56,169000.00,124250.00,-
RELIANCE,30-Sep-2024,28-Nov-2024,3090.00,3090.00,2994.00,2996.65,2997.80,2996.65,4065.00,30727.61,1543500.00,553000.00,-
RELIANCE,30-Sep-2024,31-Oct-2024,3061.00,3067.85,2974.00,2977.20,2977.00,2977.20,77100.00,579433.30,55386000.00,5220250.00,-
RELIANCE,27-Sep-2024,26-Dec-2024,3060.00,3133.10,3046.70,3118.65,3116.25,3118.65,345.00,2667.71,44750.00,44750.00,-
RELIANCE,27-Sep-2024,28-Nov-2024,3043.95,3113.60,3026.00,3099.00,3096.00,3099.00,3355.00,25720.77,990500.00,228250.00,-
RELIANCE,27-Sep-2024,31-Oct-2024,3018.85,3095.00,3005.00,3081.55,3077.95,3081.55,72317.00,551912.61,50165750.00,1593000.00,-
RELIANCE,26-Sep-2024,31-Oct-2024,3007.30,3028.70,3001.75,3020.65,3027.00,3020.65,92613.00,698957.79,48572750.00,9533750.00,-
RELIANCE,26-Sep-2024,28-Nov-2024,3029.05,3048.80,3022.00,3042.00,3046.95,3042.00,1296.00,9847.82,762250.00,74500.00,-
RELIANCE,26-Sep-2024,26-Sep-2024,2985.95,3009.90,2973.55,2994.70,3001.00,2995.95,60677.00,454771.17,5454250.00,-8837750.00,-
RELIANCE,25-Sep-2024,31-Oct-2024,2994.70,3015.00,2983.75,3009.40,3011.15,3009.40,52065.00,390209.20,39039000.00,6818000.00,-
RELIANCE,25-Sep-2024,26-Sep-2024,2982.60,2995.00,2962.65,2988.50,2989.50,2988.50,47442.00,353067.31,14292000.00,-8598750.00,-
RELIANCE,25-Sep-2024,28-Nov-2024,3014.75,3034.75,3003.30,3031.55,3032.35,3031.55,725.00,5471.02,687750.00,56500.00,-
RELIANCE,24-Sep-2024,28-Nov-2024,3021.20,3041.00,3020.05,3022.30,3023.65,3022.30,519.00,3930.50,631250.00,33250.00,-
RELIANCE,24-Sep-2024,31-Oct-2024,3002.00,3023.05,2981.00,3003.30,3004.50,3003.30,51039.00,384084.21,32221000.00,8579250.00,-
RELIANCE,24-Sep-2024,26-Sep-2024,2979.85,3003.30,2975.20,2983.50,2984.25,2983.50,48660.00,363817.81,22890750.00,-7914500.00,-
RELIANCE,23-Sep-2024,26-Sep-2024,2988.95,3006.90,2980.30,2989.80,2989.60,2989.80,50714.00,379886.08,30805250.00,-6930750.00,-
RELIANCE,23-Sep-2024,31-Oct-2024,3001.65,3027.00,3001.60,3009.65,3009.15,3009.65,43991.00,331680.16,23641750.00,7435750.00,-
RELIANCE,23-Sep-2024,28-Nov-2024,3022.80,3043.85,3019.65,3028.10,3027.50,3028.10,613.00,4648.58,598000.00,24500.00,-
RELIANCE,20-Sep-2024,26-Sep-2024,2949.95,2989.75,2945.85,2975.50,2977.10,2975.50,96965.00,720080.99,37736000.00,-5593250.00,-
RELIANCE,20-Sep-2024,31-Oct-2024,2968.50,3008.95,2965.95,2995.25,2997.00,2995.25,28695.00,214557.14,16206000.00,3033250.00,-
RELIANCE,20-Sep-2024,28-Nov-2024,2987.15,3023.70,2985.00,3012.10,3014.00,3012.10,1238.00,9305.23,573500.00,49250.00,-
RELIANCE,19-Sep-2024,28-Nov-2024,2981.00,2996.75,2953.75,2983.95,2985.00,2983.95,625.00,4650.02,524250.00,39750.00,-
RELIANCE,19-Sep-2024,31-Oct-2024,2961.95,2979.05,2935.20,2966.15,2967.00,2966.15,18700.00,138236.85,13172750.00,2526750.00,-
RELIANCE,19-Sep-2024,26-Sep-2024,2935.00,2961.10,2915.10,2946.65,2946.55,2946.65,56207.00,413024.59,43329250.00,-2284000.00,-
RELIANCE,18-Sep-2024,26-Sep-2024,2944.20,2966.80,2925.75,2932.85,2930.50,2932.85,27861.00,205320.91,45613250.00,-751250.00,-
RELIANCE,18-Sep-2024,31-Oct-2024,2965.30,2987.00,2945.70,2952.25,2951.00,2952.25,10398.00,77086.37,10646000.00,1441500.00,-
RELIANCE,18-Sep-2024,28-Nov-2024,2992.70,3003.00,2965.00,2970.25,2967.00,2970.25,561.00,4182.95,484500.00,59000.00,-
RELIANCE,17-Sep-2024,31-Oct-2024,2971.75,2981.30,2960.65,2969.40,2968.00,2969.40,4269.00,31688.42,9204500.00,513500.00,-
RELIANCE,17-Sep-2024,26-Sep-2024,2952.10,2962.00,2941.05,2949.50,2946.80,2949.50,14516.00,107052.10,46364500.00,-539250.00,-
RELIANCE,17-Sep-2024,28-Nov-2024,2988.70,2996.60,2979.00,2985.05,2982.00,2985.05,118.00,881.05,425500.00,11500.00,-
