Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,31-Dec-2024,27-Feb-2025,1224.35,1235.40,1221.60,1231.30,1231.70,1231.30,1336.00,8206.76,7438500.00,125500.00,1215.45
RELIANCE,31-Dec-2024,27-Mar-2025,1233.00,1243.60,1230.00,1239.00,1239.35,1239.00,309.00,1908.78,280000.00,80000.00,1215.45
RELIANCE,31-Dec-2024,30-Jan-2025,1220.00,1227.95,1213.80,1223.65,1224.50,1223.65,22353.00,136471.80,181556000.00,-635500.00,1215.45
RELIANCE,30-Dec-2024,27-Feb-2025,1236.90,1240.65,1225.05,1228.00,1228.75,1228.00,1568.00,9657.21,7313000.00,71000.00,1210.70
RELIANCE,30-Dec-2024,27-Mar-2025,1244.80,1248.30,1233.10,1235.60,1236.30,1235.60,325.00,2015.04,200000.00,112000.00,1210.70
RELIANCE,30-Dec-2024,30-Jan-2025,1228.10,1233.00,1216.90,1220.10,1221.05,1220.10,20979.00,128370.25,182191500.00,-46000.00,1210.70
RELIANCE,27-Dec-2024,27-Mar-2025,1246.45,1255.00,1243.50,1246.35,1245.00,1246.35,275.00,1717.83,88000.00,88000.00,1221.05
RELIANCE,27-Dec-2024,27-Feb-2025,1235.55,1246.25,1235.50,1237.90,1238.60,1237.90,1550.00,9613.93,7242000.00,140500.00,1221.05
RELIANCE,27-Dec-2024,30-Jan-2025,1227.05,1238.75,1226.75,1229.30,1230.40,1229.30,27018.00,166505.42,182237500.00,466000.00,1221.05
RELIANCE,26-Dec-2024,27-Feb-2025,1243.05,1243.85,1233.10,1235.15,1235.30,1235.15,4263.00,26407.99,7101500.00,1493500.00,1216.55
RELIANCE,26-Dec-2024,26-Dec-2024,1225.00,1226.95,1212.45,1215.90,1215.10,1216.55,102792.00,627691.55,12345000.00,-37463000.00,1216.55
RELIANCE,26-Dec-2024,30-Jan-2025,1234.75,1237.85,1225.00,1226.95,1226.85,1226.95,113441.00,698041.21,181771500.00,39452000.00,1216.55
RELIANCE,24-Dec-2024,26-Dec-2024,1220.55,1233.50,1220.55,1223.80,1225.00,1223.80,104365.00,641001.66,49808000.00,-44080000.00,1222.75
RELIANCE,24-Dec-2024,27-Feb-2025,1240.25,1250.00,1238.40,1240.35,1241.00,1240.35,2772.00,17244.64,5608000.00,1004000.00,1222.75
RELIANCE,24-Dec-2024,30-Jan-2025,1231.95,1242.00,1230.55,1232.30,1234.00,1232.30,105163.00,650305.46,142319500.00,43481000.00,1222.75
RELIANCE,23-Dec-2024,27-Feb-2025,1235.00,1247.00,1233.00,1240.20,1239.85,1240.20,2199.00,13617.06,4604000.00,543000.00,1222.30
RELIANCE,23-Dec-2024,30-Jan-2025,1224.00,1239.55,1224.00,1232.30,1232.75,1232.30,75477.00,464760.17,98838500.00,28588500.00,1222.30
RELIANCE,23-Dec-2024,26-Dec-2024,1216.45,1230.45,1216.40,1223.80,1224.60,1223.80,82514.00,504472.31,93888000.00,-32381500.00,1222.30
RELIANCE,20-Dec-2024,30-Jan-2025,1249.00,1252.00,1213.55,1217.20,1217.10,1217.20,59846.00,369391.40,70250000.00,18857000.00,1205.30
RELIANCE,20-Dec-2024,26-Dec-2024,1233.90,1243.00,1204.45,1209.05,1208.90,1209.05,76308.00,467550.17,126269500.00,-19730000.00,1205.30
RELIANCE,20-Dec-2024,27-Feb-2025,1246.00,1260.00,1222.00,1225.90,1226.00,1225.90,2405.00,14922.01,4061000.00,503500.00,1205.30
RELIANCE,19-Dec-2024,26-Dec-2024,1244.00,1248.05,1233.05,1235.05,1234.80,1235.05,47492.00,294234.07,145999500.00,-7128500.00,1230.45
RELIANCE,19-Dec-2024,27-Feb-2025,1260.00,1264.80,1250.30,1252.10,1252.00,1252.10,1485.00,9325.63,3557500.00,477500.00,1230.45
RELIANCE,19-Dec-2024,30-Jan-2025,1255.00,1257.55,1242.30,1244.25,1245.30,1244.25,25327.00,158057.62,51393000.00,9146500.00,1230.45
RELIANCE,18-Dec-2024,26-Dec-2024,1245.95,1263.95,1245.10,1257.50,1259.50,1257.50,56963.00,358011.11,153128000.00,-12902500.00,1253.25
RELIANCE,18-Dec-2024,27-Feb-2025,1267.25,1280.30,1261.90,1275.15,1276.25,1275.15,839.00,5342.86,3080000.00,99000.00,1253.25
RELIANCE,18-Dec-2024,30-Jan-2025,1257.00,1272.90,1254.10,1266.70,1269.00,1266.70,32246.00,204196.17,42246500.00,12708500.00,1253.25
RELIANCE,17-Dec-2024,30-Jan-2025,1279.60,1279.60,1256.80,1259.25,1258.10,1259.25,18320.00,115750.62,29538000.00,7072000.00,1245.30
RELIANCE,17-Dec-2024,26-Dec-2024,1265.95,1267.85,1247.60,1250.20,1249.00,1250.20,51602.00,323618.55,166030500.00,-3259500.00,1245.30
RELIANCE,17-Dec-2024,27-Feb-2025,1289.90,1289.90,1265.00,1267.25,1266.00,1267.25,1379.00,8769.16,2981000.00,494500.00,1245.30
RELIANCE,16-Dec-2024,26-Dec-2024,1281.00,1286.00,1271.45,1273.25,1273.25,1273.25,32736.00,209141.55,169290000.00,-1410000.00,1268.30
RELIANCE,16-Dec-2024,30-Jan-2025,1294.00,1294.95,1280.85,1282.30,1282.00,1282.30,11218.00,72154.47,22466000.00,3573500.00,1268.30
RELIANCE,16-Dec-2024,27-Feb-2025,1297.05,1303.00,1288.50,1290.20,1289.90,1290.20,656.00,4249.60,2486500.00,119500.00,1268.30
RELIANCE,13-Dec-2024,26-Dec-2024,1260.00,1281.25,1242.45,1279.30,1280.90,1279.30,83695.00,528477.14,170700000.00,322500.00,1272.85
RELIANCE,13-Dec-2024,27-Feb-2025,1280.00,1298.40,1259.45,1296.50,1298.40,1296.50,1763.00,11264.60,2367000.00,410500.00,1272.85
RELIANCE,13-Dec-2024,30-Jan-2025,1280.10,1290.20,1251.65,1288.20,1289.40,1288.20,15818.00,100549.84,18892500.00,2662500.00,1272.85
RELIANCE,12-Dec-2024,30-Jan-2025,1297.70,1297.70,1274.20,1279.30,1277.80,1279.30,10869.00,69664.47,16230000.00,3008500.00,1262.90
RELIANCE,12-Dec-2024,26-Dec-2024,1279.00,1291.25,1264.70,1269.95,1268.50,1269.95,59045.00,375698.18,170377500.00,2087000.00,1262.90
RELIANCE,12-Dec-2024,27-Feb-2025,1300.00,1302.00,1281.75,1286.30,1285.00,1286.30,1064.00,6861.71,1956500.00,403000.00,1262.90
RELIANCE,11-Dec-2024,30-Jan-2025,1303.00,1305.45,1292.60,1294.65,1295.25,1294.65,4633.00,30063.47,13221500.00,1449000.00,1278.20
RELIANCE,11-Dec-2024,26-Dec-2024,1291.85,1296.45,1283.50,1285.45,1286.00,1285.45,29301.00,188951.08,168290500.00,1304000.00,1278.20
RELIANCE,11-Dec-2024,27-Feb-2025,1309.00,1313.70,1301.00,1302.75,1303.75,1302.75,688.00,4491.01,1553500.00,134000.00,1278.20
RELIANCE,10-Dec-2024,27-Feb-2025,1317.00,1319.00,1304.25,1308.00,1308.50,1308.00,1250.00,8188.76,1419500.00,368500.00,1284.85
RELIANCE,10-Dec-2024,26-Dec-2024,1295.00,1301.75,1287.20,1291.90,1293.00,1291.90,33418.00,216088.02,166986500.00,3596000.00,1284.85
RELIANCE,10-Dec-2024,30-Jan-2025,1309.00,1311.15,1296.30,1300.80,1301.90,1300.80,6262.00,40758.82,11772500.00,1971000.00,1284.85
RELIANCE,09-Dec-2024,26-Dec-2024,1312.35,1322.10,1299.65,1301.55,1303.35,1301.55,31371.00,205405.42,163390500.00,1164500.00,1295.15
RELIANCE,09-Dec-2024,30-Jan-2025,1325.00,1331.25,1308.65,1310.80,1312.00,1310.80,4180.00,27546.16,9801500.00,1118500.00,1295.15
RELIANCE,09-Dec-2024,27-Feb-2025,1336.70,1339.45,1317.30,1319.05,1320.40,1319.05,661.00,4385.65,1051000.00,227000.00,1295.15
RELIANCE,06-Dec-2024,26-Dec-2024,1334.00,1334.00,1316.35,1318.80,1318.80,1318.80,27257.00,180058.79,162226000.00,1581000.00,1311.55
RELIANCE,06-Dec-2024,30-Jan-2025,1332.00,1335.65,1325.80,1327.90,1328.00,1327.90,2707.00,18004.06,8683000.00,350000.00,1311.55
RELIANCE,06-Dec-2024,27-Feb-2025,1342.60,1344.40,1334.00,1336.50,1336.70,1336.50,364.00,2436.61,824000.00,120000.00,1311.55
RELIANCE,05-Dec-2024,27-Feb-2025,1336.00,1351.75,1329.00,1342.60,1343.45,1342.60,646.00,4330.67,704000.00,53000.00,1322.05
RELIANCE,05-Dec-2024,26-Dec-2024,1319.75,1334.70,1310.80,1326.75,1325.55,1326.75,65940.00,436858.24,160645000.00,-4710000.00,1322.05
RELIANCE,05-Dec-2024,30-Jan-2025,1326.25,1343.40,1320.70,1334.55,1334.05,1334.55,3376.00,22512.55,8333000.00,149500.00,1322.05
RELIANCE,04-Dec-2024,30-Jan-2025,1336.95,1337.20,1318.50,1324.80,1324.90,1324.80,2345.00,15558.66,8183500.00,479000.00,1308.95
RELIANCE,04-Dec-2024,27-Feb-2025,1342.65,1342.65,1327.10,1333.30,1333.00,1333.30,841.00,5611.23,651000.00,268500.00,1308.95
RELIANCE,04-Dec-2024,26-Dec-2024,1333.95,1333.95,1308.80,1315.35,1316.00,1315.35,43950.00,289539.97,165355000.00,2055000.00,1308.95
RELIANCE,03-Dec-2024,30-Jan-2025,1330.00,1339.90,1321.40,1336.10,1336.95,1336.10,2588.00,17262.55,7704500.00,142000.00,1323.30
RELIANCE,03-Dec-2024,26-Dec-2024,1318.25,1331.40,1312.70,1327.50,1328.50,1327.50,39687.00,262983.14,163300000.00,-2946000.00,1323.30
RELIANCE,03-Dec-2024,27-Feb-2025,1335.50,1348.20,1330.45,1344.90,1345.05,1344.90,543.00,3643.94,382500.00,94500.00,1323.30
RELIANCE,02-Dec-2024,27-Feb-2025,1310.00,1337.65,1303.00,1334.55,1335.50,1334.55,604.00,3996.72,288000.00,151500.00,1309.15
RELIANCE,02-Dec-2024,30-Jan-2025,1309.00,1328.50,1293.70,1325.50,1326.10,1325.50,4570.00,30107.73,7562500.00,700000.00,1309.15
RELIANCE,02-Dec-2024,26-Dec-2024,1300.00,1320.25,1284.50,1317.05,1318.00,1317.05,46793.00,305735.73,166246000.00,-153500.00,1309.15
RELIANCE,29-Nov-2024,30-Jan-2025,1292.40,1316.00,1292.40,1309.65,1309.00,1309.65,2814.00,18398.24,6862500.00,120500.00,1292.20
RELIANCE,29-Nov-2024,26-Dec-2024,1285.00,1307.80,1284.15,1300.70,1300.50,1300.70,47667.00,309528.70,166399500.00,-1133000.00,1292.20
RELIANCE,29-Nov-2024,27-Feb-2025,1305.75,1324.75,1302.15,1318.05,1317.80,1318.05,383.00,2519.64,136500.00,136500.00,1292.20
RELIANCE,28-Nov-2024,26-Dec-2024,1299.00,1306.50,1278.80,1280.50,1282.95,1280.50,128424.00,829493.42,167532500.00,35486500.00,1270.80
RELIANCE,28-Nov-2024,30-Jan-2025,1307.80,1314.95,1287.25,1289.15,1291.90,1289.15,6162.00,40004.87,6742000.00,1631000.00,1270.80
RELIANCE,28-Nov-2024,28-Nov-2024,1289.30,1299.00,1270.15,1273.30,1274.40,1270.80,85392.00,549006.73,11104500.00,-31540000.00,1270.80
RELIANCE,27-Nov-2024,30-Jan-2025,1310.00,1319.00,1302.80,1310.90,1311.90,1310.90,2614.00,17136.51,5111000.00,993000.00,1293.20
RELIANCE,27-Nov-2024,26-Dec-2024,1303.10,1311.00,1293.45,1302.15,1302.70,1302.15,82122.00,534515.23,132046000.00,31488000.00,1293.20
RELIANCE,27-Nov-2024,28-Nov-2024,1292.80,1303.00,1286.25,1295.20,1296.00,1295.20,77791.00,503594.87,42644500.00,-29602500.00,1293.20
RELIANCE,26-Nov-2024,30-Jan-2025,1306.75,1312.75,1300.10,1310.60,1310.50,1310.60,3654.00,23882.12,4118000.00,1527500.00,1295.70
