Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
SBIN,28-Jun-2024,25-Jul-2024,850.00,869.90,847.25,854.85,854.50,854.85,62950.00,406667.48,88467000.00,2960250.00,972.60
SBIN,28-Jun-2024,29-Aug-2024,857.00,875.50,854.05,860.60,860.40,860.60,2773.00,18033.19,1730250.00,15000.00,972.60
SBIN,28-Jun-2024,26-Sep-2024,867.00,881.75,865.00,868.00,866.50,868.00,96.00,629.92,39750.00,39750.00,972.60
SBIN,27-Jun-2024,26-Sep-2024,-,-,-,-,-,-,-,-,-,-,972.60
SBIN,27-Jun-2024,29-Aug-2024,855.85,859.20,851.00,855.30,855.55,855.30,797.00,5109.94,1715250.00,120000.00,972.60
SBIN,27-Jun-2024,27-Jun-2024,835.60,847.80,835.60,843.10,842.75,844.00,38848.00,245736.15,4812000.00,-10449000.00,972.60
SBIN,27-Jun-2024,25-Jul-2024,848.50,853.40,844.10,849.00,849.25,849.00,70679.00,449626.26,85506750.00,14376750.00,972.60
SBIN,26-Jun-2024,27-Jun-2024,838.55,849.50,835.55,845.45,844.00,845.45,47832.00,302756.03,15261000.00,-20028000.00,972.60
SBIN,26-Jun-2024,25-Jul-2024,845.35,854.90,841.15,851.00,849.50,851.00,66036.00,420803.28,71130000.00,22035000.00,972.60
SBIN,26-Jun-2024,29-Aug-2024,852.50,860.80,848.00,856.85,855.80,856.85,903.00,5797.57,1595250.00,19500.00,972.60
SBIN,25-Jun-2024,25-Jul-2024,842.30,852.00,840.30,848.40,847.95,848.40,54406.00,345681.50,49095000.00,17337750.00,972.60
SBIN,25-Jun-2024,27-Jun-2024,834.50,846.75,834.25,843.00,842.20,843.00,50063.00,315930.63,35289000.00,-16732500.00,972.60
SBIN,25-Jun-2024,29-Aug-2024,847.50,858.00,847.50,854.55,854.40,854.55,690.00,4414.35,1575750.00,-6750.00,972.60
SBIN,24-Jun-2024,27-Jun-2024,829.25,836.50,819.55,833.40,834.30,833.40,51770.00,322530.89,52021500.00,-19178250.00,972.60
SBIN,24-Jun-2024,25-Jul-2024,838.65,841.80,825.30,838.90,840.00,838.90,32454.00,203626.88,31757250.00,15252000.00,972.60
SBIN,24-Jun-2024,29-Aug-2024,843.00,847.80,832.00,845.40,846.10,845.40,617.00,3892.24,1582500.00,114750.00,972.60
SBIN,21-Jun-2024,27-Jun-2024,844.55,848.45,829.15,835.50,835.00,835.50,42603.00,267697.24,71199750.00,-3952500.00,972.60
SBIN,21-Jun-2024,25-Jul-2024,849.70,853.70,835.00,841.10,840.50,841.10,14047.00,88853.30,16505250.00,4314000.00,972.60
SBIN,21-Jun-2024,29-Aug-2024,857.40,860.00,841.45,847.50,847.45,847.50,810.00,5169.25,1467750.00,300750.00,972.60
SBIN,20-Jun-2024,27-Jun-2024,855.10,855.20,844.00,845.85,846.55,845.85,35212.00,223957.73,75152250.00,-3015000.00,972.60
SBIN,20-Jun-2024,29-Aug-2024,864.20,865.50,856.40,857.80,858.95,857.80,554.00,3571.43,1167000.00,192750.00,972.60
SBIN,20-Jun-2024,25-Jul-2024,860.70,860.75,849.65,851.15,852.35,851.15,9156.00,58602.16,12191250.00,2970750.00,972.60
SBIN,19-Jun-2024,29-Aug-2024,859.35,873.95,854.60,866.05,868.00,866.05,1090.00,7064.18,974250.00,-82500.00,972.60
SBIN,19-Jun-2024,25-Jul-2024,852.65,867.85,848.10,860.10,861.85,860.10,13931.00,89673.64,9220500.00,2719500.00,972.60
SBIN,19-Jun-2024,27-Jun-2024,845.35,862.30,842.05,854.60,856.65,854.60,114722.00,733834.80,78167250.00,-3570000.00,972.60
SBIN,18-Jun-2024,29-Aug-2024,856.00,865.85,856.00,859.20,859.60,859.20,583.00,3768.51,1056750.00,11250.00,972.60
SBIN,18-Jun-2024,25-Jul-2024,851.05,859.60,849.65,852.60,853.00,852.60,5145.00,33009.08,6501000.00,720750.00,972.60
SBIN,18-Jun-2024,27-Jun-2024,841.85,853.90,840.30,847.05,847.60,847.05,40146.00,255761.68,81737250.00,-1526250.00,972.60
