Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
SBIN,31-Mar-2020,30-Apr-2020,192.00,199.20,188.25,196.60,195.35,196.60,28353.00,164720.26,76674000.00,-705000.00,972.60
SBIN,31-Mar-2020,25-Jun-2020,191.20,199.55,190.50,197.25,196.60,197.25,32.00,187.09,45000.00,33000.00,972.60
SBIN,31-Mar-2020,28-May-2020,190.70,199.25,189.15,197.20,196.10,197.20,985.00,5756.35,2745000.00,90000.00,972.60
SBIN,30-Mar-2020,25-Jun-2020,195.95,195.95,188.75,189.00,188.75,189.00,3.00,17.22,12000.00,6000.00,972.60
SBIN,30-Mar-2020,28-May-2020,189.50,197.60,188.00,188.65,188.00,188.65,818.00,4704.09,2655000.00,-12000.00,972.60
SBIN,30-Mar-2020,30-Apr-2020,190.50,196.80,187.10,187.80,187.15,187.80,27804.00,160223.26,77379000.00,2649000.00,972.60
SBIN,27-Mar-2020,30-Apr-2020,202.90,213.00,194.60,196.05,195.50,196.05,50315.00,305717.68,74730000.00,-801000.00,972.60
SBIN,27-Mar-2020,25-Jun-2020,208.85,208.85,197.50,197.50,197.50,197.50,3.00,18.19,6000.00,6000.00,972.60
SBIN,27-Mar-2020,28-May-2020,203.00,213.60,195.25,196.75,196.40,196.75,1263.00,7689.56,2667000.00,840000.00,972.60
SBIN,26-Mar-2020,25-Jun-2020,-,-,-,-,-,-,-,-,-,-,972.60
SBIN,26-Mar-2020,30-Apr-2020,193.50,202.95,187.70,194.25,194.95,194.25,37901.00,222352.97,75531000.00,8796000.00,972.60
SBIN,26-Mar-2020,26-Mar-2020,192.40,201.65,186.00,192.95,193.80,192.75,16961.00,98590.00,14052000.00,-9087000.00,972.60
SBIN,26-Mar-2020,28-May-2020,192.80,203.50,188.95,195.20,195.50,195.20,570.00,3360.64,1827000.00,201000.00,972.60
SBIN,25-Mar-2020,30-Apr-2020,179.15,197.90,177.50,192.05,192.50,192.05,23024.00,129680.30,66735000.00,7257000.00,972.60
SBIN,25-Mar-2020,26-Mar-2020,179.00,197.15,176.80,191.30,191.65,191.30,29295.00,164089.90,23139000.00,-11961000.00,972.60
SBIN,25-Mar-2020,28-May-2020,185.00,198.00,178.90,192.70,193.05,192.70,315.00,1787.76,1626000.00,117000.00,972.60
SBIN,24-Mar-2020,26-Mar-2020,191.00,191.70,173.00,183.45,186.00,183.45,39234.00,216587.71,35100000.00,-23073000.00,972.60
SBIN,24-Mar-2020,30-Apr-2020,190.25,191.85,173.35,183.95,186.80,183.95,17696.00,98095.85,59478000.00,11997000.00,972.60
SBIN,24-Mar-2020,28-May-2020,191.00,191.95,175.00,184.35,186.30,184.35,308.00,1707.32,1509000.00,69000.00,972.60
