Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
SBIN,30-Sep-2024,26-Dec-2024,819.75,819.75,802.60,803.55,804.00,803.55,356.00,2155.23,277500.00,200250.00,972.60
SBIN,30-Sep-2024,28-Nov-2024,811.55,812.05,796.80,797.95,798.30,797.95,1693.00,10180.14,3810750.00,468000.00,972.60
SBIN,30-Sep-2024,31-Oct-2024,803.25,807.95,791.50,792.70,793.10,792.70,50926.00,304382.15,104184000.00,6974250.00,972.60
SBIN,27-Sep-2024,26-Dec-2024,819.25,824.45,815.15,819.90,819.75,819.90,157.00,965.97,77250.00,77250.00,972.60
SBIN,27-Sep-2024,28-Nov-2024,814.95,819.30,809.15,814.40,814.50,814.40,1593.00,9737.72,3342750.00,72750.00,972.60
SBIN,27-Sep-2024,31-Oct-2024,806.50,814.55,803.80,809.45,809.50,809.45,39686.00,240910.47,97209750.00,1829250.00,972.60
SBIN,26-Sep-2024,28-Nov-2024,806.50,813.50,803.45,811.60,812.10,811.60,2173.00,13189.83,3270000.00,352500.00,972.60
SBIN,26-Sep-2024,31-Oct-2024,802.05,808.70,797.60,806.65,806.55,806.65,69389.00,418286.16,95380500.00,15593250.00,972.60
SBIN,26-Sep-2024,26-Sep-2024,794.70,803.00,792.00,801.25,800.45,801.85,42627.00,255160.25,4379250.00,-17582250.00,972.60
SBIN,25-Sep-2024,31-Oct-2024,804.20,804.20,794.00,798.75,798.80,798.75,55409.00,331478.13,79787250.00,19335000.00,972.60
SBIN,25-Sep-2024,26-Sep-2024,798.95,798.95,789.10,793.60,793.75,793.60,45004.00,267518.74,21961500.00,-21153750.00,972.60
SBIN,25-Sep-2024,28-Nov-2024,806.90,808.20,799.70,804.25,804.00,804.25,881.00,5306.24,2917500.00,362250.00,972.60
SBIN,24-Sep-2024,31-Oct-2024,806.10,810.65,802.40,804.50,804.20,804.50,58522.00,354162.00,60452250.00,21421500.00,972.60
SBIN,24-Sep-2024,28-Nov-2024,809.95,815.85,807.60,809.80,809.55,809.80,1003.00,6108.70,2555250.00,231750.00,972.60
SBIN,24-Sep-2024,26-Sep-2024,800.30,805.50,797.20,799.60,799.50,799.60,51322.00,308661.05,43115250.00,-21861000.00,972.60
