Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
SBIN,31-Dec-2024,30-Jan-2025,793.45,804.00,792.40,800.70,801.30,800.70,20342.00,122005.84,111005250.00,-558000.00,794.95
SBIN,31-Dec-2024,27-Feb-2025,798.60,809.00,798.60,806.10,806.30,806.10,794.00,4792.89,2338500.00,181500.00,794.95
SBIN,31-Dec-2024,27-Mar-2025,805.40,813.70,804.65,810.55,811.70,810.55,94.00,570.37,141750.00,26250.00,794.95
SBIN,30-Dec-2024,30-Jan-2025,807.35,813.80,792.85,795.90,798.70,795.90,38877.00,233467.10,111563250.00,3339000.00,788.30
SBIN,30-Dec-2024,27-Mar-2025,812.65,823.25,804.50,806.50,808.80,806.50,264.00,1608.78,115500.00,52500.00,788.30
SBIN,30-Dec-2024,27-Feb-2025,815.00,818.50,797.75,800.20,803.85,800.20,1649.00,9950.04,2157000.00,374250.00,788.30
SBIN,27-Dec-2024,27-Feb-2025,825.95,828.00,808.75,811.10,811.80,811.10,1304.00,7988.42,1782750.00,372000.00,799.65
SBIN,27-Dec-2024,27-Mar-2025,831.00,832.05,813.00,816.35,816.85,816.35,133.00,820.75,63000.00,63000.00,799.65
SBIN,27-Dec-2024,30-Jan-2025,821.45,824.40,803.05,805.80,806.80,805.80,23932.00,145887.85,108224250.00,3271500.00,799.65
SBIN,26-Dec-2024,26-Dec-2024,816.00,823.20,808.00,811.20,811.75,812.45,40863.00,249504.49,3895500.00,-20709000.00,812.45
SBIN,26-Dec-2024,30-Jan-2025,819.85,828.75,814.15,817.45,819.40,817.45,54655.00,336146.41,104952750.00,22336500.00,812.45
SBIN,26-Dec-2024,27-Feb-2025,825.70,834.00,820.00,824.00,825.00,824.00,952.00,5900.26,1410750.00,387000.00,812.45
SBIN,24-Dec-2024,26-Dec-2024,823.00,825.65,810.20,813.60,814.75,813.60,39634.00,243123.68,24604500.00,-18489750.00,812.05
SBIN,24-Dec-2024,30-Jan-2025,828.00,830.45,815.90,819.05,819.85,819.05,46442.00,286566.12,82616250.00,17699250.00,812.05
SBIN,24-Dec-2024,27-Feb-2025,832.30,835.45,821.55,824.30,825.05,824.30,563.00,3494.86,1023750.00,211500.00,812.05
SBIN,23-Dec-2024,26-Dec-2024,821.10,824.00,812.35,821.00,821.00,821.00,49254.00,303138.61,43094250.00,-27948000.00,821.15
SBIN,23-Dec-2024,27-Feb-2025,828.15,835.75,824.00,832.30,832.45,832.30,301.00,1876.29,812250.00,60000.00,821.15
SBIN,23-Dec-2024,30-Jan-2025,824.00,829.90,818.30,826.80,826.75,826.80,45012.00,279010.03,64917000.00,25926750.00,821.15
SBIN,20-Dec-2024,27-Feb-2025,846.00,847.25,822.65,824.00,826.75,824.00,539.00,3372.29,752250.00,203250.00,812.00
SBIN,20-Dec-2024,30-Jan-2025,840.45,843.30,816.80,818.65,820.95,818.65,33798.00,210324.83,38990250.00,18089250.00,812.00
SBIN,20-Dec-2024,26-Dec-2024,834.50,836.75,811.15,813.00,815.30,813.00,46978.00,290192.13,71042250.00,-15006000.00,812.00
SBIN,19-Dec-2024,26-Dec-2024,824.00,840.45,821.85,834.80,834.80,834.80,29331.00,182960.41,86048250.00,-4835250.00,832.80
SBIN,19-Dec-2024,27-Feb-2025,835.90,849.30,833.20,846.00,845.90,846.00,285.00,1798.70,549000.00,65250.00,832.80
SBIN,19-Dec-2024,30-Jan-2025,836.00,846.20,822.70,841.00,840.70,841.00,13112.00,82378.03,20901000.00,6422250.00,832.80
SBIN,18-Dec-2024,30-Jan-2025,859.00,859.00,845.15,846.90,848.90,846.90,6981.00,44458.67,14478750.00,3399750.00,838.15
SBIN,18-Dec-2024,26-Dec-2024,852.80,852.90,839.00,841.30,842.90,841.30,18985.00,120156.54,90883500.00,-506250.00,838.15
SBIN,18-Dec-2024,27-Feb-2025,860.35,863.70,850.50,853.10,854.05,853.10,189.00,1213.54,483750.00,48750.00,838.15
SBIN,17-Dec-2024,30-Jan-2025,868.00,871.70,856.25,859.90,859.00,859.90,6668.00,43061.97,11079000.00,3163500.00,850.55
SBIN,17-Dec-2024,26-Dec-2024,862.80,865.50,850.15,853.85,853.20,853.85,19886.00,127691.09,91389750.00,-1104000.00,850.55
SBIN,17-Dec-2024,27-Feb-2025,875.10,876.40,862.15,865.25,865.00,865.25,171.00,1112.55,435000.00,31500.00,850.55
SBIN,16-Dec-2024,27-Feb-2025,873.60,879.70,871.95,875.30,875.05,875.30,105.00,689.27,403500.00,15000.00,860.95
SBIN,16-Dec-2024,26-Dec-2024,861.75,868.10,860.50,864.15,863.30,864.15,12527.00,81168.45,92493750.00,-282000.00,860.95
SBIN,16-Dec-2024,30-Jan-2025,868.70,874.45,866.40,870.35,869.65,870.35,4054.00,26452.87,7915500.00,1738500.00,860.95
SBIN,13-Dec-2024,30-Jan-2025,863.20,869.90,843.00,868.70,868.35,868.70,3992.00,25641.96,6177000.00,616500.00,861.55
SBIN,13-Dec-2024,27-Feb-2025,867.00,875.00,848.50,874.20,873.50,874.20,384.00,2483.90,388500.00,39750.00,861.55
SBIN,13-Dec-2024,26-Dec-2024,854.60,864.05,836.75,862.75,862.20,862.75,38246.00,244070.59,92775750.00,-410250.00,861.55
SBIN,12-Dec-2024,26-Dec-2024,865.45,867.00,854.35,857.30,857.00,857.30,18679.00,120179.09,93186000.00,508500.00,853.70
SBIN,12-Dec-2024,30-Jan-2025,872.00,873.25,860.65,863.45,863.00,863.45,2706.00,17527.55,5560500.00,1239000.00,853.70
SBIN,12-Dec-2024,27-Feb-2025,877.00,877.00,866.30,868.80,868.55,868.80,171.00,1115.79,348750.00,61500.00,853.70
SBIN,11-Dec-2024,30-Jan-2025,874.15,878.00,870.30,871.30,871.65,871.30,1300.00,8519.56,4321500.00,307500.00,861.60
SBIN,11-Dec-2024,26-Dec-2024,867.90,872.20,864.25,865.35,865.60,865.35,14280.00,92959.50,92677500.00,-870750.00,861.60
SBIN,11-Dec-2024,27-Feb-2025,879.45,883.40,876.10,876.85,877.45,876.85,106.00,699.24,287250.00,18000.00,861.60
SBIN,10-Dec-2024,26-Dec-2024,868.00,871.15,860.30,869.40,869.65,869.40,13693.00,88939.38,93548250.00,-622500.00,867.50
SBIN,10-Dec-2024,30-Jan-2025,869.00,876.85,866.85,875.30,875.60,875.30,1082.00,7074.86,4014000.00,6000.00,867.50
SBIN,10-Dec-2024,27-Feb-2025,874.50,882.00,870.75,880.50,880.85,880.50,213.00,1402.53,269250.00,-12000.00,867.50
SBIN,09-Dec-2024,30-Jan-2025,870.00,876.00,865.65,866.90,867.50,866.90,1326.00,8658.83,4008000.00,303750.00,858.05
SBIN,09-Dec-2024,26-Dec-2024,864.60,870.35,859.55,861.00,861.65,861.00,19963.00,129445.35,94170750.00,-2313750.00,858.05
SBIN,09-Dec-2024,27-Feb-2025,875.85,880.90,871.40,872.50,872.55,872.50,198.00,1300.60,281250.00,23250.00,858.05
SBIN,06-Dec-2024,30-Jan-2025,872.55,884.00,865.30,873.85,873.50,873.85,1950.00,12803.82,3704250.00,234750.00,863.65
SBIN,06-Dec-2024,26-Dec-2024,867.80,878.50,859.20,868.00,867.50,868.00,39129.00,255380.86,96484500.00,409500.00,863.65
SBIN,06-Dec-2024,27-Feb-2025,876.55,888.70,870.30,878.70,878.60,878.70,284.00,1876.68,258000.00,63000.00,863.65
SBIN,05-Dec-2024,30-Jan-2025,867.15,878.75,864.15,872.60,872.55,872.60,2385.00,15591.46,3469500.00,528750.00,865.45
SBIN,05-Dec-2024,26-Dec-2024,863.10,873.30,858.75,867.30,867.40,867.30,43233.00,281084.55,96075000.00,-20250.00,865.45
SBIN,05-Dec-2024,27-Feb-2025,873.05,883.70,870.00,876.60,877.30,876.60,240.00,1579.12,195000.00,51750.00,865.45
SBIN,04-Dec-2024,27-Feb-2025,867.50,876.60,863.55,872.40,872.25,872.40,309.00,2015.54,143250.00,30750.00,859.70
SBIN,04-Dec-2024,30-Jan-2025,864.30,871.85,858.05,867.25,867.05,867.25,1519.00,9868.71,2940750.00,284250.00,859.70
SBIN,04-Dec-2024,26-Dec-2024,854.80,866.35,853.00,862.10,861.65,862.10,30460.00,196521.13,96095250.00,-1445250.00,859.70
SBIN,03-Dec-2024,27-Feb-2025,855.85,871.90,855.85,867.75,867.50,867.75,195.00,1267.51,112500.00,48000.00,853.95
SBIN,03-Dec-2024,26-Dec-2024,844.00,861.60,841.10,857.15,856.65,857.15,32552.00,209018.32,97540500.00,927000.00,853.95
SBIN,03-Dec-2024,30-Jan-2025,847.70,866.75,847.70,862.45,862.50,862.45,1522.00,9834.66,2656500.00,204750.00,853.95
