Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TATAMOTORS,30-Jun-2022,28-Jul-2022,418.75,424.45,411.45,412.80,412.00,412.80,24914.00,148316.95,59416800.00,10825725.00,-
TATAMOTORS,30-Jun-2022,30-Jun-2022,417.60,423.30,409.90,411.60,411.70,411.80,18298.00,108681.84,3411450.00,-12562800.00,-
TATAMOTORS,30-Jun-2022,25-Aug-2022,422.15,425.70,413.00,414.45,413.30,414.45,604.00,3604.91,1832550.00,396150.00,-
TATAMOTORS,29-Jun-2022,25-Aug-2022,415.85,422.00,415.35,419.25,418.35,419.25,372.00,2225.45,1436400.00,230850.00,416.95
TATAMOTORS,29-Jun-2022,28-Jul-2022,413.15,420.85,413.15,417.85,417.05,417.85,19088.00,113820.05,48591075.00,14110350.00,416.95
TATAMOTORS,29-Jun-2022,30-Jun-2022,414.35,419.75,412.20,416.85,416.00,416.85,18672.00,111048.46,15974250.00,-15659325.00,416.95
TATAMOTORS,28-Jun-2022,28-Jul-2022,414.00,420.15,410.60,418.95,419.30,418.95,17069.00,101411.10,34480725.00,12062625.00,417.10
TATAMOTORS,28-Jun-2022,30-Jun-2022,412.45,418.80,409.50,417.85,418.00,417.85,18722.00,110931.64,31633575.00,-14137425.00,417.10
TATAMOTORS,28-Jun-2022,25-Aug-2022,415.10,421.30,412.25,420.25,420.70,420.25,314.00,1872.65,1205550.00,182400.00,417.10
TATAMOTORS,27-Jun-2022,25-Aug-2022,419.80,420.75,415.55,417.40,415.75,417.40,375.00,2234.16,1023150.00,203775.00,-
TATAMOTORS,27-Jun-2022,30-Jun-2022,417.60,419.75,413.15,414.75,413.40,414.75,16555.00,98147.04,45771000.00,-11288850.00,-
TATAMOTORS,27-Jun-2022,28-Jul-2022,417.85,420.75,414.40,415.90,414.45,415.90,11277.00,67035.55,22418100.00,8919075.00,-
TATAMOTORS,24-Jun-2022,28-Jul-2022,411.30,413.90,407.55,411.25,410.80,411.25,6182.00,36195.97,13499025.00,3341625.00,-
TATAMOTORS,24-Jun-2022,30-Jun-2022,410.00,413.00,406.40,410.20,409.50,410.20,13091.00,76463.23,57059850.00,-3816150.00,-
TATAMOTORS,24-Jun-2022,25-Aug-2022,412.00,414.95,409.50,412.45,411.50,412.45,187.00,1098.65,819375.00,61275.00,-
TATAMOTORS,23-Jun-2022,25-Aug-2022,397.45,412.05,397.45,410.10,410.20,410.10,393.00,2273.67,758100.00,-39900.00,-
TATAMOTORS,23-Jun-2022,28-Jul-2022,397.20,411.05,395.55,409.15,409.55,409.15,7222.00,41678.69,10157400.00,2751675.00,-
TATAMOTORS,23-Jun-2022,30-Jun-2022,395.20,410.10,394.55,408.05,408.15,408.05,23267.00,133909.91,60876000.00,-3609525.00,-
TATAMOTORS,22-Jun-2022,30-Jun-2022,394.40,398.00,390.20,392.80,392.20,392.80,10413.00,58411.37,64485525.00,451725.00,393.10
TATAMOTORS,22-Jun-2022,25-Aug-2022,398.10,399.00,390.70,395.15,394.70,395.15,170.00,957.43,798000.00,22800.00,393.10
TATAMOTORS,22-Jun-2022,28-Jul-2022,396.60,397.95,391.30,393.85,393.60,393.85,2175.00,12236.21,7405725.00,930525.00,393.10
TATAMOTORS,21-Jun-2022,30-Jun-2022,389.10,399.80,387.25,397.95,398.20,397.95,11798.00,66495.35,64033800.00,-2227275.00,397.60
TATAMOTORS,21-Jun-2022,25-Aug-2022,385.15,401.50,385.15,400.40,400.50,400.40,170.00,963.19,775200.00,-14250.00,397.60
TATAMOTORS,21-Jun-2022,28-Jul-2022,390.00,400.75,388.55,399.10,399.35,399.10,2170.00,12264.09,6475200.00,135375.00,397.60
TATAMOTORS,20-Jun-2022,28-Jul-2022,393.85,394.15,377.65,384.85,385.55,384.85,2453.00,13410.88,6339825.00,825075.00,382.70
TATAMOTORS,20-Jun-2022,30-Jun-2022,392.40,393.65,376.50,383.25,384.80,383.25,13564.00,73986.06,66261075.00,-1198425.00,382.70
TATAMOTORS,20-Jun-2022,25-Aug-2022,393.95,394.00,379.00,385.15,387.35,385.15,209.00,1147.62,789450.00,101175.00,382.70
TATAMOTORS,17-Jun-2022,30-Jun-2022,393.35,394.80,383.75,390.10,391.90,390.10,19806.00,109848.50,67459500.00,-1554675.00,-
TATAMOTORS,17-Jun-2022,28-Jul-2022,390.00,395.90,385.00,391.25,392.30,391.25,2470.00,13728.03,5514750.00,552900.00,-
TATAMOTORS,17-Jun-2022,25-Aug-2022,392.00,396.50,386.85,393.00,394.00,393.00,355.00,1980.59,688275.00,58425.00,-
TATAMOTORS,16-Jun-2022,25-Aug-2022,421.95,422.50,392.95,395.10,395.00,395.10,256.00,1471.29,629850.00,96900.00,-
TATAMOTORS,16-Jun-2022,30-Jun-2022,419.50,421.00,389.90,392.60,393.15,392.60,24423.00,140170.19,69014175.00,1057350.00,-
TATAMOTORS,16-Jun-2022,28-Jul-2022,421.00,421.75,391.30,393.80,393.65,393.80,2626.00,15121.42,4961850.00,1064475.00,-
TATAMOTORS,15-Jun-2022,25-Aug-2022,414.95,418.80,412.75,416.65,416.20,416.65,132.00,782.36,532950.00,1425.00,414.10
TATAMOTORS,15-Jun-2022,28-Jul-2022,412.25,417.50,410.80,415.20,414.65,415.20,1060.00,6259.01,3897375.00,212325.00,414.10
TATAMOTORS,15-Jun-2022,30-Jun-2022,409.95,416.35,409.45,414.15,413.50,414.15,10174.00,59959.76,67956825.00,-933375.00,414.10
TATAMOTORS,14-Jun-2022,30-Jun-2022,402.00,412.40,397.60,406.25,406.15,406.25,17424.00,100737.16,68890200.00,-608475.00,-
TATAMOTORS,14-Jun-2022,25-Aug-2022,406.00,414.85,400.25,408.85,408.15,408.85,189.00,1101.00,531525.00,38475.00,-
TATAMOTORS,14-Jun-2022,28-Jul-2022,403.90,413.50,398.95,407.45,407.35,407.45,1490.00,8647.49,3685050.00,319200.00,-
TATAMOTORS,13-Jun-2022,28-Jul-2022,416.00,419.05,406.80,408.10,407.30,408.10,1346.00,7895.56,3365850.00,299250.00,406.70
TATAMOTORS,13-Jun-2022,30-Jun-2022,416.25,418.00,405.40,406.75,406.15,406.75,16771.00,98060.69,69498675.00,978975.00,406.70
TATAMOTORS,13-Jun-2022,25-Aug-2022,418.70,420.15,408.50,409.45,408.95,409.45,192.00,1126.93,493050.00,99750.00,406.70
TATAMOTORS,10-Jun-2022,28-Jul-2022,424.85,430.40,424.10,429.75,429.15,429.75,666.00,4062.16,3066600.00,133950.00,-
TATAMOTORS,10-Jun-2022,30-Jun-2022,425.10,429.40,422.70,428.40,428.00,428.40,9712.00,59067.41,68519700.00,-41325.00,-
TATAMOTORS,10-Jun-2022,25-Aug-2022,426.75,431.50,425.90,430.95,430.70,430.95,47.00,287.66,393300.00,8550.00,-
