Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TATAMOTORS,31-Mar-2022,26-May-2022,438.20,441.20,435.70,437.40,437.40,437.40,358.00,4476.94,2573550.00,322050.00,433.75
TATAMOTORS,31-Mar-2022,30-Jun-2022,-,-,-,-,-,-,-,-,-,-,433.75
TATAMOTORS,31-Mar-2022,31-Mar-2022,437.15,438.90,432.60,433.85,434.00,433.75,7738.00,96098.79,6207300.00,-10758750.00,433.75
TATAMOTORS,31-Mar-2022,28-Apr-2022,437.25,440.50,434.35,436.20,436.45,436.20,11975.00,149333.83,71611950.00,10701750.00,433.75
TATAMOTORS,30-Mar-2022,31-Mar-2022,438.35,443.80,436.05,437.35,436.60,437.35,13940.00,175086.46,16966050.00,-14067600.00,435.65
TATAMOTORS,30-Mar-2022,28-Apr-2022,439.00,444.90,437.10,438.25,437.60,438.25,13541.00,170417.86,60910200.00,14352600.00,435.65
TATAMOTORS,30-Mar-2022,26-May-2022,441.20,445.55,438.55,439.70,438.65,439.70,371.00,4680.94,2251500.00,239400.00,435.65
TATAMOTORS,29-Mar-2022,28-Apr-2022,437.25,441.45,433.55,435.90,436.30,435.90,10984.00,136974.25,46557600.00,11434200.00,433.70
TATAMOTORS,29-Mar-2022,26-May-2022,438.55,442.00,435.00,437.00,437.65,437.00,172.00,2150.22,2012100.00,188100.00,433.70
TATAMOTORS,29-Mar-2022,31-Mar-2022,436.35,440.70,433.00,435.10,435.25,435.10,13737.00,170966.11,31033650.00,-13466250.00,433.70
TATAMOTORS,28-Mar-2022,26-May-2022,434.35,437.40,429.80,436.40,436.15,436.40,160.00,1981.24,1824000.00,162450.00,432.70
TATAMOTORS,28-Mar-2022,28-Apr-2022,434.00,436.80,428.20,435.10,435.25,435.10,8992.00,110929.09,35123400.00,13372200.00,432.70
TATAMOTORS,28-Mar-2022,31-Mar-2022,434.20,436.00,427.50,434.35,434.40,434.35,11956.00,147285.71,44499900.00,-13511850.00,432.70
TATAMOTORS,25-Mar-2022,26-May-2022,438.65,440.50,431.65,435.80,435.65,435.80,143.00,1778.75,1661550.00,114000.00,432.10
TATAMOTORS,25-Mar-2022,31-Mar-2022,437.20,438.40,428.80,433.65,433.80,433.65,8253.00,102135.59,58011750.00,-3967200.00,432.10
TATAMOTORS,25-Mar-2022,28-Apr-2022,438.15,439.30,429.75,434.45,434.80,434.45,3914.00,48537.89,21751200.00,2872800.00,432.10
TATAMOTORS,24-Mar-2022,28-Apr-2022,430.50,437.35,429.00,435.30,435.10,435.30,2685.00,33223.43,18878400.00,1581750.00,433.20
TATAMOTORS,24-Mar-2022,31-Mar-2022,429.05,436.40,427.85,434.45,434.05,434.45,7421.00,91637.91,61978950.00,-2083350.00,433.20
TATAMOTORS,24-Mar-2022,26-May-2022,432.00,438.05,431.00,436.60,436.35,436.60,91.00,1130.22,1547550.00,91200.00,433.20
TATAMOTORS,23-Mar-2022,31-Mar-2022,443.45,448.65,435.10,436.80,436.55,436.80,12567.00,157500.42,64062300.00,-2374050.00,435.80
TATAMOTORS,23-Mar-2022,26-May-2022,448.00,448.15,437.55,438.85,438.70,438.85,177.00,2232.23,1456350.00,193800.00,435.80
TATAMOTORS,23-Mar-2022,28-Apr-2022,445.90,448.50,436.00,437.70,437.30,437.70,3721.00,46738.76,17296650.00,3576750.00,435.80
TATAMOTORS,22-Mar-2022,28-Apr-2022,427.60,443.80,422.00,442.90,443.10,442.90,3992.00,49505.30,13719900.00,2251500.00,440.35
TATAMOTORS,22-Mar-2022,26-May-2022,428.40,444.65,423.30,444.00,444.30,444.00,276.00,3434.58,1262550.00,-116850.00,440.35
TATAMOTORS,22-Mar-2022,31-Mar-2022,426.55,442.85,420.80,441.90,442.35,441.90,19767.00,243985.07,66436350.00,-3032400.00,440.35
TATAMOTORS,21-Mar-2022,26-May-2022,436.55,436.75,427.75,428.40,428.50,428.40,108.00,1327.49,1379400.00,111150.00,427.95
TATAMOTORS,21-Mar-2022,31-Mar-2022,434.10,435.55,425.25,426.25,426.30,426.25,9873.00,120732.91,69468750.00,615600.00,427.95
TATAMOTORS,21-Mar-2022,28-Apr-2022,435.05,435.65,426.15,427.20,427.30,427.20,1938.00,23745.87,11468400.00,1601700.00,427.95
TATAMOTORS,17-Mar-2022,26-May-2022,434.80,437.00,433.00,434.90,435.50,434.90,122.00,1511.87,1268250.00,-5700.00,433.80
TATAMOTORS,17-Mar-2022,31-Mar-2022,432.50,435.00,430.20,432.50,433.15,432.50,12310.00,151713.93,68853150.00,-6019200.00,433.80
TATAMOTORS,17-Mar-2022,28-Apr-2022,434.00,436.20,431.35,433.40,434.25,433.40,1937.00,23936.70,9866700.00,661200.00,433.80
TATAMOTORS,16-Mar-2022,28-Apr-2022,424.30,428.15,422.00,426.40,425.95,426.40,1410.00,17088.68,9205500.00,-68400.00,424.90
TATAMOTORS,16-Mar-2022,31-Mar-2022,426.95,427.45,420.70,425.35,424.75,425.35,12565.00,151934.06,74872350.00,-4981800.00,424.90
TATAMOTORS,16-Mar-2022,26-May-2022,425.95,429.00,423.50,427.75,427.30,427.75,139.00,1690.52,1273950.00,-102600.00,424.90
TATAMOTORS,15-Mar-2022,31-Mar-2022,409.70,424.20,408.25,412.75,410.35,412.75,22278.00,264234.08,79854150.00,2040600.00,413.65
TATAMOTORS,15-Mar-2022,28-Apr-2022,412.00,425.25,410.00,413.70,411.50,413.70,1968.00,23385.83,9273900.00,815100.00,413.65
TATAMOTORS,15-Mar-2022,26-May-2022,412.15,426.00,412.00,414.95,413.30,414.95,156.00,1861.78,1376550.00,88350.00,413.65
TATAMOTORS,14-Mar-2022,28-Apr-2022,417.90,418.75,405.50,413.45,414.50,413.45,1705.00,19985.01,8458800.00,1199850.00,411.70
TATAMOTORS,14-Mar-2022,26-May-2022,420.00,420.00,407.00,414.40,414.95,414.40,172.00,2020.87,1288200.00,133950.00,411.70
TATAMOTORS,14-Mar-2022,31-Mar-2022,418.60,418.70,404.30,412.25,413.20,412.25,18851.00,220551.55,77813550.00,4343400.00,411.70
TATAMOTORS,11-Mar-2022,28-Apr-2022,412.85,423.80,409.65,421.10,421.45,421.10,1339.00,15877.29,7258950.00,513000.00,418.15
TATAMOTORS,11-Mar-2022,31-Mar-2022,413.60,422.70,408.25,419.95,420.00,419.95,19180.00,226991.53,73470150.00,2109000.00,418.15
TATAMOTORS,11-Mar-2022,26-May-2022,410.95,424.55,410.95,422.40,422.60,422.40,162.00,1930.63,1154250.00,5700.00,418.15
TATAMOTORS,10-Mar-2022,31-Mar-2022,427.50,436.45,414.20,420.80,419.70,420.80,25693.00,312886.79,71361150.00,-3861750.00,419.60
TATAMOTORS,10-Mar-2022,28-Apr-2022,432.25,437.25,415.00,421.85,421.30,421.85,2469.00,30083.19,6745950.00,478800.00,419.60
TATAMOTORS,10-Mar-2022,26-May-2022,431.70,438.45,418.95,422.80,421.75,422.80,289.00,3542.07,1148550.00,34200.00,419.60
TATAMOTORS,09-Mar-2022,26-May-2022,397.05,411.60,392.90,409.10,409.35,409.10,234.00,2687.99,1114350.00,151050.00,405.90
TATAMOTORS,09-Mar-2022,28-Apr-2022,396.60,410.75,391.40,407.80,409.00,407.80,1490.00,17019.38,6267150.00,478800.00,405.90
TATAMOTORS,09-Mar-2022,31-Mar-2022,396.10,409.85,390.25,406.75,408.00,406.75,18438.00,210532.04,75222900.00,1781250.00,405.90
TATAMOTORS,08-Mar-2022,28-Apr-2022,390.90,397.10,378.45,394.25,393.50,394.25,1557.00,17287.40,5788350.00,168150.00,391.75
TATAMOTORS,08-Mar-2022,26-May-2022,390.40,397.40,380.00,395.15,395.20,395.15,197.00,2194.48,963300.00,94050.00,391.75
TATAMOTORS,08-Mar-2022,31-Mar-2022,391.00,396.60,377.35,393.25,392.75,393.25,22200.00,245851.83,73441650.00,2120400.00,391.75
TATAMOTORS,07-Mar-2022,26-May-2022,401.15,401.95,388.25,396.50,398.00,396.50,311.00,3515.73,869250.00,-62700.00,394.00
TATAMOTORS,07-Mar-2022,31-Mar-2022,405.45,405.45,384.30,394.60,396.25,394.60,21165.00,237290.35,71321250.00,-1667250.00,394.00
TATAMOTORS,07-Mar-2022,28-Apr-2022,400.15,401.10,385.15,395.40,397.00,395.40,1879.00,21119.22,5620200.00,664050.00,394.00
TATAMOTORS,04-Mar-2022,26-May-2022,428.00,435.25,417.20,419.20,419.70,419.20,328.00,3979.92,931950.00,296400.00,417.25
TATAMOTORS,04-Mar-2022,31-Mar-2022,429.70,432.60,414.30,416.80,417.00,416.80,17938.00,216772.32,72988500.00,2579250.00,417.25
TATAMOTORS,04-Mar-2022,28-Apr-2022,431.00,433.80,415.80,417.90,418.00,417.90,1695.00,20516.13,4956150.00,669750.00,417.25
TATAMOTORS,03-Mar-2022,28-Apr-2022,459.80,459.85,435.90,438.05,438.65,438.05,1007.00,12725.13,4286400.00,558600.00,437.10
TATAMOTORS,03-Mar-2022,31-Mar-2022,457.00,458.00,434.30,436.80,437.35,436.80,13287.00,167638.13,70409250.00,1621650.00,437.10
TATAMOTORS,03-Mar-2022,26-May-2022,458.25,458.25,437.20,439.85,440.25,439.85,146.00,1845.84,635550.00,171000.00,437.10
TATAMOTORS,02-Mar-2022,26-May-2022,449.50,455.45,448.00,451.70,452.35,451.70,163.00,2102.27,464550.00,330600.00,447.60
TATAMOTORS,02-Mar-2022,28-Apr-2022,448.35,455.25,445.95,450.10,451.20,450.10,785.00,10081.93,3727800.00,504450.00,447.60
TATAMOTORS,02-Mar-2022,31-Mar-2022,451.95,454.35,444.50,448.55,449.80,448.55,13013.00,166673.69,68787600.00,4104000.00,447.60
TATAMOTORS,28-Feb-2022,31-Mar-2022,450.00,458.25,442.90,455.20,455.25,455.20,13614.00,175681.01,64683600.00,2328450.00,454.05
TATAMOTORS,28-Feb-2022,28-Apr-2022,450.00,459.35,444.75,456.60,456.75,456.60,661.00,8553.55,3223350.00,171000.00,454.05
TATAMOTORS,28-Feb-2022,26-May-2022,449.40,459.75,448.75,457.50,457.55,457.50,77.00,997.90,133950.00,65550.00,454.05
TATAMOTORS,25-Feb-2022,28-Apr-2022,444.40,467.15,444.40,461.75,462.50,461.75,1146.00,15021.56,3052350.00,267900.00,459.75
TATAMOTORS,25-Feb-2022,31-Mar-2022,441.00,466.20,441.00,460.30,461.10,460.30,21300.00,278752.06,62355150.00,-6093300.00,459.75
TATAMOTORS,25-Feb-2022,26-May-2022,447.35,467.80,447.35,463.50,462.95,463.50,72.00,947.10,68400.00,68400.00,459.75
TATAMOTORS,24-Feb-2022,24-Feb-2022,462.00,462.00,422.55,427.10,423.15,427.95,17067.00,215554.00,5480550.00,-20548500.00,427.95
TATAMOTORS,24-Feb-2022,31-Mar-2022,456.25,461.80,423.70,427.55,425.60,427.55,32278.00,408073.71,68448450.00,12730950.00,427.95
TATAMOTORS,24-Feb-2022,28-Apr-2022,453.70,461.95,425.00,428.45,427.90,428.45,1017.00,12874.11,2784450.00,1085850.00,427.95
TATAMOTORS,23-Feb-2022,24-Feb-2022,482.90,484.40,475.05,476.35,476.20,476.35,11680.00,159507.21,26029050.00,-17000250.00,477.00
TATAMOTORS,23-Feb-2022,28-Apr-2022,486.00,486.55,477.55,478.45,478.20,478.45,219.00,3009.30,1698600.00,290700.00,477.00
TATAMOTORS,23-Feb-2022,31-Mar-2022,481.85,485.60,476.00,477.25,476.90,477.25,12910.00,176679.54,55717500.00,14668950.00,477.00
TATAMOTORS,22-Feb-2022,24-Feb-2022,479.80,485.10,471.00,478.45,478.60,478.45,17039.00,232634.70,43029300.00,-12996000.00,478.25
TATAMOTORS,22-Feb-2022,31-Mar-2022,481.05,486.00,471.60,479.80,479.95,479.80,14839.00,202943.47,41048550.00,13551750.00,478.25
TATAMOTORS,22-Feb-2022,28-Apr-2022,486.50,487.35,473.00,480.80,481.40,480.80,412.00,5649.89,1407900.00,293550.00,478.25
TATAMOTORS,21-Feb-2022,28-Apr-2022,493.15,502.50,490.00,496.10,495.80,496.10,168.00,2374.26,1114350.00,176700.00,494.45
TATAMOTORS,21-Feb-2022,31-Mar-2022,492.80,501.25,488.15,494.45,494.10,494.45,7988.00,112796.04,27496800.00,8356200.00,494.45
TATAMOTORS,21-Feb-2022,24-Feb-2022,491.50,499.95,487.00,493.45,493.40,493.45,12312.00,173354.03,56025300.00,-10319850.00,494.45
TATAMOTORS,18-Feb-2022,24-Feb-2022,499.65,503.55,492.60,494.25,494.35,494.25,8645.00,122807.15,66345150.00,-2764500.00,493.15
TATAMOTORS,18-Feb-2022,31-Mar-2022,501.00,504.85,494.00,495.65,495.85,495.65,2883.00,41056.07,19140600.00,2265750.00,493.15
TATAMOTORS,18-Feb-2022,28-Apr-2022,505.95,505.95,496.00,497.20,497.20,497.20,92.00,1314.86,937650.00,25650.00,493.15
TATAMOTORS,17-Feb-2022,28-Apr-2022,507.50,514.00,502.65,503.65,502.70,503.65,208.00,3014.75,912000.00,45600.00,499.95
TATAMOTORS,17-Feb-2022,31-Mar-2022,506.00,513.15,501.00,502.25,501.00,502.25,3583.00,51807.62,16874850.00,1453500.00,499.95
TATAMOTORS,17-Feb-2022,24-Feb-2022,505.00,512.00,499.55,501.05,500.00,501.05,15187.00,219084.01,69109650.00,-2237250.00,499.95
TATAMOTORS,16-Feb-2022,24-Feb-2022,502.15,508.50,497.15,499.05,497.80,499.05,13316.00,190676.97,71346900.00,-3442800.00,498.45
TATAMOTORS,16-Feb-2022,31-Mar-2022,502.95,509.40,498.50,500.40,498.85,500.40,2460.00,35316.24,15421350.00,285000.00,498.45
TATAMOTORS,16-Feb-2022,28-Apr-2022,505.00,510.15,500.00,501.90,500.45,501.90,232.00,3341.58,866400.00,-19950.00,498.45
TATAMOTORS,15-Feb-2022,31-Mar-2022,475.65,504.50,466.25,503.25,502.05,503.25,3725.00,51405.81,15136350.00,1690050.00,504.00
TATAMOTORS,15-Feb-2022,28-Apr-2022,477.65,505.40,468.00,504.50,503.40,504.50,186.00,2587.87,886350.00,2850.00,504.00
TATAMOTORS,15-Feb-2022,24-Feb-2022,473.65,503.65,465.30,502.20,501.65,502.20,21980.00,303266.57,74789700.00,-1063050.00,504.00
TATAMOTORS,14-Feb-2022,28-Apr-2022,487.00,490.35,470.00,471.00,470.50,471.00,218.00,2986.11,883500.00,273600.00,471.45
TATAMOTORS,14-Feb-2022,31-Mar-2022,485.25,489.25,468.50,470.75,468.80,470.75,2998.00,40934.11,13446300.00,3881700.00,471.45
TATAMOTORS,14-Feb-2022,24-Feb-2022,487.50,488.00,467.30,469.25,468.10,469.25,15382.00,209620.86,75852750.00,6067650.00,471.45
TATAMOTORS,11-Feb-2022,24-Feb-2022,503.00,508.30,496.60,498.30,497.30,498.30,10502.00,150077.45,69785100.00,664050.00,498.85
TATAMOTORS,11-Feb-2022,28-Apr-2022,506.35,511.00,500.00,500.45,500.30,500.45,68.00,976.62,609900.00,-,498.85
TATAMOTORS,11-Feb-2022,31-Mar-2022,505.10,509.90,498.25,499.60,498.50,499.60,1029.00,14742.46,9564600.00,949050.00,498.85
TATAMOTORS,10-Feb-2022,24-Feb-2022,507.80,512.00,505.30,509.00,509.00,509.00,10005.00,145168.09,69121050.00,-4537200.00,507.45
TATAMOTORS,10-Feb-2022,31-Mar-2022,511.60,513.50,506.80,510.45,510.50,510.45,716.00,10420.86,8615550.00,153900.00,507.45
TATAMOTORS,10-Feb-2022,28-Apr-2022,510.00,514.00,508.65,511.95,511.95,511.95,95.00,1385.94,609900.00,-28500.00,507.45
TATAMOTORS,09-Feb-2022,24-Feb-2022,497.55,504.90,494.60,502.65,503.00,502.65,9538.00,136247.16,73658250.00,-1909500.00,501.25
TATAMOTORS,09-Feb-2022,31-Mar-2022,499.45,506.20,496.25,504.00,504.60,504.00,804.00,11519.26,8461650.00,128250.00,501.25
TATAMOTORS,09-Feb-2022,28-Apr-2022,499.50,507.00,498.00,505.55,505.70,505.55,78.00,1118.69,638400.00,-,501.25
TATAMOTORS,08-Feb-2022,28-Apr-2022,499.00,500.00,481.00,496.10,496.05,496.10,118.00,1653.34,638400.00,65550.00,492.75
TATAMOTORS,08-Feb-2022,31-Mar-2022,497.95,499.05,479.00,494.95,494.50,494.95,1526.00,21284.98,8333400.00,1151400.00,492.75
TATAMOTORS,08-Feb-2022,24-Feb-2022,496.05,497.70,477.80,493.70,493.15,493.70,17720.00,246682.57,75567750.00,-3015300.00,492.75
TATAMOTORS,07-Feb-2022,24-Feb-2022,500.65,503.80,491.40,493.95,492.60,493.95,8612.00,121731.11,78583050.00,1863900.00,494.60
