Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TATAMOTORS,30-Sep-2024,26-Dec-2024,1012.35,1016.05,992.50,995.05,996.50,995.05,420.00,2312.37,255200.00,163350.00,974.65
TATAMOTORS,30-Sep-2024,28-Nov-2024,1010.00,1010.40,985.05,988.80,989.00,988.80,2301.00,12576.78,3587650.00,422400.00,974.65
TATAMOTORS,30-Sep-2024,31-Oct-2024,998.85,1003.65,978.55,982.35,982.80,982.35,28892.00,156874.23,92965950.00,1195700.00,974.65
TATAMOTORS,27-Sep-2024,31-Oct-2024,1003.00,1006.00,995.10,1000.75,999.00,1000.75,29374.00,161749.63,91770250.00,403700.00,993.00
TATAMOTORS,27-Sep-2024,28-Nov-2024,1010.35,1012.55,1001.85,1006.90,1005.85,1006.90,2057.00,11397.78,3165250.00,131450.00,993.00
TATAMOTORS,27-Sep-2024,26-Dec-2024,1037.50,1037.50,1009.00,1013.95,1012.35,1013.95,221.00,1233.39,91850.00,91850.00,993.00
TATAMOTORS,26-Sep-2024,26-Sep-2024,969.00,996.70,965.80,993.90,991.00,993.15,60938.00,329989.23,5141400.00,-22398200.00,993.15
TATAMOTORS,26-Sep-2024,28-Nov-2024,981.80,1009.55,978.50,1007.10,1005.25,1007.10,3713.00,20369.35,3033800.00,453750.00,993.15
TATAMOTORS,26-Sep-2024,31-Oct-2024,973.40,1003.70,972.00,1000.95,999.05,1000.95,94870.00,517695.86,91366550.00,14587100.00,993.15
TATAMOTORS,25-Sep-2024,26-Sep-2024,981.95,982.40,959.85,964.45,963.95,964.45,43319.00,230014.20,27539600.00,-16399900.00,963.60
TATAMOTORS,25-Sep-2024,28-Nov-2024,994.00,995.70,972.45,976.90,976.75,976.90,2277.00,12259.21,2580050.00,641850.00,963.60
TATAMOTORS,25-Sep-2024,31-Oct-2024,987.65,989.20,966.20,970.80,970.00,970.80,50494.00,269996.09,76779450.00,17702300.00,963.60
TATAMOTORS,24-Sep-2024,26-Sep-2024,973.00,986.30,971.80,978.70,978.70,978.70,41188.00,221829.10,43939500.00,-15466000.00,977.30
TATAMOTORS,24-Sep-2024,28-Nov-2024,989.10,999.00,987.45,991.30,991.50,991.30,1233.00,6727.91,1938200.00,239250.00,977.30
TATAMOTORS,24-Sep-2024,31-Oct-2024,981.00,992.70,979.55,985.20,985.10,985.20,44338.00,240369.62,59077150.00,16330050.00,977.30
TATAMOTORS,23-Sep-2024,26-Sep-2024,974.20,979.40,967.65,973.10,973.00,973.10,47288.00,253181.72,59405500.00,-18964550.00,971.80
TATAMOTORS,23-Sep-2024,28-Nov-2024,987.00,991.70,980.25,985.75,986.00,985.75,820.00,4448.58,1698950.00,206250.00,971.80
TATAMOTORS,23-Sep-2024,31-Oct-2024,977.00,985.55,974.00,979.45,979.55,979.45,44417.00,239320.35,42747100.00,18260550.00,971.80
TATAMOTORS,20-Sep-2024,26-Sep-2024,970.10,977.20,949.35,971.40,972.00,971.40,45652.00,243188.26,78370050.00,-4037550.00,970.85
TATAMOTORS,20-Sep-2024,28-Nov-2024,972.65,989.00,966.75,984.10,984.20,984.10,775.00,4179.92,1492700.00,123200.00,970.85
TATAMOTORS,20-Sep-2024,31-Oct-2024,975.55,983.55,956.25,978.05,978.60,978.05,20295.00,108854.68,24486550.00,5977400.00,970.85
TATAMOTORS,19-Sep-2024,28-Nov-2024,985.20,990.95,970.45,981.35,983.55,981.35,623.00,3361.74,1369500.00,46750.00,967.00
