Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TATAMOTORS,30-Dec-2022,29-Mar-2023,395.10,398.10,393.50,393.80,393.90,393.80,67.00,377.58,65550.00,65550.00,387.95
TATAMOTORS,30-Dec-2022,25-Jan-2023,391.95,394.60,389.35,390.15,390.30,390.15,9659.00,53944.45,75198675.00,-371925.00,387.95
TATAMOTORS,30-Dec-2022,23-Feb-2023,393.45,396.40,391.25,392.05,391.75,392.05,672.00,3771.54,2441025.00,21375.00,387.95
TATAMOTORS,29-Dec-2022,29-Dec-2022,389.75,390.60,383.00,386.25,386.15,385.90,20180.00,110837.99,5385075.00,-17235375.00,385.90
TATAMOTORS,29-Dec-2022,25-Jan-2023,391.80,392.10,384.20,388.80,389.00,388.80,26961.00,148726.60,75570600.00,10721700.00,385.90
TATAMOTORS,29-Dec-2022,23-Feb-2023,393.35,393.85,386.25,390.70,390.90,390.70,1116.00,6192.01,2419650.00,608475.00,385.90
TATAMOTORS,28-Dec-2022,25-Jan-2023,395.05,397.40,392.30,393.30,392.95,393.30,20611.00,115884.37,64848900.00,18144525.00,391.30
TATAMOTORS,28-Dec-2022,23-Feb-2023,397.45,399.05,394.50,395.10,394.80,395.10,513.00,2899.09,1811175.00,349125.00,391.30
TATAMOTORS,28-Dec-2022,29-Dec-2022,393.00,395.95,391.30,392.35,391.65,392.35,18647.00,104577.08,22620450.00,-13967850.00,391.30
TATAMOTORS,27-Dec-2022,25-Jan-2023,391.40,398.75,390.45,396.30,397.30,396.30,21749.00,122677.54,46704375.00,15999900.00,-
TATAMOTORS,27-Dec-2022,23-Feb-2023,393.85,400.90,393.35,398.50,399.05,398.50,561.00,3179.78,1462050.00,132525.00,-
TATAMOTORS,27-Dec-2022,29-Dec-2022,390.00,397.45,388.80,395.15,395.65,395.15,22557.00,126857.44,36588300.00,-14173050.00,-
TATAMOTORS,26-Dec-2022,25-Jan-2023,381.30,392.50,378.35,387.50,387.85,387.50,19432.00,107356.52,30704475.00,10513650.00,384.80
TATAMOTORS,26-Dec-2022,23-Feb-2023,385.65,394.90,380.50,390.25,390.25,390.25,379.00,2106.24,1329525.00,98325.00,384.80
TATAMOTORS,26-Dec-2022,29-Dec-2022,380.60,390.90,376.60,385.70,386.15,385.70,23481.00,129196.84,50761350.00,-17300925.00,384.80
TATAMOTORS,23-Dec-2022,25-Jan-2023,392.85,392.85,380.05,381.60,381.50,381.60,10063.00,55232.44,20190825.00,6057675.00,-
TATAMOTORS,23-Dec-2022,23-Feb-2023,391.80,393.15,382.65,384.15,384.30,384.15,405.00,2238.34,1231200.00,208050.00,-
TATAMOTORS,23-Dec-2022,29-Dec-2022,389.95,390.50,378.25,379.60,379.75,379.60,17854.00,97462.83,68062275.00,-5610225.00,-
TATAMOTORS,22-Dec-2022,23-Feb-2023,409.10,409.15,395.95,400.00,400.00,400.00,271.00,1545.18,1023150.00,180975.00,-
TATAMOTORS,22-Dec-2022,29-Dec-2022,405.60,405.60,390.40,395.05,395.00,395.05,14567.00,82202.17,73672500.00,-2040600.00,-
TATAMOTORS,22-Dec-2022,25-Jan-2023,408.05,408.15,392.90,397.30,397.50,397.30,6327.00,35919.54,14133150.00,3127875.00,-
TATAMOTORS,21-Dec-2022,29-Dec-2022,414.00,414.65,402.65,404.10,403.20,404.10,11416.00,66352.01,75713100.00,-1932300.00,402.60
TATAMOTORS,21-Dec-2022,25-Jan-2023,415.25,417.45,405.05,406.50,405.70,406.50,3741.00,21892.03,11005275.00,956175.00,402.60
TATAMOTORS,21-Dec-2022,23-Feb-2023,418.55,419.00,408.00,409.15,408.50,409.15,200.00,1176.80,842175.00,96900.00,402.60
TATAMOTORS,20-Dec-2022,23-Feb-2023,421.55,421.55,411.50,416.05,416.00,416.05,197.00,1166.09,745275.00,106875.00,410.50
