Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TCS,28-Jun-2024,29-Aug-2024,3973.65,4005.35,3945.00,3951.20,3954.20,3951.20,1038.00,7221.55,242025.00,49000.00,3150.60
TCS,28-Jun-2024,25-Jul-2024,3934.05,3975.35,3915.90,3921.80,3923.90,3921.80,26008.00,179536.78,17688475.00,-45325.00,3150.60
TCS,28-Jun-2024,26-Sep-2024,4017.00,4030.00,3976.00,3982.00,3977.75,3982.00,38.00,265.82,4900.00,4900.00,3150.60
TCS,27-Jun-2024,26-Sep-2024,-,-,-,-,-,-,-,-,-,-,3150.60
TCS,27-Jun-2024,25-Jul-2024,3866.20,3942.95,3831.50,3933.85,3937.00,3933.85,62334.00,425766.95,17733800.00,4340000.00,3150.60
TCS,27-Jun-2024,27-Jun-2024,3849.95,3945.80,3814.95,3933.50,3920.45,3934.15,32812.00,223109.33,1388800.00,-3735375.00,3150.60
TCS,27-Jun-2024,29-Aug-2024,3894.00,3969.90,3863.00,3963.00,3967.65,3963.00,1101.00,7576.85,193025.00,36925.00,3150.60
TCS,26-Jun-2024,25-Jul-2024,3862.00,3884.70,3855.00,3870.20,3866.25,3870.20,39056.00,264653.04,13393800.00,4010125.00,3150.60
TCS,26-Jun-2024,29-Aug-2024,3895.00,3911.25,3886.45,3899.05,3894.00,3899.05,299.00,2041.38,156100.00,-10675.00,3150.60
TCS,26-Jun-2024,27-Jun-2024,3847.85,3867.75,3822.25,3853.90,3848.70,3853.90,33420.00,225538.78,5124175.00,-4620525.00,3150.60
TCS,25-Jun-2024,29-Aug-2024,3856.70,3893.15,3834.85,3881.80,3884.00,3881.80,165.00,1115.38,166775.00,11375.00,3150.60
TCS,25-Jun-2024,25-Jul-2024,3823.20,3859.80,3802.70,3848.90,3854.20,3848.90,31275.00,209541.47,9383675.00,3651900.00,3150.60
TCS,25-Jun-2024,27-Jun-2024,3814.35,3843.50,3787.40,3833.45,3838.20,3833.45,33041.00,220481.38,9744700.00,-4089575.00,3150.60
TCS,24-Jun-2024,29-Aug-2024,3850.00,3894.25,3850.00,3856.85,3853.65,3856.85,238.00,1614.16,155400.00,7000.00,3150.60
TCS,24-Jun-2024,27-Jun-2024,3800.50,3851.90,3795.95,3811.75,3810.35,3811.75,28051.00,187979.07,13834275.00,-2684325.00,3150.60
TCS,24-Jun-2024,25-Jul-2024,3823.10,3867.70,3810.75,3826.75,3826.55,3826.75,21263.00,143085.61,5731775.00,2486050.00,3150.60
TCS,21-Jun-2024,29-Aug-2024,3880.40,3913.45,3848.75,3853.95,3849.00,3853.95,513.00,3486.99,148400.00,9800.00,3150.60
TCS,21-Jun-2024,25-Jul-2024,3837.00,3886.00,3816.35,3825.60,3819.30,3825.60,16430.00,110741.49,3245725.00,1183700.00,3150.60
TCS,21-Jun-2024,27-Jun-2024,3834.50,3875.50,3800.05,3814.00,3802.50,3814.00,41746.00,280632.21,16518600.00,-1674575.00,3150.60
