Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TCS,28-Mar-2024,25-Apr-2024,3889.20,3946.60,3871.90,3907.30,3911.95,3907.30,46871.00,321007.96,16719500.00,3477600.00,3150.60
TCS,28-Mar-2024,30-May-2024,3887.90,3958.45,3887.00,3920.00,3919.80,3920.00,7682.00,52339.22,577850.00,23100.00,3150.60
TCS,28-Mar-2024,28-Mar-2024,3849.95,3915.00,3839.65,3876.25,3880.00,3876.45,31855.00,216523.51,1003975.00,-3616025.00,3150.60
TCS,28-Mar-2024,27-Jun-2024,-,-,-,-,-,-,-,-,-,-,3150.60
TCS,27-Mar-2024,25-Apr-2024,3937.95,3937.95,3867.00,3876.20,3887.00,3876.20,30209.00,206349.83,13241900.00,3480050.00,3150.60
TCS,27-Mar-2024,28-Mar-2024,3900.00,3908.50,3834.80,3845.05,3856.60,3845.05,25441.00,172521.36,4620000.00,-2816625.00,3150.60
TCS,27-Mar-2024,30-May-2024,3944.00,3944.00,3884.55,3895.20,3907.15,3895.20,265.00,1817.05,554750.00,17150.00,3150.60
TCS,26-Mar-2024,25-Apr-2024,3950.95,3979.00,3916.05,3921.80,3928.00,3921.80,27892.00,192179.32,9761850.00,3534650.00,3150.60
TCS,26-Mar-2024,28-Mar-2024,3880.85,3951.00,3880.85,3892.60,3897.55,3892.60,25568.00,174921.10,7436625.00,-3137050.00,3150.60
TCS,26-Mar-2024,30-May-2024,3960.70,3986.00,3930.00,3934.45,3938.80,3934.45,7292.00,50215.21,537600.00,23975.00,3150.60
TCS,22-Mar-2024,30-May-2024,3930.00,3985.20,3904.00,3960.75,3959.55,3960.75,2636.00,18294.71,513625.00,427525.00,3150.60
TCS,22-Mar-2024,28-Mar-2024,3920.30,3946.65,3861.35,3922.20,3917.70,3922.20,31974.00,218672.56,10573675.00,-1692425.00,3150.60
TCS,22-Mar-2024,25-Apr-2024,3955.85,3975.00,3891.90,3950.95,3949.00,3950.95,24663.00,170092.01,6227200.00,2395750.00,3150.60
TCS,21-Mar-2024,25-Apr-2024,4050.00,4050.00,3988.80,4016.15,4019.00,4016.15,16154.00,113338.07,3831450.00,2013025.00,3150.60
TCS,21-Mar-2024,30-May-2024,4049.30,4053.75,4002.00,4025.90,4035.00,4025.90,121.00,853.18,86100.00,8925.00,3150.60
TCS,21-Mar-2024,28-Mar-2024,4000.65,4016.25,3958.05,3985.15,3990.90,3985.15,29243.00,203780.15,12266100.00,-1470525.00,3150.60
TCS,20-Mar-2024,25-Apr-2024,4034.20,4055.00,3995.85,4006.10,4009.40,4006.10,5526.00,39005.21,1818425.00,509775.00,3150.60
TCS,20-Mar-2024,28-Mar-2024,3995.00,4024.90,3964.80,3976.45,3980.00,3976.45,17307.00,121216.53,13736625.00,-806225.00,3150.60
TCS,20-Mar-2024,30-May-2024,4039.95,4067.80,4007.55,4015.10,4022.85,4015.10,188.00,1328.49,77175.00,7175.00,3150.60
