Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TCS,30-Sep-2024,31-Oct-2024,4312.00,4317.65,4280.00,4289.80,4286.40,4289.80,16066.00,120752.04,16849175.00,750925.00,3150.60
TCS,30-Sep-2024,26-Dec-2024,4350.05,4377.80,4343.00,4350.75,4348.75,4350.75,123.00,937.25,21350.00,7700.00,3150.60
TCS,30-Sep-2024,28-Nov-2024,4318.85,4345.50,4311.00,4319.05,4315.95,4319.05,502.00,3796.98,204575.00,-4025.00,3150.60
TCS,27-Sep-2024,31-Oct-2024,4345.10,4395.90,4320.00,4330.50,4327.00,4330.50,28296.00,215416.85,16098250.00,27300.00,3150.60
TCS,27-Sep-2024,28-Nov-2024,4364.00,4424.90,4350.00,4358.90,4354.05,4358.90,1119.00,8574.99,208600.00,50925.00,3150.60
TCS,27-Sep-2024,26-Dec-2024,4423.10,4455.85,4379.40,4390.05,4388.40,4390.05,112.00,865.24,13650.00,13650.00,3150.60
TCS,26-Sep-2024,31-Oct-2024,4287.30,4334.10,4279.00,4304.90,4300.90,4304.90,41555.00,312934.15,16070950.00,3340225.00,3150.60
TCS,26-Sep-2024,26-Sep-2024,4271.30,4318.00,4267.65,4289.00,4283.10,4292.50,24438.00,183457.88,1301125.00,-2891350.00,3150.60
TCS,26-Sep-2024,28-Nov-2024,4324.55,4362.75,4307.45,4333.40,4330.45,4333.40,578.00,4389.36,157675.00,18375.00,3150.60
TCS,25-Sep-2024,26-Sep-2024,4265.00,4282.60,4238.65,4272.25,4273.75,4272.25,24791.00,184856.70,4192475.00,-3041675.00,3150.60
TCS,25-Sep-2024,28-Nov-2024,4349.75,4349.75,4285.00,4320.10,4321.60,4320.10,426.00,3212.60,139300.00,22575.00,3150.60
TCS,25-Sep-2024,31-Oct-2024,4300.00,4306.85,4254.70,4288.60,4287.25,4288.60,29504.00,220836.93,12730725.00,3224725.00,3150.60
TCS,24-Sep-2024,26-Sep-2024,4248.65,4297.40,4245.40,4279.70,4291.25,4279.70,22404.00,167404.73,7234150.00,-2701300.00,3150.60
TCS,24-Sep-2024,31-Oct-2024,4262.05,4311.00,4259.95,4293.55,4304.00,4293.55,27481.00,206038.24,9506000.00,3130225.00,3150.60
TCS,24-Sep-2024,28-Nov-2024,4300.00,4340.00,4291.80,4325.95,4333.10,4325.95,247.00,1867.04,116725.00,9450.00,3150.60
TCS,23-Sep-2024,28-Nov-2024,4347.00,4350.00,4302.70,4310.65,4309.00,4310.65,352.00,2659.00,107275.00,18550.00,3150.60
TCS,23-Sep-2024,31-Oct-2024,4319.95,4320.40,4273.00,4282.35,4278.50,4282.35,24105.00,180875.39,6375775.00,3170300.00,3150.60
TCS,23-Sep-2024,26-Sep-2024,4299.85,4313.05,4258.95,4266.60,4261.85,4266.60,27233.00,203709.09,9935450.00,-3172050.00,3150.60
TCS,20-Sep-2024,28-Nov-2024,4360.50,4365.25,4285.00,4330.15,4336.75,4330.15,333.00,2519.14,88725.00,20125.00,3150.60
