Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TCS,31-Dec-2024,30-Jan-2025,4138.35,4138.35,4032.05,4092.75,4095.50,4092.75,13447.00,95848.19,10599400.00,-1750.00,4094.80
TCS,31-Dec-2024,27-Feb-2025,4141.00,4141.00,4058.20,4118.05,4116.05,4118.05,444.00,3185.68,253050.00,10150.00,4094.80
TCS,31-Dec-2024,27-Mar-2025,4140.00,4147.20,4079.85,4143.50,4143.50,4143.50,72.00,518.90,12775.00,4550.00,4094.80
TCS,30-Dec-2024,27-Mar-2025,4211.10,4213.50,4162.00,4184.15,4181.00,4184.15,62.00,455.95,8225.00,2800.00,4158.80
TCS,30-Dec-2024,27-Feb-2025,4187.60,4191.30,4137.80,4166.45,4158.45,4166.45,287.00,2095.31,242900.00,7700.00,4158.80
TCS,30-Dec-2024,30-Jan-2025,4168.05,4170.70,4112.50,4141.65,4132.55,4141.65,8801.00,63810.90,10601150.00,124425.00,4158.80
TCS,27-Dec-2024,30-Jan-2025,4179.40,4181.90,4148.55,4167.50,4166.20,4167.50,7004.00,51034.90,10476725.00,204750.00,4164.85
TCS,27-Dec-2024,27-Mar-2025,4200.00,4215.00,4188.80,4214.10,4214.40,4214.10,40.00,294.22,5425.00,5425.00,4164.85
TCS,27-Dec-2024,27-Feb-2025,4199.25,4202.30,4170.30,4188.65,4189.30,4188.65,870.00,6376.13,235200.00,103950.00,4164.85
TCS,26-Dec-2024,26-Dec-2024,4192.00,4192.00,4141.50,4168.30,4175.00,4169.10,21220.00,154584.17,1113525.00,-3124800.00,4169.10
TCS,26-Dec-2024,27-Feb-2025,4200.00,4211.00,4170.45,4192.05,4191.35,4192.05,745.00,5458.48,131250.00,25550.00,4169.10
TCS,26-Dec-2024,30-Jan-2025,4183.15,4194.95,4142.50,4167.00,4167.00,4167.00,25083.00,182709.14,10271975.00,2714950.00,4169.10
TCS,24-Dec-2024,27-Feb-2025,4205.00,4242.85,4193.40,4211.45,4215.55,4211.45,166.00,1224.22,105700.00,9975.00,4179.50
TCS,24-Dec-2024,30-Jan-2025,4171.00,4216.95,4163.25,4184.95,4180.25,4184.95,20718.00,151798.26,7557025.00,2317875.00,4179.50
