Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TRENT,28-Jun-2024,25-Jul-2024,5376.05,5547.00,5376.05,5503.70,5505.00,5503.70,7832.00,85979.01,3198600.00,114800.00,4359.10
TRENT,28-Jun-2024,29-Aug-2024,5448.15,5572.00,5420.80,5539.75,5542.40,5539.75,283.00,3128.16,55000.00,7000.00,4359.10
TRENT,28-Jun-2024,26-Sep-2024,5554.00,5600.00,5544.40,5573.10,5576.40,5573.10,24.00,267.31,3200.00,3200.00,4359.10
TRENT,27-Jun-2024,25-Jul-2024,5376.70,5424.80,5338.75,5367.75,5370.50,5367.75,5108.00,54848.54,3083800.00,355400.00,4359.10
TRENT,27-Jun-2024,29-Aug-2024,5432.00,5456.35,5379.80,5409.90,5417.60,5409.90,109.00,1178.92,48000.00,6600.00,4359.10
TRENT,27-Jun-2024,27-Jun-2024,5356.15,5386.50,5304.45,5341.55,5326.25,5329.00,2834.00,30236.77,91000.00,-253200.00,4359.10
TRENT,27-Jun-2024,26-Sep-2024,-,-,-,-,-,-,-,-,-,-,4359.10
TRENT,26-Jun-2024,27-Jun-2024,5330.00,5389.30,5277.85,5359.20,5368.00,5359.20,5028.00,53823.65,344200.00,-722200.00,4359.10
TRENT,26-Jun-2024,29-Aug-2024,5377.10,5460.00,5351.00,5431.30,5431.20,5431.30,75.00,813.26,41400.00,4000.00,4359.10
TRENT,26-Jun-2024,25-Jul-2024,5389.55,5427.00,5315.55,5395.20,5400.95,5395.20,6025.00,64933.11,2728400.00,664200.00,4359.10
TRENT,25-Jun-2024,29-Aug-2024,5508.00,5515.00,5384.35,5409.40,5408.00,5409.40,65.00,707.23,37400.00,3400.00,4359.10
TRENT,25-Jun-2024,27-Jun-2024,5422.75,5453.70,5307.10,5336.10,5334.00,5336.10,6694.00,71913.78,1066400.00,-787400.00,4359.10
TRENT,25-Jun-2024,25-Jul-2024,5434.35,5489.00,5344.40,5370.35,5367.65,5370.35,6883.00,74406.66,2064200.00,800800.00,4359.10
TRENT,24-Jun-2024,27-Jun-2024,5227.45,5430.00,5193.30,5400.15,5426.05,5400.15,7329.00,78215.12,1853800.00,-579400.00,4359.10
TRENT,24-Jun-2024,25-Jul-2024,5235.00,5465.70,5235.00,5434.40,5465.70,5434.40,6639.00,71346.01,1263400.00,719200.00,4359.10
TRENT,24-Jun-2024,29-Aug-2024,5326.05,5500.00,5312.00,5472.80,5500.00,5472.80,60.00,651.20,34000.00,800.00,4359.10
TRENT,21-Jun-2024,27-Jun-2024,5335.00,5342.30,5204.00,5261.55,5247.60,5261.55,3156.00,33242.16,2433200.00,-138200.00,4359.10
TRENT,21-Jun-2024,29-Aug-2024,5397.55,5397.55,5280.00,5326.50,5325.00,5326.50,42.00,448.17,33200.00,2800.00,4359.10
TRENT,21-Jun-2024,25-Jul-2024,5357.85,5374.80,5242.90,5297.70,5285.00,5297.70,1501.00,15916.00,544200.00,90000.00,4359.10
TRENT,20-Jun-2024,27-Jun-2024,5355.45,5420.00,5301.55,5334.80,5335.10,5334.80,3132.00,33503.74,2571400.00,-84600.00,4359.10
TRENT,20-Jun-2024,29-Aug-2024,5460.00,5480.00,5380.20,5408.20,5414.70,5408.20,47.00,509.72,30400.00,1000.00,4359.10
TRENT,20-Jun-2024,25-Jul-2024,5395.40,5452.50,5345.00,5371.80,5376.70,5371.80,874.00,9412.18,454200.00,29800.00,4359.10
TRENT,19-Jun-2024,25-Jul-2024,5483.15,5483.15,5328.40,5391.55,5395.00,5391.55,850.00,9176.13,424400.00,19400.00,4359.10
TRENT,19-Jun-2024,29-Aug-2024,5432.65,5468.00,5369.10,5424.90,5427.20,5424.90,69.00,749.17,29400.00,3000.00,4359.10
TRENT,19-Jun-2024,27-Jun-2024,5350.00,5414.95,5287.25,5355.45,5355.00,5355.45,4547.00,48719.16,2656000.00,-112200.00,4359.10
TRENT,18-Jun-2024,27-Jun-2024,5299.95,5451.00,5210.00,5361.20,5360.00,5361.20,9553.00,101826.90,2768200.00,-302600.00,4359.10
TRENT,18-Jun-2024,25-Jul-2024,5315.65,5485.00,5249.30,5398.65,5398.20,5398.65,2669.00,28460.75,405000.00,304400.00,4359.10
TRENT,18-Jun-2024,29-Aug-2024,5324.45,5515.45,5280.00,5432.65,5434.55,5432.65,106.00,1145.01,26400.00,2200.00,4359.10
TRENT,14-Jun-2024,29-Aug-2024,5170.00,5350.00,5170.00,5324.45,5330.00,5324.45,107.00,1130.50,24200.00,2400.00,4359.10
TRENT,14-Jun-2024,27-Jun-2024,5045.90,5294.30,5044.55,5258.75,5263.95,5258.75,11326.00,117934.84,3070800.00,59800.00,4359.10
TRENT,14-Jun-2024,25-Jul-2024,5081.10,5323.20,5081.10,5290.40,5301.00,5290.40,1171.00,12266.01,100600.00,17600.00,4359.10
TRENT,13-Jun-2024,27-Jun-2024,5099.00,5139.55,4976.05,5041.60,5041.85,5041.60,4163.00,41908.13,3011000.00,9000.00,4359.10
TRENT,13-Jun-2024,29-Aug-2024,5100.50,5129.05,5050.00,5108.95,5110.20,5108.95,37.00,376.36,21800.00,2000.00,4359.10
TRENT,13-Jun-2024,25-Jul-2024,5148.35,5148.35,5016.00,5076.30,5079.00,5076.30,392.00,3971.98,83000.00,8400.00,4359.10
TRENT,12-Jun-2024,25-Jul-2024,4978.70,5125.05,4955.60,5075.35,5079.00,5075.35,479.00,4856.72,74600.00,4800.00,4359.10
TRENT,12-Jun-2024,29-Aug-2024,5000.00,5150.00,5000.00,5100.35,5100.00,5100.35,74.00,756.20,19800.00,1800.00,4359.10
TRENT,12-Jun-2024,27-Jun-2024,4948.50,5095.65,4915.00,5038.80,5045.45,5038.80,5833.00,58726.95,3002000.00,94200.00,4359.10
TRENT,11-Jun-2024,25-Jul-2024,5039.20,5047.25,4944.80,4957.35,4974.05,4957.35,251.00,2506.30,69800.00,14800.00,4359.10
TRENT,11-Jun-2024,27-Jun-2024,5000.00,5018.00,4906.10,4927.10,4944.00,4927.10,3150.00,31258.68,2907800.00,12600.00,4359.10
TRENT,11-Jun-2024,29-Aug-2024,5070.00,5070.00,4980.00,5003.55,5012.00,5003.55,30.00,301.37,18000.00,1800.00,4359.10
TRENT,10-Jun-2024,29-Aug-2024,5065.00,5101.60,5000.00,5045.85,5051.40,5045.85,51.00,516.08,16200.00,4200.00,4359.10
TRENT,10-Jun-2024,27-Jun-2024,5010.40,5062.15,4924.45,4979.00,4973.35,4979.00,3920.00,39115.99,2895200.00,-1000.00,4359.10
TRENT,10-Jun-2024,25-Jul-2024,5025.00,5091.90,4960.20,5013.65,5014.35,5013.65,224.00,2252.06,55000.00,7000.00,4359.10
TRENT,07-Jun-2024,29-Aug-2024,4965.75,5081.60,4920.00,5046.60,5063.30,5046.60,34.00,338.23,12000.00,2200.00,4359.10
TRENT,07-Jun-2024,25-Jul-2024,4913.40,5050.00,4890.00,5014.70,5025.00,5014.70,213.00,2115.81,48000.00,4600.00,4359.10
TRENT,07-Jun-2024,27-Jun-2024,4907.80,5019.00,4850.00,4981.85,4994.00,4981.85,4288.00,42348.81,2896200.00,-53800.00,4359.10
TRENT,06-Jun-2024,27-Jun-2024,4915.15,4942.50,4829.10,4901.45,4896.10,4901.45,3134.00,30609.17,2950000.00,-49600.00,4359.10
TRENT,06-Jun-2024,25-Jul-2024,4963.00,4969.00,4869.85,4937.20,4936.20,4937.20,152.00,1495.23,43400.00,600.00,4359.10
TRENT,06-Jun-2024,29-Aug-2024,4945.40,4972.50,4915.00,4965.50,4962.00,4965.50,22.00,217.81,9800.00,1800.00,4359.10
TRENT,05-Jun-2024,27-Jun-2024,4599.95,4954.90,4530.00,4914.35,4916.50,4914.35,10128.00,97457.82,2999600.00,6200.00,4359.10
TRENT,05-Jun-2024,29-Aug-2024,4619.45,4997.50,4619.45,4972.55,4966.00,4972.55,50.00,489.27,8000.00,3400.00,4359.10
TRENT,05-Jun-2024,25-Jul-2024,4652.20,4980.10,4566.00,4948.40,4946.00,4948.40,429.00,4149.19,42800.00,-8600.00,4359.10
TRENT,04-Jun-2024,29-Aug-2024,4762.05,4762.05,4321.00,4600.00,4600.00,4600.00,31.00,287.92,4600.00,2600.00,4359.10
TRENT,04-Jun-2024,27-Jun-2024,4700.00,4700.00,4229.70,4551.80,4552.10,4551.80,8037.00,72644.98,2993400.00,-22000.00,4359.10
TRENT,04-Jun-2024,25-Jul-2024,4672.50,4724.70,4264.00,4589.85,4599.10,4589.85,417.00,3793.73,51400.00,-1000.00,4359.10
TRENT,03-Jun-2024,29-Aug-2024,4766.25,4790.95,4741.40,4762.05,4770.80,4762.05,13.00,123.90,2000.00,200.00,4359.10
TRENT,03-Jun-2024,27-Jun-2024,4650.00,4736.00,4631.60,4699.65,4707.25,4699.65,4324.00,40606.68,3015400.00,2600.00,4359.10
TRENT,03-Jun-2024,25-Jul-2024,4714.00,4770.80,4671.65,4737.50,4746.55,4737.50,143.00,1351.18,52400.00,1800.00,4359.10
TRENT,31-May-2024,29-Aug-2024,4620.55,4782.00,4615.35,4659.20,4620.05,4659.20,14.00,131.18,1800.00,1800.00,4359.10
TRENT,31-May-2024,27-Jun-2024,4713.95,4737.85,4529.15,4594.00,4550.70,4594.00,9973.00,92160.00,3012800.00,-91600.00,4359.10
TRENT,31-May-2024,25-Jul-2024,4740.70,4768.00,4570.00,4615.95,4590.00,4615.95,313.00,2908.83,50600.00,8200.00,4359.10
TRENT,30-May-2024,27-Jun-2024,4663.00,4730.00,4634.00,4678.85,4710.95,4678.85,7056.00,65945.63,3104400.00,505400.00,4359.10
TRENT,30-May-2024,30-May-2024,4668.70,4695.00,4600.00,4641.90,4660.00,4651.35,5501.00,51001.58,106800.00,-589600.00,4359.10
TRENT,30-May-2024,25-Jul-2024,4700.00,4759.55,4667.35,4718.00,4740.00,4718.00,55.00,518.05,42400.00,1400.00,4359.10
TRENT,29-May-2024,27-Jun-2024,4666.00,4764.00,4634.50,4714.20,4694.00,4714.20,6828.00,64415.34,2599000.00,621400.00,4359.10
TRENT,29-May-2024,25-Jul-2024,4676.35,4786.15,4672.45,4739.50,4730.00,4739.50,68.00,645.90,41000.00,1400.00,4359.10
