Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TRENT,28-Mar-2024,25-Apr-2024,3850.00,4008.30,3850.00,3979.55,3975.05,3979.55,4088.00,64909.29,2637200.00,467200.00,-
TRENT,28-Mar-2024,27-Jun-2024,-,-,-,-,-,-,-,-,-,-,-
TRENT,28-Mar-2024,30-May-2024,3984.70,4024.00,3968.00,4010.10,4007.75,4010.10,48.00,768.59,33600.00,2800.00,-
TRENT,28-Mar-2024,28-Mar-2024,3893.80,3976.50,3888.80,3950.50,3945.80,3948.00,2343.00,36888.21,119200.00,-548800.00,-
TRENT,27-Mar-2024,28-Mar-2024,3864.45,3929.00,3864.45,3875.90,3878.90,3875.90,2586.00,40251.38,668000.00,-734800.00,-
TRENT,27-Mar-2024,30-May-2024,3974.80,3983.10,3929.25,3934.05,3935.00,3934.05,18.00,284.46,30800.00,1200.00,-
TRENT,27-Mar-2024,25-Apr-2024,3925.15,3959.25,3900.00,3907.10,3911.05,3907.10,2866.00,44965.82,2170000.00,618000.00,-
TRENT,26-Mar-2024,30-May-2024,3968.35,3968.35,3930.00,3954.60,3954.60,3954.60,37.00,585.18,29600.00,7200.00,-
TRENT,26-Mar-2024,28-Mar-2024,3880.50,3953.85,3872.20,3896.20,3895.45,3896.20,3340.00,52059.55,1402800.00,-818000.00,-
TRENT,26-Mar-2024,25-Apr-2024,3919.90,3982.70,3901.00,3925.10,3925.20,3925.10,3387.00,53176.27,1552000.00,844000.00,-
TRENT,22-Mar-2024,25-Apr-2024,4025.70,4040.80,3960.55,3991.00,3995.00,3991.00,1684.00,26875.29,708000.00,255200.00,-
TRENT,22-Mar-2024,30-May-2024,4035.00,4035.00,3996.95,4017.30,4020.30,4017.30,29.00,466.54,22400.00,4400.00,-
TRENT,22-Mar-2024,28-Mar-2024,3998.45,4015.00,3932.65,3963.30,3968.85,3963.30,2372.00,37595.41,2220800.00,-300800.00,-
TRENT,21-Mar-2024,25-Apr-2024,4016.40,4057.40,4001.15,4046.30,4035.35,4046.30,735.00,11864.59,452800.00,104400.00,-
TRENT,21-Mar-2024,30-May-2024,4051.00,4082.00,4036.90,4076.10,4076.30,4076.10,11.00,178.69,18000.00,400.00,-
TRENT,21-Mar-2024,28-Mar-2024,3977.35,4029.25,3970.40,4016.75,4012.20,4016.75,1852.00,29663.45,2521600.00,1200.00,-
TRENT,20-Mar-2024,30-May-2024,4046.00,4046.00,3915.00,4030.00,4030.00,4017.45,18.00,286.73,17600.00,800.00,-
TRENT,20-Mar-2024,25-Apr-2024,4017.50,4042.20,3890.55,3997.55,3986.00,3997.55,441.00,6989.42,348400.00,26800.00,-
TRENT,20-Mar-2024,28-Mar-2024,3982.00,4012.90,3854.95,3969.00,3955.00,3969.00,2577.00,40504.98,2520400.00,-10800.00,-
TRENT,19-Mar-2024,28-Mar-2024,4074.00,4084.05,3960.35,3970.65,3970.10,3970.65,2145.00,34356.98,2531200.00,-94000.00,-
