Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TRENT,30-Sep-2022,24-Nov-2022,1407.35,1437.35,1397.35,1435.10,1436.95,1435.10,41.00,421.49,26825.00,8700.00,-
TRENT,30-Sep-2022,29-Dec-2022,-,-,-,1419.05,-,1442.25,-,-,-,-,-
TRENT,30-Sep-2022,27-Oct-2022,1389.65,1436.00,1376.05,1428.50,1427.65,1428.50,1367.00,14009.35,4147000.00,127600.00,-
TRENT,29-Sep-2022,29-Sep-2022,1390.00,1431.60,1368.00,1393.65,1393.15,1397.45,2343.00,23551.77,55100.00,-1196250.00,-
TRENT,29-Sep-2022,29-Dec-2022,-,-,-,-,-,-,-,-,-,-,-
TRENT,29-Sep-2022,24-Nov-2022,1412.05,1415.30,1409.50,1413.35,1415.30,1413.35,8.00,81.92,18125.00,1450.00,-
TRENT,29-Sep-2022,27-Oct-2022,1392.05,1411.45,1374.85,1402.95,1403.60,1402.95,3016.00,30497.67,4019400.00,1177400.00,-
TRENT,28-Sep-2022,27-Oct-2022,1399.05,1416.65,1383.90,1394.95,1386.00,1394.95,2621.00,26651.31,2842000.00,1151300.00,-
TRENT,28-Sep-2022,24-Nov-2022,1399.15,1422.15,1395.00,1395.00,1395.00,1395.00,14.00,142.70,16675.00,2175.00,-
TRENT,28-Sep-2022,29-Sep-2022,1385.00,1409.80,1373.80,1387.70,1378.90,1387.70,2484.00,25122.47,1251350.00,-1223800.00,-
TRENT,27-Sep-2022,27-Oct-2022,1426.50,1449.90,1401.00,1405.55,1409.75,1405.55,2232.00,23003.89,1690700.00,942500.00,-
TRENT,27-Sep-2022,29-Sep-2022,1416.80,1443.00,1393.50,1398.45,1402.00,1398.45,2417.00,24786.97,2475150.00,-922925.00,-
TRENT,27-Sep-2022,24-Nov-2022,1446.15,1453.35,1429.00,1429.00,1429.00,1409.50,5.00,52.20,14500.00,1450.00,-
TRENT,26-Sep-2022,29-Sep-2022,1412.55,1417.95,1351.50,1408.40,1414.45,1408.40,2837.00,28646.53,3398075.00,-582900.00,-
TRENT,26-Sep-2022,27-Oct-2022,1425.45,1426.45,1358.10,1415.10,1422.20,1415.10,1349.00,13691.19,748200.00,369750.00,-
TRENT,26-Sep-2022,24-Nov-2022,1405.00,1427.35,1374.95,1417.10,1425.55,1417.10,45.00,461.81,13050.00,5075.00,-
TRENT,23-Sep-2022,29-Sep-2022,1485.00,1488.50,1417.05,1431.30,1431.90,1431.30,1962.00,20606.10,3980975.00,-234175.00,-
TRENT,23-Sep-2022,24-Nov-2022,1482.00,1482.00,1480.05,1480.05,1480.05,1448.30,2.00,21.47,7975.00,-,-
TRENT,23-Sep-2022,27-Oct-2022,1495.00,1496.35,1425.00,1440.00,1440.50,1440.00,539.00,5696.29,378450.00,160950.00,-
TRENT,22-Sep-2022,29-Sep-2022,1459.95,1494.00,1441.00,1489.05,1494.00,1489.05,1726.00,18364.55,4215150.00,-5800.00,-
TRENT,22-Sep-2022,24-Nov-2022,-,-,-,1480.00,1480.00,1502.30,-,-,7975.00,-,-
TRENT,22-Sep-2022,27-Oct-2022,1476.30,1501.40,1450.00,1497.35,1500.90,1497.35,322.00,3443.69,217500.00,36975.00,-
TRENT,21-Sep-2022,29-Sep-2022,1456.00,1502.95,1451.95,1467.15,1465.60,1467.15,3317.00,35624.04,4220950.00,73950.00,-
TRENT,21-Sep-2022,27-Oct-2022,1480.00,1510.00,1464.95,1473.80,1472.00,1473.80,465.00,5021.12,180525.00,34800.00,-
TRENT,21-Sep-2022,24-Nov-2022,1508.00,1515.00,1480.00,1480.00,1480.00,1480.00,5.00,54.55,7975.00,1450.00,-
TRENT,20-Sep-2022,27-Oct-2022,1447.75,1468.05,1441.95,1457.60,1454.80,1457.60,190.00,2008.06,145725.00,22475.00,-
TRENT,20-Sep-2022,24-Nov-2022,-,-,-,1435.00,1435.00,1460.95,-,-,6525.00,-,-
TRENT,20-Sep-2022,29-Sep-2022,1439.75,1463.15,1431.00,1451.25,1447.40,1451.25,1516.00,15924.49,4147000.00,-15950.00,-
TRENT,19-Sep-2022,29-Sep-2022,1437.80,1442.90,1391.10,1423.95,1422.25,1423.95,1506.00,15465.50,4162950.00,8700.00,-
TRENT,19-Sep-2022,24-Nov-2022,1435.00,1435.00,1435.00,1435.00,1435.00,1437.10,2.00,20.81,6525.00,-,-
TRENT,19-Sep-2022,27-Oct-2022,1430.75,1441.85,1398.10,1433.35,1434.15,1433.35,167.00,1721.72,123250.00,16675.00,-
TRENT,16-Sep-2022,24-Nov-2022,1445.00,1445.00,1445.00,1445.00,1445.00,1448.75,1.00,10.48,6525.00,-,-
TRENT,16-Sep-2022,29-Sep-2022,1443.00,1465.35,1410.50,1434.75,1432.55,1434.75,1995.00,20872.63,4154250.00,-79025.00,-
TRENT,16-Sep-2022,27-Oct-2022,1458.00,1470.10,1421.00,1441.05,1442.75,1441.05,145.00,1526.16,106575.00,5075.00,-
TRENT,15-Sep-2022,27-Oct-2022,1456.00,1460.00,1441.35,1448.85,1449.55,1448.85,58.00,609.61,101500.00,2175.00,-
TRENT,15-Sep-2022,29-Sep-2022,1448.95,1454.95,1430.60,1440.85,1439.05,1440.85,932.00,9743.95,4233275.00,-31175.00,-
TRENT,15-Sep-2022,24-Nov-2022,1449.80,1449.80,1448.00,1448.00,1448.00,1451.40,4.00,42.03,6525.00,2175.00,-
TRENT,14-Sep-2022,29-Sep-2022,1442.95,1476.60,1434.60,1436.75,1437.80,1436.75,1980.00,20854.85,4264450.00,-251575.00,-
TRENT,14-Sep-2022,27-Oct-2022,1455.05,1481.15,1443.30,1444.25,1443.30,1444.25,106.00,1120.24,99325.00,7250.00,-
TRENT,14-Sep-2022,24-Nov-2022,1469.35,1469.35,1457.50,1457.50,1457.50,1446.95,2.00,21.22,4350.00,725.00,-
TRENT,13-Sep-2022,24-Nov-2022,1445.90,1481.05,1445.90,1475.85,1470.60,1475.85,3.00,31.88,3625.00,1450.00,-
TRENT,13-Sep-2022,29-Sep-2022,1415.00,1473.05,1415.00,1465.60,1464.00,1465.60,2855.00,30017.64,4516025.00,119625.00,-
TRENT,13-Sep-2022,27-Oct-2022,1430.00,1477.05,1430.00,1471.70,1473.45,1471.70,149.00,1571.71,92075.00,13775.00,-
TRENT,12-Sep-2022,27-Oct-2022,1408.00,1429.85,1408.00,1412.00,1412.00,1412.00,28.00,287.84,78300.00,5075.00,-
TRENT,12-Sep-2022,24-Nov-2022,-,-,-,1394.90,1394.90,1416.60,-,-,2175.00,-,-
TRENT,12-Sep-2022,29-Sep-2022,1401.15,1424.55,1394.50,1406.95,1411.55,1406.95,1601.00,16405.21,4396400.00,142100.00,-
TRENT,09-Sep-2022,24-Nov-2022,1394.90,1394.90,1394.90,1394.90,1394.90,1396.05,1.00,10.11,2175.00,-,-
TRENT,09-Sep-2022,27-Oct-2022,1423.00,1423.30,1384.00,1389.35,1386.45,1389.35,45.00,455.10,73225.00,12325.00,-
TRENT,09-Sep-2022,29-Sep-2022,1425.75,1428.00,1376.50,1384.20,1384.40,1384.20,1022.00,10315.34,4254300.00,-86275.00,-
TRENT,08-Sep-2022,24-Nov-2022,1432.00,1432.00,1426.00,1426.00,1426.00,1424.25,2.00,20.72,2175.00,-,-
TRENT,08-Sep-2022,29-Sep-2022,1427.75,1428.00,1411.00,1415.00,1418.00,1415.00,774.00,7950.53,4340575.00,63800.00,-
TRENT,08-Sep-2022,27-Oct-2022,1422.00,1425.85,1420.00,1423.70,1423.70,1418.00,11.00,113.58,60900.00,4350.00,-
TRENT,07-Sep-2022,24-Nov-2022,-,-,-,1417.50,1417.50,1430.75,-,-,2175.00,-,-
TRENT,07-Sep-2022,27-Oct-2022,1412.00,1437.00,1411.15,1425.85,1426.30,1425.85,26.00,268.80,56550.00,-2175.00,-
TRENT,07-Sep-2022,29-Sep-2022,1392.80,1431.90,1392.15,1419.45,1421.05,1419.45,1173.00,12087.62,4276775.00,63075.00,-
TRENT,06-Sep-2022,24-Nov-2022,1417.50,1417.50,1417.50,1417.50,1417.50,1417.50,1.00,10.28,2175.00,725.00,-
TRENT,06-Sep-2022,29-Sep-2022,1411.85,1419.00,1395.70,1397.85,1397.35,1397.85,518.00,5281.32,4213700.00,-50750.00,-
TRENT,06-Sep-2022,27-Oct-2022,1420.85,1423.00,1404.50,1404.50,1404.50,1404.50,20.00,205.03,58725.00,-2900.00,-
TRENT,05-Sep-2022,29-Sep-2022,1393.95,1415.25,1393.95,1407.00,1408.00,1407.00,1748.00,17826.53,4264450.00,75400.00,-
TRENT,05-Sep-2022,27-Oct-2022,1402.45,1420.30,1402.45,1412.95,1411.50,1412.95,63.00,645.32,61625.00,-5075.00,-
TRENT,05-Sep-2022,24-Nov-2022,1417.40,1417.40,1417.40,1417.40,1417.40,1416.05,1.00,10.28,1450.00,725.00,-
TRENT,02-Sep-2022,29-Sep-2022,1417.85,1421.55,1394.35,1396.85,1396.10,1396.85,959.00,9778.53,4189050.00,-15950.00,-
TRENT,02-Sep-2022,27-Oct-2022,1421.50,1422.30,1402.30,1403.65,1404.05,1403.65,40.00,409.47,66700.00,2900.00,-
TRENT,02-Sep-2022,24-Nov-2022,1426.15,1426.15,1426.15,1426.15,1426.15,1409.45,2.00,20.62,725.00,725.00,-
TRENT,01-Sep-2022,24-Nov-2022,-,-,-,1378.85,-,1432.90,-,-,-,-,-
TRENT,01-Sep-2022,29-Sep-2022,1397.95,1422.50,1397.95,1419.85,1418.60,1419.85,1163.00,11895.34,4205000.00,-14500.00,-
TRENT,01-Sep-2022,27-Oct-2022,1414.00,1427.05,1406.40,1426.55,1426.20,1426.55,31.00,318.09,63800.00,7975.00,-
TRENT,30-Aug-2022,24-Nov-2022,-,-,-,1378.85,-,1426.45,-,-,-,-,-
TRENT,30-Aug-2022,27-Oct-2022,1395.45,1424.60,1395.45,1418.60,1417.35,1418.60,38.00,388.90,55825.00,10875.00,-
TRENT,30-Aug-2022,29-Sep-2022,1380.25,1421.15,1372.10,1412.20,1412.00,1412.20,2144.00,21870.09,4219500.00,-74675.00,-
TRENT,29-Aug-2022,24-Nov-2022,-,-,-,1378.85,-,1379.30,-,-,-,-,-
TRENT,29-Aug-2022,27-Oct-2022,1362.40,1379.70,1345.00,1372.25,1372.00,1372.25,52.00,515.77,44950.00,1450.00,-
TRENT,29-Aug-2022,29-Sep-2022,1361.20,1376.15,1335.75,1365.70,1365.60,1365.70,1174.00,11583.42,4294175.00,-79025.00,-
TRENT,26-Aug-2022,24-Nov-2022,-,-,-,1378.85,-,1410.35,-,-,-,-,-
TRENT,26-Aug-2022,27-Oct-2022,1395.10,1407.60,1389.00,1402.50,1401.45,1402.50,43.00,435.83,43500.00,15950.00,-
TRENT,26-Aug-2022,29-Sep-2022,1372.00,1406.10,1371.00,1397.30,1397.00,1397.30,1790.00,18061.05,4373200.00,-161675.00,-
TRENT,25-Aug-2022,25-Aug-2022,1342.35,1372.15,1337.00,1357.95,1363.00,1359.35,2129.00,20968.50,496625.00,-814175.00,-
TRENT,25-Aug-2022,27-Oct-2022,1358.00,1379.80,1358.00,1364.30,1364.30,1364.30,14.00,139.29,27550.00,5075.00,-
TRENT,25-Aug-2022,29-Sep-2022,1357.30,1380.45,1345.30,1364.95,1365.95,1364.95,2355.00,23347.06,4534875.00,543750.00,-
TRENT,24-Aug-2022,29-Sep-2022,1356.90,1359.00,1332.00,1354.80,1354.15,1354.80,2277.00,22199.85,3991125.00,984550.00,-
TRENT,24-Aug-2022,25-Aug-2022,1344.20,1352.00,1324.00,1347.05,1345.65,1347.05,2394.00,23206.34,1310800.00,-1057775.00,-
TRENT,24-Aug-2022,27-Oct-2022,1362.00,1362.00,1340.80,1352.00,1352.00,1358.45,9.00,88.02,22475.00,1450.00,-
TRENT,23-Aug-2022,25-Aug-2022,1300.15,1358.50,1300.15,1352.00,1352.00,1352.00,4561.00,43906.59,2368575.00,-1067200.00,-
TRENT,23-Aug-2022,27-Oct-2022,1321.00,1365.00,1321.00,1358.85,1365.00,1358.85,19.00,185.05,21025.00,-725.00,-
TRENT,23-Aug-2022,29-Sep-2022,1320.90,1364.60,1310.00,1358.65,1358.00,1358.65,4273.00,41362.99,3006575.00,1140425.00,-
TRENT,22-Aug-2022,27-Oct-2022,1395.00,1395.00,1313.45,1323.95,1324.15,1323.95,33.00,323.02,21750.00,9425.00,-
TRENT,22-Aug-2022,29-Sep-2022,1417.95,1417.95,1305.00,1320.75,1321.00,1320.75,4426.00,43212.95,1866150.00,1486975.00,-
TRENT,22-Aug-2022,25-Aug-2022,1391.40,1405.10,1298.95,1314.30,1317.40,1314.30,4792.00,46530.38,3435775.00,-786625.00,-
TRENT,19-Aug-2022,25-Aug-2022,1471.95,1488.10,1392.95,1402.00,1401.00,1402.00,2261.00,23460.68,4222400.00,-288550.00,-
TRENT,19-Aug-2022,27-Oct-2022,1494.35,1494.35,1411.10,1414.15,1414.00,1414.15,9.00,93.64,12325.00,-,-
TRENT,19-Aug-2022,29-Sep-2022,1484.95,1493.65,1401.40,1408.50,1407.35,1408.50,785.00,8140.12,379175.00,127600.00,-
TRENT,18-Aug-2022,25-Aug-2022,1477.05,1524.45,1453.15,1460.15,1463.50,1460.15,3536.00,38191.62,4510950.00,-191400.00,-
TRENT,18-Aug-2022,29-Sep-2022,1488.15,1530.00,1461.10,1467.60,1469.70,1467.60,743.00,8044.07,251575.00,67425.00,-
TRENT,18-Aug-2022,27-Oct-2022,1491.00,1530.00,1476.45,1477.00,1477.00,1471.40,13.00,142.20,12325.00,1450.00,-
TRENT,17-Aug-2022,25-Aug-2022,1419.90,1484.00,1419.00,1476.45,1476.00,1476.45,2955.00,31359.69,4702350.00,63800.00,-
TRENT,17-Aug-2022,29-Sep-2022,1429.00,1487.55,1425.05,1482.35,1480.40,1482.35,391.00,4167.69,184150.00,68150.00,-
TRENT,17-Aug-2022,27-Oct-2022,1463.85,1483.00,1463.85,1481.90,1481.90,1491.00,16.00,170.69,10875.00,6525.00,-
TRENT,16-Aug-2022,29-Sep-2022,1422.15,1461.00,1408.75,1420.15,1420.10,1420.15,212.00,2201.93,116000.00,28275.00,-
TRENT,16-Aug-2022,25-Aug-2022,1392.70,1456.00,1391.65,1414.10,1413.20,1414.10,2653.00,27376.74,4638550.00,-297975.00,-
TRENT,16-Aug-2022,27-Oct-2022,1449.85,1449.85,1449.85,1449.85,1449.85,1425.75,1.00,10.51,4350.00,725.00,-
TRENT,12-Aug-2022,29-Sep-2022,1345.00,1400.00,1340.20,1392.75,1392.00,1392.75,128.00,1276.08,87725.00,27550.00,-
TRENT,12-Aug-2022,25-Aug-2022,1338.00,1397.70,1334.15,1387.95,1387.00,1387.95,2621.00,26046.86,4936525.00,94975.00,-
TRENT,12-Aug-2022,27-Oct-2022,1380.00,1399.85,1380.00,1399.85,1399.85,1399.85,3.00,30.30,3625.00,2175.00,-
TRENT,11-Aug-2022,27-Oct-2022,-,-,-,1325.15,1325.15,1356.15,-,-,1450.00,-,-
TRENT,11-Aug-2022,25-Aug-2022,1325.10,1363.00,1325.05,1342.20,1343.05,1342.20,5344.00,52120.97,4841550.00,-26825.00,-
TRENT,11-Aug-2022,29-Sep-2022,1345.50,1367.50,1334.00,1347.65,1350.25,1347.65,148.00,1447.82,60175.00,7975.00,-
TRENT,10-Aug-2022,25-Aug-2022,1336.00,1336.65,1307.30,1317.85,1315.35,1317.85,764.00,7293.66,4868375.00,-39875.00,-
TRENT,10-Aug-2022,27-Oct-2022,-,-,-,1325.15,1325.15,1327.10,-,-,1450.00,-,-
TRENT,10-Aug-2022,29-Sep-2022,1316.45,1321.30,1315.50,1317.00,1317.00,1321.40,9.00,85.99,52200.00,-2175.00,-
TRENT,08-Aug-2022,25-Aug-2022,1323.50,1338.80,1313.05,1321.45,1320.50,1321.45,952.00,9149.30,4908250.00,-12325.00,-
TRENT,08-Aug-2022,29-Sep-2022,1325.00,1335.00,1324.00,1327.85,1327.85,1327.85,18.00,173.33,54375.00,2175.00,-
TRENT,08-Aug-2022,27-Oct-2022,-,-,-,1325.15,1325.15,1335.00,-,-,1450.00,-,-
TRENT,05-Aug-2022,27-Oct-2022,-,-,-,1325.15,1325.15,1332.70,-,-,1450.00,-,-
TRENT,05-Aug-2022,29-Sep-2022,1323.10,1327.80,1316.00,1324.75,1324.85,1324.75,34.00,326.16,52200.00,-5075.00,-
