Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TRENT,31-Dec-2024,30-Jan-2025,7007.80,7172.90,6855.00,7153.65,7145.00,7153.65,10344.00,72969.22,3271100.00,-116100.00,7123.35
TRENT,31-Dec-2024,27-Feb-2025,7063.05,7211.00,6910.00,7194.30,7178.20,7194.30,451.00,3196.52,47800.00,2300.00,7123.35
TRENT,31-Dec-2024,27-Mar-2025,7040.00,7260.10,6975.00,7246.70,7238.20,7246.70,101.00,722.03,2800.00,-700.00,7123.35
TRENT,30-Dec-2024,27-Mar-2025,7250.00,7250.00,7100.00,7122.25,7138.40,7122.25,78.00,560.25,3500.00,1600.00,6954.35
TRENT,30-Dec-2024,30-Jan-2025,7168.90,7168.90,6990.80,7018.15,7019.95,7018.15,10784.00,76128.79,3387200.00,67600.00,6954.35
TRENT,30-Dec-2024,27-Feb-2025,7201.00,7201.00,7035.00,7065.40,7077.40,7065.40,389.00,2762.67,45500.00,8900.00,6954.35
TRENT,27-Dec-2024,27-Feb-2025,7174.80,7336.50,7174.70,7223.55,7226.95,7223.55,272.00,1977.33,36600.00,3400.00,7118.30
TRENT,27-Dec-2024,30-Jan-2025,7145.00,7289.30,7120.05,7174.85,7189.10,7174.85,9522.00,68701.09,3319600.00,149600.00,7118.30
TRENT,27-Dec-2024,27-Mar-2025,7314.95,7324.85,7268.40,7276.70,7283.00,7276.70,23.00,168.06,1900.00,1900.00,7118.30
TRENT,26-Dec-2024,26-Dec-2024,6999.95,7090.00,6948.00,7056.30,7048.00,7063.70,7536.00,52811.55,168900.00,-349400.00,7063.70
TRENT,26-Dec-2024,27-Feb-2025,7115.05,7178.00,7049.90,7159.10,7149.45,7159.10,149.00,1059.80,33200.00,5700.00,7063.70
TRENT,26-Dec-2024,30-Jan-2025,7094.15,7135.00,6995.10,7110.00,7110.05,7110.00,10654.00,75208.62,3170000.00,249800.00,7063.70
TRENT,24-Dec-2024,30-Jan-2025,7038.65,7139.00,6945.05,7061.70,7058.15,7061.70,13889.00,98101.59,2920200.00,645000.00,7007.15
TRENT,24-Dec-2024,26-Dec-2024,6960.60,7089.30,6897.45,7027.45,7002.10,7027.45,12835.00,90038.85,518300.00,-776400.00,7007.15
TRENT,24-Dec-2024,27-Feb-2025,7010.05,7176.90,6989.50,7115.05,7100.00,7115.05,158.00,1125.15,27500.00,3800.00,7007.15
TRENT,23-Dec-2024,30-Jan-2025,6940.80,7130.00,6901.00,7005.15,7004.00,7005.15,17798.00,125150.10,2275200.00,973600.00,6946.00
TRENT,23-Dec-2024,26-Dec-2024,6887.00,7082.15,6855.00,6956.25,6956.00,6956.25,16356.00,114236.70,1294700.00,-983400.00,6946.00
TRENT,23-Dec-2024,27-Feb-2025,6999.95,7167.00,6951.60,7051.05,7050.00,7051.05,165.00,1169.43,23700.00,4000.00,6946.00
TRENT,20-Dec-2024,26-Dec-2024,7130.00,7181.10,6796.45,6826.40,6853.85,6826.40,15633.00,109509.70,2278100.00,-654000.00,6831.55
TRENT,20-Dec-2024,27-Feb-2025,7209.45,7270.00,6900.00,6924.45,6976.45,6924.45,128.00,905.35,19700.00,900.00,6831.55
TRENT,20-Dec-2024,30-Jan-2025,7159.55,7235.00,6847.50,6876.15,6921.30,6876.15,10162.00,71710.78,1301600.00,593600.00,6831.55
TRENT,19-Dec-2024,26-Dec-2024,7014.70,7191.90,6995.20,7100.65,7101.00,7100.65,12528.00,89210.30,2932100.00,-304200.00,7092.00
TRENT,19-Dec-2024,30-Jan-2025,7075.00,7244.00,7047.95,7155.50,7160.55,7155.50,4386.00,31475.34,708000.00,243200.00,7092.00
TRENT,19-Dec-2024,27-Feb-2025,7150.00,7279.00,7119.90,7201.20,7205.00,7201.20,102.00,735.91,18800.00,2600.00,7092.00
TRENT,18-Dec-2024,30-Jan-2025,6970.00,7228.60,6934.10,7175.65,7173.35,7175.65,3844.00,27360.08,464800.00,135700.00,7113.75
TRENT,18-Dec-2024,27-Feb-2025,7020.00,7257.85,6998.85,7212.60,7220.00,7212.60,127.00,909.46,16200.00,-900.00,7113.75
TRENT,18-Dec-2024,26-Dec-2024,6967.55,7177.70,6875.00,7119.85,7127.45,7119.85,17603.00,124361.02,3236300.00,-354300.00,7113.75
TRENT,17-Dec-2024,30-Jan-2025,7050.00,7103.10,6965.00,7000.90,6982.80,7000.90,968.00,6785.93,329100.00,44100.00,6941.65
TRENT,17-Dec-2024,27-Feb-2025,7111.70,7111.70,7020.50,7031.25,7020.50,7031.25,39.00,275.10,17100.00,900.00,6941.65
TRENT,17-Dec-2024,26-Dec-2024,7025.50,7056.00,6911.30,6948.30,6925.70,6948.30,6421.00,44727.38,3590600.00,-60800.00,6941.65
TRENT,16-Dec-2024,26-Dec-2024,7014.10,7059.90,6965.00,7022.90,7014.05,7022.90,5580.00,39113.73,3651400.00,-7400.00,7000.35
